date,ABEV3,ALPA4,ALSO3,ARZZ3,ASAI3,AURE3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRFS3,BRKM5,CASH3,CBAV3,CCRO3,CIEL3,CMIG4,CMIN3,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,DIRR3,DXCO3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GMAT3,GOAU4,GOLL4,HAPV3,HYPE3,IGTI11,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LREN3,LWSA3,MDIA3,MGLU3,MOVI3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PETZ3,PRIO3,PSSA3,QUAL3,RADL3,RAIL3,RAIZ4,RDOR3,RECV3,RENT3,RRRP3,SANB11,SBSP3,SIMH3,SLCE3,SMTO3,SOMA3,STBP3,SUZB3,TAEE11,TIMS3,TOTS3,TRPL4,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIIA3,VIVT3,WEGE3,YDUQ3
2022-07-25,14.06,20.56,16.18,74.87,15.41,12.97,11.46,10.44,31.42,13.49,16.31,24.59,12.55,21.83,20.22,16.3,33.66,10.7,9.36,12.05,3.85,9.94,2.73,2.22,29.93,6.76,16.64,17.22,11.88,6.57,11.84,10.4,8.2,5.37,39.2,44.56,44.53,11.79,14.49,39.48,22.96,16.02,13.92,20.07,4.28,8.84,8.1,5.8,38.68,18.39,56.7,7.19,22.42,28.77,16.93,23.99,6.42,30.66,2.79,12.27,11.37,8.46,23.11,15.37,6.51,20.36,17.83,9.33,23.61,17.57,9.83,19.24,16.35,3.86,30.71,22.93,54.94,29.79,26.28,42.75,9.3,36.54,33.75,9.69,5.68,44.53,36.04,11.92,25.43,22.21,12.53,8.57,63.97,11.7,15.66,2.52,43.71,26.1,13.37
2022-07-26,14.19,20.61,15.91,73.41,15.43,13.02,11.07,10.44,31.53,13.46,16.2,24.75,12.31,21.08,20.19,16.29,33.77,10.1,9.34,12.13,3.88,9.83,2.66,2.14,28.86,6.61,16.41,17.13,11.73,6.4,11.61,10.24,8.07,5.17,39.15,44.36,44.43,11.6,14.41,38.98,23.15,15.85,14.05,19.86,4.06,8.84,8.14,5.5,38.32,18.26,57.6,7.17,22.3,29.63,16.96,23.35,6.28,30.91,2.61,11.91,11.44,8.33,22.85,14.8,6.24,20.65,18.01,8.93,23.74,17.35,9.04,18.75,16.43,3.88,29.9,22.51,53.67,29.47,26.23,42.35,9.02,36.85,32.8,9.61,5.61,43.93,35.85,11.88,24.67,22.04,12.18,8.38,63.86,11.48,15.58,2.36,43.68,25.82,12.75
2022-07-27,14.34,21.57,16.4,75.82,16.27,12.98,11.61,10.59,31.73,13.53,16.29,25.09,12.64,21.49,20.18,16.36,34.44,10.5,10.0,12.31,4.03,10.34,2.79,2.25,29.4,6.63,17.6,17.89,11.99,6.82,11.93,10.63,8.61,5.4,39.92,45.08,45.15,11.93,14.9,39.68,23.78,16.15,14.41,19.84,4.32,8.85,9.03,5.86,38.91,19.25,58.8,7.2,22.38,30.19,17.89,24.5,6.71,31.62,2.7,12.26,11.61,8.82,23.54,15.34,6.76,20.79,18.2,9.44,23.69,17.62,9.38,19.28,17.33,4.18,30.79,22.67,56.16,30.19,26.11,42.88,9.45,37.03,33.21,9.9,5.9,45.22,35.89,11.69,25.72,22.4,12.62,8.47,64.0,12.08,16.27,2.48,42.28,26.49,13.67
2022-07-28,14.46,22.31,16.59,78.27,16.1,12.67,11.8,10.96,32.32,13.59,16.41,25.15,12.32,21.97,20.45,16.35,34.93,10.7,10.37,12.68,4.02,10.29,2.87,2.26,29.61,6.69,17.88,17.98,12.11,7.06,12.4,11.08,8.58,5.57,39.79,45.16,45.08,11.8,15.26,40.58,24.15,16.88,14.79,19.94,4.44,8.91,8.61,6.13,39.53,19.57,58.5,7.28,22.52,29.19,17.68,25.23,6.89,31.15,2.72,12.39,11.06,9.21,23.88,16.26,6.67,21.23,18.75,9.89,23.79,17.86,10.1,19.64,17.49,4.18,31.22,23.06,56.2,31.33,26.77,43.65,9.78,36.88,32.98,10.31,6.04,45.31,36.01,11.9,25.95,22.56,12.51,8.62,64.16,12.36,16.24,2.51,42.26,27.53,13.36
2022-07-29,14.29,21.99,16.4,77.76,15.76,12.84,11.73,10.79,32.11,13.64,16.45,25.25,12.17,21.75,20.09,15.96,36.69,10.5,10.43,12.66,4.16,10.32,2.84,2.26,30.07,6.74,18.24,18.18,12.02,6.97,12.21,11.26,8.53,5.68,40.05,45.51,45.49,11.75,15.21,41.39,24.46,16.53,15.01,20.21,4.29,9.04,8.36,6.16,41.58,19.38,57.3,7.26,22.44,29.06,18.32,24.57,6.71,31.01,2.58,12.2,11.04,9.02,23.11,15.58,6.76,22.59,19.83,9.64,24.22,17.61,9.69,19.94,17.48,4.11,32.21,23.55,56.27,33.49,26.53,43.62,10.12,37.44,32.97,10.05,5.95,46.6,35.9,11.87,25.94,21.92,12.43,8.21,63.3,13.34,16.04,2.4,42.0,27.64,13.09
2022-08-01,14.01,21.2,16.66,77.64,15.54,12.65,11.83,10.58,31.85,13.61,16.41,25.21,12.22,21.49,19.54,16.72,34.66,10.6,10.3,12.58,4.08,10.25,2.82,2.27,30.17,6.64,18.43,18.25,11.54,6.92,12.5,11.15,8.35,5.54,40.15,46.2,45.99,12.03,15.06,41.12,24.42,16.41,14.71,19.56,4.42,8.75,8.54,6.12,41.25,19.47,57.6,7.19,22.31,28.94,18.17,24.62,7.05,31.3,2.72,12.49,11.02,9.21,22.92,15.34,6.58,22.31,19.56,9.79,23.37,17.7,9.99,20.72,17.48,4.11,31.96,22.8,55.83,31.9,25.94,43.77,9.91,35.57,31.91,10.09,5.88,45.81,36.24,11.75,25.78,22.37,12.63,7.82,61.79,12.95,16.37,2.44,42.01,27.48,13.28
2022-08-02,14.08,20.8,16.48,78.24,15.58,12.55,11.51,10.51,32.28,13.81,16.69,25.48,12.24,21.69,20.06,16.52,34.62,10.7,10.22,12.85,4.15,10.39,2.88,2.25,29.62,6.68,18.5,18.53,11.73,6.8,12.12,10.79,8.33,5.5,39.9,46.56,46.45,12.12,15.15,40.27,24.58,15.95,14.8,20.16,4.41,8.99,8.37,6.44,41.62,19.56,59.7,7.26,22.55,29.34,18.26,24.84,7.66,32.09,2.71,12.46,10.99,9.09,22.72,15.76,6.47,22.32,19.64,10.04,23.39,17.94,10.07,20.57,17.66,4.29,32.72,23.39,56.09,32.43,26.12,43.94,9.89,36.62,31.94,10.08,5.86,46.19,36.61,11.58,25.98,22.74,12.72,8.05,63.76,12.95,16.53,2.35,41.73,27.97,13.0
2022-08-03,14.01,21.29,16.86,83.01,16.47,12.58,12.16,10.86,32.5,13.98,16.96,24.88,11.94,22.34,19.48,17.03,34.57,11.3,10.22,13.1,4.55,10.42,2.85,2.38,29.37,6.65,18.86,18.72,11.57,7.29,12.95,11.18,8.62,5.71,38.98,46.71,46.75,12.59,15.09,40.32,24.65,16.75,14.94,19.34,4.5,8.6,8.71,6.54,42.02,20.04,63.6,7.31,22.71,28.84,18.17,26.48,8.57,32.21,2.93,12.72,11.07,9.83,23.15,17.52,6.76,22.2,19.67,10.75,23.76,18.49,10.2,20.91,17.9,4.48,32.94,23.51,57.84,32.23,26.53,44.34,10.21,36.16,32.43,10.88,6.05,45.68,36.61,11.5,26.73,22.58,13.18,8.05,61.28,13.33,17.13,2.62,42.0,27.72,14.11
2022-08-04,14.06,22.38,17.97,85.55,16.73,12.78,13.44,11.58,33.12,14.32,17.27,24.57,11.75,23.7,19.76,16.69,34.04,13.0,10.29,13.45,4.64,10.72,2.97,2.5,30.68,6.82,19.04,19.68,12.24,7.96,14.43,12.36,9.51,6.14,38.85,48.01,48.47,13.28,15.69,41.36,25.3,17.97,15.35,19.95,4.81,8.95,10.0,6.6,41.59,21.14,66.9,7.48,23.26,28.64,18.17,27.44,9.03,33.2,3.34,13.06,11.13,11.08,24.32,18.28,6.92,22.54,19.86,11.79,23.35,18.64,11.19,21.14,18.42,4.7,34.34,22.49,60.69,32.17,26.9,45.74,11.05,35.74,32.38,11.48,6.48,45.53,37.1,11.78,27.15,22.7,13.14,8.51,60.92,14.51,17.69,2.95,42.62,28.4,14.7
2022-08-05,13.98,19.35,18.26,84.06,16.93,12.67,13.4,11.74,33.73,14.45,17.48,24.81,12.12,24.05,20.05,16.75,35.25,13.0,10.49,13.44,4.64,10.75,3.0,2.54,30.56,6.96,19.17,19.38,12.57,7.75,14.23,12.33,9.23,6.16,39.07,47.82,48.22,13.36,15.64,41.97,25.12,17.81,14.33,20.36,4.72,9.08,9.98,6.45,41.74,20.83,68.1,7.58,23.7,28.28,18.35,26.69,8.84,32.32,3.16,12.99,11.22,11.21,24.08,17.61,6.82,22.93,20.25,11.39,24.07,19.15,11.12,21.1,18.25,4.52,33.56,22.94,60.7,33.08,27.41,45.4,10.92,36.04,32.14,11.3,6.45,46.12,37.4,11.94,26.61,22.93,13.03,8.36,61.71,14.71,17.52,2.86,42.8,28.42,14.81
