,pair,adf,beta,desv,halflife,p_value,periodo,trade_date
0,BPAC11/ELET6,-4.060948504830221,1.01,2.34,6.0,99.89,200,2024-08-01
1,ELET6/BPAC11,-4.154832882644079,0.8,-2.31,5.0,99.92,200,2024-08-01
2,VIVT3/ELET3,-4.365770493156669,0.9,-2.05,5.0,99.97,200,2024-08-02
3,ELET3/VIVT3,-4.479774065908228,0.89,2.15,4.0,99.98,200,2024-08-02
4,COGN3/ABEV3,-4.1924054077861435,1.23,2.01,5.0,99.93,200,2024-08-02
5,ABEV3/COGN3,-4.2095439681621,0.7,-2.49,5.0,99.94,200,2024-08-02
6,B3SA3/BBDC4,-4.2812078321376505,0.92,1.9,4.0,99.95,200,2024-08-05
7,BBDC4/B3SA3,-4.1965304630819,0.89,-2.13,4.0,99.93,200,2024-08-05
8,ABEV3/BBDC3,-3.8907177466950156,1.19,1.81,6.0,99.79,200,2024-08-05
9,TIMS3/NTCO3,-3.9162854654611845,1.21,-1.9,6.0,99.81,200,2024-08-05
10,COGN3/ABEV3,-4.0882655973025,1.22,1.88,5.0,99.9,200,2024-08-05
11,ABEV3/COGN3,-4.10560960130149,0.7,-2.37,5.0,99.91,200,2024-08-05
12,BBDC3/ABEV3,-3.935611675108778,0.68,-1.98,6.0,99.82,200,2024-08-05
13,NTCO3/TIMS3,-4.786527806994874,0.52,1.85,5.0,99.99,200,2024-08-05
14,ABEV3/BBDC3,-4.003827133619812,1.19,2.29,6.0,99.86,200,2024-08-06
15,BBDC3/ABEV3,-3.9839900517957245,0.68,-2.32,6.0,99.85,200,2024-08-06
16,ABEV3/BBDC4,-4.055488132373044,1.37,1.88,5.0,99.89,200,2024-08-06
17,BBDC4/ABEV3,-3.956737123447359,0.58,-1.94,5.0,99.83,200,2024-08-06
18,B3SA3/BBDC4,-4.258144488284315,0.92,2.28,4.0,99.95,200,2024-08-07
19,BBDC4/B3SA3,-4.10349581181656,0.89,-2.37,5.0,99.9,200,2024-08-07
20,VIVT3/ELET3,-4.145254690876697,0.89,-2.13,5.0,99.92,200,2024-08-07
21,CSNA3/BPAC11,-4.280318441970759,0.88,2.01,5.0,99.95,200,2024-08-07
22,ELET3/VIVT3,-4.344504794830463,0.88,2.13,5.0,99.96,200,2024-08-07
23,BPAC11/CSNA3,-4.108982159690651,0.84,-2.44,7.0,99.91,200,2024-08-07
24,B3SA3/BBDC4,-4.314217207401309,0.92,2.2,5.0,99.96,200,2024-08-08
25,ELET3/VIVT3,-4.288912284978999,0.88,2.17,5.0,99.95,200,2024-08-08
26,BBDC4/B3SA3,-4.16573324356234,0.88,-2.22,5.0,99.92,200,2024-08-08
27,VIVT3/ELET3,-4.128896194432461,0.88,-2.02,5.0,99.91,200,2024-08-08
28,MULT3/B3SA3,-4.2735533332271345,0.62,-2.45,5.0,99.95,200,2024-08-08
29,B3SA3/MULT3,-4.335444155362439,1.44,2.41,5.0,99.96,200,2024-08-08
30,ALOS3/EZTC3,-3.9323623331952846,1.23,-2.3,5.0,99.82,200,2024-08-09
31,EZTC3/ALOS3,-3.9982718847589918,0.66,2.28,5.0,99.86,200,2024-08-09
32,HYPE3/ALOS3,-3.9580197616764727,0.5,2.31,4.0,99.84,200,2024-08-09
33,ALOS3/HYPE3,-4.131799245427713,1.53,-2.4,4.0,99.91,200,2024-08-09
34,ABEV3/BBDC3,-3.9800325120936986,1.19,2.24,6.0,99.85,200,2024-08-12
35,ALOS3/EZTC3,-4.025949936954414,1.23,-2.29,6.0,99.87,200,2024-08-12
36,BBDC3/ABEV3,-3.90555573216658,0.67,-2.05,6.0,99.8,200,2024-08-12
37,EZTC3/ALOS3,-4.104866182749193,0.66,2.25,5.0,99.9,200,2024-08-12
38,ABEV3/BBDC4,-4.1423778958798625,1.38,2.06,5.0,99.92,200,2024-08-12
39,BBDC4/ABEV3,-3.997720331358322,0.58,-1.88,5.0,99.86,200,2024-08-12
40,YDUQ3/HYPE3,-4.859017889823954,0.51,1.9,3.0,100.0,200,2024-08-12
41,HYPE3/YDUQ3,-4.584679140262964,1.55,-2.39,4.0,99.99,200,2024-08-12
42,RAIL3/EQTL3,-4.21429517722269,1.29,-2.25,5.0,99.94,200,2024-08-13
43,EQTL3/RAIL3,-4.406895690110191,0.54,2.41,5.0,99.97,200,2024-08-13
44,EZTC3/HYPE3,-5.537151656067271,1.17,2.12,2.0,100.0,200,2024-08-14
45,ABEV3/BBDC3,-3.8964138857442596,1.19,2.23,6.0,99.79,200,2024-08-14
46,HYPE3/EZTC3,-5.376631967927589,0.71,-2.22,2.0,100.0,200,2024-08-14
47,BBDC3/ABEV3,-3.78995623967088,0.66,-1.93,6.0,99.7,200,2024-08-14
48,ABEV3/BBDC4,-4.080522536391594,1.38,2.14,5.0,99.9,200,2024-08-14
49,BBDC4/ABEV3,-3.9037738897503633,0.57,-1.85,5.0,99.8,200,2024-08-14
50,ALOS3/EZTC3,-3.8556935736497446,1.21,-2.27,7.0,99.76,200,2024-08-15
51,EZTC3/ALOS3,-3.9686282447606427,0.65,2.29,6.0,99.84,200,2024-08-15
52,EZTC3/HYPE3,-5.58191523624678,1.16,1.85,3.0,100.0,200,2024-08-19
53,CMIN3/FLRY3,-3.959317574941734,1.2,2.19,8.0,99.84,200,2024-08-19
54,HYPE3/EZTC3,-5.404375979239971,0.72,-1.8,3.0,100.0,200,2024-08-19
55,FLRY3/CMIN3,-3.87648933331328,0.66,-2.18,8.0,99.78,200,2024-08-19
56,BBDC3/B3SA3,-3.9811828899955892,1.0,-1.84,5.0,99.85,200,2024-08-20
57,B3SA3/BBDC3,-4.197040793669217,0.82,2.39,5.0,99.93,200,2024-08-20
58,CMIN3/FLRY3,-4.034642365201415,1.19,2.14,8.0,99.88,200,2024-08-20
59,FLRY3/CMIN3,-3.9646129028890984,0.65,-2.14,8.0,99.84,200,2024-08-20
60,ABEV3/BBDC4,-4.0687964824308285,1.41,2.35,6.0,99.89,200,2024-08-20
61,BBDC4/ABEV3,-3.840583652016578,0.56,-1.8,6.0,99.75,200,2024-08-20
62,B3SA3/BBDC4,-4.193291368108935,0.95,2.31,5.0,99.93,200,2024-08-22
63,BBDC4/B3SA3,-3.960782783532595,0.84,-1.86,5.0,99.84,200,2024-08-22
64,CSAN3/ENGI11,-5.250055326409997,1.14,2.37,5.0,100.0,200,2024-08-23
65,BBDC4/BBDC3,-3.998731840966345,0.86,2.11,5.0,99.86,200,2024-08-23
66,BBDC3/BBDC4,-3.9906575952342482,1.15,-1.91,5.0,99.85,200,2024-08-23
67,ENGI11/CSAN3,-4.987240815829564,0.68,-2.45,6.0,100.0,200,2024-08-23
68,HYPE3/ALOS3,-4.426213971634164,0.51,2.21,5.0,99.97,200,2024-08-23
69,ALOS3/HYPE3,-4.4764029148189906,1.51,-1.96,4.0,99.98,200,2024-08-23
