Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ABEV3;14/09/2023;13,68;13,72;13,56;13,56;36.591.776,00;2.686.100
ABEV3;13/09/2023;13,71;13,82;13,63;13,64;440.137.539,00;32.112.300
ABEV3;12/09/2023;13,85;13,90;13,66;13,71;246.171.015,00;17.929.800
ABEV3;11/09/2023;13,79;13,92;13,71;13,87;205.156.430,00;14.823.900
ABEV3;08/09/2023;13,95;13,96;13,70;13,70;318.222.602,00;23.083.800
ABEV3;06/09/2023;13,99;14,16;13,96;13,98;375.760.463,00;26.799.400
ABEV3;05/09/2023;13,90;14,21;13,82;14,01;519.891.175,00;36.987.900
ABEV3;04/09/2023;13,91;13,98;13,76;13,86;330.370.803,00;23.830.100
ABEV3;01/09/2023;13,85;14,00;13,69;13,87;281.226.859,00;20.288.100
ABEV3;31/08/2023;14,14;14,16;13,71;13,84;625.208.099,00;44.947.900
ABEV3;30/08/2023;14,23;14,34;14,17;14,18;355.522.109,00;24.944.200
ABEV3;29/08/2023;14,27;14,34;14,17;14,26;207.754.570,00;14.577.000
ABEV3;28/08/2023;14,02;14,31;13,86;14,21;501.531.193,00;35.499.700
ABEV3;25/08/2023;14,25;14,25;13,67;13,99;765.918.935,00;55.046.000
ABEV3;24/08/2023;14,45;14,49;14,16;14,19;383.676.457,00;26.861.100
ABEV3;23/08/2023;14,34;14,59;14,34;14,45;397.397.490,00;27.525.400
ABEV3;22/08/2023;14,27;14,51;14,24;14,42;390.429.375,00;27.088.100
ABEV3;21/08/2023;14,40;14,43;14,26;14,31;268.561.147,00;18.726.000
ABEV3;18/08/2023;14,22;14,38;14,17;14,36;290.410.508,00;20.265.300
ABEV3;17/08/2023;14,23;14,36;14,08;14,22;561.530.261,00;39.486.300
ABEV3;16/08/2023;14,20;14,35;14,14;14,18;558.346.218,00;39.134.100
ABEV3;15/08/2023;14,37;14,42;14,18;14,20;204.748.924,00;14.357.200
ABEV3;14/08/2023;14,36;14,45;14,21;14,33;244.878.464,00;17.071.100
ABEV3;11/08/2023;14,44;14,47;14,28;14,36;219.439.246,00;15.250.800
ABEV3;10/08/2023;14,48;14,62;14,32;14,37;137.579.450,00;9.526.100
ABEV3;09/08/2023;14,46;14,50;14,29;14,38;280.941.055,00;19.531.100
ABEV3;08/08/2023;14,48;14,68;14,46;14,50;223.427.823,00;15.345.900
ABEV3;07/08/2023;14,75;14,75;14,54;14,68;224.747.222,00;15.363.900
ABEV3;04/08/2023;14,66;14,90;14,54;14,71;334.222.661,00;22.633.400
ABEV3;03/08/2023;15,08;15,45;14,55;14,63;936.237.022,00;62.889.100
ABEV3;02/08/2023;14,95;15,19;14,86;15,05;344.012.843,00;22.813.500
ABEV3;01/08/2023;14,81;15,03;14,66;14,97;282.245.466,00;18.915.300
ABEV3;31/07/2023;14,97;15,10;14,77;14,86;249.393.498,00;16.744.200
ABEV3;28/07/2023;14,75;15,00;14,66;14,96;229.884.173,00;15.394.100
ABEV3;27/07/2023;14,95;15,04;14,68;14,70;355.592.196,00;24.058.100
ABEV3;26/07/2023;14,97;15,05;14,87;14,98;329.123.753,00;21.989.100
ABEV3;25/07/2023;15,24;15,27;14,79;15,03;378.118.599,00;25.277.800
ABEV3;24/07/2023;15,22;15,37;15,01;15,12;430.031.402,00;28.373.300
ABEV3;21/07/2023;14,88;15,47;14,88;15,30;672.612.282,00;44.007.700
ABEV3;20/07/2023;14,75;14,99;14,49;14,92;623.493.758,00;42.101.900
ABEV3;19/07/2023;14,71;14,75;14,47;14,63;508.047.279,00;34.803.500
ABEV3;18/07/2023;14,78;14,93;14,62;14,67;724.910.775,00;49.066.200
ABEV3;17/07/2023;14,72;14,83;14,63;14,82;308.972.500,00;20.971.500
ABEV3;14/07/2023;14,71;14,80;14,56;14,74;193.480.761,00;13.144.500
ABEV3;13/07/2023;14,66;14,89;14,63;14,76;200.975.005,00;13.570.400
ABEV3;12/07/2023;14,61;14,81;14,58;14,69;261.713.515,00;17.783.500
ABEV3;11/07/2023;14,94;14,96;14,58;14,63;389.760.920,00;26.584.400
ABEV3;10/07/2023;15,45;15,78;14,93;15,01;456.162.279,00;29.954.500
ABEV3;07/07/2023;14,83;15,08;14,81;14,85;269.067.855,00;18.056.300
ABEV3;06/07/2023;15,15;15,26;14,80;14,83;429.994.666,00;28.777.000
ABEV3;05/07/2023;15,14;15,31;15,10;15,21;253.116.062,00;16.640.300
ABEV3;04/07/2023;15,40;15,40;15,10;15,14;187.564.358,00;12.323.700
ABEV3;03/07/2023;15,50;15,50;15,32;15,41;143.238.440,00;9.301.700
ABEV3;30/06/2023;15,35;15,47;15,25;15,41;280.149.289,00;18.196.800
ABEV3;29/06/2023;15,27;15,35;15,19;15,22;222.788.755,00;14.609.500
ABEV3;28/06/2023;15,42;15,43;15,16;15,22;327.444.011,00;21.473.800
ABEV3;27/06/2023;15,39;15,46;15,19;15,38;213.997.571,00;13.960.100
ABEV3;26/06/2023;15,49;15,50;15,19;15,34;271.095.303,00;17.715.500
ABEV3;23/06/2023;15,55;15,59;15,44;15,49;243.988.649,00;15.731.200
ABEV3;22/06/2023;15,19;15,60;15,19;15,55;380.308.945,00;24.636.000
ABEV3;21/06/2023;15,13;15,31;15,08;15,28;233.389.646,00;15.328.500
ABEV3;20/06/2023;15,06;15,15;15,01;15,14;268.703.961,00;17.797.300
ABEV3;19/06/2023;15,07;15,18;15,03;15,11;128.475.268,00;8.501.200
ABEV3;16/06/2023;15,14;15,28;15,05;15,07;634.571.007,00;41.992.200
ABEV3;15/06/2023;15,23;15,35;14,99;15,19;292.226.473,00;19.262.200
ABEV3;14/06/2023;15,26;15,43;15,08;15,33;588.208.186,00;38.553.500
ABEV3;13/06/2023;15,21;15,30;15,05;15,27;261.755.967,00;17.178.300
ABEV3;12/06/2023;15,14;15,23;14,93;15,16;348.552.136,00;23.021.800
ABEV3;09/06/2023;14,92;15,17;14,89;15,14;410.576.690,00;27.304.700
ABEV3;07/06/2023;14,89;15,03;14,65;14,85;439.651.157,00;29.632.100
ABEV3;06/06/2023;14,46;14,85;14,41;14,82;567.429.686,00;38.644.800
ABEV3;05/06/2023;14,42;14,52;14,34;14,41;198.208.917,00;13.762.900
ABEV3;02/06/2023;14,40;14,62;14,25;14,46;384.132.525,00;26.601.800
ABEV3;01/06/2023;14,35;14,42;14,21;14,24;300.255.597,00;20.997.300
ABEV3;31/05/2023;14,44;14,45;14,24;14,41;589.362.580,00;41.001.400
ABEV3;30/05/2023;14,83;14,89;14,42;14,48;351.550.870,00;24.191.000
ABEV3;29/05/2023;14,67;14,85;14,60;14,76;77.094.238,00;5.223.900
ABEV3;26/05/2023;14,81;14,90;14,64;14,76;146.770.245,00;9.945.200
ABEV3;25/05/2023;14,85;14,93;14,65;14,74;296.122.039,00;20.041.700
ABEV3;24/05/2023;14,49;14,80;14,49;14,66;202.894.056,00;13.828.900
ABEV3;23/05/2023;14,58;14,67;14,46;14,59;182.730.338,00;12.541.400
ABEV3;22/05/2023;14,75;14,84;14,56;14,62;289.672.535,00;19.786.900
ABEV3;19/05/2023;14,60;14,77;14,40;14,58;378.473.955,00;25.981.700
ABEV3;18/05/2023;14,54;14,59;14,37;14,55;413.659.705,00;28.556.800
ABEV3;17/05/2023;14,65;14,66;14,47;14,56;306.298.612,00;21.059.900
ABEV3;16/05/2023;14,67;14,84;14,60;14,60;183.496.694,00;12.506.600
ABEV3;15/05/2023;14,48;14,66;14,47;14,62;178.533.459,00;12.238.900
ABEV3;12/05/2023;14,41;14,50;14,27;14,45;257.589.133,00;17.898.100
ABEV3;11/05/2023;14,41;14,66;14,41;14,50;348.702.876,00;24.007.900
ABEV3;10/05/2023;14,44;14,49;14,28;14,40;461.497.339,00;32.118.100
ABEV3;09/05/2023;14,49;14,57;14,44;14,50;202.911.833,00;14.002.000
ABEV3;08/05/2023;14,57;14,64;14,43;14,51;268.847.744,00;18.529.100
ABEV3;05/05/2023;14,67;14,71;14,30;14,49;371.598.299,00;25.701.200
ABEV3;04/05/2023;15,20;15,31;14,47;14,63;799.881.334,00;54.103.000
ABEV3;03/05/2023;14,25;14,68;14,13;14,58;507.528.633,00;34.858.400
ABEV3;02/05/2023;14,06;14,32;13,96;14,26;377.614.494,00;26.593.100
ABEV3;28/04/2023;14,10;14,22;13,98;14,16;309.736.619,00;21.916.500
ABEV3;27/04/2023;14,18;14,25;14,01;14,16;227.670.490,00;16.134.300
ABEV3;26/04/2023;14,20;14,38;14,15;14,21;283.473.818,00;19.903.000
ABEV3;25/04/2023;14,28;14,38;14,06;14,29;416.852.908,00;29.258.500
ABEV3;24/04/2023;14,66;14,74;14,27;14,34;576.745.789,00;39.954.300
ABEV3;20/04/2023;14,61;14,80;14,56;14,60;374.758.607,00;25.572.000
ABEV3;19/04/2023;14,53;14,68;14,43;14,58;330.314.947,00;22.632.800
ABEV3;18/04/2023;14,76;14,82;14,54;14,63;258.386.029,00;17.631.100
ABEV3;17/04/2023;14,73;14,77;14,57;14,75;190.789.768,00;12.970.800
ABEV3;14/04/2023;14,50;14,73;14,44;14,65;210.557.745,00;14.396.600
ABEV3;13/04/2023;14,73;14,84;14,43;14,59;378.263.192,00;25.957.700
ABEV3;12/04/2023;14,82;14,93;14,64;14,76;563.002.195,00;38.009.700
ABEV3;11/04/2023;14,49;14,87;14,39;14,78;641.235.436,00;43.475.700
ABEV3;10/04/2023;14,50;14,78;14,34;14,46;451.854.053,00;31.265.300
ABEV3;06/04/2023;14,24;14,61;14,24;14,43;562.870.486,00;39.005.800
ABEV3;05/04/2023;14,51;14,63;14,21;14,40;291.962.233,00;20.289.500
ABEV3;04/04/2023;14,41;14,62;14,23;14,43;374.024.165,00;25.908.100
ABEV3;03/04/2023;14,23;14,35;14,04;14,33;343.392.531,00;24.122.800
ABEV3;31/03/2023;14,87;14,92;14,19;14,33;979.504.813,00;68.095.100
ABEV3;30/03/2023;15,00;15,05;14,75;14,82;358.940.985,00;24.177.100
ABEV3;29/03/2023;14,66;14,92;14,49;14,81;600.576.848,00;40.679.100
ABEV3;28/03/2023;13,95;15,03;13,90;14,59;1.774.793.156,00;121.695.700
ABEV3;27/03/2023;14,00;14,11;13,88;13,93;219.181.255,00;15.684.900
ABEV3;24/03/2023;13,84;14,02;13,75;13,89;376.854.973,00;27.098.700
ABEV3;23/03/2023;14,01;14,15;13,67;13,78;360.432.330,00;26.037.000
ABEV3;22/03/2023;13,91;14,09;13,89;13,95;225.141.627,00;16.090.200
ABEV3;21/03/2023;14,14;14,18;13,90;13,95;229.306.383,00;16.386.100
ABEV3;20/03/2023;14,20;14,27;14,05;14,12;475.859.968,00;33.679.700
ABEV3;17/03/2023;14,20;14,40;14,09;14,22;740.072.283,00;51.939.700
ABEV3;16/03/2023;14,00;14,41;14,00;14,26;413.622.440,00;29.003.000
ABEV3;15/03/2023;13,80;14,10;13,75;14,02;508.789.897,00;36.330.600
ABEV3;14/03/2023;13,61;14,08;13,59;13,95;727.410.322,00;52.076.300
ABEV3;13/03/2023;13,50;13,73;13,47;13,61;206.393.702,00;15.164.100
ABEV3;10/03/2023;13,52;13,70;13,46;13,51;340.364.990,00;25.089.300
ABEV3;09/03/2023;13,56;13,78;13,56;13,60;273.101.629,00;19.988.600
ABEV3;08/03/2023;13,40;13,64;13,35;13,62;337.075.786,00;24.867.300
ABEV3;07/03/2023;13,47;13,62;13,30;13,43;318.860.868,00;23.803.700
ABEV3;06/03/2023;13,18;13,58;13,13;13,50;391.793.370,00;29.101.800
ABEV3;03/03/2023;13,12;13,22;12,99;13,11;295.610.672,00;22.570.600
ABEV3;02/03/2023;13,47;13,54;13,07;13,13;630.134.879,00;47.796.400
ABEV3;01/03/2023;13,42;13,63;13,26;13,47;383.658.325,00;28.582.000
ABEV3;28/02/2023;13,43;13,59;13,34;13,39;529.038.272,00;39.333.900
ABEV3;27/02/2023;13,38;13,46;13,26;13,40;405.028.152,00;30.248.900
ABEV3;24/02/2023;13,22;13,40;13,08;13,32;354.895.677,00;26.791.100
ABEV3;23/02/2023;13,21;13,40;13,12;13,25;330.172.358,00;24.914.000
ABEV3;22/02/2023;13,05;13,31;13,05;13,21;384.987.375,00;29.184.000
ABEV3;17/02/2023;13,04;13,25;13,01;13,20;176.448.285,00;13.373.400
ABEV3;16/02/2023;13,25;13,30;12,96;13,08;450.751.555,00;34.528.900
ABEV3;15/02/2023;12,99;13,37;12,93;13,23;465.417.203,00;35.211.800
ABEV3;14/02/2023;13,15;13,36;12,99;13,00;389.518.247,00;29.701.200
ABEV3;13/02/2023;12,86;13,17;12,85;13,13;218.764.483,00;16.722.700
ABEV3;10/02/2023;12,98;12,99;12,60;12,86;629.147.946,00;49.142.000
ABEV3;09/02/2023;13,15;13,23;12,95;13,02;224.143.274,00;17.206.200
ABEV3;08/02/2023;13,04;13,24;12,93;13,19;319.620.856,00;24.324.300
ABEV3;07/02/2023;13,02;13,08;12,89;12,96;289.870.459,00;22.344.400
ABEV3;06/02/2023;13,04;13,20;12,95;13,02;334.739.739,00;25.649.000
ABEV3;03/02/2023;13,07;13,22;12,91;12,98;528.363.352,00;40.568.400
ABEV3;02/02/2023;13,06;13,53;13,00;13,11;656.681.425,00;49.730.600
ABEV3;01/02/2023;13,64;13,73;12,85;13,18;1.796.020.535,00;136.662.100
ABEV3;31/01/2023;13,62;13,74;13,50;13,66;485.072.942,00;35.608.800
ABEV3;30/01/2023;13,69;13,70;13,44;13,53;444.908.811,00;32.850.700
ABEV3;27/01/2023;13,75;13,75;13,59;13,65;326.426.881,00;23.904.300
ABEV3;26/01/2023;13,70;13,85;13,53;13,74;312.228.258,00;22.793.400
ABEV3;25/01/2023;13,55;13,74;13,47;13,71;300.338.311,00;22.021.000
ABEV3;24/01/2023;13,42;13,61;13,34;13,61;240.615.368,00;17.822.600
ABEV3;23/01/2023;13,56;13,68;13,36;13,42;402.821.879,00;29.938.500
ABEV3;20/01/2023;13,55;13,64;13,37;13,53;453.990.570,00;33.584.800
ABEV3;19/01/2023;13,67;13,85;13,55;13,64;707.954.153,00;51.799.200
ABEV3;18/01/2023;13,93;14,06;13,73;13,78;446.086.014,00;32.154.400
ABEV3;17/01/2023;13,30;13,95;13,20;13,86;938.793.178,00;68.143.400
ABEV3;16/01/2023;13,72;13,74;13,18;13,20;786.323.445,00;58.837.000
ABEV3;13/01/2023;14,00;14,05;13,77;13,88;615.547.789,00;44.291.300
ABEV3;12/01/2023;13,80;14,17;13,66;14,10;977.814.406,00;69.959.500
