Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALPA4;14/09/2023;8,68;8,75;8,56;8,65;3.223.568,00;371.900
ALPA4;13/09/2023;8,63;8,89;8,60;8,64;49.574.211,00;5.679.000
ALPA4;12/09/2023;8,40;8,65;8,29;8,64;29.749.182,00;3.497.300
ALPA4;11/09/2023;8,49;8,58;8,31;8,34;46.972.790,00;5.579.600
ALPA4;08/09/2023;8,70;8,86;8,31;8,41;49.656.697,00;5.877.500
ALPA4;06/09/2023;8,95;9,03;8,77;8,77;41.407.521,00;4.670.000
ALPA4;05/09/2023;8,87;9,05;8,66;8,95;41.286.708,00;4.657.000
ALPA4;04/09/2023;8,72;9,22;8,70;8,94;37.242.573,00;4.147.100
ALPA4;01/09/2023;8,45;8,83;8,30;8,83;84.365.745,00;9.905.600
ALPA4;31/08/2023;9,00;9,03;8,41;8,41;103.266.257,00;11.901.700
ALPA4;30/08/2023;9,51;9,54;8,91;9,00;67.790.631,00;7.518.200
ALPA4;29/08/2023;9,60;9,65;9,41;9,47;39.887.260,00;4.204.800
ALPA4;28/08/2023;9,95;9,95;9,47;9,55;36.977.655,00;3.856.100
ALPA4;25/08/2023;9,87;10,05;9,83;9,87;31.743.876,00;3.199.700
ALPA4;24/08/2023;9,60;10,10;9,55;9,89;69.918.358,00;7.037.700
ALPA4;23/08/2023;9,12;9,85;9,09;9,67;79.327.859,00;8.251.700
ALPA4;22/08/2023;9,12;9,21;8,93;9,15;34.424.017,00;3.789.500
ALPA4;21/08/2023;9,28;9,34;8,80;9,10;78.437.665,00;8.721.400
ALPA4;18/08/2023;9,31;9,53;9,28;9,34;39.026.759,00;4.151.300
ALPA4;17/08/2023;9,54;9,61;9,02;9,38;71.054.972,00;7.672.000
ALPA4;16/08/2023;10,08;10,12;9,46;9,54;47.538.813,00;4.886.400
ALPA4;15/08/2023;10,09;10,24;9,99;10,04;45.876.697,00;4.534.100
ALPA4;14/08/2023;9,96;10,19;9,86;10,09;71.383.952,00;7.083.400
ALPA4;11/08/2023;9,67;9,99;9,63;9,94;97.815.999,00;9.933.600
ALPA4;10/08/2023;9,60;9,83;9,50;9,67;57.238.278,00;5.909.500
ALPA4;09/08/2023;9,43;9,58;9,21;9,50;31.863.080,00;3.388.000
ALPA4;08/08/2023;9,05;9,67;8,81;9,45;81.520.029,00;8.758.000
ALPA4;07/08/2023;9,05;9,16;8,88;9,15;38.050.484,00;4.208.300
ALPA4;04/08/2023;8,46;9,49;8,39;9,09;113.794.054,00;12.460.700
ALPA4;03/08/2023;9,24;9,44;9,01;9,01;128.053.839,00;13.993.100
ALPA4;02/08/2023;9,47;9,55;9,34;9,51;33.484.019,00;3.538.000
ALPA4;01/08/2023;9,60;9,60;9,35;9,50;37.329.690,00;3.938.100
ALPA4;31/07/2023;9,53;9,76;9,50;9,63;45.216.759,00;4.686.100
ALPA4;28/07/2023;9,61;9,63;9,39;9,52;30.694.205,00;3.225.800
ALPA4;27/07/2023;9,51;9,78;9,46;9,54;85.260.638,00;8.869.700
ALPA4;26/07/2023;9,33;9,50;9,28;9,50;48.017.594,00;5.085.000
ALPA4;25/07/2023;9,15;9,78;9,11;9,36;55.200.480,00;5.855.800
ALPA4;24/07/2023;8,90;9,08;8,58;9,03;38.189.591,00;4.285.500
ALPA4;21/07/2023;8,48;8,86;8,46;8,81;44.094.646,00;5.022.800
ALPA4;20/07/2023;8,65;8,73;8,35;8,49;69.321.801,00;8.197.900
ALPA4;19/07/2023;9,27;9,32;8,56;8,56;113.886.106,00;13.032.600
ALPA4;18/07/2023;8,85;9,38;8,81;9,27;60.109.303,00;6.516.500
ALPA4;17/07/2023;8,65;8,99;8,55;8,91;34.488.142,00;3.903.100
ALPA4;14/07/2023;8,75;8,79;8,60;8,70;43.412.247,00;5.004.000
ALPA4;13/07/2023;8,89;8,97;8,71;8,76;37.400.013,00;4.254.700
ALPA4;12/07/2023;9,04;9,20;8,84;8,86;51.822.444,00;5.765.100
ALPA4;11/07/2023;8,97;9,06;8,76;8,93;40.228.035,00;4.502.900
ALPA4;10/07/2023;9,16;9,17;8,77;8,96;54.919.047,00;6.133.900
ALPA4;07/07/2023;9,15;9,38;8,94;9,20;69.615.432,00;7.566.100
ALPA4;06/07/2023;9,31;9,35;8,96;9,12;67.271.823,00;7.373.600
ALPA4;05/07/2023;9,29;9,57;9,22;9,42;54.946.397,00;5.843.500
ALPA4;04/07/2023;9,30;9,46;9,25;9,33;31.615.363,00;3.384.500
ALPA4;03/07/2023;9,32;9,44;9,17;9,30;45.219.223,00;4.866.200
ALPA4;30/06/2023;9,38;9,45;9,23;9,30;70.934.576,00;7.603.900
