Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALSO3;14/09/2023;24,01;24,25;24,01;24,10;11.761.480,00;487.100
ALSO3;13/09/2023;23,92;24,38;23,75;23,95;83.683.727,00;3.476.800
ALSO3;12/09/2023;23,14;23,90;23,13;23,79;96.564.190,00;4.075.600
ALSO3;11/09/2023;22,60;23,22;22,60;23,11;84.176.302,00;3.663.800
ALSO3;08/09/2023;22,40;22,70;22,37;22,60;68.830.293,00;3.050.300
ALSO3;06/09/2023;22,85;23,08;22,43;22,54;72.903.473,00;3.211.300
ALSO3;05/09/2023;22,81;22,93;22,41;22,85;131.257.031,00;5.792.600
ALSO3;04/09/2023;22,99;23,25;22,82;22,96;71.826.043,00;3.123.900
ALSO3;01/09/2023;22,96;23,35;22,78;22,99;130.781.887,00;5.694.700
ALSO3;31/08/2023;23,58;23,64;22,67;22,77;145.097.934,00;6.345.000
ALSO3;30/08/2023;24,11;24,20;23,38;23,65;94.467.281,00;3.992.700
ALSO3;29/08/2023;23,82;24,01;23,47;23,95;61.887.831,00;2.599.600
ALSO3;28/08/2023;23,76;23,88;23,49;23,77;60.645.107,00;2.558.400
ALSO3;25/08/2023;24,10;24,22;23,69;23,77;69.217.974,00;2.898.800
ALSO3;24/08/2023;24,08;24,33;23,91;24,11;112.567.386,00;4.670.600
ALSO3;23/08/2023;23,47;24,28;23,27;24,11;205.733.907,00;8.600.400
ALSO3;22/08/2023;23,10;23,62;22,93;23,47;100.920.428,00;4.309.900
ALSO3;21/08/2023;23,26;23,39;22,82;22,90;126.111.057,00;5.497.300
ALSO3;18/08/2023;22,95;23,32;22,86;23,32;80.247.726,00;3.463.700
ALSO3;17/08/2023;23,48;23,62;22,70;23,00;141.859.367,00;6.153.000
ALSO3;16/08/2023;24,17;24,37;23,26;23,44;154.832.943,00;6.515.400
ALSO3;15/08/2023;24,38;24,61;24,18;24,18;218.802.446,00;8.969.300
ALSO3;14/08/2023;24,60;24,75;24,01;24,12;87.720.462,00;3.619.700
ALSO3;11/08/2023;24,06;24,68;24,06;24,61;72.379.785,00;2.955.500
ALSO3;10/08/2023;24,48;24,80;24,19;24,19;69.512.906,00;2.856.000
ALSO3;09/08/2023;24,01;24,55;23,82;24,33;68.654.879,00;2.833.000
ALSO3;08/08/2023;23,69;24,30;23,27;24,25;80.011.779,00;3.325.600
ALSO3;07/08/2023;24,26;24,30;23,75;24,03;43.831.024,00;1.826.200
ALSO3;04/08/2023;24,46;24,63;24,04;24,18;110.565.202,00;4.542.600
ALSO3;03/08/2023;25,05;25,70;24,38;24,58;99.206.623,00;3.999.700
ALSO3;02/08/2023;24,74;24,95;24,45;24,73;84.210.689,00;3.408.000
ALSO3;01/08/2023;24,22;24,89;24,00;24,82;263.484.270,00;10.770.300
ALSO3;31/07/2023;24,50;24,91;24,13;24,31;154.374.218,00;6.327.400
ALSO3;28/07/2023;24,74;24,78;24,17;24,47;81.519.780,00;3.342.900
ALSO3;27/07/2023;24,95;24,99;24,10;24,35;139.220.429,00;5.669.600
ALSO3;26/07/2023;24,76;25,03;24,70;24,95;77.056.071,00;3.097.200
ALSO3;25/07/2023;24,95;25,54;24,76;24,86;88.466.589,00;3.535.900
ALSO3;24/07/2023;24,52;24,97;24,38;24,75;71.335.895,00;2.881.100
ALSO3;21/07/2023;24,20;24,72;24,19;24,57;189.564.452,00;7.741.900
ALSO3;20/07/2023;24,31;24,48;23,57;24,11;204.732.430,00;8.540.000
ALSO3;19/07/2023;24,50;24,65;24,23;24,35;81.795.789,00;3.351.200
ALSO3;18/07/2023;24,43;24,84;24,33;24,59;76.838.995,00;3.122.600
ALSO3;17/07/2023;24,18;24,68;24,16;24,59;226.149.668,00;9.223.500
ALSO3;14/07/2023;24,84;24,94;24,17;24,47;77.405.232,00;3.161.300
ALSO3;13/07/2023;24,80;25,30;24,69;25,02;70.472.912,00;2.807.000
ALSO3;12/07/2023;25,10;25,32;24,79;24,87;80.658.151,00;3.230.300
ALSO3;11/07/2023;24,82;25,23;24,30;24,99;215.238.501,00;8.620.800
ALSO3;10/07/2023;25,47;25,55;25,06;25,26;57.792.050,00;2.292.300
ALSO3;07/07/2023;25,09;25,77;25,02;25,47;83.820.599,00;3.286.300
ALSO3;06/07/2023;25,13;25,35;25,00;25,04;73.554.982,00;2.926.100
ALSO3;05/07/2023;24,96;25,82;24,69;25,37;130.582.036,00;5.125.900
ALSO3;04/07/2023;25,10;25,10;24,72;24,96;76.093.948,00;3.049.400
ALSO3;03/07/2023;24,90;25,18;24,56;25,11;136.517.623,00;5.480.300
ALSO3;30/06/2023;24,77;25,23;24,61;24,65;143.975.286,00;5.784.800
ALSO3;29/06/2023;24,19;24,50;23,88;24,32;109.637.239,00;4.526.700
ALSO3;28/06/2023;24,31;24,60;24,05;24,20;74.816.108,00;3.087.800
ALSO3;27/06/2023;25,07;25,19;24,06;24,48;103.273.670,00;4.239.900
ALSO3;26/06/2023;25,36;25,37;24,61;24,92;78.855.583,00;3.169.100
ALSO3;23/06/2023;24,44;25,38;24,40;25,24;138.647.056,00;5.527.300
ALSO3;22/06/2023;24,48;24,61;23,97;24,40;88.423.086,00;3.648.200
ALSO3;21/06/2023;23,94;24,83;23,88;24,70;147.362.040,00;6.010.800
ALSO3;20/06/2023;23,40;24,08;23,32;23,95;110.851.921,00;4.638.000
ALSO3;19/06/2023;23,41;23,70;23,38;23,52;66.496.214,00;2.830.400
ALSO3;16/06/2023;23,18;23,90;23,00;23,40;219.545.983,00;9.337.800
ALSO3;15/06/2023;23,30;23,42;22,91;23,25;70.255.826,00;3.024.500
ALSO3;14/06/2023;22,74;23,37;22,53;23,18;160.232.851,00;6.980.900
ALSO3;13/06/2023;23,19;23,19;22,55;22,72;82.801.664,00;3.637.800
ALSO3;12/06/2023;22,86;23,16;22,70;23,09;210.080.422,00;9.126.500
ALSO3;09/06/2023;22,97;23,28;22,39;22,72;151.121.180,00;6.626.000
ALSO3;07/06/2023;23,20;23,62;22,80;22,80;161.592.020,00;7.011.100
ALSO3;06/06/2023;22,00;23,47;21,92;23,01;180.215.386,00;7.859.000
ALSO3;05/06/2023;22,33;22,41;22,02;22,20;62.335.532,00;2.803.200
ALSO3;02/06/2023;22,70;23,34;22,09;22,30;163.903.899,00;7.222.300
ALSO3;01/06/2023;22,03;22,55;21,82;22,48;276.697.632,00;12.495.000
