Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ARZZ3;14/09/2023;72,38;72,58;71,30;71,30;9.316.574,00;129.500
ARZZ3;13/09/2023;70,50;73,40;70,15;72,00;88.126.246,00;1.215.700
ARZZ3;12/09/2023;69,00;70,90;68,50;70,35;45.063.757,00;643.000
ARZZ3;11/09/2023;68,20;69,53;66,98;68,72;52.550.104,00;768.600
ARZZ3;08/09/2023;68,65;68,98;66,90;67,50;86.044.391,00;1.273.500
ARZZ3;06/09/2023;71,85;72,28;68,50;68,87;131.179.468,00;1.889.400
ARZZ3;05/09/2023;73,13;73,35;71,47;71,83;68.334.269,00;949.400
ARZZ3;04/09/2023;73,15;74,28;72,98;73,52;53.993.154,00;732.500
ARZZ3;01/09/2023;71,00;74,00;70,69;73,69;130.854.194,00;1.805.200
ARZZ3;31/08/2023;74,23;74,77;70,67;70,67;164.833.792,00;2.287.300
ARZZ3;30/08/2023;73,54;74,40;71,94;74,00;102.550.679,00;1.401.500
ARZZ3;29/08/2023;76,00;76,03;73,51;73,55;106.740.794,00;1.441.300
ARZZ3;28/08/2023;76,45;76,76;73,78;75,31;131.659.708,00;1.758.600
ARZZ3;25/08/2023;79,60;80,13;76,40;76,44;94.862.890,00;1.229.300
ARZZ3;24/08/2023;82,27;82,76;79,39;79,91;98.808.557,00;1.226.700
ARZZ3;23/08/2023;81,01;83,88;80,80;82,86;105.537.242,00;1.279.500
ARZZ3;22/08/2023;77,49;81,19;76,91;81,19;121.147.076,00;1.520.800
ARZZ3;21/08/2023;78,25;78,93;75,74;76,53;154.335.556,00;2.014.300
ARZZ3;18/08/2023;80,01;81,20;79,02;79,11;86.215.769,00;1.078.800
ARZZ3;17/08/2023;81,32;81,89;79,64;80,27;159.377.897,00;1.980.500
ARZZ3;16/08/2023;81,30;82,50;80,52;81,18;90.405.052,00;1.109.400
ARZZ3;15/08/2023;78,33;81,30;77,33;81,30;123.775.911,00;1.558.600
ARZZ3;14/08/2023;79,50;79,85;77,27;78,33;142.455.006,00;1.827.100
ARZZ3;11/08/2023;81,09;84,36;78,70;79,49;297.325.929,00;3.649.700
ARZZ3;10/08/2023;83,29;84,48;79,60;81,15;226.159.789,00;2.780.200
ARZZ3;09/08/2023;82,33;83,40;81,00;82,82;96.243.667,00;1.168.800
ARZZ3;08/08/2023;81,40;83,47;80,89;82,35;85.869.747,00;1.042.900
ARZZ3;07/08/2023;83,15;83,28;81,50;82,90;81.670.868,00;990.500
ARZZ3;04/08/2023;80,00;84,14;79,53;82,67;132.208.349,00;1.595.100
ARZZ3;03/08/2023;81,99;83,48;80,75;81,18;145.097.334,00;1.779.300
ARZZ3;02/08/2023;79,28;81,24;78,56;80,69;86.573.418,00;1.081.900
ARZZ3;01/08/2023;82,07;82,33;79,21;79,70;169.952.144,00;2.115.100
ARZZ3;31/07/2023;83,14;84,24;82,34;82,40;97.287.340,00;1.171.600
ARZZ3;28/07/2023;83,90;83,93;81,30;82,19;80.500.506,00;983.100
ARZZ3;27/07/2023;82,99;84,02;82,45;82,83;174.992.205,00;2.102.500
ARZZ3;26/07/2023;82,69;84,00;81,51;83,16;106.745.627,00;1.283.000
ARZZ3;25/07/2023;82,70;85,74;82,70;83,00;111.147.491,00;1.317.300
ARZZ3;24/07/2023;82,30;82,60;80,74;81,98;40.147.445,00;491.600
ARZZ3;21/07/2023;80,55;82,84;80,22;81,98;98.817.120,00;1.202.000
ARZZ3;20/07/2023;79,89;80,50;78,95;79,98;76.460.921,00;956.800
ARZZ3;19/07/2023;78,80;79,90;78,12;79,14;135.539.866,00;1.713.100
ARZZ3;18/07/2023;78,26;79,20;77,66;79,01;55.861.404,00;710.900
ARZZ3;17/07/2023;76,56;78,78;76,42;78,25;75.562.157,00;971.600
ARZZ3;14/07/2023;79,98;80,28;77,49;77,88;139.994.696,00;1.785.300
ARZZ3;13/07/2023;82,44;82,44;80,03;80,25;155.568.648,00;1.927.800
ARZZ3;12/07/2023;80,92;83,67;80,92;81,20;142.938.975,00;1.745.100
ARZZ3;11/07/2023;81,20;82,20;79,11;80,75;81.405.600,00;1.009.600
ARZZ3;10/07/2023;83,00;83,00;81,25;81,85;91.583.376,00;1.117.700
ARZZ3;07/07/2023;84,00;85,32;83,52;83,55;88.619.681,00;1.051.800
ARZZ3;06/07/2023;84,18;84,63;83,23;83,65;120.295.687,00;1.434.200
ARZZ3;05/07/2023;80,58;85,93;80,22;85,00;264.448.478,00;3.126.400
ARZZ3;04/07/2023;80,93;82,16;79,50;81,30;67.993.619,00;840.100
ARZZ3;03/07/2023;79,71;80,94;78,74;80,93;138.753.372,00;1.729.700
ARZZ3;30/06/2023;78,08;80,66;77,30;78,35;256.220.245,00;3.198.200
ARZZ3;29/06/2023;75,12;77,59;74,88;77,15;95.606.522,00;1.231.000
ARZZ3;28/06/2023;75,24;76,24;73,84;74,78;83.398.100,00;1.098.100
ARZZ3;27/06/2023;77,29;78,68;73,97;74,81;151.209.338,00;1.991.900
ARZZ3;26/06/2023;79,12;79,12;76,10;76,54;74.986.940,00;966.700
ARZZ3;23/06/2023;78,28;80,05;77,20;78,92;208.778.969,00;2.622.400
ARZZ3;22/06/2023;77,96;78,41;75,71;77,49;180.747.899,00;2.329.100
ARZZ3;21/06/2023;76,45;79,60;76,44;79,13;213.916.385,00;2.706.800
ARZZ3;20/06/2023;74,16;76,91;73,63;76,44;229.572.907,00;3.023.300
ARZZ3;19/06/2023;74,28;74,60;73,79;74,42;65.883.687,00;879.100
ARZZ3;16/06/2023;74,82;75,40;73,34;74,31;137.686.922,00;1.837.700
ARZZ3;15/06/2023;75,48;75,90;74,23;75,47;86.853.469,00;1.144.600
ARZZ3;14/06/2023;75,11;76,69;74,32;75,60;125.945.866,00;1.652.500
ARZZ3;13/06/2023;78,79;79,12;74,62;74,88;126.986.428,00;1.656.800
ARZZ3;12/06/2023;78,76;79,52;77,78;78,36;74.424.153,00;934.900
ARZZ3;09/06/2023;79,17;79,64;76,93;78,39;130.409.954,00;1.648.100
ARZZ3;07/06/2023;77,74;78,87;77,20;77,84;93.612.933,00;1.191.400
ARZZ3;06/06/2023;75,63;77,88;75,55;76,88;74.692.205,00;962.100
ARZZ3;05/06/2023;74,83;75,63;73,06;75,31;106.264.492,00;1.408.900
ARZZ3;02/06/2023;76,32;78,64;74,94;74,96;150.801.600,00;1.960.200
ARZZ3;01/06/2023;73,62;75,49;72,85;75,29;110.067.277,00;1.470.000
ARZZ3;31/05/2023;72,83;73,79;72,25;73,10;62.331.766,00;843.200
ARZZ3;30/05/2023;74,40;75,16;72,43;73,13;134.182.211,00;1.809.800
ARZZ3;29/05/2023;74,45;74,86;73,28;73,69;66.765.290,00;894.200
ARZZ3;26/05/2023;72,27;75,10;71,79;74,26;137.037.817,00;1.844.500
ARZZ3;25/05/2023;70,15;72,95;70,15;71,47;99.467.623,00;1.369.800
ARZZ3;24/05/2023;68,73;70,57;67,01;69,10;134.578.986,00;1.928.900
ARZZ3;23/05/2023;69,96;71,70;68,59;68,73;89.478.110,00;1.271.700
ARZZ3;22/05/2023;70,43;71,87;69,93;70,21;80.648.149,00;1.127.900
ARZZ3;19/05/2023;71,92;72,48;70,04;70,52;143.352.115,00;2.001.300
ARZZ3;18/05/2023;70,35;72,58;69,66;71,82;147.948.557,00;2.057.700
ARZZ3;17/05/2023;68,04;71,36;68,04;70,94;156.701.305,00;2.222.300
ARZZ3;16/05/2023;68,51;69,58;67,94;67,95;124.495.995,00;1.793.300
ARZZ3;15/05/2023;67,23;69,94;66,56;69,05;92.534.029,00;1.334.400
