Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ASAI3;14/09/2023;12,87;13,04;12,71;12,72;31.248.849,00;2.432.200
ASAI3;13/09/2023;12,91;13,18;12,84;12,84;173.622.223,00;13.338.300
ASAI3;12/09/2023;12,23;12,97;12,23;12,87;191.170.358,00;14.945.000
ASAI3;11/09/2023;12,25;12,38;12,07;12,22;147.093.164,00;12.030.700
ASAI3;08/09/2023;12,51;12,60;12,22;12,23;98.248.507,00;7.984.700
ASAI3;06/09/2023;12,83;12,88;12,44;12,50;330.945.852,00;26.365.300
ASAI3;05/09/2023;12,28;12,99;12,21;12,77;372.071.347,00;29.239.600
ASAI3;04/09/2023;11,86;12,35;11,85;12,25;93.189.626,00;7.640.900
ASAI3;01/09/2023;11,70;12,06;11,66;11,86;245.973.219,00;20.733.400
ASAI3;31/08/2023;11,69;12,00;11,49;11,61;408.915.114,00;34.927.100
ASAI3;30/08/2023;11,94;12,03;11,80;11,81;151.085.202,00;12.746.500
ASAI3;29/08/2023;12,20;12,30;11,84;11,95;175.100.707,00;14.574.100
ASAI3;28/08/2023;12,41;12,44;12,00;12,15;212.512.430,00;17.537.400
ASAI3;25/08/2023;12,80;12,90;12,32;12,37;290.893.130,00;23.274.700
ASAI3;24/08/2023;12,99;13,10;12,84;12,84;169.557.260,00;13.091.400
ASAI3;23/08/2023;12,97;13,07;12,72;13,06;250.792.999,00;19.400.200
ASAI3;22/08/2023;13,25;13,27;12,80;12,97;137.978.907,00;10.617.800
ASAI3;21/08/2023;13,45;13,49;13,09;13,09;262.224.276,00;19.841.000
ASAI3;18/08/2023;13,06;13,44;13,01;13,43;134.933.864,00;10.120.900
ASAI3;17/08/2023;13,08;13,22;12,85;13,01;233.801.760,00;17.961.500
ASAI3;16/08/2023;13,15;13,30;13,00;13,00;159.080.889,00;12.131.200
ASAI3;15/08/2023;13,19;13,28;12,97;13,11;196.852.303,00;14.992.700
ASAI3;14/08/2023;13,44;13,53;13,07;13,15;269.157.176,00;20.415.300
ASAI3;11/08/2023;13,81;14,05;13,36;13,50;212.072.210,00;15.606.700
ASAI3;10/08/2023;13,95;14,13;13,75;13,80;134.981.985,00;9.725.200
ASAI3;09/08/2023;14,12;14,18;13,67;13,78;231.087.288,00;16.665.200
ASAI3;08/08/2023;13,77;14,19;13,47;14,12;279.821.523,00;19.977.100
ASAI3;07/08/2023;14,02;14,30;13,81;13,87;446.003.108,00;31.864.900
ASAI3;04/08/2023;13,80;14,08;13,43;13,69;346.700.900,00;25.262.200
ASAI3;03/08/2023;13,92;14,27;13,74;13,80;318.586.935,00;22.817.900
ASAI3;02/08/2023;13,54;13,84;13,30;13,65;188.388.840,00;13.861.600
ASAI3;01/08/2023;13,41;13,73;13,19;13,65;323.458.619,00;23.881.600
ASAI3;31/07/2023;13,31;13,60;13,13;13,47;437.823.340,00;32.804.900
ASAI3;28/07/2023;13,59;13,76;13,09;13,20;795.741.507,00;60.063.400
ASAI3;27/07/2023;13,55;13,99;13,29;13,50;921.186.007,00;67.454.500
ASAI3;26/07/2023;12,92;13,16;12,58;12,87;511.592.072,00;39.759.500
ASAI3;25/07/2023;13,07;13,11;12,58;12,67;175.678.108,00;13.714.100
ASAI3;24/07/2023;12,58;12,94;12,42;12,78;137.284.349,00;10.795.600
ASAI3;21/07/2023;12,26;12,55;12,18;12,54;106.975.139,00;8.581.400
ASAI3;20/07/2023;12,20;12,26;12,03;12,19;105.331.780,00;8.677.700
ASAI3;19/07/2023;12,47;12,59;12,09;12,14;227.308.025,00;18.565.800
ASAI3;18/07/2023;12,72;12,94;12,46;12,46;161.246.465,00;12.756.600
ASAI3;17/07/2023;12,50;12,84;12,36;12,82;140.970.321,00;11.142.100
ASAI3;14/07/2023;13,01;13,03;12,42;12,57;197.156.507,00;15.577.400
ASAI3;13/07/2023;13,24;13,45;12,91;13,00;707.112.476,00;54.087.900
ASAI3;12/07/2023;13,60;13,68;13,24;13,30;113.460.373,00;8.467.000
ASAI3;11/07/2023;13,71;13,84;13,23;13,43;153.905.128,00;11.448.800
ASAI3;10/07/2023;13,99;14,14;13,64;13,71;124.786.111,00;9.008.500
ASAI3;07/07/2023;13,71;14,33;13,55;14,00;170.227.007,00;12.149.100
ASAI3;06/07/2023;13,65;13,75;13,45;13,59;146.130.779,00;10.754.300
ASAI3;05/07/2023;13,59;14,03;13,56;13,72;130.480.660,00;9.432.400
ASAI3;04/07/2023;13,64;13,78;13,40;13,61;85.905.015,00;6.317.800
ASAI3;03/07/2023;13,89;13,89;13,51;13,62;131.202.313,00;9.630.900
ASAI3;30/06/2023;13,50;13,91;13,38;13,75;268.691.399,00;19.605.200
ASAI3;29/06/2023;13,15;13,61;12,98;13,35;305.240.968,00;22.908.800
ASAI3;28/06/2023;13,15;13,39;12,85;13,07;806.687.945,00;61.538.100
ASAI3;27/06/2023;14,21;14,30;12,96;13,09;851.362.658,00;64.224.600
ASAI3;26/06/2023;14,30;14,59;13,78;13,90;323.628.418,00;22.987.600
ASAI3;23/06/2023;13,38;14,43;13,36;14,30;2.781.526.645,00;205.420.700
ASAI3;22/06/2023;13,11;13,56;12,91;13,36;459.157.596,00;34.728.600
ASAI3;21/06/2023;13,41;13,45;13,11;13,40;239.594.398,00;18.003.300
ASAI3;20/06/2023;13,18;13,42;13,01;13,33;184.613.582,00;13.882.100
ASAI3;19/06/2023;13,52;13,55;13,13;13,25;132.962.909,00;10.032.000
ASAI3;16/06/2023;14,04;14,04;13,35;13,51;398.172.145,00;29.400.100
ASAI3;15/06/2023;13,70;14,34;13,56;14,10;351.718.809,00;25.077.000
ASAI3;14/06/2023;13,66;13,88;13,22;13,70;311.435.635,00;22.881.700
ASAI3;13/06/2023;13,89;14,37;13,15;13,20;357.019.952,00;26.399.100
ASAI3;12/06/2023;13,21;13,96;13,13;13,72;427.804.732,00;31.636.000
ASAI3;09/06/2023;13,00;13,49;12,84;12,96;233.481.015,00;17.741.100
ASAI3;07/06/2023;12,82;13,52;12,48;12,78;458.584.485,00;35.724.600
ASAI3;06/06/2023;11,26;12,82;11,20;12,80;683.116.628,00;55.952.100
ASAI3;05/06/2023;11,48;11,59;11,02;11,16;270.831.713,00;24.190.800
ASAI3;02/06/2023;11,18;11,64;11,18;11,50;460.389.423,00;40.351.000
ASAI3;01/06/2023;10,85;11,05;10,54;11,01;245.319.438,00;22.600.200
ASAI3;31/05/2023;11,24;11,24;10,69;10,75;349.851.723,00;32.341.700
ASAI3;30/05/2023;11,61;11,97;11,07;11,22;240.817.516,00;21.293.400
ASAI3;29/05/2023;11,34;11,69;11,34;11,52;156.764.323,00;13.585.100
ASAI3;26/05/2023;11,75;11,75;11,12;11,40;375.688.204,00;33.045.700
ASAI3;25/05/2023;11,36;11,88;11,35;11,63;203.079.806,00;17.413.600
ASAI3;24/05/2023;11,38;11,41;11,02;11,21;339.850.400,00;30.359.200
ASAI3;23/05/2023;12,14;12,27;11,53;11,57;151.329.553,00;12.688.400
ASAI3;22/05/2023;11,85;12,27;11,73;12,01;163.248.078,00;13.558.600
ASAI3;19/05/2023;11,37;12,08;11,09;11,82;291.787.996,00;25.024.800
ASAI3;18/05/2023;11,14;11,31;10,99;11,30;121.245.881,00;10.851.900
ASAI3;17/05/2023;11,25;11,45;11,05;11,19;122.508.795,00;10.953.100
ASAI3;16/05/2023;11,76;11,84;11,15;11,15;104.457.244,00;9.143.000
ASAI3;15/05/2023;11,62;11,77;11,46;11,73;141.312.989,00;12.200.800
ASAI3;12/05/2023;11,62;11,75;11,43;11,56;80.247.237,00;6.941.700
ASAI3;11/05/2023;11,63;11,79;11,41;11,68;163.386.604,00;14.071.400
ASAI3;10/05/2023;11,65;11,87;11,60;11,70;130.334.776,00;11.145.500
ASAI3;09/05/2023;11,15;11,96;10,93;11,62;450.061.786,00;38.856.800
ASAI3;08/05/2023;10,61;11,34;10,61;11,19;449.148.695,00;41.075.200
ASAI3;05/05/2023;11,19;11,30;10,38;10,50;558.484.724,00;52.622.400
ASAI3;04/05/2023;11,68;11,87;10,98;11,48;304.259.970,00;26.925.400
ASAI3;03/05/2023;11,38;11,65;10,93;11,47;345.201.016,00;30.517.700
ASAI3;02/05/2023;12,24;12,34;11,72;11,84;206.987.198,00;17.382.900
ASAI3;28/04/2023;12,25;12,43;12,08;12,29;183.972.759,00;15.034.100
ASAI3;27/04/2023;12,39;12,55;12,03;12,25;238.736.989,00;19.417.600
ASAI3;26/04/2023;12,40;12,79;12,33;12,54;239.825.217,00;19.053.400
ASAI3;25/04/2023;12,86;12,88;12,17;12,43;229.573.524,00;18.402.100
ASAI3;24/04/2023;12,95;13,30;12,75;12,85;107.216.382,00;8.264.800
ASAI3;20/04/2023;12,86;13,03;12,74;12,95;165.040.878,00;12.738.000
ASAI3;19/04/2023;12,99;13,10;12,67;12,84;168.764.212,00;13.104.000
ASAI3;18/04/2023;13,29;13,37;13,02;13,11;164.117.829,00;12.414.000
ASAI3;17/04/2023;13,17;13,44;13,02;13,22;196.299.560,00;14.766.700
