Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AURE3;14/09/2023;13,97;14,09;13,97;14,04;3.194.768,00;227.600
AURE3;13/09/2023;13,95;14,09;13,90;13,94;23.500.227,00;1.677.900
AURE3;12/09/2023;13,90;14,04;13,84;13,94;30.794.581,00;2.211.800
AURE3;11/09/2023;13,79;13,90;13,74;13,90;35.407.377,00;2.561.400
AURE3;08/09/2023;13,79;13,95;13,73;13,78;47.509.876,00;3.441.900
AURE3;06/09/2023;13,79;13,89;13,65;13,81;33.883.539,00;2.457.900
AURE3;05/09/2023;13,91;13,94;13,76;13,77;53.466.237,00;3.866.200
AURE3;04/09/2023;13,92;13,92;13,65;13,88;28.150.323,00;2.040.300
AURE3;01/09/2023;13,75;13,91;13,74;13,91;51.741.388,00;3.733.200
AURE3;31/08/2023;14,00;14,00;13,61;13,61;44.322.908,00;3.222.600
AURE3;30/08/2023;14,06;14,09;13,93;13,99;27.610.567,00;1.972.000
AURE3;29/08/2023;13,84;14,00;13,83;14,00;24.605.477,00;1.767.900
AURE3;28/08/2023;13,81;13,86;13,68;13,82;29.957.585,00;2.176.500
AURE3;25/08/2023;13,83;13,94;13,71;13,79;39.801.634,00;2.883.700
AURE3;24/08/2023;13,75;13,86;13,74;13,83;32.068.306,00;2.322.400
AURE3;23/08/2023;13,70;13,74;13,62;13,72;35.713.054,00;2.612.100
AURE3;22/08/2023;13,62;13,71;13,55;13,63;30.350.900,00;2.224.000
AURE3;21/08/2023;13,60;13,70;13,56;13,56;28.704.253,00;2.109.700
AURE3;18/08/2023;13,53;13,64;13,46;13,60;41.430.920,00;3.055.400
AURE3;17/08/2023;13,55;13,61;13,47;13,53;31.640.569,00;2.338.500
AURE3;16/08/2023;13,73;13,76;13,45;13,50;53.080.074,00;3.920.000
AURE3;15/08/2023;13,76;13,86;13,69;13,70;37.161.440,00;2.701.400
AURE3;14/08/2023;13,77;13,82;13,66;13,76;18.806.754,00;1.366.900
AURE3;11/08/2023;13,83;13,83;13,67;13,77;33.870.926,00;2.466.700
AURE3;10/08/2023;13,88;13,97;13,73;13,81;38.984.525,00;2.824.100
AURE3;09/08/2023;14,00;14,00;13,78;13,86;30.283.314,00;2.185.800
AURE3;08/08/2023;13,85;14,04;13,78;13,96;29.794.197,00;2.139.300
AURE3;07/08/2023;13,91;13,96;13,82;13,85;33.521.130,00;2.417.500
AURE3;04/08/2023;13,98;14,11;13,85;13,86;31.114.562,00;2.229.800
AURE3;03/08/2023;14,20;14,23;13,84;13,86;61.385.426,00;4.410.700
AURE3;02/08/2023;14,02;14,13;14,01;14,12;23.376.699,00;1.660.400
AURE3;01/08/2023;14,00;14,30;13,96;14,01;83.382.312,00;5.877.900
AURE3;31/07/2023;14,10;14,10;13,98;14,00;21.622.382,00;1.542.400
AURE3;28/07/2023;14,03;14,12;13,93;14,00;21.043.704,00;1.499.600
AURE3;27/07/2023;14,07;14,12;13,90;13,96;39.042.013,00;2.791.100
AURE3;26/07/2023;14,10;14,18;14,00;14,03;42.079.619,00;2.996.000
AURE3;25/07/2023;14,34;14,41;14,05;14,06;37.599.698,00;2.658.300
AURE3;24/07/2023;14,35;14,35;14,23;14,26;19.153.881,00;1.341.700
AURE3;21/07/2023;14,18;14,31;14,12;14,31;37.461.876,00;2.629.900
AURE3;20/07/2023;14,24;14,25;14,11;14,18;18.342.160,00;1.295.100
AURE3;19/07/2023;14,27;14,41;14,19;14,25;23.445.719,00;1.642.500
AURE3;18/07/2023;14,27;14,35;14,19;14,28;25.546.963,00;1.787.200
AURE3;17/07/2023;14,16;14,37;14,16;14,28;37.358.539,00;2.621.700
AURE3;14/07/2023;14,42;14,42;14,25;14,30;18.831.995,00;1.315.900
AURE3;13/07/2023;14,41;14,46;14,26;14,37;24.912.813,00;1.733.800
AURE3;12/07/2023;14,29;14,39;14,19;14,31;26.262.646,00;1.835.500
AURE3;11/07/2023;14,31;14,32;14,13;14,26;27.199.107,00;1.912.100
AURE3;10/07/2023;14,30;14,39;14,22;14,31;21.526.685,00;1.505.000
AURE3;07/07/2023;14,35;14,42;14,16;14,26;30.671.859,00;2.145.100
AURE3;06/07/2023;14,36;14,42;14,15;14,24;29.347.292,00;2.061.100
AURE3;05/07/2023;14,21;14,49;14,14;14,37;72.213.571,00;5.047.800
AURE3;04/07/2023;14,31;14,33;14,13;14,26;31.504.163,00;2.218.900
AURE3;03/07/2023;14,41;14,45;14,14;14,28;48.496.472,00;3.391.700
AURE3;30/06/2023;14,23;14,46;14,10;14,33;76.176.735,00;5.328.900
AURE3;29/06/2023;14,41;14,47;14,16;14,18;46.745.106,00;3.277.800
AURE3;28/06/2023;14,45;14,65;14,30;14,35;36.786.881,00;2.545.900
AURE3;27/06/2023;14,75;14,83;14,32;14,44;43.339.599,00;3.000.800
AURE3;26/06/2023;14,95;15,03;14,63;14,69;39.395.162,00;2.671.000
AURE3;23/06/2023;14,80;15,10;14,74;14,95;44.112.789,00;2.952.700
AURE3;22/06/2023;14,77;14,84;14,61;14,77;29.859.212,00;2.029.400
AURE3;21/06/2023;14,73;14,91;14,60;14,86;74.265.755,00;5.011.400
AURE3;20/06/2023;14,66;14,90;14,61;14,70;52.240.641,00;3.537.100
AURE3;19/06/2023;14,79;14,79;14,31;14,57;47.941.311,00;3.296.600
AURE3;16/06/2023;14,40;14,82;14,37;14,58;77.852.533,00;5.316.000
AURE3;15/06/2023;14,39;14,43;14,28;14,40;18.143.960,00;1.262.600
AURE3;14/06/2023;14,28;14,59;14,21;14,35;43.725.799,00;3.029.900
AURE3;13/06/2023;14,40;14,44;14,20;14,22;18.667.697,00;1.308.100
AURE3;12/06/2023;14,30;14,39;14,16;14,39;36.742.705,00;2.568.900
AURE3;09/06/2023;14,20;14,35;14,17;14,29;71.282.829,00;4.998.200
AURE3;07/06/2023;14,30;14,40;14,11;14,12;44.408.942,00;3.121.400
AURE3;06/06/2023;13,96;14,34;13,95;14,24;104.169.752,00;7.375.700
AURE3;05/06/2023;14,06;14,09;13,83;13,94;47.673.563,00;3.427.100
AURE3;02/06/2023;14,22;14,25;13,95;14,06;80.452.619,00;5.719.900
AURE3;01/06/2023;14,17;14,21;14,05;14,14;32.598.282,00;2.306.600
AURE3;31/05/2023;14,18;14,22;14,05;14,08;53.392.044,00;3.785.300
AURE3;30/05/2023;14,29;14,30;14,15;14,17;25.986.427,00;1.826.600
AURE3;29/05/2023;14,05;14,26;14,05;14,19;20.223.731,00;1.426.200
AURE3;26/05/2023;14,29;14,38;14,03;14,13;35.956.621,00;2.541.400
AURE3;25/05/2023;14,19;14,32;14,10;14,20;31.300.827,00;2.203.200
AURE3;24/05/2023;14,17;14,21;14,07;14,15;26.032.950,00;1.840.100
