Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AZUL4;14/09/2023;13,72;13,76;13,26;13,29;32.081.679,00;2.371.100
AZUL4;13/09/2023;13,75;14,07;13,53;13,69;139.769.451,00;10.124.700
AZUL4;12/09/2023;13,61;14,04;13,56;13,71;122.704.490,00;8.895.400
AZUL4;11/09/2023;13,87;14,08;13,32;13,67;102.102.783,00;7.530.300
AZUL4;08/09/2023;13,60;13,71;13,41;13,67;75.148.309,00;5.542.200
AZUL4;06/09/2023;14,02;14,36;13,74;13,81;143.554.596,00;10.280.400
AZUL4;05/09/2023;14,64;14,70;14,04;14,09;140.175.975,00;9.832.500
AZUL4;04/09/2023;14,87;15,17;14,78;14,81;64.449.908,00;4.305.200
AZUL4;01/09/2023;14,60;15,05;14,56;14,93;120.889.207,00;8.131.800
AZUL4;31/08/2023;15,03;15,03;14,34;14,49;168.600.103,00;11.589.900
AZUL4;30/08/2023;15,06;15,30;14,88;15,04;114.854.632,00;7.590.100
AZUL4;29/08/2023;14,91;15,17;14,60;15,01;104.632.313,00;7.001.000
AZUL4;28/08/2023;15,05;15,14;14,58;14,87;131.932.037,00;8.918.500
AZUL4;25/08/2023;15,30;15,34;14,86;14,98;142.127.332,00;9.456.700
AZUL4;24/08/2023;16,20;16,24;15,26;15,34;162.867.206,00;10.443.600
AZUL4;23/08/2023;16,05;16,48;15,84;16,20;179.558.056,00;11.036.100
AZUL4;22/08/2023;15,89;16,44;15,32;16,01;237.052.580,00;14.997.100
AZUL4;21/08/2023;15,81;16,07;15,47;15,69;127.699.369,00;8.132.100
AZUL4;18/08/2023;15,20;15,96;14,93;15,91;204.135.016,00;13.133.300
AZUL4;17/08/2023;15,78;15,80;15,20;15,32;189.271.434,00;12.302.400
AZUL4;16/08/2023;15,80;15,89;15,37;15,63;209.661.084,00;13.412.000
AZUL4;15/08/2023;16,97;16,97;15,53;15,85;315.730.161,00;19.729.500
AZUL4;14/08/2023;17,11;17,31;16,69;16,97;143.599.839,00;8.424.100
AZUL4;11/08/2023;18,20;18,27;17,02;17,05;222.112.611,00;12.730.500
AZUL4;10/08/2023;16,76;18,22;16,69;18,22;370.643.186,00;20.911.600
AZUL4;09/08/2023;17,53;17,85;16,52;16,59;197.086.221,00;11.718.700
AZUL4;08/08/2023;17,00;17,58;16,86;17,53;99.723.134,00;5.760.000
AZUL4;07/08/2023;17,31;17,36;16,94;17,25;83.794.123,00;4.884.000
AZUL4;04/08/2023;17,25;17,71;17,06;17,22;166.576.323,00;9.584.300
AZUL4;03/08/2023;17,77;17,85;17,12;17,17;173.957.744,00;10.004.400
AZUL4;02/08/2023;17,60;17,68;17,16;17,42;134.665.924,00;7.762.200
AZUL4;01/08/2023;17,53;17,91;17,18;17,71;176.902.433,00;10.063.400
AZUL4;31/07/2023;17,78;18,20;17,47;17,70;147.933.991,00;8.337.500
AZUL4;28/07/2023;17,85;17,99;17,22;17,56;162.815.878,00;9.256.600
AZUL4;27/07/2023;18,93;19,23;17,55;17,68;266.400.290,00;14.599.100
AZUL4;26/07/2023;18,55;18,64;17,75;18,43;309.675.282,00;16.962.700
AZUL4;25/07/2023;19,01;19,43;18,08;18,46;260.777.785,00;13.998.700
AZUL4;24/07/2023;18,20;19,15;18,02;18,80;370.727.370,00;19.896.400
AZUL4;21/07/2023;17,12;18,57;17,05;18,50;420.049.536,00;23.174.300
AZUL4;20/07/2023;17,31;17,46;16,78;17,00;207.507.680,00;12.157.900
AZUL4;19/07/2023;17,09;17,41;17,00;17,23;168.364.753,00;9.796.500
AZUL4;18/07/2023;17,43;17,89;17,15;17,22;241.893.040,00;13.852.500
AZUL4;17/07/2023;16,78;17,42;16,61;17,33;271.181.081,00;15.810.200
AZUL4;14/07/2023;18,11;18,17;16,84;16,97;397.030.090,00;22.878.600
AZUL4;13/07/2023;18,59;18,72;17,90;18,11;220.242.544,00;12.047.200
AZUL4;12/07/2023;19,69;19,84;18,45;18,57;223.707.743,00;11.829.600
AZUL4;11/07/2023;19,94;19,94;18,83;19,40;273.395.372,00;14.161.700
AZUL4;10/07/2023;19,12;19,98;19,04;19,92;196.643.467,00;9.995.900
AZUL4;07/07/2023;19,17;19,67;19,17;19,32;222.407.467,00;11.450.600
AZUL4;06/07/2023;20,22;20,22;19,01;19,14;311.451.879,00;16.017.400
AZUL4;05/07/2023;21,10;21,16;20,43;20,47;247.007.298,00;11.881.100
AZUL4;04/07/2023;21,22;21,36;20,78;21,13;139.026.863,00;6.621.800
AZUL4;03/07/2023;22,07;22,33;21,14;21,35;261.695.675,00;12.078.300
AZUL4;30/06/2023;21,64;22,08;21,56;21,86;245.485.861,00;11.245.100
AZUL4;29/06/2023;21,45;21,54;20,87;21,34;229.921.871,00;10.824.800
AZUL4;28/06/2023;21,00;22,06;20,75;21,35;287.959.252,00;13.352.000
AZUL4;27/06/2023;21,12;21,41;20,37;20,94;254.216.730,00;12.171.500
AZUL4;26/06/2023;21,08;21,46;20,56;20,67;187.679.336,00;8.968.200
AZUL4;23/06/2023;21,20;21,51;20,68;21,24;239.073.927,00;11.299.300
AZUL4;22/06/2023;21,45;21,60;20,61;21,19;283.040.958,00;13.405.000
AZUL4;21/06/2023;21,62;22,06;21,22;21,76;225.252.495,00;10.419.200
AZUL4;20/06/2023;21,41;21,67;20,62;21,59;260.264.637,00;12.267.400
AZUL4;19/06/2023;20,76;21,61;20,61;21,42;263.601.223,00;12.426.000
AZUL4;16/06/2023;19,87;20,87;19,78;20,61;267.268.885,00;12.998.900
AZUL4;15/06/2023;19,73;20,34;19,60;20,05;227.269.543,00;11.327.400
AZUL4;14/06/2023;18,56;19,95;18,53;19,95;390.467.574,00;20.167.500
AZUL4;13/06/2023;19,37;19,55;18,19;18,36;242.960.302,00;12.997.100
AZUL4;12/06/2023;19,92;20,00;18,95;19,21;239.080.884,00;12.343.200
AZUL4;09/06/2023;19,96;20,24;19,50;19,61;307.281.319,00;15.469.100
AZUL4;07/06/2023;20,40;21,39;19,32;19,49;426.291.933,00;21.164.000
AZUL4;06/06/2023;18,35;20,25;18,22;20,20;499.663.607,00;25.422.400
AZUL4;05/06/2023;18,28;18,61;17,75;18,28;222.492.223,00;12.251.400
AZUL4;02/06/2023;18,20;18,88;18,14;18,35;350.235.968,00;18.957.700
AZUL4;01/06/2023;16,92;18,00;16,80;17,85;349.708.299,00;20.131.700
AZUL4;31/05/2023;16,00;16,87;15,78;16,85;224.486.138,00;13.641.400
AZUL4;30/05/2023;16,71;16,82;15,78;16,05;186.405.469,00;11.516.000
AZUL4;29/05/2023;16,19;16,41;15,86;16,30;150.812.965,00;9.297.000
AZUL4;26/05/2023;15,85;16,52;15,73;16,03;278.727.768,00;17.223.000
AZUL4;25/05/2023;15,11;16,07;15,11;15,60;292.542.820,00;18.655.200
AZUL4;24/05/2023;14,74;14,95;14,22;14,69;169.230.010,00;11.581.300
AZUL4;23/05/2023;15,44;15,81;14,84;14,93;243.412.274,00;15.847.300
AZUL4;22/05/2023;14,58;15,91;14,51;15,40;415.478.486,00;27.073.800
AZUL4;19/05/2023;14,45;14,73;13,97;14,08;167.531.191,00;11.682.300
AZUL4;18/05/2023;14,19;14,62;14,08;14,50;235.777.377,00;16.430.300
AZUL4;17/05/2023;12,67;14,40;12,53;14,20;415.915.254,00;30.337.700
AZUL4;16/05/2023;12,66;13,44;12,16;12,36;237.612.215,00;18.423.500
AZUL4;15/05/2023;13,06;13,09;11,35;12,76;396.352.330,00;32.545.700
AZUL4;12/05/2023;12,97;13,14;12,62;12,86;228.551.625,00;17.806.900
AZUL4;11/05/2023;12,31;13,03;12,25;12,97;229.721.131,00;18.081.200
AZUL4;10/05/2023;11,75;12,33;11,75;12,29;185.545.420,00;15.309.700
AZUL4;09/05/2023;11,67;11,99;11,57;11,77;136.405.687,00;11.551.600
AZUL4;08/05/2023;11,71;12,11;11,65;11,72;112.942.011,00;9.536.600
AZUL4;05/05/2023;11,44;11,84;11,23;11,63;149.796.068,00;12.909.900
