Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
B3SA3;14/09/2023;13,21;13,29;13,10;13,11;52.227.536,00;3.962.400
B3SA3;13/09/2023;13,23;13,43;13,05;13,21;383.298.929,00;28.897.800
B3SA3;12/09/2023;12,92;13,24;12,84;13,16;391.044.187,00;29.762.300
B3SA3;11/09/2023;12,64;12,97;12,58;12,91;414.804.750,00;32.408.400
B3SA3;08/09/2023;12,47;12,62;12,36;12,54;398.369.429,00;31.883.900
B3SA3;06/09/2023;12,76;12,85;12,53;12,54;340.951.955,00;27.027.200
B3SA3;05/09/2023;12,96;13,00;12,70;12,77;436.446.823,00;34.022.300
B3SA3;04/09/2023;13,01;13,24;12,96;13,06;252.463.837,00;19.239.100
B3SA3;01/09/2023;12,86;13,10;12,64;12,98;673.962.295,00;52.357.700
B3SA3;31/08/2023;13,15;13,15;12,84;12,93;546.609.741,00;42.177.400
B3SA3;30/08/2023;13,59;13,64;13,17;13,22;411.296.253,00;30.862.700
B3SA3;29/08/2023;13,64;13,71;13,37;13,57;547.568.490,00;40.487.700
B3SA3;28/08/2023;13,53;13,64;13,37;13,53;348.134.197,00;25.785.200
B3SA3;25/08/2023;13,65;13,77;13,36;13,49;381.794.209,00;28.296.100
B3SA3;24/08/2023;14,09;14,14;13,62;13,69;423.345.026,00;30.693.400
B3SA3;23/08/2023;13,86;14,21;13,82;14,20;434.202.350,00;30.736.600
B3SA3;22/08/2023;13,63;13,87;13,54;13,86;287.504.861,00;20.868.300
B3SA3;21/08/2023;13,55;13,66;13,45;13,48;226.453.638,00;16.734.600
B3SA3;18/08/2023;13,39;13,81;13,29;13,66;342.687.733,00;25.074.700
B3SA3;17/08/2023;13,85;13,93;13,40;13,43;434.612.068,00;32.051.400
B3SA3;16/08/2023;14,05;14,15;13,76;13,81;359.351.319,00;25.807.500
B3SA3;15/08/2023;14,21;14,21;13,92;14,02;384.225.798,00;27.343.100
B3SA3;14/08/2023;14,12;14,23;13,92;14,11;431.683.724,00;30.614.800
B3SA3;11/08/2023;14,20;14,44;13,96;14,20;413.308.026,00;29.228.100
B3SA3;10/08/2023;14,33;14,49;14,16;14,27;445.608.683,00;31.101.900
B3SA3;09/08/2023;14,30;14,63;14,27;14,30;539.526.909,00;37.414.900
B3SA3;08/08/2023;14,45;14,65;14,24;14,49;362.394.314,00;25.051.000
B3SA3;07/08/2023;14,69;14,79;14,55;14,63;250.715.130,00;17.141.300
