Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBAS3;14/09/2023;47,49;47,69;47,26;47,35;42.034.481,00;885.200
BBAS3;13/09/2023;47,35;47,90;47,13;47,26;349.534.915,00;7.355.500
BBAS3;12/09/2023;47,19;47,62;47,09;47,30;362.054.546,00;7.650.700
BBAS3;11/09/2023;46,80;47,25;46,56;47,10;338.525.050,00;7.166.300
BBAS3;08/09/2023;46,57;46,74;46,02;46,36;359.517.486,00;7.710.500
BBAS3;06/09/2023;46,94;47,17;46,49;46,50;332.802.268,00;7.071.800
BBAS3;05/09/2023;47,07;47,51;46,73;46,82;361.163.094,00;7.624.400
BBAS3;04/09/2023;47,22;47,41;46,90;46,99;170.693.104,00;3.603.300
BBAS3;01/09/2023;46,95;47,41;46,91;47,14;261.852.964,00;5.515.200
BBAS3;31/08/2023;47,66;47,69;46,74;46,82;621.282.850,00;13.156.600
BBAS3;30/08/2023;48,41;48,59;47,51;47,56;275.020.798,00;5.715.000
BBAS3;29/08/2023;48,24;48,94;48,04;48,26;476.587.648,00;9.772.000
BBAS3;28/08/2023;46,88;48,21;46,67;47,99;361.016.084,00;7.552.300
BBAS3;25/08/2023;47,32;47,41;46,13;46,65;419.785.778,00;8.950.100
BBAS3;24/08/2023;47,81;47,81;47,05;47,26;302.403.641,00;6.350.100
BBAS3;23/08/2023;47,82;48,19;47,34;47,89;371.338.617,00;7.733.300
BBAS3;22/08/2023;46,92;47,79;46,80;47,68;371.572.214,00;7.787.400
BBAS3;21/08/2023;47,00;47,05;46,32;46,62;373.135.767,00;7.833.000
BBAS3;18/08/2023;46,58;47,11;46,34;46,79;491.303.548,00;10.282.800
BBAS3;17/08/2023;46,52;46,70;46,19;46,60;434.585.176,00;9.152.700
BBAS3;16/08/2023;45,83;46,73;45,83;46,17;543.786.133,00;11.485.900
BBAS3;15/08/2023;46,15;46,35;45,70;45,78;407.008.205,00;8.668.000
BBAS3;14/08/2023;46,69;46,69;45,96;46,03;308.500.478,00;6.539.100
BBAS3;11/08/2023;46,19;46,66;46,06;46,49;408.300.546,00;8.608.300
BBAS3;10/08/2023;46,11;46,31;45,75;45,99;583.911.007,00;12.415.600
