Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBDC3;14/09/2023;13,22;13,33;13,21;13,24;11.879.428,00;894.400
BBDC3;13/09/2023;13,11;13,33;13,03;13,15;58.734.108,00;4.445.700
BBDC3;12/09/2023;12,98;13,15;12,97;13,11;53.888.947,00;4.119.900
BBDC3;11/09/2023;12,90;13,01;12,80;12,98;42.316.612,00;3.274.700
BBDC3;08/09/2023;12,82;12,91;12,70;12,80;61.765.208,00;4.824.200
BBDC3;06/09/2023;12,97;13,04;12,80;12,80;76.746.129,00;5.965.300
BBDC3;05/09/2023;13,08;13,12;12,93;12,98;65.021.231,00;4.999.800
BBDC3;04/09/2023;13,20;13,25;13,07;13,14;50.714.859,00;3.857.900
BBDC3;01/09/2023;13,25;13,39;13,18;13,20;53.424.010,00;4.033.500
BBDC3;31/08/2023;13,32;13,41;13,17;13,23;101.988.788,00;7.700.800
BBDC3;30/08/2023;13,63;13,63;13,32;13,39;60.255.388,00;4.483.400
BBDC3;29/08/2023;13,58;13,75;13,50;13,56;97.998.648,00;7.198.900
BBDC3;28/08/2023;13,20;13,56;13,12;13,46;72.598.589,00;5.429.700
BBDC3;25/08/2023;13,28;13,33;13,07;13,20;40.161.477,00;3.046.800
BBDC3;24/08/2023;13,50;13,50;13,23;13,27;77.255.747,00;5.795.500
BBDC3;23/08/2023;13,34;13,53;13,34;13,53;84.019.414,00;6.240.900
BBDC3;22/08/2023;13,32;13,41;13,27;13,39;66.304.660,00;4.963.400
BBDC3;21/08/2023;13,28;13,34;13,21;13,30;52.075.674,00;3.917.200
BBDC3;18/08/2023;13,19;13,40;13,16;13,37;48.972.165,00;3.670.400
BBDC3;17/08/2023;13,54;13,54;13,18;13,26;105.089.230,00;7.900.700
BBDC3;16/08/2023;13,62;13,78;13,47;13,50;109.492.326,00;8.043.400
BBDC3;15/08/2023;13,78;13,81;13,57;13,70;77.906.217,00;5.695.300
BBDC3;14/08/2023;13,69;13,82;13,60;13,78;66.085.235,00;4.802.700
BBDC3;11/08/2023;13,86;13,91;13,67;13,79;83.837.241,00;6.083.800
BBDC3;10/08/2023;13,73;13,99;13,72;13,86;48.093.351,00;3.459.500
BBDC3;09/08/2023;13,77;13,80;13,54;13,71;75.743.454,00;5.543.200
BBDC3;08/08/2023;13,74;13,91;13,63;13,81;64.440.179,00;4.663.600
BBDC3;07/08/2023;13,96;14,12;13,74;13,86;70.957.644,00;5.117.800
BBDC3;04/08/2023;14,09;14,37;13,86;13,95;170.148.119,00;12.081.000
BBDC3;03/08/2023;14,93;15,03;14,57;14,65;82.882.827,00;5.627.400
BBDC3;02/08/2023;14,69;14,90;14,64;14,80;60.502.194,00;4.095.700
BBDC3;01/08/2023;14,74;14,84;14,60;14,77;53.880.795,00;3.654.500
BBDC3;31/07/2023;14,86;14,88;14,74;14,82;40.203.444,00;2.708.600
BBDC3;28/07/2023;14,57;14,80;14,51;14,72;47.582.067,00;3.233.600
BBDC3;27/07/2023;14,92;14,94;14,52;14,52;46.323.497,00;3.163.200
BBDC3;26/07/2023;14,73;14,89;14,63;14,85;55.137.311,00;3.724.500
BBDC3;25/07/2023;15,02;15,02;14,60;14,73;67.683.705,00;4.574.500
BBDC3;24/07/2023;14,97;15,15;14,70;14,81;73.664.321,00;4.942.700
BBDC3;21/07/2023;14,71;15,07;14,67;15,07;91.329.657,00;6.097.900
BBDC3;20/07/2023;14,58;14,65;14,45;14,65;34.027.671,00;2.331.200
BBDC3;19/07/2023;14,59;14,68;14,40;14,56;36.385.881,00;2.497.800
BBDC3;18/07/2023;14,53;14,71;14,52;14,60;47.016.727,00;3.212.100
BBDC3;17/07/2023;14,32;14,71;14,32;14,66;36.722.336,00;2.507.000
BBDC3;14/07/2023;14,48;14,64;14,42;14,49;42.806.111,00;2.942.700
BBDC3;13/07/2023;14,26;14,72;14,22;14,55;62.289.719,00;4.262.500
BBDC3;12/07/2023;14,32;14,46;14,20;14,26;53.494.663,00;3.731.800
BBDC3;11/07/2023;14,39;14,46;14,09;14,35;57.211.128,00;3.990.400
BBDC3;10/07/2023;14,47;14,56;14,39;14,48;36.886.217,00;2.541.100
BBDC3;07/07/2023;14,35;14,65;14,35;14,47;47.722.627,00;3.277.600
BBDC3;06/07/2023;14,57;14,64;14,30;14,32;73.491.077,00;5.104.500
BBDC3;05/07/2023;14,54;14,74;14,52;14,66;45.310.116,00;3.087.700
BBDC3;04/07/2023;14,80;14,83;14,60;14,64;34.926.106,00;2.373.300
BBDC3;03/07/2023;14,70;14,85;14,66;14,78;64.513.969,00;4.351.800
