Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBSE3;14/09/2023;32,00;32,22;31,75;31,84;26.344.958,00;822.800
BBSE3;13/09/2023;31,93;32,03;31,73;31,92;189.085.384,00;5.930.400
BBSE3;12/09/2023;31,82;32,03;31,65;31,95;110.902.521,00;3.475.200
BBSE3;11/09/2023;31,35;31,97;31,29;31,79;143.010.391,00;4.519.300
BBSE3;08/09/2023;31,10;31,44;30,96;31,11;106.482.466,00;3.412.000
BBSE3;06/09/2023;31,32;31,39;30,70;31,09;134.536.093,00;4.323.600
BBSE3;05/09/2023;31,41;31,79;31,21;31,32;165.864.861,00;5.261.900
BBSE3;04/09/2023;31,18;31,44;31,00;31,38;78.106.279,00;2.495.600
BBSE3;01/09/2023;30,56;31,35;30,50;31,03;229.271.391,00;7.366.700
BBSE3;31/08/2023;30,94;31,00;30,35;30,38;147.163.704,00;4.829.500
BBSE3;30/08/2023;31,20;31,20;30,60;30,79;100.997.137,00;3.277.500
BBSE3;29/08/2023;30,81;31,22;30,73;31,05;137.221.915,00;4.428.000
BBSE3;28/08/2023;30,54;30,77;30,39;30,76;85.924.223,00;2.810.400
BBSE3;25/08/2023;30,36;30,59;30,26;30,34;116.049.220,00;3.815.200
BBSE3;24/08/2023;30,15;30,44;30,10;30,34;125.493.096,00;4.140.500
BBSE3;23/08/2023;29,96;30,19;29,89;30,15;119.038.751,00;3.960.700
BBSE3;22/08/2023;30,00;30,13;29,70;29,96;114.483.244,00;3.824.000
BBSE3;21/08/2023;29,94;29,97;29,60;29,89;119.884.447,00;4.026.900
BBSE3;18/08/2023;29,66;30,00;29,44;29,88;132.822.481,00;4.451.600
BBSE3;17/08/2023;30,79;30,79;29,63;29,66;495.920.682,00;16.545.700
BBSE3;16/08/2023;31,06;31,29;30,75;30,93;228.760.922,00;7.004.300
BBSE3;15/08/2023;31,29;31,31;30,90;30,94;186.293.635,00;5.697.500
BBSE3;14/08/2023;30,99;31,28;30,95;31,15;186.317.662,00;5.685.000
BBSE3;11/08/2023;30,78;31,04;30,57;30,87;140.354.310,00;4.329.000
BBSE3;10/08/2023;30,81;30,87;30,60;30,66;124.730.524,00;3.862.400
BBSE3;09/08/2023;30,51;30,74;30,26;30,57;154.048.338,00;4.795.700
BBSE3;08/08/2023;30,80;30,81;30,41;30,47;167.730.449,00;5.216.500
BBSE3;07/08/2023;30,68;31,28;30,50;30,67;280.993.149,00;8.692.700
BBSE3;04/08/2023;29,77;30,40;29,73;29,95;154.991.367,00;4.899.300
BBSE3;03/08/2023;29,80;29,92;29,59;29,77;110.128.743,00;3.514.500
BBSE3;02/08/2023;29,74;29,83;29,64;29,73;69.850.894,00;2.233.700
BBSE3;01/08/2023;29,58;29,84;29,45;29,72;125.147.618,00;4.007.500
BBSE3;31/07/2023;29,73;29,85;29,57;29,58;87.799.429,00;2.812.500
BBSE3;28/07/2023;29,47;29,80;29,37;29,73;79.224.374,00;2.538.200
BBSE3;27/07/2023;29,80;30,01;29,32;29,34;89.438.577,00;2.880.400
BBSE3;26/07/2023;29,66;29,92;29,61;29,85;87.199.207,00;2.786.000
BBSE3;25/07/2023;30,01;30,19;29,59;29,65;153.436.818,00;4.899.500
BBSE3;24/07/2023;29,47;29,97;29,47;29,92;123.456.603,00;3.937.700
BBSE3;21/07/2023;29,30;29,60;29,28;29,52;179.173.429,00;5.775.900
BBSE3;20/07/2023;28,82;29,30;28,77;29,19;139.818.903,00;4.573.600
BBSE3;19/07/2023;28,67;29,06;28,33;28,69;232.496.866,00;7.722.400
BBSE3;18/07/2023;29,02;29,13;28,55;28,64;234.096.792,00;7.746.000
BBSE3;17/07/2023;28,94;29,14;28,81;28,97;391.598.867,00;12.850.900
BBSE3;14/07/2023;29,21;29,32;28,80;28,94;136.727.039,00;4.482.400
BBSE3;13/07/2023;29,21;29,57;29,01;29,15;144.796.824,00;4.698.800
BBSE3;12/07/2023;29,61;29,66;29,16;29,22;187.771.694,00;6.083.500
BBSE3;11/07/2023;29,66;29,82;29,29;29,56;188.474.662,00;6.068.900
BBSE3;10/07/2023;29,82;30,21;29,53;29,64;127.660.292,00;4.067.500
BBSE3;07/07/2023;29,75;30,01;29,66;29,77;115.604.698,00;3.682.400
BBSE3;06/07/2023;29,95;30,12;29,59;29,72;125.457.940,00;4.003.400
BBSE3;05/07/2023;30,17;30,24;29,76;29,95;110.398.570,00;3.506.800
BBSE3;04/07/2023;30,02;30,43;30,00;30,07;95.840.167,00;3.016.900
BBSE3;03/07/2023;29,56;29,95;29,30;29,95;296.467.391,00;9.507.200
BBSE3;30/06/2023;29,33;29,54;29,12;29,25;210.204.895,00;6.813.700
BBSE3;29/06/2023;29,09;29,48;29,09;29,26;224.028.786,00;7.269.700
BBSE3;28/06/2023;28,62;29,16;28,62;29,03;223.565.530,00;7.328.100
BBSE3;27/06/2023;28,29;28,88;28,29;28,62;276.689.767,00;9.178.100
BBSE3;26/06/2023;28,61;28,69;27,77;28,23;364.647.919,00;12.327.800
BBSE3;23/06/2023;28,96;29,20;28,86;29,08;106.532.929,00;3.484.600
BBSE3;22/06/2023;28,83;28,99;28,74;28,89;123.205.544,00;4.053.100
BBSE3;21/06/2023;28,77;29,03;28,50;28,84;252.194.083,00;8.316.800
BBSE3;20/06/2023;28,76;28,85;28,38;28,74;241.477.304,00;8.016.700
BBSE3;19/06/2023;28,95;29,10;28,59;28,76;199.378.521,00;6.581.900
BBSE3;16/06/2023;29,09;29,28;28,83;28,95;312.284.654,00;10.247.100
BBSE3;15/06/2023;29,02;29,41;28,91;29,07;208.245.792,00;6.783.500
BBSE3;14/06/2023;29,16;29,17;28,80;29,02;326.387.574,00;10.711.600
BBSE3;13/06/2023;29,39;29,43;28,96;29,10;206.046.136,00;6.727.000
BBSE3;12/06/2023;29,66;29,73;29,31;29,31;174.432.365,00;5.629.100
BBSE3;09/06/2023;29,64;29,86;29,53;29,53;255.731.159,00;8.195.500
BBSE3;07/06/2023;29,49;29,72;29,32;29,46;255.197.818,00;8.217.300
BBSE3;06/06/2023;29,52;29,73;29,27;29,46;157.732.293,00;5.084.400
BBSE3;05/06/2023;29,46;29,88;29,40;29,51;127.988.565,00;4.112.300
BBSE3;02/06/2023;29,14;29,65;28,86;29,46;260.317.604,00;8.471.700
BBSE3;01/06/2023;29,48;29,52;28,96;29,01;241.965.704,00;7.877.100
BBSE3;31/05/2023;30,04;30,04;29,38;29,40;280.011.300,00;9.017.400
BBSE3;30/05/2023;30,66;30,69;30,04;30,12;151.543.742,00;4.764.500
BBSE3;29/05/2023;30,41;30,72;30,27;30,50;77.581.099,00;2.418.100
BBSE3;26/05/2023;30,42;30,55;30,11;30,32;173.664.098,00;5.439.100
BBSE3;25/05/2023;29,94;30,37;29,77;30,24;283.328.360,00;8.935.400
BBSE3;24/05/2023;29,28;29,90;29,04;29,82;277.855.830,00;8.976.700
BBSE3;23/05/2023;29,49;29,53;28,91;29,25;336.249.030,00;10.932.200
BBSE3;22/05/2023;29,38;29,66;29,14;29,40;155.682.402,00;5.036.400
BBSE3;19/05/2023;29,64;29,64;28,79;29,37;381.801.001,00;12.445.200
BBSE3;18/05/2023;30,39;30,46;29,67;29,77;218.263.263,00;6.941.100
BBSE3;17/05/2023;30,71;30,85;30,11;30,39;170.233.971,00;5.331.500
BBSE3;16/05/2023;30,64;31,15;30,55;30,56;158.584.385,00;4.898.900
BBSE3;15/05/2023;32,25;32,26;30,47;30,55;610.808.652,00;18.795.500
BBSE3;12/05/2023;32,13;32,61;31,99;32,47;86.153.129,00;2.529.500
BBSE3;11/05/2023;32,04;32,52;31,92;32,29;135.695.252,00;4.006.400
BBSE3;10/05/2023;31,88;32,24;31,78;32,13;93.472.834,00;2.769.800
BBSE3;09/05/2023;31,74;32,04;31,66;32,04;117.804.258,00;3.507.900
BBSE3;08/05/2023;31,72;32,24;31,51;31,78;173.138.924,00;5.180.500
BBSE3;05/05/2023;31,46;31,89;31,20;31,83;157.083.003,00;4.723.300
BBSE3;04/05/2023;31,87;32,00;30,75;31,48;230.479.268,00;7.005.300
BBSE3;03/05/2023;32,43;32,52;31,80;31,86;122.883.184,00;3.648.600
BBSE3;02/05/2023;32,49;32,84;32,29;32,53;150.735.773,00;4.408.600
BBSE3;28/04/2023;32,64;33,01;32,26;32,61;188.432.307,00;5.490.300
BBSE3;27/04/2023;33,08;33,16;32,55;32,66;102.074.474,00;2.964.600
BBSE3;26/04/2023;32,88;33,07;32,62;33,05;87.457.942,00;2.525.000
BBSE3;25/04/2023;32,83;33,08;32,73;33,03;196.078.125,00;5.663.100
BBSE3;24/04/2023;33,05;33,41;32,66;32,84;174.931.720,00;5.056.600
BBSE3;20/04/2023;32,99;33,22;32,77;33,04;133.374.985,00;3.848.600
BBSE3;19/04/2023;32,93;33,32;32,64;32,87;261.230.840,00;7.539.300
BBSE3;18/04/2023;32,89;32,92;32,44;32,90;154.282.044,00;4.484.800
BBSE3;17/04/2023;33,15;33,33;32,66;32,89;137.289.629,00;3.960.600
BBSE3;14/04/2023;33,06;33,24;32,85;33,18;115.709.496,00;3.323.700
BBSE3;13/04/2023;33,75;33,78;32,90;33,20;213.226.641,00;6.110.500
BBSE3;12/04/2023;33,40;34,04;32,89;33,62;257.764.342,00;7.290.200
BBSE3;11/04/2023;32,98;33,78;32,98;33,24;218.554.796,00;6.233.000
BBSE3;10/04/2023;32,37;33,13;32,37;32,90;144.262.522,00;4.172.900
BBSE3;06/04/2023;30,87;32,53;30,87;32,37;280.238.104,00;8.288.800
BBSE3;05/04/2023;31,56;31,72;30,80;31,04;127.370.776,00;3.901.200
BBSE3;04/04/2023;30,71;31,70;30,61;31,50;201.360.658,00;6.088.300
BBSE3;03/04/2023;30,90;31,07;30,32;30,62;120.164.271,00;3.739.400
BBSE3;31/03/2023;31,17;31,23;30,52;30,90;224.291.704,00;6.909.500
BBSE3;30/03/2023;31,39;31,50;30,71;30,96;122.560.902,00;3.767.600
BBSE3;29/03/2023;31,84;31,92;30,77;31,20;163.533.979,00;4.984.300
BBSE3;28/03/2023;31,26;32,17;31,25;31,71;188.880.316,00;5.643.600
BBSE3;27/03/2023;31,67;31,73;31,05;31,17;88.374.214,00;2.683.100
BBSE3;24/03/2023;31,08;31,65;30,89;31,44;143.924.848,00;4.354.100
BBSE3;23/03/2023;31,03;32,03;30,83;31,04;172.952.470,00;5.242.400
BBSE3;22/03/2023;30,79;31,07;30,73;30,80;127.426.445,00;3.923.800
BBSE3;21/03/2023;30,66;30,86;30,50;30,71;128.280.307,00;3.975.000
BBSE3;20/03/2023;30,82;30,89;30,39;30,66;154.627.605,00;4.802.800
BBSE3;17/03/2023;31,09;31,27;30,69;30,82;245.112.852,00;7.551.200
BBSE3;16/03/2023;31,23;31,49;31,07;31,37;137.368.276,00;4.176.000
BBSE3;15/03/2023;31,39;31,45;31,07;31,23;160.754.737,00;4.892.300
BBSE3;14/03/2023;31,65;31,78;31,35;31,61;150.774.124,00;4.541.800
BBSE3;13/03/2023;31,99;32,10;31,46;31,60;204.335.977,00;6.122.700
BBSE3;10/03/2023;32,83;32,91;31,98;32,33;145.393.706,00;4.270.600
BBSE3;09/03/2023;33,11;33,39;32,75;32,87;164.706.781,00;4.743.500
BBSE3;08/03/2023;33,14;33,40;32,61;33,14;282.950.120,00;8.157.900
BBSE3;07/03/2023;33,16;33,27;32,91;33,15;174.290.606,00;4.998.600
BBSE3;06/03/2023;32,62;33,60;32,54;33,16;274.721.460,00;7.881.900
BBSE3;03/03/2023;32,86;32,95;32,18;32,39;162.377.140,00;4.753.100
