Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BEEF3;14/09/2023;8,78;8,85;8,67;8,67;12.643.339,00;1.443.000
BEEF3;13/09/2023;8,63;8,77;8,59;8,71;64.855.290,00;7.443.000
BEEF3;12/09/2023;8,59;8,62;8,45;8,60;77.588.189,00;9.044.100
BEEF3;11/09/2023;8,73;8,77;8,39;8,56;171.501.512,00;20.123.700
BEEF3;08/09/2023;8,69;8,73;8,40;8,70;99.628.704,00;11.662.500
BEEF3;06/09/2023;9,02;9,05;8,70;8,73;155.155.277,00;17.613.400
BEEF3;05/09/2023;8,93;9,12;8,83;8,99;151.765.235,00;16.836.800
BEEF3;04/09/2023;8,60;8,98;8,60;8,95;102.168.846,00;11.495.500
BEEF3;01/09/2023;8,43;8,75;8,42;8,56;127.719.334,00;14.906.600
BEEF3;31/08/2023;8,66;8,69;8,34;8,40;199.721.813,00;23.642.200
BEEF3;30/08/2023;9,05;9,08;8,50;8,60;293.726.404,00;33.433.300
BEEF3;29/08/2023;9,16;9,65;8,91;8,91;637.908.699,00;69.457.500
BEEF3;28/08/2023;10,45;10,90;10,43;10,90;70.233.874,00;6.513.200
BEEF3;25/08/2023;10,68;10,76;10,34;10,46;81.440.957,00;7.763.300
BEEF3;24/08/2023;10,96;11,00;10,66;10,72;67.956.664,00;6.292.700
BEEF3;23/08/2023;11,20;11,34;10,91;10,96;101.555.463,00;9.175.000
BEEF3;22/08/2023;10,65;11,24;10,60;11,20;180.183.575,00;16.273.200
BEEF3;21/08/2023;10,66;10,76;10,49;10,57;94.021.126,00;8.895.400
BEEF3;18/08/2023;10,61;10,80;10,36;10,66;66.430.391,00;6.238.400
BEEF3;17/08/2023;10,48;10,83;10,47;10,60;129.010.798,00;12.084.100
BEEF3;16/08/2023;10,22;10,57;10,21;10,44;68.383.221,00;6.551.700
BEEF3;15/08/2023;10,25;10,53;10,10;10,24;139.924.503,00;13.525.000
BEEF3;14/08/2023;10,63;10,68;10,27;10,29;87.363.320,00;8.257.800
BEEF3;11/08/2023;10,86;11,02;10,54;10,61;76.877.959,00;7.033.800
BEEF3;10/08/2023;10,42;11,09;10,37;10,85;148.144.332,00;13.479.900
BEEF3;09/08/2023;10,42;10,58;10,23;10,55;63.611.550,00;5.970.400
BEEF3;08/08/2023;10,34;10,49;10,21;10,41;33.449.171,00;3.154.900
BEEF3;07/08/2023;10,50;10,55;10,26;10,42;123.279.263,00;11.610.100
BEEF3;04/08/2023;10,33;10,53;10,30;10,50;72.565.147,00;6.817.100
BEEF3;03/08/2023;10,16;10,40;10,10;10,34;83.489.606,00;7.964.000
BEEF3;02/08/2023;10,01;10,13;9,85;10,05;75.754.209,00;7.401.400
BEEF3;01/08/2023;9,94;10,22;9,93;10,03;87.336.660,00;8.496.900
BEEF3;31/07/2023;9,64;9,96;9,62;9,90;103.043.006,00;10.276.500
BEEF3;28/07/2023;9,42;9,67;9,39;9,60;61.773.464,00;6.348.200
BEEF3;27/07/2023;9,35;9,54;9,29;9,37;51.533.806,00;5.364.700
BEEF3;26/07/2023;9,18;9,36;9,07;9,32;96.420.529,00;10.241.800
BEEF3;25/07/2023;9,48;9,56;9,08;9,17;171.099.590,00;18.171.900
BEEF3;24/07/2023;9,87;9,92;9,37;9,42;122.713.076,00;12.591.100
BEEF3;21/07/2023;9,65;9,91;9,58;9,85;67.479.065,00;6.758.400
BEEF3;20/07/2023;9,57;9,85;9,50;9,66;84.696.812,00;8.610.600
