Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BPAC11;14/09/2023;33,19;33,21;32,52;32,64;26.685.990,00;810.000
BPAC11;13/09/2023;31,65;33,16;31,60;32,84;569.334.227,00;17.339.400
BPAC11;12/09/2023;31,04;31,84;30,98;31,65;188.640.537,00;5.964.000
BPAC11;11/09/2023;30,94;31,13;30,42;30,98;181.849.661,00;5.891.500
BPAC11;08/09/2023;30,87;31,08;30,53;30,66;182.260.117,00;5.922.100
BPAC11;06/09/2023;31,47;31,69;30,71;30,96;175.381.549,00;5.649.300
BPAC11;05/09/2023;31,49;31,99;31,11;31,46;284.883.908,00;9.013.000
BPAC11;04/09/2023;32,18;32,60;31,56;31,77;167.001.826,00;5.225.800
BPAC11;01/09/2023;32,49;33,12;32,25;32,30;317.016.156,00;9.738.300
BPAC11;31/08/2023;32,69;32,85;32,04;32,47;213.070.760,00;6.583.900
BPAC11;30/08/2023;33,26;33,46;32,67;32,86;162.981.934,00;4.952.600
BPAC11;29/08/2023;32,77;33,20;32,40;33,14;190.390.370,00;5.775.400
BPAC11;28/08/2023;32,47;32,83;31,98;32,45;187.667.176,00;5.801.500
BPAC11;25/08/2023;32,71;32,76;31,57;32,20;254.203.274,00;7.944.100
BPAC11;24/08/2023;32,66;33,04;32,43;32,61;406.287.116,00;12.405.700
BPAC11;23/08/2023;31,60;32,87;31,46;32,67;354.888.460,00;10.987.400
BPAC11;22/08/2023;30,87;31,53;30,80;31,48;346.923.394,00;11.121.400
BPAC11;21/08/2023;30,45;30,97;30,21;30,45;230.896.958,00;7.582.900
BPAC11;18/08/2023;29,94;30,92;29,82;30,70;267.002.727,00;8.702.300
BPAC11;17/08/2023;31,30;31,32;30,03;30,25;362.684.977,00;11.909.800
BPAC11;16/08/2023;31,97;32,33;30,93;31,09;339.542.872,00;10.794.800
BPAC11;15/08/2023;32,82;32,82;31,66;31,79;238.841.314,00;7.434.400
BPAC11;14/08/2023;32,59;32,65;31,76;32,64;678.028.882,00;20.857.500
BPAC11;11/08/2023;32,85;32,90;32,10;32,28;266.966.641,00;8.236.900
BPAC11;10/08/2023;33,01;33,58;32,60;32,85;388.011.285,00;11.736.100
BPAC11;09/08/2023;33,22;33,32;32,23;32,92;547.888.532,00;16.620.400
BPAC11;08/08/2023;32,01;33,24;31,30;33,00;299.024.658,00;9.122.700
BPAC11;07/08/2023;32,65;33,17;32,51;33,01;250.120.950,00;7.606.200
BPAC11;04/08/2023;32,86;33,37;32,49;32,61;218.870.374,00;6.595.500
BPAC11;03/08/2023;33,17;33,88;32,77;33,04;313.029.821,00;9.324.000
BPAC11;02/08/2023;33,15;33,34;32,31;32,87;289.145.625,00;8.727.600
BPAC11;01/08/2023;33,43;33,60;32,81;33,45;206.541.508,00;6.144.300
BPAC11;31/07/2023;33,40;33,81;33,30;33,66;225.202.806,00;6.635.800
BPAC11;28/07/2023;33,38;33,64;32,96;33,49;130.378.633,00;3.876.500
BPAC11;27/07/2023;33,46;33,96;33,07;33,20;244.387.563,00;7.235.900
BPAC11;26/07/2023;33,26;33,61;32,86;33,48;196.666.433,00;5.849.000
BPAC11;25/07/2023;33,65;34,01;33,00;33,21;330.947.245,00;9.818.100
BPAC11;24/07/2023;33,48;33,75;33,00;33,35;249.811.901,00;7.437.300
BPAC11;21/07/2023;33,13;34,12;33,03;33,73;294.529.407,00;8.615.200
BPAC11;20/07/2023;32,85;33,02;32,35;32,97;237.562.714,00;7.175.600
BPAC11;19/07/2023;32,96;32,96;32,23;32,55;274.655.932,00;8.351.100
