Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRAP4;14/09/2023;23,08;23,75;23,07;23,72;47.462.318,00;2.025.600
BRAP4;13/09/2023;22,56;22,69;22,41;22,45;46.491.214,00;2.060.200
BRAP4;12/09/2023;22,58;22,76;22,46;22,60;75.714.246,00;3.347.600
BRAP4;11/09/2023;22,90;22,96;22,31;22,56;249.148.306,00;11.049.100
BRAP4;08/09/2023;22,99;22,99;22,67;22,86;59.683.212,00;2.611.700
BRAP4;06/09/2023;23,65;23,67;23,21;23,38;47.145.964,00;2.016.700
BRAP4;05/09/2023;23,89;23,90;23,47;23,65;125.691.584,00;5.317.800
BRAP4;04/09/2023;23,70;24,05;23,60;23,95;68.251.203,00;2.853.900
BRAP4;01/09/2023;22,94;23,68;22,92;23,63;104.754.386,00;4.477.200
BRAP4;31/08/2023;22,78;22,81;22,43;22,50;55.712.779,00;2.467.500
BRAP4;30/08/2023;22,55;22,79;22,42;22,55;45.077.572,00;1.998.500
BRAP4;29/08/2023;21,94;22,52;21,81;22,47;50.231.586,00;2.254.900
BRAP4;28/08/2023;21,52;21,94;21,52;21,80;28.733.947,00;1.316.600
BRAP4;25/08/2023;21,60;21,67;21,40;21,51;27.717.075,00;1.288.100
BRAP4;24/08/2023;21,85;21,89;21,54;21,57;33.016.019,00;1.526.900
BRAP4;23/08/2023;21,90;22,00;21,80;22,00;51.648.813,00;2.356.100
BRAP4;22/08/2023;21,56;21,82;21,43;21,72;125.771.764,00;5.829.200
BRAP4;21/08/2023;21,32;21,45;21,24;21,33;40.506.431,00;1.898.700
BRAP4;18/08/2023;21,38;21,63;21,30;21,31;35.851.045,00;1.674.200
BRAP4;17/08/2023;21,71;21,77;21,48;21,51;66.082.143,00;3.054.300
BRAP4;16/08/2023;21,43;21,62;21,18;21,21;116.986.184,00;5.478.000
BRAP4;15/08/2023;22,06;22,08;21,41;21,41;68.468.112,00;3.171.300
BRAP4;14/08/2023;22,54;22,58;21,77;21,89;98.469.435,00;4.468.000
BRAP4;11/08/2023;22,83;22,94;22,52;22,72;72.605.470,00;3.201.300
BRAP4;10/08/2023;23,01;23,02;22,65;22,78;56.104.819,00;2.463.500
BRAP4;09/08/2023;22,83;23,18;22,73;22,93;63.987.973,00;2.790.200
BRAP4;08/08/2023;23,00;23,29;22,82;23,06;65.129.995,00;2.831.000
BRAP4;07/08/2023;23,20;23,36;22,96;23,32;39.462.907,00;1.698.700
BRAP4;04/08/2023;23,08;23,59;23,08;23,26;51.766.381,00;2.214.500
BRAP4;03/08/2023;23,05;23,33;22,96;23,17;39.489.584,00;1.704.900
BRAP4;02/08/2023;23,20;23,20;22,91;23,10;54.337.285,00;2.359.100
BRAP4;01/08/2023;23,37;23,49;23,15;23,40;63.565.908,00;2.718.800
BRAP4;31/07/2023;23,17;23,57;23,11;23,49;72.697.829,00;3.103.500
BRAP4;28/07/2023;23,70;23,88;22,98;23,06;90.512.055,00;3.887.700
BRAP4;27/07/2023;24,01;24,10;23,57;23,78;46.425.375,00;1.951.500
BRAP4;26/07/2023;24,02;24,27;23,83;24,11;59.414.248,00;2.469.600
BRAP4;25/07/2023;23,76;24,28;23,76;24,17;136.619.851,00;5.659.400
BRAP4;24/07/2023;22,69;23,41;22,60;23,29;71.245.610,00;3.079.800
BRAP4;21/07/2023;22,61;22,76;22,47;22,76;34.356.675,00;1.516.100
BRAP4;20/07/2023;22,75;22,91;22,51;22,59;44.265.713,00;1.953.000
BRAP4;19/07/2023;22,73;22,73;22,32;22,50;54.608.142,00;2.427.700
BRAP4;18/07/2023;22,71;22,76;22,42;22,74;45.515.189,00;2.011.100
BRAP4;17/07/2023;22,78;22,78;22,31;22,63;39.250.575,00;1.739.900
BRAP4;14/07/2023;23,06;23,09;22,70;22,83;54.429.450,00;2.377.800
BRAP4;13/07/2023;22,68;23,08;22,66;22,82;63.048.577,00;2.752.100
BRAP4;12/07/2023;22,61;22,81;22,42;22,42;70.124.443,00;3.109.300
BRAP4;11/07/2023;21,92;22,34;21,84;22,31;139.861.122,00;6.341.000
BRAP4;10/07/2023;22,01;22,02;21,71;21,85;50.778.922,00;2.322.200
BRAP4;07/07/2023;21,94;22,29;21,85;22,14;121.874.912,00;5.514.100
BRAP4;06/07/2023;21,95;22,15;21,86;21,95;79.683.434,00;3.625.700
BRAP4;05/07/2023;22,03;22,18;21,85;22,06;105.520.961,00;4.796.000
BRAP4;04/07/2023;22,19;22,27;22,08;22,11;43.099.549,00;1.943.600
BRAP4;03/07/2023;22,29;22,37;22,06;22,20;151.716.588,00;6.830.200
BRAP4;30/06/2023;22,43;22,71;22,16;22,21;72.097.593,00;3.229.700
BRAP4;29/06/2023;22,08;22,45;22,00;22,39;93.436.414,00;4.190.900
BRAP4;28/06/2023;22,90;22,94;22,04;22,13;100.553.416,00;4.503.400
BRAP4;27/06/2023;23,19;23,36;22,84;22,98;75.415.105,00;3.268.200
BRAP4;26/06/2023;22,79;23,05;22,63;22,95;48.489.882,00;2.119.300
BRAP4;23/06/2023;22,76;22,90;22,66;22,83;56.834.114,00;2.491.700
BRAP4;22/06/2023;23,14;23,43;22,89;22,94;42.134.825,00;1.827.700
BRAP4;21/06/2023;23,20;23,28;23,04;23,21;50.751.781,00;2.191.700
BRAP4;20/06/2023;23,64;23,67;23,12;23,36;75.882.555,00;3.258.500
BRAP4;19/06/2023;23,46;23,84;23,45;23,73;34.484.498,00;1.453.500
BRAP4;16/06/2023;23,74;23,96;23,63;23,63;66.684.254,00;2.807.200
BRAP4;15/06/2023;23,66;23,80;23,39;23,68;57.638.564,00;2.443.100
BRAP4;14/06/2023;23,06;23,68;22,95;23,56;149.206.496,00;6.385.100
BRAP4;13/06/2023;22,90;22,97;22,64;22,70;45.971.978,00;2.019.800
BRAP4;12/06/2023;22,67;22,67;22,35;22,55;116.446.741,00;5.173.100
BRAP4;09/06/2023;22,71;23,12;22,67;22,80;125.443.220,00;5.468.800
BRAP4;07/06/2023;22,48;22,54;22,20;22,47;75.741.074,00;3.382.200
BRAP4;06/06/2023;22,43;22,63;22,35;22,39;63.504.081,00;2.825.100
BRAP4;05/06/2023;22,51;22,55;22,18;22,33;71.904.717,00;3.214.800
BRAP4;02/06/2023;22,26;22,64;22,22;22,44;97.329.199,00;4.343.900
BRAP4;01/06/2023;21,60;21,92;21,24;21,53;74.089.080,00;3.429.100
BRAP4;31/05/2023;21,40;21,50;21,16;21,29;53.147.985,00;2.497.900
BRAP4;30/05/2023;22,13;22,19;21,31;21,43;67.285.688,00;3.125.400
BRAP4;29/05/2023;22,31;22,50;21,90;22,02;55.984.269,00;2.525.200
BRAP4;26/05/2023;21,90;22,22;21,75;22,02;87.357.153,00;3.966.000
BRAP4;25/05/2023;21,64;21,74;21,36;21,42;53.168.668,00;2.469.400
BRAP4;24/05/2023;21,70;21,75;21,37;21,47;66.751.729,00;3.100.500
BRAP4;23/05/2023;22,41;22,42;21,89;21,90;122.111.369,00;5.524.400
BRAP4;22/05/2023;22,58;22,73;22,31;22,57;92.582.066,00;4.109.400
BRAP4;19/05/2023;23,06;23,09;22,73;22,74;80.506.076,00;3.518.800
BRAP4;18/05/2023;22,88;22,99;22,61;22,94;47.573.725,00;2.087.300
BRAP4;17/05/2023;22,43;22,97;22,43;22,90;90.455.235,00;3.969.100
BRAP4;16/05/2023;22,35;22,44;22,06;22,06;126.921.009,00;5.723.100
BRAP4;15/05/2023;22,06;22,47;21,94;22,30;103.823.099,00;4.674.300
BRAP4;12/05/2023;22,05;22,09;21,75;21,79;116.270.369,00;5.312.800
BRAP4;11/05/2023;22,34;22,35;21,90;22,08;81.918.691,00;3.715.700
BRAP4;10/05/2023;23,00;23,05;22,44;22,67;41.503.011,00;1.832.900
