Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRFS3;14/09/2023;9,25;9,39;9,18;9,21;29.680.870,00;3.198.800
BRFS3;13/09/2023;8,95;9,35;8,92;9,25;159.516.956,00;17.324.900
BRFS3;12/09/2023;8,74;9,03;8,56;8,93;130.436.294,00;14.853.300
BRFS3;11/09/2023;8,88;8,98;8,65;8,74;133.879.373,00;15.256.400
BRFS3;08/09/2023;9,04;9,09;8,58;8,86;153.621.657,00;17.568.000
BRFS3;06/09/2023;9,38;9,45;9,02;9,04;106.629.169,00;11.662.800
BRFS3;05/09/2023;9,37;9,60;9,21;9,38;135.919.094,00;14.403.300
BRFS3;04/09/2023;9,03;9,49;8,96;9,37;144.931.390,00;15.549.100
BRFS3;01/09/2023;9,04;9,39;9,00;9,07;618.184.727,00;67.892.000
BRFS3;31/08/2023;9,38;9,39;8,90;9,04;164.140.439,00;18.173.200
BRFS3;30/08/2023;9,58;9,64;9,37;9,42;138.911.362,00;14.636.300
BRFS3;29/08/2023;10,23;10,32;9,22;9,62;356.650.166,00;36.699.100
BRFS3;28/08/2023;9,42;9,76;9,32;9,66;193.395.926,00;20.106.400
BRFS3;25/08/2023;9,71;9,72;9,33;9,41;126.800.687,00;13.441.400
BRFS3;24/08/2023;9,71;9,88;9,53;9,73;142.049.245,00;14.624.600
BRFS3;23/08/2023;9,93;9,99;9,61;9,72;155.913.552,00;16.052.100
BRFS3;22/08/2023;9,96;10,07;9,82;9,95;114.290.479,00;11.498.700
BRFS3;21/08/2023;10,06;10,11;9,80;9,93;176.646.673,00;17.815.200
BRFS3;18/08/2023;10,00;10,23;9,87;10,20;149.215.898,00;14.797.100
BRFS3;17/08/2023;10,34;10,52;9,97;10,05;188.859.168,00;18.657.700
BRFS3;16/08/2023;10,57;10,70;10,10;10,30;211.691.005,00;20.396.500
BRFS3;15/08/2023;9,84;10,60;9,82;10,53;332.064.485,00;32.117.200
