Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRKM5;14/09/2023;22,48;22,57;22,17;22,31;11.747.811,00;525.300
BRKM5;13/09/2023;22,78;23,06;22,37;22,43;77.454.257,00;3.419.100
BRKM5;12/09/2023;23,30;23,60;22,80;22,85;97.867.300,00;4.254.300
BRKM5;11/09/2023;24,25;24,42;23,32;23,38;101.092.679,00;4.294.600
BRKM5;08/09/2023;23,70;24,48;23,38;24,15;115.186.917,00;4.786.000
BRKM5;06/09/2023;22,59;24,05;22,43;23,85;146.216.134,00;6.238.100
BRKM5;05/09/2023;22,54;22,75;22,03;22,63;74.775.234,00;3.329.900
BRKM5;04/09/2023;22,04;22,99;21,45;22,57;61.506.925,00;2.740.600
BRKM5;01/09/2023;22,19;22,47;22,05;22,31;71.594.384,00;3.214.700
BRKM5;31/08/2023;22,46;22,71;22,12;22,24;43.886.959,00;1.959.100
BRKM5;30/08/2023;22,38;22,94;22,38;22,58;57.322.562,00;2.530.600
BRKM5;29/08/2023;22,49;22,68;21,23;22,52;127.698.117,00;5.802.200
BRKM5;28/08/2023;22,05;22,73;21,95;22,59;71.028.399,00;3.177.700
BRKM5;25/08/2023;22,57;22,71;22,04;22,13;57.695.657,00;2.600.500
BRKM5;24/08/2023;22,72;22,77;22,26;22,65;46.872.535,00;2.081.700
BRKM5;23/08/2023;22,70;23,00;22,41;22,88;62.428.491,00;2.740.400
BRKM5;22/08/2023;22,40;22,73;22,10;22,64;61.812.271,00;2.756.900
BRKM5;21/08/2023;23,01;23,01;22,27;22,34;57.175.481,00;2.545.300
BRKM5;18/08/2023;22,50;23,06;22,50;23,01;54.701.411,00;2.388.300
BRKM5;17/08/2023;23,01;23,34;22,53;22,67;76.312.632,00;3.346.500
BRKM5;16/08/2023;23,77;23,89;22,91;22,96;108.659.358,00;4.689.100
BRKM5;15/08/2023;23,61;24,40;23,43;23,75;83.270.228,00;3.492.500
BRKM5;14/08/2023;24,08;24,15;23,56;23,56;74.094.831,00;3.122.600
BRKM5;11/08/2023;24,69;24,95;23,93;24,13;99.447.852,00;4.107.700
BRKM5;10/08/2023;23,49;25,69;23,41;24,99;200.962.536,00;8.043.300
BRKM5;09/08/2023;23,50;24,22;23,01;23,39;111.068.420,00;4.742.200
BRKM5;08/08/2023;23,09;23,86;22,75;23,85;90.287.808,00;3.858.600
BRKM5;07/08/2023;23,79;23,79;23,19;23,32;91.847.898,00;3.919.300
BRKM5;04/08/2023;24,64;24,65;23,65;23,65;111.484.329,00;4.644.900
BRKM5;03/08/2023;24,63;24,82;24,26;24,41;89.229.375,00;3.649.700
BRKM5;02/08/2023;25,02;25,03;24,39;24,57;58.791.999,00;2.392.700
BRKM5;01/08/2023;25,30;25,42;24,95;25,12;50.746.196,00;2.019.600
BRKM5;31/07/2023;24,59;25,40;24,52;25,40;72.745.545,00;2.880.800
BRKM5;28/07/2023;24,61;24,75;24,22;24,57;51.729.287,00;2.115.200
BRKM5;27/07/2023;25,26;25,38;24,50;24,51;78.298.023,00;3.156.200
BRKM5;26/07/2023;25,51;25,93;25,14;25,35;62.111.537,00;2.448.600
BRKM5;25/07/2023;25,51;26,10;25,30;25,65;97.591.896,00;3.790.400
BRKM5;24/07/2023;24,69;25,37;24,69;25,08;62.054.974,00;2.474.500
BRKM5;21/07/2023;24,28;24,75;24,12;24,69;80.730.513,00;3.292.600
BRKM5;20/07/2023;25,05;25,05;24,17;24,58;150.043.022,00;6.104.800
BRKM5;19/07/2023;25,68;25,78;24,66;24,72;101.524.901,00;4.059.100
BRKM5;18/07/2023;25,80;25,99;25,32;25,59;64.223.699,00;2.503.400
BRKM5;17/07/2023;26,03;26,26;25,71;25,79;71.681.563,00;2.763.300
BRKM5;14/07/2023;26,19;26,19;25,54;26,00;143.991.727,00;5.571.800
BRKM5;13/07/2023;26,85;26,85;26,07;26,09;87.011.216,00;3.296.300
BRKM5;12/07/2023;26,45;27,28;26,13;26,18;142.103.798,00;5.343.400
BRKM5;11/07/2023;26,73;26,73;25,94;26,08;113.657.641,00;4.343.000
BRKM5;10/07/2023;26,90;27,04;26,33;26,62;84.969.972,00;3.191.700
BRKM5;07/07/2023;26,99;27,27;26,98;27,05;53.902.258,00;1.986.100
BRKM5;06/07/2023;27,55;27,56;26,82;26,97;89.068.650,00;3.290.500
BRKM5;05/07/2023;27,97;28,26;27,45;27,66;234.670.546,00;8.423.700
BRKM5;04/07/2023;28,37;29,20;28,02;28,94;243.982.630,00;8.510.100
BRKM5;03/07/2023;27,77;28,25;27,45;27,47;61.198.215,00;2.206.800
BRKM5;30/06/2023;28,93;29,15;27,62;27,86;161.455.474,00;5.750.600
BRKM5;29/06/2023;28,35;29,27;28,23;29,03;73.311.968,00;2.531.100
BRKM5;28/06/2023;28,40;29,08;28,22;28,41;60.824.139,00;2.132.500
BRKM5;27/06/2023;28,60;28,98;28,12;28,55;61.447.608,00;2.156.600
BRKM5;26/06/2023;28,88;29,37;28,55;28,64;59.361.458,00;2.062.100
BRKM5;23/06/2023;28,87;29,32;28,05;29,12;151.219.050,00;5.239.400
BRKM5;22/06/2023;29,37;29,46;28,30;28,85;143.749.838,00;5.008.900
BRKM5;21/06/2023;30,00;30,29;29,28;29,55;96.789.534,00;3.268.900
BRKM5;20/06/2023;31,09;31,09;29,65;30,05;152.702.522,00;5.075.300
BRKM5;19/06/2023;29,97;31,54;29,82;30,95;150.303.919,00;4.884.800
BRKM5;16/06/2023;29,99;30,45;29,11;30,00;242.824.719,00;8.116.000
BRKM5;15/06/2023;27,91;30,20;27,91;29,48;348.751.672,00;11.921.700
BRKM5;14/06/2023;27,31;27,85;26,94;27,70;208.607.885,00;7.583.900
BRKM5;13/06/2023;27,50;27,87;26,53;26,74;153.274.115,00;5.649.600
BRKM5;12/06/2023;28,68;28,93;26,75;27,15;270.261.038,00;9.752.500
BRKM5;09/06/2023;25,55;25,75;25,12;25,61;74.123.033,00;2.907.300
