Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CASH3;14/09/2023;6,12;6,20;6,03;6,08;3.941.443,00;645.000
CASH3;13/09/2023;6,04;6,17;5,96;6,08;21.758.211,00;3.588.800
CASH3;12/09/2023;6,06;6,20;5,97;6,06;15.680.821,00;2.581.400
CASH3;11/09/2023;6,24;6,30;5,94;6,09;24.510.204,00;4.042.700
CASH3;08/09/2023;6,47;6,47;6,20;6,20;11.611.517,00;1.849.800
CASH3;06/09/2023;6,64;6,71;6,48;6,49;9.570.438,00;1.459.400
CASH3;05/09/2023;6,55;6,79;6,48;6,60;22.128.755,00;3.335.800
CASH3;04/09/2023;6,28;7,03;6,28;6,60;44.289.085,00;6.590.800
CASH3;01/09/2023;6,80;6,80;6,19;6,35;49.186.135,00;7.715.700
CASH3;31/08/2023;6,88;7,02;6,72;6,72;17.343.026,00;2.532.100
CASH3;30/08/2023;7,10;7,10;6,79;6,89;14.783.326,00;2.145.600
CASH3;29/08/2023;6,93;7,08;6,74;7,03;18.394.756,00;2.646.200
CASH3;28/08/2023;7,27;7,30;6,83;6,93;33.481.464,00;4.814.800
CASH3;25/08/2023;7,41;7,41;7,17;7,24;16.215.830,00;2.237.900
CASH3;24/08/2023;7,61;7,62;7,44;7,44;7.203.276,00;958.600
CASH3;23/08/2023;7,45;7,66;7,42;7,61;14.994.968,00;1.981.900
CASH3;22/08/2023;7,43;7,53;7,38;7,46;18.737.238,00;2.510.800
CASH3;21/08/2023;7,38;7,38;7,17;7,33;16.762.699,00;2.309.400
CASH3;18/08/2023;7,33;7,41;7,22;7,38;21.644.949,00;2.957.700
CASH3;17/08/2023;7,44;7,51;7,32;7,35;19.323.879,00;2.608.500
CASH3;16/08/2023;7,71;7,78;7,35;7,43;31.974.865,00;4.268.200
CASH3;15/08/2023;7,98;7,99;7,63;7,68;23.220.127,00;2.989.400
CASH3;14/08/2023;8,29;8,29;7,88;8,00;22.367.177,00;2.796.800
CASH3;11/08/2023;8,39;8,44;8,11;8,30;21.898.715,00;2.650.500
CASH3;10/08/2023;8,33;8,56;8,30;8,40;28.376.566,00;3.373.600
CASH3;09/08/2023;8,50;8,72;8,31;8,32;37.528.987,00;4.401.900
CASH3;08/08/2023;8,73;8,77;8,51;8,54;24.278.633,00;2.824.600
CASH3;07/08/2023;9,50;9,52;8,70;8,84;40.364.610,00;4.488.200
CASH3;04/08/2023;9,36;9,59;9,18;9,50;37.221.206,00;3.954.800
CASH3;03/08/2023;10,10;10,19;9,31;9,31;46.007.384,00;4.774.900
CASH3;02/08/2023;9,94;10,10;9,64;9,93;42.451.978,00;4.280.500
CASH3;01/08/2023;9,83;10,40;9,76;9,93;62.640.969,00;6.187.900
CASH3;31/07/2023;9,70;9,97;9,27;9,93;63.747.866,00;6.621.000
CASH3;28/07/2023;9,02;9,69;9,00;9,58;64.447.437,00;6.829.600
CASH3;27/07/2023;8,98;9,59;8,79;8,89;79.099.777,00;8.678.000
CASH3;26/07/2023;8,20;8,94;8,13;8,92;44.134.986,00;5.090.600
CASH3;25/07/2023;7,95;8,23;7,89;8,19;26.394.466,00;3.275.300
CASH3;24/07/2023;7,58;7,93;7,55;7,86;21.022.013,00;2.710.600
CASH3;21/07/2023;7,48;7,79;7,46;7,58;15.709.747,00;2.059.400
CASH3;20/07/2023;7,61;7,63;7,30;7,52;24.327.347,00;3.259.400
CASH3;19/07/2023;7,90;7,95;7,61;7,62;21.551.689,00;2.789.600
CASH3;18/07/2023;8,17;8,20;7,91;7,96;13.382.637,00;1.667.600
CASH3;17/07/2023;8,03;8,30;7,85;8,13;31.068.519,00;3.840.400
CASH3;14/07/2023;7,10;8,18;7,10;8,03;91.557.062,00;11.542.600
CASH3;13/07/2023;7,11;7,30;7,08;7,09;16.538.203,00;2.308.700
CASH3;12/07/2023;7,56;7,60;7,07;7,13;30.539.284,00;4.202.100
CASH3;11/07/2023;7,71;7,74;7,32;7,46;23.022.875,00;3.078.800
CASH3;10/07/2023;7,80;7,88;7,68;7,72;8.274.384,00;1.065.500
CASH3;07/07/2023;7,80;7,98;7,74;7,78;9.022.693,00;1.150.900
CASH3;06/07/2023;7,98;8,01;7,71;7,75;14.904.367,00;1.911.000
CASH3;05/07/2023;7,82;8,23;7,79;8,04;14.308.449,00;1.780.000
CASH3;04/07/2023;7,99;8,04;7,81;7,88;12.554.412,00;1.587.200
CASH3;03/07/2023;7,85;8,03;7,80;7,98;11.512.846,00;1.448.900
CASH3;30/06/2023;7,92;8,05;7,78;7,81;12.205.766,00;1.547.700
CASH3;29/06/2023;7,70;7,94;7,65;7,85;11.325.276,00;1.448.800
CASH3;28/06/2023;7,67;7,85;7,63;7,67;11.028.653,00;1.428.000
CASH3;27/06/2023;7,92;7,99;7,64;7,69;20.784.656,00;2.685.800
CASH3;26/06/2023;8,07;8,11;7,80;7,86;26.671.644,00;3.388.400
CASH3;23/06/2023;8,45;8,45;8,02;8,08;26.022.509,00;3.191.800
CASH3;22/06/2023;8,51;8,55;8,20;8,30;16.193.354,00;1.942.800
CASH3;21/06/2023;8,74;8,79;8,38;8,58;30.460.432,00;3.571.600
CASH3;20/06/2023;8,85;8,90;8,69;8,75;12.964.272,00;1.479.000
CASH3;19/06/2023;8,84;8,93;8,64;8,88;21.602.034,00;2.444.300
CASH3;16/06/2023;9,01;9,01;8,81;8,85;12.666.218,00;1.425.900
CASH3;15/06/2023;8,83;9,08;8,76;9,01;19.145.565,00;2.135.300
CASH3;14/06/2023;8,74;8,90;8,50;8,81;29.718.799,00;3.407.400
CASH3;13/06/2023;9,19;9,21;8,68;8,70;25.717.614,00;2.906.600
CASH3;12/06/2023;9,20;9,22;9,01;9,17;15.413.544,00;1.687.100
CASH3;09/06/2023;9,30;9,44;9,13;9,16;16.932.015,00;1.826.200
CASH3;07/06/2023;9,48;9,62;9,03;9,25;20.956.035,00;2.258.500
CASH3;06/06/2023;9,10;9,63;9,09;9,44;33.642.239,00;3.570.900
CASH3;05/06/2023;9,24;9,35;8,81;9,08;66.202.478,00;7.306.100
CASH3;02/06/2023;9,32;9,79;9,14;9,24;30.596.266,00;3.260.600
CASH3;01/06/2023;8,70;9,31;8,20;9,00;69.139.279,00;7.902.900
CASH3;31/05/2023;9,00;9,10;8,80;8,90;8.038.567,00;897.240
CASH3;30/05/2023;8,90;9,20;8,70;9,00;17.135.680,00;1.904.120
CASH3;29/05/2023;8,60;8,90;8,50;8,90;8.363.664,00;954.150
CASH3;26/05/2023;8,50;8,80;8,30;8,70;25.074.894,00;2.944.670
CASH3;25/05/2023;8,80;8,90;8,30;8,50;27.304.179,00;3.208.080
CASH3;24/05/2023;8,30;8,90;8,10;8,60;24.685.953,00;2.889.360
CASH3;23/05/2023;8,40;8,50;8,30;8,40;7.932.379,00;944.100
CASH3;22/05/2023;8,60;8,70;8,30;8,40;12.549.290,00;1.486.120
CASH3;19/05/2023;8,60;8,70;8,50;8,60;12.071.246,00;1.406.070
CASH3;18/05/2023;8,20;8,70;8,20;8,50;19.025.953,00;2.260.030
CASH3;17/05/2023;8,40;8,50;8,10;8,30;12.228.300,00;1.488.550
CASH3;16/05/2023;8,60;8,70;8,20;8,30;12.355.182,00;1.469.710
CASH3;15/05/2023;8,80;8,80;8,60;8,70;6.189.690,00;714.170
CASH3;12/05/2023;8,90;9,00;8,70;8,80;9.160.799,00;1.040.940
CASH3;11/05/2023;8,90;9,20;8,80;8,90;16.256.467,00;1.814.330
CASH3;10/05/2023;8,90;9,60;8,80;8,90;39.124.735,00;4.271.320
CASH3;09/05/2023;8,60;9,00;8,40;8,80;15.193.096,00;1.737.600
CASH3;08/05/2023;8,80;9,10;8,60;8,60;10.395.571,00;1.182.370
CASH3;05/05/2023;8,30;8,80;8,20;8,80;14.948.183,00;1.748.430
CASH3;04/05/2023;8,30;8,50;8,10;8,20;14.913.954,00;1.796.790
CASH3;03/05/2023;8,20;8,40;8,00;8,10;12.084.032,00;1.478.980
CASH3;02/05/2023;8,50;8,60;8,10;8,20;9.891.683,00;1.202.410
CASH3;28/04/2023;8,20;8,80;8,20;8,60;14.191.594,00;1.667.730
CASH3;27/04/2023;8,40;8,50;8,00;8,20;11.797.910,00;1.430.360
CASH3;26/04/2023;8,40;8,50;8,20;8,40;10.491.554,00;1.254.890
CASH3;25/04/2023;8,70;8,70;8,30;8,40;14.937.289,00;1.768.140
CASH3;24/04/2023;9,00;9,10;8,60;8,80;18.847.894,00;2.135.090
CASH3;20/04/2023;9,10;9,20;8,80;9,00;12.336.522,00;1.375.760
CASH3;19/04/2023;9,30;9,30;9,00;9,10;19.686.294,00;2.160.030
CASH3;18/04/2023;9,50;9,60;9,20;9,40;17.928.935,00;1.915.030
CASH3;17/04/2023;9,40;9,60;9,40;9,40;8.917.460,00;943.510
CASH3;14/04/2023;9,60;9,70;9,30;9,40;15.552.703,00;1.642.040
CASH3;13/04/2023;9,30;9,80;9,20;9,50;21.074.598,00;2.207.680
CASH3;12/04/2023;9,20;9,70;9,10;9,30;22.789.235,00;2.427.090
CASH3;11/04/2023;8,80;9,20;8,70;9,20;19.503.942,00;2.170.980
CASH3;10/04/2023;9,00;9,10;8,60;8,60;34.943.804,00;3.961.120
CASH3;06/04/2023;9,20;9,30;8,80;8,90;10.396.625,00;1.163.590
CASH3;05/04/2023;9,50;9,60;9,10;9,20;12.078.612,00;1.307.790
CASH3;04/04/2023;9,70;9,90;9,40;9,50;13.656.275,00;1.421.100
CASH3;03/04/2023;10,20;10,30;9,60;9,70;22.712.019,00;2.295.330
CASH3;31/03/2023;10,00;10,10;9,80;10,10;14.459.614,00;1.445.890
CASH3;30/03/2023;10,10;10,30;9,80;10,10;21.262.975,00;2.113.460
CASH3;29/03/2023;10,00;10,20;9,80;10,00;19.175.741,00;1.922.940
CASH3;28/03/2023;9,80;10,00;9,70;10,00;17.039.269,00;1.729.100
CASH3;27/03/2023;10,20;10,30;10,00;10,10;6.484.015,00;640.670
CASH3;24/03/2023;9,70;10,20;9,60;10,10;18.067.599,00;1.817.800
CASH3;23/03/2023;10,30;10,40;9,40;9,70;28.834.853,00;2.925.490
CASH3;22/03/2023;10,20;10,60;10,10;10,30;22.123.950,00;2.152.130
CASH3;21/03/2023;10,40;10,50;10,10;10,30;21.045.880,00;2.042.170
CASH3;20/03/2023;10,60;10,70;10,00;10,40;34.508.632,00;3.342.490
CASH3;17/03/2023;10,70;11,10;10,40;10,60;22.905.824,00;2.135.450
CASH3;16/03/2023;10,40;11,00;9,90;10,80;48.124.696,00;4.639.400
CASH3;15/03/2023;9,10;10,50;9,00;10,30;71.402.797,00;7.269.250
CASH3;14/03/2023;9,30;9,60;8,90;9,00;29.207.977,00;3.171.200
CASH3;13/03/2023;9,70;9,80;9,20;9,30;17.797.985,00;1.869.730
CASH3;10/03/2023;9,70;10,10;9,30;9,80;22.418.659,00;2.309.090
CASH3;09/03/2023;10,00;10,50;9,80;9,80;54.755.740,00;5.421.730
CASH3;08/03/2023;9,10;9,90;9,10;9,60;25.314.175,00;2.638.740
CASH3;07/03/2023;9,00;9,30;8,90;9,20;10.440.307,00;1.147.930
CASH3;06/03/2023;8,60;9,30;8,50;9,10;33.387.540,00;3.733.280
CASH3;03/03/2023;8,20;8,60;8,10;8,60;23.723.425,00;2.822.390
CASH3;02/03/2023;7,80;8,70;7,80;8,10;35.194.675,00;4.224.020
CASH3;01/03/2023;8,80;9,00;7,60;7,90;41.919.950,00;5.153.820
CASH3;28/02/2023;8,80;9,00;8,50;8,70;24.956.510,00;2.864.430
CASH3;27/02/2023;8,90;9,00;8,70;8,80;12.894.886,00;1.464.780
CASH3;24/02/2023;9,00;9,10;8,70;8,80;14.969.920,00;1.689.910
CASH3;23/02/2023;9,00;9,20;8,80;9,00;18.278.131,00;2.031.500
CASH3;22/02/2023;9,10;9,20;8,80;9,10;15.302.731,00;1.706.520
CASH3;17/02/2023;9,30;9,40;8,90;9,20;20.389.060,00;2.240.110
CASH3;16/02/2023;9,10;9,60;8,90;9,40;25.397.597,00;2.758.420
CASH3;15/02/2023;8,70;9,50;8,70;9,10;38.005.135,00;4.156.770
CASH3;14/02/2023;9,50;9,70;8,60;8,70;28.146.384,00;3.081.540
CASH3;13/02/2023;9,70;9,80;9,20;9,40;21.983.802,00;2.310.380
