Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CBAV3;14/09/2023;4,67;4,72;4,63;4,67;2.545.166,00;544.200
CBAV3;13/09/2023;4,69;4,81;4,59;4,62;18.018.204,00;3.858.100
CBAV3;12/09/2023;4,51;4,72;4,51;4,69;18.308.853,00;3.928.800
CBAV3;11/09/2023;4,56;4,62;4,43;4,52;18.342.847,00;4.068.600
CBAV3;08/09/2023;4,69;4,69;4,50;4,50;13.637.584,00;2.998.100
CBAV3;06/09/2023;4,70;4,75;4,66;4,70;15.374.457,00;3.276.000
CBAV3;05/09/2023;4,63;4,70;4,50;4,68;16.493.343,00;3.570.200
CBAV3;04/09/2023;4,54;4,73;4,53;4,63;20.117.504,00;4.325.400
CBAV3;01/09/2023;4,31;4,55;4,31;4,52;23.351.715,00;5.245.100
CBAV3;31/08/2023;4,28;4,36;4,25;4,28;22.383.913,00;5.224.800
CBAV3;30/08/2023;4,29;4,37;4,24;4,25;11.449.151,00;2.666.600
CBAV3;29/08/2023;4,15;4,30;4,13;4,27;20.563.026,00;4.862.400
CBAV3;28/08/2023;4,09;4,23;4,09;4,11;19.213.176,00;4.615.800
CBAV3;25/08/2023;4,14;4,17;4,08;4,09;17.130.601,00;4.156.400
CBAV3;24/08/2023;4,22;4,23;4,12;4,12;24.135.107,00;5.788.900
CBAV3;23/08/2023;4,19;4,27;4,17;4,24;26.793.225,00;6.343.400
CBAV3;22/08/2023;4,20;4,22;4,14;4,16;23.111.503,00;5.535.400
CBAV3;21/08/2023;4,26;4,30;4,15;4,15;19.188.117,00;4.582.000
CBAV3;18/08/2023;4,26;4,36;4,18;4,24;35.996.824,00;8.472.300
CBAV3;17/08/2023;4,56;4,58;4,28;4,28;32.551.869,00;7.464.600
CBAV3;16/08/2023;4,64;4,64;4,50;4,50;22.581.841,00;4.962.300
CBAV3;15/08/2023;4,82;4,84;4,61;4,62;32.121.180,00;6.895.100
CBAV3;14/08/2023;4,90;4,90;4,75;4,81;19.963.480,00;4.144.000
CBAV3;11/08/2023;5,01;5,03;4,85;4,90;14.240.295,00;2.890.000
CBAV3;10/08/2023;5,00;5,08;4,98;5,01;13.027.423,00;2.599.000
CBAV3;09/08/2023;4,99;5,11;4,97;5,00;17.171.637,00;3.418.300
CBAV3;08/08/2023;4,89;5,06;4,72;4,99;53.961.102,00;11.062.300
CBAV3;07/08/2023;5,20;5,24;5,01;5,10;18.440.206,00;3.630.900
CBAV3;04/08/2023;5,16;5,29;5,12;5,17;18.249.690,00;3.504.800
CBAV3;03/08/2023;5,11;5,23;5,07;5,17;19.427.854,00;3.770.300
CBAV3;02/08/2023;5,27;5,27;5,10;5,12;22.110.971,00;4.305.500
CBAV3;01/08/2023;5,23;5,38;5,18;5,29;28.740.640,00;5.425.600
CBAV3;31/07/2023;5,02;5,33;4,99;5,30;44.690.396,00;8.552.500
CBAV3;28/07/2023;5,02;5,02;4,86;4,98;17.230.179,00;3.484.700
CBAV3;27/07/2023;5,14;5,15;4,97;5,00;23.162.548,00;4.621.800
CBAV3;26/07/2023;5,00;5,17;4,97;5,10;23.475.054,00;4.638.100
CBAV3;25/07/2023;4,84;5,08;4,79;5,02;54.052.079,00;10.846.000
CBAV3;24/07/2023;4,70;4,80;4,70;4,75;25.919.417,00;5.450.300
CBAV3;21/07/2023;4,64;4,77;4,57;4,72;19.890.367,00;4.235.400
CBAV3;20/07/2023;4,62;4,74;4,58;4,63;18.708.896,00;4.007.600
CBAV3;19/07/2023;4,56;4,62;4,50;4,61;22.806.710,00;4.985.100
CBAV3;18/07/2023;4,70;4,84;4,52;4,53;41.711.572,00;9.015.400
CBAV3;17/07/2023;4,65;4,77;4,51;4,73;62.024.961,00;13.319.300
CBAV3;14/07/2023;5,10;5,10;4,62;4,65;147.965.278,00;30.808.200
CBAV3;13/07/2023;5,09;5,27;5,03;5,15;65.583.768,00;12.784.600
CBAV3;12/07/2023;5,26;5,45;5,02;5,03;74.726.966,00;14.475.200
CBAV3;11/07/2023;5,22;5,24;5,11;5,19;14.364.103,00;2.774.900
CBAV3;10/07/2023;5,23;5,31;5,18;5,19;18.939.007,00;3.608.100
CBAV3;07/07/2023;5,07;5,26;5,07;5,22;25.013.888,00;4.836.000
CBAV3;06/07/2023;5,08;5,20;5,04;5,07;28.188.200,00;5.510.800
CBAV3;05/07/2023;5,24;5,31;5,08;5,08;34.389.698,00;6.668.300
CBAV3;04/07/2023;5,07;5,37;5,06;5,30;33.281.450,00;6.367.000
CBAV3;03/07/2023;5,05;5,14;5,00;5,07;33.892.185,00;6.686.600
CBAV3;30/06/2023;5,05;5,09;5,00;5,04;40.388.466,00;8.021.300
CBAV3;29/06/2023;5,06;5,14;5,01;5,02;36.537.332,00;7.222.300
CBAV3;28/06/2023;5,19;5,23;5,01;5,02;31.198.919,00;6.150.800
CBAV3;27/06/2023;5,35;5,38;5,18;5,19;17.851.224,00;3.402.200
CBAV3;26/06/2023;5,20;5,45;5,19;5,25;31.171.680,00;5.889.700
CBAV3;23/06/2023;5,24;5,35;5,17;5,21;40.486.435,00;7.744.800
CBAV3;22/06/2023;5,15;5,23;5,03;5,20;55.750.807,00;10.894.700
CBAV3;21/06/2023;5,53;5,53;5,14;5,17;77.760.849,00;14.749.700
CBAV3;20/06/2023;5,72;5,72;5,44;5,53;47.911.680,00;8.615.200
CBAV3;19/06/2023;5,66;5,84;5,49;5,75;22.817.919,00;3.997.300
CBAV3;16/06/2023;5,82;5,85;5,55;5,63;47.832.491,00;8.416.700
CBAV3;15/06/2023;6,07;6,07;5,76;5,85;42.561.903,00;7.266.600
CBAV3;14/06/2023;5,77;6,09;5,77;6,00;61.526.977,00;10.295.200
CBAV3;13/06/2023;5,90;6,03;5,69;5,74;41.052.095,00;7.081.400
CBAV3;12/06/2023;5,75;5,92;5,57;5,82;37.581.612,00;6.540.400
CBAV3;09/06/2023;5,65;5,76;5,60;5,71;25.301.242,00;4.452.300
CBAV3;07/06/2023;5,67;5,77;5,41;5,61;36.226.688,00;6.526.400
CBAV3;06/06/2023;5,52;5,66;5,43;5,63;21.778.645,00;3.900.300
CBAV3;05/06/2023;5,56;5,67;5,36;5,51;15.170.443,00;2.759.500
CBAV3;02/06/2023;5,41;5,59;5,38;5,55;27.763.090,00;5.055.200
CBAV3;01/06/2023;5,28;5,33;5,20;5,22;20.339.050,00;3.863.300
CBAV3;31/05/2023;5,37;5,37;5,13;5,20;33.333.082,00;6.379.500
CBAV3;30/05/2023;5,55;5,62;5,25;5,38;17.823.402,00;3.322.800
CBAV3;29/05/2023;5,38;5,59;5,36;5,53;11.902.778,00;2.165.400
CBAV3;26/05/2023;5,45;5,57;5,37;5,42;14.238.944,00;2.612.300
CBAV3;25/05/2023;5,31;5,38;5,23;5,27;17.914.620,00;3.391.700
CBAV3;24/05/2023;5,33;5,47;5,16;5,19;17.260.164,00;3.274.800
CBAV3;23/05/2023;5,65;5,67;5,31;5,31;17.895.836,00;3.279.700
CBAV3;22/05/2023;5,53;5,76;5,51;5,65;22.457.666,00;3.968.600
CBAV3;19/05/2023;5,44;5,64;5,31;5,53;19.535.038,00;3.529.100
CBAV3;18/05/2023;5,36;5,45;5,27;5,40;17.500.825,00;3.260.200
CBAV3;17/05/2023;4,98;5,39;4,98;5,36;36.339.987,00;6.989.800
CBAV3;16/05/2023;5,08;5,14;4,92;4,92;15.545.521,00;3.115.600
CBAV3;15/05/2023;4,95;5,23;4,90;5,10;24.534.313,00;4.797.900
CBAV3;12/05/2023;4,88;4,93;4,84;4,91;16.097.364,00;3.292.500
CBAV3;11/05/2023;4,97;4,97;4,86;4,88;21.501.676,00;4.393.600
CBAV3;10/05/2023;5,04;5,09;4,90;4,95;19.141.805,00;3.863.700
CBAV3;09/05/2023;5,12;5,13;4,83;5,00;48.739.551,00;9.814.700
CBAV3;08/05/2023;5,72;5,75;5,25;5,32;15.419.907,00;2.845.900
CBAV3;05/05/2023;4,95;5,38;4,93;5,38;21.248.011,00;4.068.900
CBAV3;04/05/2023;5,09;5,10;4,84;4,90;19.332.411,00;3.926.500
CBAV3;03/05/2023;5,03;5,12;4,98;5,04;12.949.428,00;2.565.500
CBAV3;02/05/2023;5,26;5,33;4,97;5,00;16.807.655,00;3.343.600
CBAV3;28/04/2023;5,10;5,30;5,03;5,28;17.995.405,00;3.441.900
CBAV3;27/04/2023;4,74;4,94;4,74;4,92;17.825.575,00;3.421.200
CBAV3;26/04/2023;4,93;5,05;4,75;4,77;22.184.872,00;4.303.600
