Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CCRO3;14/09/2023;12,48;12,57;12,47;12,47;8.953.667,00;715.500
CCRO3;13/09/2023;12,58;12,70;12,45;12,45;100.141.535,00;7.978.300
CCRO3;12/09/2023;12,47;12,56;12,40;12,54;57.693.208,00;4.615.300
CCRO3;11/09/2023;12,32;12,49;12,25;12,44;62.437.245,00;5.045.900
CCRO3;08/09/2023;12,25;12,33;12,20;12,26;60.684.909,00;4.949.200
CCRO3;06/09/2023;12,40;12,48;12,26;12,26;67.320.740,00;5.463.900
CCRO3;05/09/2023;12,46;12,53;12,30;12,40;59.090.046,00;4.750.500
CCRO3;04/09/2023;12,65;12,72;12,54;12,60;56.226.279,00;4.450.500
CCRO3;01/09/2023;12,48;12,72;12,48;12,66;96.428.170,00;7.617.800
CCRO3;31/08/2023;12,85;12,85;12,46;12,46;104.001.734,00;8.310.400
CCRO3;30/08/2023;13,03;13,03;12,75;12,81;51.500.236,00;4.016.600
CCRO3;29/08/2023;12,93;13,09;12,88;12,95;103.181.164,00;7.954.800
CCRO3;28/08/2023;12,57;12,86;12,53;12,80;123.005.991,00;9.647.600
CCRO3;25/08/2023;12,79;12,82;12,41;12,55;102.845.259,00;8.191.500
CCRO3;24/08/2023;12,91;13,01;12,76;12,80;77.676.725,00;6.042.600
CCRO3;23/08/2023;12,93;13,06;12,87;13,01;70.077.984,00;5.397.600
CCRO3;22/08/2023;12,75;12,94;12,69;12,87;86.036.298,00;6.711.800
CCRO3;21/08/2023;12,80;12,81;12,56;12,68;51.549.299,00;4.076.300
CCRO3;18/08/2023;12,79;12,90;12,65;12,79;93.734.758,00;7.352.200
CCRO3;17/08/2023;13,21;13,21;12,75;12,75;155.622.471,00;12.096.100
CCRO3;16/08/2023;13,24;13,34;13,00;13,06;95.107.375,00;7.254.800
CCRO3;15/08/2023;13,27;13,44;13,23;13,29;121.269.703,00;9.100.600
CCRO3;14/08/2023;13,14;13,31;12,98;13,31;90.128.753,00;6.811.600
CCRO3;11/08/2023;13,35;13,38;13,00;13,16;122.798.504,00;9.342.500
CCRO3;10/08/2023;13,13;13,42;13,10;13,29;206.528.336,00;15.518.600
CCRO3;09/08/2023;13,15;13,38;13,00;13,04;80.160.237,00;6.114.600
CCRO3;08/08/2023;12,95;13,26;12,83;13,17;134.442.799,00;10.240.000
CCRO3;07/08/2023;13,05;13,16;12,94;13,02;145.833.009,00;11.156.500
CCRO3;04/08/2023;13,27;13,28;12,81;13,05;533.642.414,00;40.858.800
CCRO3;03/08/2023;13,36;13,54;13,32;13,35;333.728.874,00;24.854.300
CCRO3;02/08/2023;13,29;13,35;13,14;13,30;132.819.186,00;10.020.900
CCRO3;01/08/2023;13,28;13,36;13,07;13,27;150.889.509,00;11.383.600
CCRO3;31/07/2023;13,44;13,51;13,25;13,29;69.526.179,00;5.202.300
CCRO3;28/07/2023;13,30;13,42;13,30;13,36;41.106.865,00;3.078.600
CCRO3;27/07/2023;13,50;13,54;13,27;13,27;72.112.215,00;5.411.900
CCRO3;26/07/2023;13,41;13,50;13,36;13,43;65.449.195,00;4.873.100
CCRO3;25/07/2023;13,65;13,71;13,40;13,40;66.448.241,00;4.929.300
CCRO3;24/07/2023;13,44;13,56;13,27;13,48;111.333.364,00;8.276.700
CCRO3;21/07/2023;13,39;13,56;13,24;13,53;142.295.198,00;10.567.900
CCRO3;20/07/2023;13,61;13,61;13,36;13,41;70.531.678,00;5.254.200
CCRO3;19/07/2023;13,46;13,60;13,32;13,53;129.215.923,00;9.576.200
CCRO3;18/07/2023;13,61;13,61;13,31;13,48;67.995.140,00;5.048.800
CCRO3;17/07/2023;13,40;13,60;13,40;13,58;42.413.862,00;3.136.000
CCRO3;14/07/2023;13,68;13,72;13,38;13,46;90.924.752,00;6.734.800
CCRO3;13/07/2023;13,66;13,97;13,60;13,70;67.718.395,00;4.927.400
CCRO3;12/07/2023;13,57;13,84;13,53;13,69;66.731.636,00;4.860.100
CCRO3;11/07/2023;13,87;13,87;13,25;13,55;101.224.945,00;7.511.900
CCRO3;10/07/2023;13,76;13,95;13,66;13,82;39.614.327,00;2.860.800
CCRO3;07/07/2023;13,59;13,91;13,54;13,78;104.062.348,00;7.540.000
CCRO3;06/07/2023;13,85;13,85;13,49;13,57;92.785.282,00;6.811.600
CCRO3;05/07/2023;14,07;14,10;13,86;13,91;106.132.344,00;7.592.100
CCRO3;04/07/2023;14,00;14,19;13,92;14,06;51.206.036,00;3.633.800
CCRO3;03/07/2023;14,05;14,13;13,94;14,01;78.777.737,00;5.621.600
