Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CIEL3;14/09/2023;3,70;3,70;3,64;3,65;14.975.856,00;4.088.100
CIEL3;13/09/2023;3,67;3,77;3,61;3,68;181.275.881,00;49.047.400
CIEL3;12/09/2023;3,69;3,70;3,60;3,67;139.413.912,00;38.222.400
CIEL3;11/09/2023;3,72;3,73;3,63;3,68;127.415.444,00;34.776.600
CIEL3;08/09/2023;3,68;3,68;3,63;3,67;76.571.092,00;20.934.700
CIEL3;06/09/2023;3,75;3,79;3,68;3,71;82.141.317,00;22.108.500
CIEL3;05/09/2023;3,80;3,82;3,74;3,75;62.623.789,00;16.606.500
CIEL3;04/09/2023;3,88;3,89;3,81;3,81;39.827.196,00;10.375.500
CIEL3;01/09/2023;3,76;3,86;3,75;3,86;201.427.195,00;52.542.600
CIEL3;31/08/2023;3,81;3,82;3,72;3,72;135.602.145,00;35.989.100
CIEL3;30/08/2023;3,84;3,87;3,78;3,80;52.804.837,00;13.874.400
CIEL3;29/08/2023;3,75;3,84;3,73;3,82;84.708.920,00;22.281.800
CIEL3;28/08/2023;3,75;3,75;3,68;3,73;64.794.901,00;17.435.500
CIEL3;25/08/2023;3,77;3,78;3,67;3,72;70.430.909,00;18.997.700
CIEL3;24/08/2023;3,79;3,80;3,75;3,76;115.863.096,00;30.776.800
CIEL3;23/08/2023;3,83;3,84;3,73;3,80;189.788.477,00;50.452.300
CIEL3;22/08/2023;3,82;3,84;3,77;3,82;126.715.425,00;33.320.100
CIEL3;21/08/2023;3,85;3,85;3,77;3,81;85.772.889,00;22.533.100
CIEL3;18/08/2023;3,88;3,92;3,82;3,85;119.097.702,00;30.754.400
CIEL3;17/08/2023;3,78;3,88;3,75;3,84;167.948.415,00;43.866.900
CIEL3;16/08/2023;3,68;3,81;3,64;3,74;212.535.297,00;56.918.700
CIEL3;15/08/2023;3,76;3,78;3,64;3,67;142.689.831,00;38.461.300
CIEL3;14/08/2023;3,91;3,93;3,76;3,77;190.600.571,00;50.166.500
CIEL3;11/08/2023;3,94;3,97;3,88;3,93;165.609.234,00;42.368.400
CIEL3;10/08/2023;4,07;4,09;3,92;3,94;239.320.880,00;60.334.600
CIEL3;09/08/2023;4,01;4,06;3,92;4,06;214.990.012,00;53.978.500
CIEL3;08/08/2023;4,09;4,10;3,99;4,01;197.027.067,00;48.255.400
CIEL3;07/08/2023;4,13;4,15;4,05;4,11;124.946.639,00;30.029.900
CIEL3;04/08/2023;4,25;4,26;4,10;4,11;193.822.865,00;46.118.900
CIEL3;03/08/2023;4,23;4,32;4,19;4,24;237.528.592,00;55.009.700
