Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CMIG4;14/09/2023;12,63;12,73;12,60;12,67;6.937.801,00;546.800
CMIG4;13/09/2023;12,51;12,75;12,42;12,57;98.695.909,00;7.813.900
CMIG4;12/09/2023;12,44;12,53;12,39;12,51;43.315.567,00;3.469.100
CMIG4;11/09/2023;12,27;12,42;12,18;12,39;72.977.688,00;5.907.500
CMIG4;08/09/2023;12,14;12,27;12,07;12,16;95.832.593,00;7.859.600
CMIG4;06/09/2023;12,28;12,31;12,11;12,11;51.364.723,00;4.219.000
CMIG4;05/09/2023;12,38;12,50;12,26;12,27;71.680.145,00;5.806.800
CMIG4;04/09/2023;12,48;12,55;12,37;12,42;32.977.052,00;2.648.100
CMIG4;01/09/2023;12,36;12,70;12,28;12,46;156.378.675,00;12.492.600
CMIG4;31/08/2023;12,61;12,64;12,29;12,33;119.961.466,00;9.698.400
CMIG4;30/08/2023;12,78;12,90;12,59;12,61;166.724.092,00;13.121.700
CMIG4;29/08/2023;12,36;12,45;12,28;12,42;72.974.808,00;5.899.200
CMIG4;28/08/2023;12,27;12,33;12,16;12,33;53.969.085,00;4.404.600
CMIG4;25/08/2023;12,30;12,34;12,14;12,24;122.742.502,00;10.022.200
CMIG4;24/08/2023;12,23;12,34;12,17;12,28;119.240.746,00;9.707.800
CMIG4;23/08/2023;12,24;12,32;12,09;12,22;123.465.315,00;10.145.000
CMIG4;22/08/2023;12,34;12,36;12,08;12,25;166.723.523,00;13.628.700
CMIG4;21/08/2023;12,00;12,29;11,78;12,21;227.257.007,00;18.771.300
CMIG4;18/08/2023;11,99;12,10;11,83;12,01;146.865.231,00;12.227.700
CMIG4;17/08/2023;12,00;12,11;11,94;12,01;179.126.246,00;14.876.300
CMIG4;16/08/2023;12,00;12,05;11,85;11,97;138.178.076,00;11.543.000
CMIG4;15/08/2023;12,38;12,44;11,91;11,96;97.582.232,00;8.093.100
CMIG4;14/08/2023;12,42;12,48;12,35;12,36;77.909.657,00;6.283.300
CMIG4;11/08/2023;12,22;12,44;12,22;12,39;103.596.192,00;8.387.900
CMIG4;10/08/2023;12,19;12,29;12,07;12,18;107.881.542,00;8.864.300
CMIG4;09/08/2023;11,99;12,14;11,94;12,14;98.680.904,00;8.166.600
CMIG4;08/08/2023;11,99;12,07;11,87;12,01;98.779.509,00;8.237.600
CMIG4;07/08/2023;12,20;12,26;11,93;12,02;153.569.023,00;12.753.000
CMIG4;04/08/2023;12,55;12,58;12,10;12,18;124.260.873,00;10.092.400
CMIG4;03/08/2023;12,67;12,78;12,36;12,47;76.676.082,00;6.152.900
CMIG4;02/08/2023;12,62;12,73;12,47;12,63;62.655.940,00;4.971.900
