Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CMIN3;14/09/2023;4,40;4,45;4,35;4,39;13.089.673,00;2.964.700
CMIN3;13/09/2023;4,29;4,33;4,25;4,29;22.378.023,00;5.208.600
CMIN3;12/09/2023;4,38;4,39;4,30;4,30;29.498.006,00;6.819.700
CMIN3;11/09/2023;4,25;4,40;4,23;4,38;40.198.876,00;9.320.100
CMIN3;08/09/2023;4,25;4,25;4,16;4,21;30.309.048,00;7.215.600
CMIN3;06/09/2023;4,32;4,35;4,26;4,29;26.622.177,00;6.200.100
CMIN3;05/09/2023;4,41;4,42;4,32;4,33;35.892.954,00;8.268.700
CMIN3;04/09/2023;4,37;4,48;4,37;4,41;25.457.255,00;5.743.400
CMIN3;01/09/2023;4,33;4,39;4,29;4,36;30.905.030,00;7.104.700
CMIN3;31/08/2023;4,38;4,39;4,28;4,28;26.409.415,00;6.123.400
CMIN3;30/08/2023;4,26;4,38;4,25;4,35;34.755.663,00;8.007.900
CMIN3;29/08/2023;4,15;4,27;4,15;4,23;27.071.898,00;6.407.500
CMIN3;28/08/2023;4,11;4,14;4,08;4,14;24.162.280,00;5.876.800
CMIN3;25/08/2023;4,11;4,13;4,06;4,09;15.111.638,00;3.697.700
CMIN3;24/08/2023;4,19;4,20;4,10;4,10;31.591.547,00;7.656.600
CMIN3;23/08/2023;4,15;4,19;4,10;4,19;32.205.666,00;7.750.400
CMIN3;22/08/2023;4,10;4,16;4,08;4,11;25.593.130,00;6.218.600
CMIN3;21/08/2023;4,05;4,06;4,02;4,06;24.803.696,00;6.137.300
CMIN3;18/08/2023;4,05;4,09;4,02;4,06;22.048.991,00;5.449.200
CMIN3;17/08/2023;4,11;4,14;4,05;4,05;21.324.880,00;5.213.600
CMIN3;16/08/2023;4,11;4,11;4,05;4,05;29.119.128,00;7.150.900
CMIN3;15/08/2023;4,12;4,15;4,07;4,08;18.556.065,00;4.530.600
CMIN3;14/08/2023;4,12;4,15;4,09;4,12;25.801.771,00;6.261.200
CMIN3;11/08/2023;4,13;4,17;4,10;4,14;16.074.119,00;3.884.700
CMIN3;10/08/2023;4,15;4,17;4,11;4,13;21.796.113,00;5.267.300
CMIN3;09/08/2023;4,20;4,21;4,11;4,14;24.714.576,00;5.979.300
CMIN3;08/08/2023;4,22;4,22;4,16;4,20;22.659.986,00;5.404.400
