Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
COGN3;14/09/2023;2,89;2,89;2,84;2,84;11.887.989,00;4.143.300
COGN3;13/09/2023;2,89;2,96;2,85;2,88;61.175.373,00;21.052.400
COGN3;12/09/2023;2,89;2,95;2,87;2,89;46.084.919,00;15.851.600
COGN3;11/09/2023;2,89;2,92;2,85;2,90;41.126.753,00;14.214.500
COGN3;08/09/2023;2,88;2,89;2,81;2,88;35.325.318,00;12.399.200
COGN3;06/09/2023;2,87;2,96;2,87;2,90;59.743.987,00;20.527.700
COGN3;05/09/2023;2,92;2,93;2,85;2,86;44.890.286,00;15.545.000
COGN3;04/09/2023;3,01;3,03;2,93;2,94;34.099.488,00;11.477.800
COGN3;01/09/2023;2,95;3,04;2,95;3,01;46.189.600,00;15.392.300
COGN3;31/08/2023;2,95;3,00;2,91;2,92;64.101.363,00;21.780.800
COGN3;30/08/2023;2,97;3,02;2,93;2,95;50.227.299,00;16.908.000
COGN3;29/08/2023;2,95;2,97;2,88;2,97;59.172.427,00;20.212.300
COGN3;28/08/2023;3,02;3,03;2,91;2,95;70.737.824,00;23.997.400
COGN3;25/08/2023;3,11;3,12;2,98;2,99;51.835.888,00;17.152.200
COGN3;24/08/2023;3,17;3,20;3,09;3,11;32.775.876,00;10.435.300
COGN3;23/08/2023;3,18;3,23;3,13;3,18;53.286.768,00;16.733.900
COGN3;22/08/2023;3,11;3,20;3,08;3,17;51.408.102,00;16.334.400
COGN3;21/08/2023;3,12;3,12;3,01;3,08;57.773.688,00;18.891.500
COGN3;18/08/2023;3,10;3,18;3,07;3,12;50.965.482,00;16.363.300
COGN3;17/08/2023;3,13;3,18;3,04;3,10;86.257.327,00;27.775.600
COGN3;16/08/2023;3,17;3,24;3,09;3,10;82.153.416,00;26.185.800
COGN3;15/08/2023;3,08;3,09;2,94;3,05;93.748.559,00;31.009.300
COGN3;14/08/2023;3,27;3,30;3,04;3,08;143.048.591,00;45.406.900
COGN3;11/08/2023;3,30;3,38;3,23;3,28;70.312.647,00;21.362.900
COGN3;10/08/2023;3,35;3,40;3,07;3,30;167.069.108,00;50.939.000
COGN3;09/08/2023;3,42;3,43;3,24;3,26;69.560.281,00;21.174.000
COGN3;08/08/2023;3,28;3,47;3,24;3,42;73.336.057,00;21.624.800
COGN3;07/08/2023;3,34;3,36;3,26;3,32;46.799.361,00;14.147.600
COGN3;04/08/2023;3,37;3,42;3,30;3,33;46.735.156,00;13.902.300
COGN3;03/08/2023;3,51;3,54;3,34;3,36;57.939.199,00;16.873.400
COGN3;02/08/2023;3,31;3,47;3,30;3,43;76.604.451,00;22.475.200
COGN3;01/08/2023;3,33;3,36;3,23;3,32;68.478.078,00;20.735.800
COGN3;31/07/2023;3,40;3,44;3,30;3,35;75.483.173,00;22.536.500
COGN3;28/07/2023;3,30;3,37;3,27;3,36;34.150.074,00;10.236.500
COGN3;27/07/2023;3,40;3,44;3,25;3,27;87.793.784,00;26.447.200
COGN3;26/07/2023;3,42;3,44;3,32;3,38;56.580.208,00;16.779.300
COGN3;25/07/2023;3,55;3,68;3,41;3,44;91.805.072,00;26.264.500
COGN3;24/07/2023;3,45;3,56;3,44;3,52;78.419.427,00;22.326.100
COGN3;21/07/2023;3,36;3,46;3,34;3,43;56.220.746,00;16.413.300
COGN3;20/07/2023;3,37;3,39;3,29;3,34;68.347.314,00;20.515.500
COGN3;19/07/2023;3,32;3,42;3,30;3,35;76.809.063,00;22.819.400
COGN3;18/07/2023;3,19;3,46;3,15;3,31;111.442.600,00;33.668.300
COGN3;17/07/2023;3,10;3,22;3,10;3,19;46.668.106,00;14.701.900
COGN3;14/07/2023;3,24;3,24;3,14;3,18;45.396.998,00;14.257.100
COGN3;13/07/2023;3,23;3,33;3,20;3,24;65.131.619,00;19.940.100
COGN3;12/07/2023;3,30;3,32;3,15;3,17;41.965.273,00;13.075.000
COGN3;11/07/2023;3,27;3,28;3,09;3,24;64.719.676,00;20.185.300
COGN3;10/07/2023;3,31;3,33;3,26;3,28;38.083.158,00;11.562.400
COGN3;07/07/2023;3,22;3,36;3,20;3,31;64.015.234,00;19.373.900
COGN3;06/07/2023;3,28;3,31;3,17;3,19;74.533.155,00;23.162.400
COGN3;05/07/2023;3,29;3,42;3,26;3,33;70.621.062,00;21.060.500
COGN3;04/07/2023;3,27;3,32;3,21;3,30;65.885.562,00;20.120.900
COGN3;03/07/2023;3,28;3,38;3,23;3,28;70.170.828,00;21.171.400
COGN3;30/06/2023;3,31;3,33;3,21;3,26;96.950.865,00;29.689.300
COGN3;29/06/2023;3,11;3,30;3,09;3,25;95.839.019,00;29.712.400
COGN3;28/06/2023;3,03;3,18;3,01;3,09;72.386.926,00;23.205.400
COGN3;27/06/2023;3,15;3,17;2,97;3,03;100.472.199,00;33.151.600
COGN3;26/06/2023;3,21;3,21;3,03;3,11;101.037.013,00;32.640.100
COGN3;23/06/2023;3,26;3,26;3,12;3,21;85.956.524,00;26.853.000
COGN3;22/06/2023;3,35;3,37;3,15;3,25;108.824.931,00;33.654.900
COGN3;21/06/2023;3,42;3,47;3,36;3,38;95.322.982,00;28.100.400
COGN3;20/06/2023;3,33;3,45;3,31;3,43;72.051.804,00;21.186.500
COGN3;19/06/2023;3,22;3,38;3,20;3,34;55.021.765,00;16.577.900
COGN3;16/06/2023;3,22;3,27;3,19;3,22;86.273.643,00;26.755.800
COGN3;15/06/2023;3,21;3,27;3,17;3,23;59.444.761,00;18.467.200
COGN3;14/06/2023;3,09;3,22;3,09;3,21;101.289.738,00;32.059.000
COGN3;13/06/2023;3,26;3,28;3,06;3,08;128.460.313,00;41.152.000
COGN3;12/06/2023;3,21;3,28;3,16;3,23;60.879.416,00;18.804.800
COGN3;09/06/2023;3,15;3,23;3,13;3,19;108.672.155,00;33.961.500
COGN3;07/06/2023;3,11;3,20;3,07;3,11;105.791.462,00;33.861.700
COGN3;06/06/2023;2,98;3,11;2,97;3,07;159.047.642,00;51.959.900
