Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CPFE3;14/09/2023;34,93;35,13;34,82;34,89;2.049.217,00;58.600
CPFE3;13/09/2023;34,69;35,35;34,46;34,85;46.714.662,00;1.333.000
CPFE3;12/09/2023;34,48;34,94;34,38;34,67;38.954.084,00;1.122.800
CPFE3;11/09/2023;34,49;34,67;34,05;34,30;59.385.219,00;1.730.600
CPFE3;08/09/2023;34,03;34,49;33,96;34,13;37.599.016,00;1.098.400
CPFE3;06/09/2023;35,07;35,13;33,91;33,99;56.823.308,00;1.662.700
CPFE3;05/09/2023;35,13;35,49;34,70;35,02;51.894.622,00;1.476.900
CPFE3;04/09/2023;34,80;35,50;34,70;35,28;32.809.293,00;932.600
CPFE3;01/09/2023;34,35;35,06;34,21;34,81;53.294.899,00;1.531.500
CPFE3;31/08/2023;34,59;34,69;34,15;34,15;98.819.731,00;2.889.700
CPFE3;30/08/2023;35,07;35,08;34,62;34,70;25.394.179,00;730.200
CPFE3;29/08/2023;34,70;35,10;34,57;34,84;22.711.891,00;653.100
CPFE3;28/08/2023;34,42;34,78;34,35;34,69;21.410.557,00;618.100
CPFE3;25/08/2023;34,66;34,87;34,37;34,46;59.861.849,00;1.729.900
CPFE3;24/08/2023;34,60;34,91;34,34;34,66;24.935.006,00;719.400
CPFE3;23/08/2023;34,30;34,59;34,01;34,49;52.130.414,00;1.518.500
CPFE3;22/08/2023;33,79;34,41;33,63;34,39;70.501.986,00;2.065.600
CPFE3;21/08/2023;34,49;34,49;33,61;33,70;47.440.728,00;1.405.500
CPFE3;18/08/2023;34,50;34,63;34,15;34,41;61.430.659,00;1.786.500
CPFE3;17/08/2023;34,73;34,75;34,25;34,44;52.082.941,00;1.477.500
CPFE3;16/08/2023;34,47;35,30;34,27;34,55;80.331.667,00;2.259.300
CPFE3;15/08/2023;34,99;35,20;34,49;34,51;65.464.536,00;1.845.200
CPFE3;14/08/2023;34,70;35,98;34,54;34,81;120.921.662,00;3.367.600
CPFE3;11/08/2023;34,32;34,61;33,96;34,40;78.219.169,00;2.230.300
CPFE3;10/08/2023;34,00;34,09;33,50;33,96;53.807.538,00;1.555.100
CPFE3;09/08/2023;33,91;34,09;33,49;33,99;63.486.866,00;1.835.200
CPFE3;08/08/2023;33,73;34,53;33,34;34,20;86.688.455,00;2.480.900
CPFE3;07/08/2023;34,45;34,48;33,75;34,10;55.846.728,00;1.604.400
CPFE3;04/08/2023;34,65;35,02;34,36;34,43;45.005.620,00;1.271.200
CPFE3;03/08/2023;35,19;35,31;34,39;34,59;48.873.724,00;1.377.600
CPFE3;02/08/2023;35,03;35,30;34,71;35,08;36.217.749,00;1.012.600
CPFE3;01/08/2023;34,98;35,24;34,63;35,00;64.056.244,00;1.793.900
CPFE3;31/07/2023;35,18;35,34;34,70;34,98;51.659.054,00;1.444.800
CPFE3;28/07/2023;35,24;35,39;34,62;35,10;24.556.325,00;685.400
CPFE3;27/07/2023;35,44;35,53;34,95;35,11;31.630.991,00;880.000
CPFE3;26/07/2023;35,01;35,44;34,74;35,29;64.158.382,00;1.781.700
CPFE3;25/07/2023;35,09;35,44;34,87;35,00;39.916.920,00;1.112.600
CPFE3;24/07/2023;34,88;35,20;34,58;34,98;43.791.608,00;1.223.200
CPFE3;21/07/2023;34,27;34,87;34,13;34,78;110.233.183,00;3.110.100
CPFE3;20/07/2023;34,22;34,41;33,84;34,27;60.074.278,00;1.724.000
CPFE3;19/07/2023;34,41;34,47;33,83;34,38;30.163.155,00;860.300
CPFE3;18/07/2023;34,76;34,76;34,16;34,56;44.318.929,00;1.257.700
CPFE3;17/07/2023;34,49;34,84;34,26;34,65;40.270.895,00;1.137.300
CPFE3;14/07/2023;34,56;34,91;34,39;34,69;40.723.128,00;1.149.500
CPFE3;13/07/2023;34,52;35,18;34,29;34,85;33.519.716,00;940.900
CPFE3;12/07/2023;34,95;35,08;34,20;34,51;58.920.962,00;1.668.600
CPFE3;11/07/2023;34,61;34,94;33,80;34,81;67.017.598,00;1.894.300
CPFE3;10/07/2023;34,92;35,04;34,65;34,88;36.348.800,00;1.018.800
CPFE3;07/07/2023;35,05;35,36;34,44;34,91;80.145.408,00;2.234.400
CPFE3;06/07/2023;34,12;35,00;33,99;34,79;113.770.190,00;3.214.300
CPFE3;05/07/2023;33,72;34,50;33,13;34,21;81.559.892,00;2.346.600
