Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CPLE6;14/09/2023;8,88;9,03;8,86;9,01;15.085.750,00;1.678.300
CPLE6;13/09/2023;8,80;9,07;8,79;8,86;228.888.782,00;25.558.200
CPLE6;12/09/2023;8,66;8,82;8,61;8,78;94.315.373,00;10.802.200
CPLE6;11/09/2023;8,51;8,67;8,44;8,65;124.285.514,00;14.452.800
CPLE6;08/09/2023;8,48;8,51;8,38;8,49;105.241.096,00;12.431.800
CPLE6;06/09/2023;8,60;8,63;8,44;8,49;127.506.320,00;15.002.500
CPLE6;05/09/2023;8,69;8,70;8,58;8,61;165.106.626,00;19.139.100
CPLE6;04/09/2023;8,74;8,83;8,68;8,70;110.771.555,00;12.656.300
CPLE6;01/09/2023;8,67;8,75;8,59;8,75;167.286.440,00;19.223.200
CPLE6;31/08/2023;8,84;8,84;8,66;8,66;131.750.575,00;15.106.800
CPLE6;30/08/2023;8,83;8,85;8,77;8,82;121.425.023,00;13.780.200
CPLE6;29/08/2023;8,84;8,89;8,72;8,83;90.764.068,00;10.311.600
CPLE6;28/08/2023;8,83;8,87;8,76;8,83;125.658.208,00;14.256.500
CPLE6;25/08/2023;8,75;8,87;8,68;8,83;174.478.656,00;19.848.400
CPLE6;24/08/2023;8,76;8,82;8,70;8,74;173.422.028,00;19.822.600
CPLE6;23/08/2023;8,66;8,76;8,62;8,74;93.146.854,00;10.713.500
CPLE6;22/08/2023;8,66;8,70;8,59;8,67;103.335.192,00;11.937.200
CPLE6;21/08/2023;8,74;8,77;8,54;8,66;94.853.128,00;10.996.400
CPLE6;18/08/2023;8,72;8,75;8,65;8,74;70.356.813,00;8.071.600
CPLE6;17/08/2023;8,77;8,81;8,62;8,71;147.855.049,00;17.040.300
CPLE6;16/08/2023;8,78;8,88;8,71;8,74;134.492.103,00;15.289.700
CPLE6;15/08/2023;8,99;9,05;8,75;8,80;178.837.004,00;20.256.500
CPLE6;14/08/2023;9,03;9,15;8,90;8,99;157.635.826,00;17.517.400
CPLE6;11/08/2023;8,80;9,07;8,80;9,07;180.430.273,00;20.181.400
CPLE6;10/08/2023;8,71;8,81;8,68;8,77;211.818.550,00;24.236.100
CPLE6;09/08/2023;8,68;8,81;8,47;8,68;191.429.126,00;22.054.100
CPLE6;08/08/2023;8,63;8,83;8,53;8,64;274.696.038,00;31.570.300
CPLE6;07/08/2023;8,58;8,70;8,53;8,63;177.750.048,00;20.570.600
CPLE6;04/08/2023;8,50;8,66;8,47;8,58;269.696.226,00;31.352.900
CPLE6;03/08/2023;8,63;8,67;8,43;8,54;154.825.210,00;18.183.200
CPLE6;02/08/2023;8,43;8,67;8,38;8,55;90.898.991,00;10.662.000
CPLE6;01/08/2023;8,31;8,67;8,29;8,43;139.367.448,00;16.509.600
CPLE6;31/07/2023;8,27;8,43;8,24;8,36;88.694.009,00;10.630.000
CPLE6;28/07/2023;8,25;8,35;8,20;8,26;58.497.089,00;7.067.500
CPLE6;27/07/2023;8,56;8,60;8,23;8,25;167.827.393,00;20.182.900
CPLE6;26/07/2023;8,36;8,69;8,34;8,56;234.710.616,00;27.499.300
CPLE6;25/07/2023;8,19;8,38;8,17;8,28;78.057.624,00;9.406.800
CPLE6;24/07/2023;8,12;8,28;8,04;8,13;143.652.995,00;17.645.600
CPLE6;21/07/2023;8,00;8,14;7,98;8,11;103.186.574,00;12.760.200
CPLE6;20/07/2023;8,00;8,09;7,96;7,97;46.883.390,00;5.859.400
CPLE6;19/07/2023;7,97;8,08;7,91;7,99;37.634.360,00;4.707.000
CPLE6;18/07/2023;8,07;8,08;7,89;7,98;96.163.249,00;12.079.200
CPLE6;17/07/2023;8,15;8,18;8,06;8,09;97.025.440,00;11.945.100
CPLE6;14/07/2023;8,18;8,18;8,07;8,15;89.118.279,00;10.959.500
CPLE6;13/07/2023;8,05;8,18;8,00;8,14;69.915.345,00;8.589.000
CPLE6;12/07/2023;8,10;8,12;8,02;8,04;71.615.918,00;8.872.400
CPLE6;11/07/2023;8,10;8,16;7,86;8,09;96.899.896,00;12.039.900
CPLE6;10/07/2023;8,10;8,14;8,04;8,04;40.218.037,00;4.980.200
CPLE6;07/07/2023;8,10;8,18;8,07;8,10;69.630.627,00;8.549.600
CPLE6;06/07/2023;8,12;8,14;8,02;8,10;109.347.593,00;13.532.800
CPLE6;05/07/2023;8,17;8,22;8,05;8,12;161.043.244,00;19.799.300
CPLE6;04/07/2023;8,20;8,22;8,11;8,17;64.475.051,00;7.894.900
CPLE6;03/07/2023;8,28;8,30;8,10;8,17;98.167.650,00;11.987.800
CPLE6;30/06/2023;8,15;8,39;8,14;8,29;180.501.243,00;21.784.400
CPLE6;29/06/2023;7,85;8,26;7,84;8,08;162.155.509,00;20.041.000
CPLE6;28/06/2023;7,85;7,92;7,80;7,82;66.277.527,00;8.427.000
CPLE6;27/06/2023;7,97;8,00;7,77;7,85;150.656.575,00;19.215.600
CPLE6;26/06/2023;8,09;8,09;7,87;7,94;86.776.839,00;10.919.700
CPLE6;23/06/2023;7,66;8,19;7,64;8,07;181.479.055,00;22.630.900
CPLE6;22/06/2023;7,86;7,90;7,59;7,68;148.012.644,00;19.212.100
CPLE6;21/06/2023;7,95;7,96;7,85;7,87;58.107.071,00;7.375.500
CPLE6;20/06/2023;7,83;7,97;7,82;7,90;75.697.448,00;9.576.900
CPLE6;19/06/2023;7,76;7,92;7,73;7,83;58.513.537,00;7.450.500
CPLE6;16/06/2023;7,87;7,91;7,76;7,77;79.120.732,00;10.127.900
CPLE6;15/06/2023;7,90;7,97;7,80;7,88;145.707.851,00;18.477.400
CPLE6;14/06/2023;7,88;7,92;7,79;7,90;130.865.083,00;16.633.000
CPLE6;13/06/2023;7,99;8,02;7,84;7,86;115.518.817,00;14.618.600
CPLE6;12/06/2023;7,99;8,02;7,91;7,95;131.370.592,00;16.471.700
CPLE6;09/06/2023;7,78;8,05;7,78;7,98;230.389.764,00;28.969.900
CPLE6;07/06/2023;7,61;7,74;7,56;7,70;159.972.230,00;20.806.500
CPLE6;06/06/2023;7,50;7,61;7,46;7,57;93.545.066,00;12.401.500
CPLE6;05/06/2023;7,46;7,52;7,41;7,48;117.855.385,00;15.793.600
CPLE6;02/06/2023;7,52;7,56;7,42;7,46;103.488.673,00;13.848.700
CPLE6;01/06/2023;7,44;7,53;7,26;7,45;244.668.149,00;33.041.600
CPLE6;31/05/2023;7,55;7,59;7,42;7,42;96.502.105,00;12.925.600
CPLE6;30/05/2023;7,77;7,82;7,55;7,56;132.812.748,00;17.435.900
CPLE6;29/05/2023;7,69;7,77;7,64;7,70;50.586.908,00;6.542.000
CPLE6;26/05/2023;7,74;7,79;7,62;7,68;105.175.835,00;13.671.800
CPLE6;25/05/2023;7,60;7,74;7,53;7,68;116.858.556,00;15.271.200
CPLE6;24/05/2023;7,60;7,68;7,53;7,54;76.216.143,00;10.046.200
CPLE6;23/05/2023;7,54;7,69;7,51;7,63;124.993.515,00;16.382.600
CPLE6;22/05/2023;7,56;7,63;7,51;7,54;67.635.693,00;8.950.700
CPLE6;19/05/2023;7,58;7,65;7,54;7,56;115.551.914,00;15.221.600
CPLE6;18/05/2023;7,60;7,62;7,46;7,57;124.571.525,00;16.524.000
CPLE6;17/05/2023;7,72;7,80;7,60;7,60;52.699.598,00;6.871.800
CPLE6;16/05/2023;7,76;7,84;7,69;7,70;84.272.061,00;10.890.000
CPLE6;15/05/2023;7,77;7,81;7,67;7,77;56.134.856,00;7.249.000
CPLE6;12/05/2023;7,86;7,86;7,75;7,77;118.450.910,00;15.193.100
CPLE6;11/05/2023;7,90;7,94;7,73;7,87;129.642.141,00;16.552.200
CPLE6;10/05/2023;7,87;8,07;7,87;7,95;130.231.790,00;16.322.900
CPLE6;09/05/2023;7,70;7,92;7,64;7,86;96.634.840,00;12.362.800
CPLE6;08/05/2023;7,88;7,90;7,69;7,74;97.769.679,00;12.630.000
CPLE6;05/05/2023;7,98;7,99;7,77;7,85;126.355.700,00;16.122.000
CPLE6;04/05/2023;7,89;7,96;7,75;7,95;115.059.542,00;14.598.800
CPLE6;03/05/2023;8,02;8,05;7,81;7,87;146.400.873,00;18.547.200
CPLE6;02/05/2023;7,98;8,04;7,91;8,02;174.604.180,00;21.861.500
CPLE6;28/04/2023;7,99;8,02;7,84;8,02;112.933.869,00;14.178.300
CPLE6;27/04/2023;7,85;8,02;7,81;7,94;94.378.619,00;11.909.200
CPLE6;26/04/2023;7,96;8,12;7,75;7,85;127.978.968,00;16.237.100
CPLE6;25/04/2023;7,86;7,88;7,70;7,84;126.766.004,00;16.198.600
CPLE6;24/04/2023;7,75;7,88;7,71;7,80;86.604.938,00;11.119.800
CPLE6;20/04/2023;7,73;7,77;7,63;7,77;65.538.105,00;8.487.700
CPLE6;19/04/2023;7,66;7,81;7,63;7,66;88.330.773,00;11.450.700
CPLE6;18/04/2023;7,78;7,78;7,60;7,68;78.245.915,00;10.220.700
CPLE6;17/04/2023;7,87;7,90;7,65;7,76;69.221.206,00;8.942.900
CPLE6;14/04/2023;7,80;7,93;7,73;7,87;118.446.222,00;15.113.400
CPLE6;13/04/2023;7,65;7,90;7,61;7,83;159.212.685,00;20.517.600
CPLE6;12/04/2023;7,44;7,72;7,38;7,63;173.186.035,00;22.791.200
CPLE6;11/04/2023;7,42;7,63;7,31;7,41;205.225.382,00;27.505.800
CPLE6;10/04/2023;7,18;7,20;7,07;7,17;55.795.969,00;7.816.800
CPLE6;06/04/2023;7,14;7,15;7,05;7,13;59.083.094,00;8.311.100
CPLE6;05/04/2023;7,15;7,18;7,02;7,14;89.135.587,00;12.538.600
CPLE6;04/04/2023;7,01;7,15;6,94;7,15;106.196.899,00;15.002.200
CPLE6;03/04/2023;6,96;7,01;6,83;7,00;105.946.536,00;15.259.800
CPLE6;31/03/2023;7,02;7,08;6,92;6,94;101.885.957,00;14.604.800
CPLE6;30/03/2023;6,94;7,04;6,91;7,01;76.799.687,00;10.987.500
CPLE6;29/03/2023;6,92;6,96;6,74;6,89;115.036.283,00;16.760.500
CPLE6;28/03/2023;6,81;7,09;6,81;6,90;109.721.728,00;15.736.400
CPLE6;27/03/2023;6,78;6,85;6,73;6,82;47.506.592,00;6.983.800
CPLE6;24/03/2023;6,61;6,78;6,59;6,72;65.282.938,00;9.731.900
CPLE6;23/03/2023;6,69;6,75;6,55;6,61;79.593.984,00;12.005.300
