Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CRFB3;14/09/2023;10,79;10,84;10,63;10,66;3.665.633,00;340.800
CRFB3;13/09/2023;10,34;10,91;10,31;10,75;85.203.766,00;7.958.900
CRFB3;12/09/2023;10,23;10,45;10,23;10,34;32.967.616,00;3.183.000
CRFB3;11/09/2023;10,25;10,32;10,11;10,25;31.932.509,00;3.122.200
CRFB3;08/09/2023;10,13;10,23;9,97;10,17;51.712.367,00;5.099.500
CRFB3;06/09/2023;10,58;10,63;10,17;10,18;54.879.921,00;5.344.800
CRFB3;05/09/2023;10,60;10,73;10,41;10,62;72.264.960,00;6.833.500
CRFB3;04/09/2023;10,55;10,72;10,44;10,64;27.076.940,00;2.547.500
CRFB3;01/09/2023;10,30;10,82;10,30;10,55;98.987.262,00;9.305.500
CRFB3;31/08/2023;10,66;10,66;10,26;10,26;82.898.854,00;8.016.000
CRFB3;30/08/2023;10,83;10,87;10,65;10,65;43.601.720,00;4.055.100
CRFB3;29/08/2023;10,65;10,95;10,57;10,85;63.875.800,00;5.935.800
CRFB3;28/08/2023;10,53;10,75;10,41;10,59;74.233.534,00;7.011.400
CRFB3;25/08/2023;10,77;10,83;10,53;10,54;102.392.280,00;9.629.100
CRFB3;24/08/2023;10,96;11,01;10,76;10,80;74.221.880,00;6.824.300
CRFB3;23/08/2023;11,24;11,32;10,95;11,04;109.728.570,00;9.904.700
CRFB3;22/08/2023;11,40;11,42;11,07;11,25;97.455.008,00;8.699.600
CRFB3;21/08/2023;11,85;11,85;11,36;11,36;47.428.602,00;4.124.900
CRFB3;18/08/2023;11,24;11,86;11,21;11,85;114.134.221,00;9.778.600
CRFB3;17/08/2023;11,31;11,42;11,11;11,26;95.229.209,00;8.467.900
CRFB3;16/08/2023;11,44;11,50;11,20;11,26;89.480.339,00;7.933.900
CRFB3;15/08/2023;11,33;11,43;10,95;11,32;123.316.116,00;10.998.500
CRFB3;14/08/2023;11,83;11,83;11,15;11,24;89.487.620,00;7.859.600
CRFB3;11/08/2023;11,90;12,08;11,79;11,80;137.675.707,00;11.513.200
CRFB3;10/08/2023;11,83;12,04;11,76;11,92;61.855.209,00;5.204.500
CRFB3;09/08/2023;12,04;12,10;11,70;11,78;119.816.306,00;10.113.700
CRFB3;08/08/2023;11,86;12,20;11,73;12,05;139.701.860,00;11.620.700
CRFB3;07/08/2023;12,08;12,17;11,80;12,10;253.460.886,00;21.121.500
CRFB3;04/08/2023;12,30;12,46;11,82;12,00;1.155.168.147,00;94.262.600
CRFB3;03/08/2023;13,45;13,85;12,74;12,87;186.418.975,00;14.068.600
CRFB3;02/08/2023;13,62;13,63;13,23;13,32;76.857.113,00;5.739.100
CRFB3;01/08/2023;13,56;14,00;13,44;13,64;77.382.224,00;5.653.100
CRFB3;31/07/2023;12,74;13,72;12,68;13,72;196.710.815,00;14.723.800
CRFB3;28/07/2023;12,35;12,99;12,03;12,67;172.927.459,00;13.640.600
CRFB3;27/07/2023;12,84;13,08;12,28;12,30;161.476.240,00;12.732.400
CRFB3;26/07/2023;12,00;12,58;12,00;12,43;305.832.328,00;24.740.000
CRFB3;25/07/2023;11,33;11,66;11,26;11,50;130.603.872,00;11.395.100
CRFB3;24/07/2023;10,93;11,18;10,67;11,15;76.686.377,00;6.981.900
CRFB3;21/07/2023;10,56;11,01;10,50;10,93;40.650.863,00;3.735.200
CRFB3;20/07/2023;10,72;10,84;10,49;10,53;53.089.667,00;5.011.600
CRFB3;19/07/2023;10,84;10,84;10,64;10,70;42.304.471,00;3.942.900
CRFB3;18/07/2023;10,93;11,15;10,71;10,87;56.138.752,00;5.145.100
CRFB3;17/07/2023;10,84;11,08;10,72;11,02;67.452.927,00;6.169.300
CRFB3;14/07/2023;11,10;11,10;10,74;10,84;55.626.639,00;5.129.100
CRFB3;13/07/2023;11,31;11,45;11,08;11,11;74.931.524,00;6.661.300
CRFB3;12/07/2023;11,62;11,73;11,36;11,47;43.932.140,00;3.815.500
CRFB3;11/07/2023;11,45;11,57;11,14;11,48;55.397.831,00;4.846.900
CRFB3;10/07/2023;11,65;11,89;11,47;11,52;69.662.623,00;5.993.200
CRFB3;07/07/2023;11,08;11,78;11,00;11,63;69.736.300,00;6.060.700
CRFB3;06/07/2023;11,54;11,54;10,95;10,99;85.319.105,00;7.689.400
CRFB3;05/07/2023;11,25;11,63;11,23;11,55;56.223.168,00;4.881.400
CRFB3;04/07/2023;11,37;11,39;11,21;11,35;27.100.040,00;2.398.000
CRFB3;03/07/2023;11,28;11,51;11,17;11,35;61.102.078,00;5.382.700
CRFB3;30/06/2023;11,00;11,38;10,81;11,20;98.900.331,00;8.857.100
CRFB3;29/06/2023;11,04;11,10;10,84;10,92;68.885.076,00;6.288.700
CRFB3;28/06/2023;10,72;11,08;10,55;10,95;87.902.302,00;8.060.700
CRFB3;27/06/2023;11,27;11,27;10,63;10,75;93.347.105,00;8.655.300
CRFB3;26/06/2023;11,33;11,37;11,03;11,11;52.777.521,00;4.728.800
CRFB3;23/06/2023;11,04;11,40;10,99;11,31;85.039.634,00;7.547.600
CRFB3;22/06/2023;10,82;11,06;10,66;11,02;61.968.669,00;5.720.300
CRFB3;21/06/2023;11,14;11,15;10,81;10,93;78.555.877,00;7.178.300
CRFB3;20/06/2023;11,16;11,25;10,98;11,17;85.795.124,00;7.714.700
CRFB3;19/06/2023;10,81;11,10;10,68;11,08;92.345.719,00;8.376.200
CRFB3;16/06/2023;11,54;11,55;10,79;10,79;210.537.843,00;19.221.800
CRFB3;15/06/2023;11,65;11,70;11,45;11,55;80.191.910,00;6.881.500
CRFB3;14/06/2023;11,45;11,78;11,34;11,65;91.322.813,00;7.839.700
CRFB3;13/06/2023;11,60;11,92;11,39;11,42;95.929.421,00;8.281.700
