Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSAN3;14/09/2023;17,97;18,12;17,91;18,04;13.111.882,00;727.200
CSAN3;13/09/2023;17,90;18,05;17,75;17,86;79.962.590,00;4.467.000
CSAN3;12/09/2023;17,68;17,97;17,68;17,84;65.128.016,00;3.651.300
CSAN3;11/09/2023;17,41;17,72;17,28;17,65;67.341.096,00;3.841.500
CSAN3;08/09/2023;17,44;17,49;17,21;17,32;78.341.845,00;4.521.700
CSAN3;06/09/2023;17,70;17,88;17,43;17,45;94.259.244,00;5.377.400
CSAN3;05/09/2023;17,70;17,83;17,48;17,71;104.218.336,00;5.888.300
CSAN3;04/09/2023;17,81;17,99;17,68;17,77;55.968.443,00;3.148.000
CSAN3;01/09/2023;17,65;18,01;17,60;17,92;81.410.870,00;4.547.100
CSAN3;31/08/2023;18,19;18,24;17,47;17,52;150.290.939,00;8.515.100
CSAN3;30/08/2023;18,20;18,45;18,10;18,20;88.043.588,00;4.830.400
CSAN3;29/08/2023;18,00;18,15;17,86;18,12;157.457.991,00;8.760.400
CSAN3;28/08/2023;17,88;18,00;17,71;17,96;63.511.438,00;3.556.800
CSAN3;25/08/2023;17,99;18,11;17,78;17,89;63.291.218,00;3.540.200
CSAN3;24/08/2023;18,14;18,32;17,91;18,01;98.062.018,00;5.433.800
CSAN3;23/08/2023;18,16;18,48;18,08;18,25;154.891.510,00;8.464.000
CSAN3;22/08/2023;18,10;18,28;17,92;18,24;124.317.202,00;6.854.400
CSAN3;21/08/2023;18,08;18,10;17,72;17,93;95.828.557,00;5.356.100
CSAN3;18/08/2023;17,84;18,13;17,69;18,01;79.700.238,00;4.422.500
CSAN3;17/08/2023;18,37;18,44;17,89;17,89;127.913.796,00;7.063.200
CSAN3;16/08/2023;18,34;18,50;18,12;18,22;170.382.218,00;9.313.200
CSAN3;15/08/2023;18,96;19,16;18,38;18,44;194.738.081,00;10.444.600
CSAN3;14/08/2023;19,00;19,00;18,68;18,89;122.455.504,00;6.486.200
CSAN3;11/08/2023;19,26;19,43;18,97;19,04;84.957.535,00;4.445.700
CSAN3;10/08/2023;19,30;19,67;19,27;19,35;70.275.916,00;3.618.200
CSAN3;09/08/2023;19,45;19,49;19,12;19,30;65.453.346,00;3.394.200
CSAN3;08/08/2023;19,34;19,54;18,97;19,40;111.786.404,00;5.783.700
CSAN3;07/08/2023;19,62;19,77;19,53;19,53;63.549.046,00;3.245.700
CSAN3;04/08/2023;19,90;20,09;19,63;19,71;108.262.804,00;5.448.100
CSAN3;03/08/2023;20,01;20,21;19,86;19,97;115.257.446,00;5.765.200
CSAN3;02/08/2023;19,84;20,00;19,55;19,94;98.204.997,00;4.949.700
CSAN3;01/08/2023;19,80;19,96;19,53;19,88;167.310.386,00;8.479.500
CSAN3;31/07/2023;19,98;20,09;19,82;19,94;103.269.132,00;5.180.000
CSAN3;28/07/2023;19,87;19,96;19,55;19,75;100.655.625,00;5.113.600
CSAN3;27/07/2023;20,32;20,64;19,68;19,74;149.008.303,00;7.469.800
CSAN3;26/07/2023;20,48;20,54;20,12;20,26;199.720.160,00;9.857.800
CSAN3;25/07/2023;20,45;20,81;20,24;20,49;253.597.437,00;12.325.400
CSAN3;24/07/2023;19,80;20,21;19,63;20,09;192.008.519,00;9.602.200
CSAN3;21/07/2023;19,40;19,82;19,34;19,72;100.846.139,00;5.121.000
CSAN3;20/07/2023;19,50;19,50;19,18;19,38;71.752.231,00;3.709.500
CSAN3;19/07/2023;19,51;19,56;19,06;19,32;64.675.192,00;3.351.800
CSAN3;18/07/2023;19,46;19,73;19,30;19,45;72.570.040,00;3.723.400
CSAN3;17/07/2023;19,35;19,56;19,16;19,53;73.249.265,00;3.771.300
CSAN3;14/07/2023;19,75;19,83;19,17;19,35;93.532.559,00;4.817.000
CSAN3;13/07/2023;19,21;19,85;19,21;19,81;220.868.225,00;11.232.700
CSAN3;12/07/2023;19,00;19,52;19,00;19,14;150.117.282,00;7.773.700
CSAN3;11/07/2023;18,70;19,22;18,33;18,97;294.234.398,00;15.555.600
CSAN3;10/07/2023;19,05;19,12;18,72;18,87;121.845.866,00;6.436.300
CSAN3;07/07/2023;18,34;19,22;18,28;18,96;240.466.461,00;12.709.900
CSAN3;06/07/2023;18,40;18,53;18,05;18,27;160.619.466,00;8.772.800
CSAN3;05/07/2023;18,25;18,80;18,17;18,59;247.185.859,00;13.270.800
CSAN3;04/07/2023;18,41;18,44;18,17;18,31;70.531.006,00;3.853.600
CSAN3;03/07/2023;17,95;18,47;17,92;18,38;154.847.877,00;8.439.900
CSAN3;30/06/2023;17,96;18,14;17,84;17,86;160.194.976,00;8.918.200
CSAN3;29/06/2023;17,49;17,88;17,49;17,80;82.452.151,00;4.638.200
CSAN3;28/06/2023;17,67;17,77;17,48;17,57;138.680.506,00;7.869.700
