Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSMG3;14/09/2023;18,79;19,02;18,79;18,91;3.145.884,00;166.300
CSMG3;13/09/2023;18,45;18,93;18,35;18,74;34.594.006,00;1.842.600
CSMG3;12/09/2023;18,26;18,52;18,21;18,38;21.170.223,00;1.150.300
CSMG3;11/09/2023;18,19;18,35;18,08;18,26;20.016.372,00;1.099.500
CSMG3;08/09/2023;17,96;18,16;17,83;18,02;17.845.680,00;990.700
CSMG3;06/09/2023;18,25;18,55;17,90;18,00;27.705.832,00;1.530.900
CSMG3;05/09/2023;18,47;18,49;18,25;18,28;24.733.461,00;1.346.900
CSMG3;04/09/2023;18,65;18,69;18,38;18,51;23.342.164,00;1.259.100
CSMG3;01/09/2023;18,10;18,71;18,01;18,54;68.690.127,00;3.721.500
CSMG3;31/08/2023;18,44;18,45;17,79;17,92;27.778.202,00;1.540.900
CSMG3;30/08/2023;18,69;18,69;18,23;18,35;26.632.790,00;1.448.300
CSMG3;29/08/2023;18,77;18,90;18,39;18,57;24.438.849,00;1.320.300
CSMG3;28/08/2023;18,77;18,89;18,48;18,67;23.011.444,00;1.237.200
CSMG3;25/08/2023;18,85;19,55;18,42;18,77;72.254.096,00;3.845.300
CSMG3;24/08/2023;18,91;19,20;18,61;18,67;44.660.451,00;2.372.500
CSMG3;23/08/2023;19,63;19,63;18,62;18,77;48.246.451,00;2.559.700
CSMG3;22/08/2023;19,20;20,21;19,20;19,49;92.408.739,00;4.683.200
CSMG3;21/08/2023;18,51;19,27;18,35;19,09;72.806.882,00;3.850.700
CSMG3;18/08/2023;18,30;18,50;18,19;18,43;42.275.160,00;2.299.700
CSMG3;17/08/2023;18,65;18,65;18,10;18,35;68.538.468,00;3.753.800
CSMG3;16/08/2023;17,80;18,36;17,65;18,34;60.897.993,00;3.350.000
CSMG3;15/08/2023;17,79;18,02;17,66;17,72;25.361.481,00;1.428.200
CSMG3;14/08/2023;17,85;18,06;17,59;17,79;35.037.233,00;1.960.200
CSMG3;11/08/2023;17,84;18,00;17,56;17,69;48.158.659,00;2.717.500
CSMG3;10/08/2023;17,90;18,07;17,73;17,75;22.443.372,00;1.260.300
CSMG3;09/08/2023;17,86;17,99;17,68;17,73;27.145.395,00;1.527.500
