Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSNA3;14/09/2023;12,37;12,59;12,31;12,39;46.166.680,00;3.701.900
CSNA3;13/09/2023;12,12;12,21;11,99;12,05;58.753.671,00;4.849.600
CSNA3;12/09/2023;12,13;12,25;12,10;12,15;81.041.256,00;6.651.700
CSNA3;11/09/2023;12,15;12,21;11,94;12,13;96.648.193,00;7.997.600
CSNA3;08/09/2023;12,00;12,01;11,79;11,93;77.684.000,00;6.528.200
CSNA3;06/09/2023;12,47;12,51;12,07;12,17;96.807.059,00;7.918.200
CSNA3;05/09/2023;12,54;12,56;12,38;12,39;65.939.384,00;5.301.700
CSNA3;04/09/2023;12,29;12,82;12,29;12,60;98.005.957,00;7.761.100
CSNA3;01/09/2023;12,30;12,49;12,24;12,31;95.776.586,00;7.765.800
CSNA3;31/08/2023;12,29;12,34;12,11;12,11;155.365.842,00;12.761.100
CSNA3;30/08/2023;12,25;12,40;12,19;12,24;77.579.279,00;6.316.300
CSNA3;29/08/2023;12,00;12,20;11,95;12,17;84.181.593,00;6.943.800
CSNA3;28/08/2023;11,94;12,13;11,85;11,95;112.835.066,00;9.414.500
CSNA3;25/08/2023;11,99;12,04;11,83;11,90;61.645.498,00;5.178.600
CSNA3;24/08/2023;12,17;12,21;11,89;11,98;91.008.307,00;7.601.600
CSNA3;23/08/2023;12,31;12,38;12,08;12,26;108.856.509,00;8.894.200
CSNA3;22/08/2023;12,31;12,43;12,19;12,24;64.827.141,00;5.282.300
CSNA3;21/08/2023;12,19;12,26;12,08;12,16;53.000.705,00;4.359.300
CSNA3;18/08/2023;12,04;12,34;12,00;12,22;175.602.006,00;14.370.000
CSNA3;17/08/2023;12,39;12,43;12,02;12,04;98.050.773,00;8.051.500
CSNA3;16/08/2023;12,21;12,32;12,11;12,15;69.312.447,00;5.686.400
CSNA3;15/08/2023;12,34;12,38;12,15;12,21;51.926.458,00;4.238.900
CSNA3;14/08/2023;12,40;12,47;12,23;12,29;81.655.099,00;6.627.400
