Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CVCB3;14/09/2023;2,46;2,48;2,41;2,42;6.392.243,00;2.614.700
CVCB3;13/09/2023;2,46;2,51;2,43;2,44;33.873.078,00;13.685.000
CVCB3;12/09/2023;2,35;2,48;2,34;2,46;41.905.374,00;17.234.300
CVCB3;11/09/2023;2,36;2,40;2,28;2,37;30.078.672,00;12.928.400
CVCB3;08/09/2023;2,28;2,37;2,27;2,34;38.113.234,00;16.288.000
CVCB3;06/09/2023;2,41;2,43;2,29;2,31;47.335.606,00;20.237.900
CVCB3;05/09/2023;2,55;2,56;2,42;2,43;50.890.821,00;20.449.000
CVCB3;04/09/2023;2,59;2,65;2,55;2,58;34.721.311,00;13.381.500
CVCB3;01/09/2023;2,50;2,71;2,50;2,59;89.662.416,00;34.300.500
CVCB3;31/08/2023;2,77;2,80;2,48;2,48;126.718.842,00;49.624.400
CVCB3;30/08/2023;2,35;2,80;2,35;2,74;195.700.675,00;74.150.300
CVCB3;29/08/2023;2,21;2,35;2,17;2,34;50.263.117,00;22.218.600
CVCB3;28/08/2023;2,28;2,29;2,18;2,20;41.878.186,00;18.852.000
CVCB3;25/08/2023;2,43;2,43;2,27;2,27;54.128.470,00;23.372.300
CVCB3;24/08/2023;2,55;2,56;2,42;2,43;52.219.792,00;21.221.100
CVCB3;23/08/2023;2,55;2,57;2,51;2,53;36.959.052,00;14.528.100
CVCB3;22/08/2023;2,53;2,57;2,49;2,54;38.955.200,00;15.429.000
CVCB3;21/08/2023;2,55;2,58;2,48;2,50;47.011.817,00;18.706.600
CVCB3;18/08/2023;2,54;2,65;2,52;2,57;43.136.940,00;16.706.100
CVCB3;17/08/2023;2,53;2,67;2,52;2,54;62.975.242,00;24.355.300
CVCB3;16/08/2023;2,51;2,55;2,47;2,52;49.785.447,00;19.785.600
CVCB3;15/08/2023;2,63;2,63;2,48;2,51;62.722.269,00;24.802.400
CVCB3;14/08/2023;2,66;2,69;2,58;2,61;50.130.515,00;19.110.500
CVCB3;11/08/2023;2,71;2,74;2,65;2,67;55.267.191,00;20.517.800
CVCB3;10/08/2023;2,68;2,79;2,67;2,69;78.589.278,00;28.861.200
