Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CYRE3;14/09/2023;22,61;22,61;22,05;22,07;45.966.950,00;2.069.300
CYRE3;13/09/2023;22,66;23,10;22,44;22,56;164.272.342,00;7.217.100
CYRE3;12/09/2023;22,20;22,71;22,04;22,54;63.159.579,00;2.808.400
CYRE3;11/09/2023;21,73;22,46;21,73;22,21;145.657.244,00;6.591.100
CYRE3;08/09/2023;21,37;21,73;21,18;21,58;106.500.175,00;4.966.500
CYRE3;06/09/2023;21,85;22,10;21,28;21,47;136.542.529,00;6.316.800
CYRE3;05/09/2023;22,40;22,40;21,82;21,90;105.550.021,00;4.797.500
CYRE3;04/09/2023;22,66;22,90;22,12;22,46;58.320.319,00;2.599.800
CYRE3;01/09/2023;22,65;23,02;22,52;22,79;97.018.221,00;4.268.900
CYRE3;31/08/2023;23,11;23,11;22,38;22,44;84.806.247,00;3.755.500
CYRE3;30/08/2023;23,55;23,70;23,00;23,07;57.562.494,00;2.480.600
CYRE3;29/08/2023;23,35;23,71;23,16;23,46;46.602.275,00;1.987.900
CYRE3;28/08/2023;23,04;23,47;22,91;23,29;108.880.755,00;4.681.500
CYRE3;25/08/2023;23,67;23,68;22,86;23,15;93.388.741,00;4.030.500
CYRE3;24/08/2023;24,26;24,31;23,57;23,78;81.899.833,00;3.434.000
CYRE3;23/08/2023;23,93;24,36;23,67;24,20;191.985.529,00;7.978.500
CYRE3;22/08/2023;23,51;24,00;23,51;23,83;258.429.998,00;10.864.900
CYRE3;21/08/2023;23,55;23,83;23,03;23,45;126.315.570,00;5.410.700
CYRE3;18/08/2023;23,17;23,74;22,91;23,70;121.307.231,00;5.160.900
CYRE3;17/08/2023;24,50;24,70;23,17;23,41;165.319.123,00;6.982.300
CYRE3;16/08/2023;24,70;25,07;24,28;24,45;106.584.887,00;4.322.100
CYRE3;15/08/2023;24,65;24,97;24,12;24,64;109.682.370,00;4.468.500
CYRE3;14/08/2023;25,67;25,71;24,28;24,67;142.005.321,00;5.732.900
CYRE3;11/08/2023;25,45;25,90;25,23;25,71;174.318.935,00;6.803.600
CYRE3;10/08/2023;25,00;25,25;24,81;25,07;85.088.281,00;3.404.100
CYRE3;09/08/2023;24,95;25,04;24,67;24,87;71.560.238,00;2.882.800
CYRE3;08/08/2023;24,40;25,32;24,08;24,97;129.991.849,00;5.215.600
CYRE3;07/08/2023;25,00;25,08;24,76;24,90;68.791.375,00;2.763.500
CYRE3;04/08/2023;24,85;25,27;24,75;24,98;188.453.196,00;7.533.500
CYRE3;03/08/2023;24,79;25,49;24,35;24,77;310.937.049,00;12.480.400
CYRE3;02/08/2023;23,54;24,47;23,31;24,10;192.485.329,00;8.065.500
CYRE3;01/08/2023;23,61;23,70;23,21;23,52;284.841.834,00;12.122.600
CYRE3;31/07/2023;23,79;24,22;23,62;23,82;93.056.751,00;3.886.300
