Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DIRR3;14/09/2023;20,16;20,27;19,99;19,99;5.140.238,00;254.900
DIRR3;13/09/2023;20,42;20,71;20,07;20,12;71.797.413,00;3.539.700
DIRR3;12/09/2023;20,38;20,56;20,20;20,50;22.227.451,00;1.087.100
DIRR3;11/09/2023;19,93;20,38;19,81;20,38;44.571.685,00;2.205.600
DIRR3;08/09/2023;19,69;19,99;19,61;19,93;21.392.402,00;1.078.000
DIRR3;06/09/2023;20,07;20,12;19,62;19,74;34.340.770,00;1.736.400
DIRR3;05/09/2023;20,29;20,31;19,82;20,00;34.432.414,00;1.719.500
DIRR3;04/09/2023;20,83;20,90;20,20;20,45;25.810.763,00;1.261.200
DIRR3;01/09/2023;20,50;20,97;20,29;20,82;35.634.195,00;1.719.500
DIRR3;31/08/2023;20,60;20,66;19,84;20,25;45.802.307,00;2.269.000
DIRR3;30/08/2023;20,83;21,04;20,50;20,60;20.815.327,00;1.008.000
DIRR3;29/08/2023;20,61;20,85;20,45;20,79;26.300.072,00;1.275.300
DIRR3;28/08/2023;21,14;21,35;20,40;20,60;50.154.894,00;2.433.700
DIRR3;25/08/2023;21,73;21,85;21,13;21,17;23.084.408,00;1.083.300
DIRR3;24/08/2023;22,05;22,12;21,58;21,73;24.381.989,00;1.119.100
DIRR3;23/08/2023;21,85;22,24;21,64;22,10;24.523.500,00;1.112.700
DIRR3;22/08/2023;21,37;21,84;21,34;21,78;21.236.067,00;979.500
DIRR3;21/08/2023;21,55;21,72;21,23;21,31;38.525.979,00;1.802.900
DIRR3;18/08/2023;21,15;21,56;20,88;21,47;38.364.831,00;1.795.700
DIRR3;17/08/2023;22,20;22,48;21,09;21,26;51.826.786,00;2.408.900
DIRR3;16/08/2023;22,33;22,47;22,06;22,13;51.248.261,00;2.301.000
DIRR3;15/08/2023;22,04;22,36;21,80;22,23;59.888.552,00;2.711.200
DIRR3;14/08/2023;22,39;22,43;21,95;22,10;26.083.002,00;1.175.700
DIRR3;11/08/2023;22,00;22,44;21,85;22,31;35.565.778,00;1.604.600
DIRR3;10/08/2023;21,84;21,95;21,59;21,95;54.353.675,00;2.484.400
DIRR3;09/08/2023;22,14;22,32;21,68;21,87;64.572.557,00;2.951.300
DIRR3;08/08/2023;22,07;22,24;21,40;22,14;85.797.365,00;3.907.600
DIRR3;07/08/2023;21,87;22,19;21,59;22,14;38.168.173,00;1.736.400
