Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DXCO3;14/09/2023;8,18;8,30;8,11;8,14;4.386.007,00;534.600
DXCO3;13/09/2023;8,00;8,37;7,92;8,15;48.844.258,00;5.950.700
DXCO3;12/09/2023;7,74;8,07;7,69;8,01;22.079.848,00;2.787.800
DXCO3;11/09/2023;7,70;7,79;7,50;7,75;17.949.843,00;2.346.700
DXCO3;08/09/2023;7,62;7,72;7,45;7,63;24.073.494,00;3.163.100
DXCO3;06/09/2023;7,82;7,82;7,56;7,63;36.303.083,00;4.755.000
DXCO3;05/09/2023;8,05;8,08;7,68;7,79;139.174.153,00;17.975.500
DXCO3;04/09/2023;8,18;8,25;8,05;8,13;14.605.735,00;1.792.700
DXCO3;01/09/2023;8,00;8,22;7,86;8,20;39.160.341,00;4.811.100
DXCO3;31/08/2023;8,50;8,50;7,89;7,96;36.934.952,00;4.570.100
DXCO3;30/08/2023;8,29;8,58;8,28;8,50;33.565.224,00;3.962.900
DXCO3;29/08/2023;8,17;8,28;8,10;8,25;14.705.189,00;1.787.100
DXCO3;28/08/2023;7,91;8,18;7,90;8,13;17.942.167,00;2.219.000
DXCO3;25/08/2023;8,08;8,15;7,82;7,88;26.380.867,00;3.340.300
DXCO3;24/08/2023;8,32;8,32;8,07;8,10;17.728.836,00;2.174.900
DXCO3;23/08/2023;8,29;8,35;8,14;8,29;19.419.331,00;2.346.900
DXCO3;22/08/2023;8,23;8,38;8,17;8,23;17.060.652,00;2.070.900
DXCO3;21/08/2023;8,32;8,35;8,11;8,16;24.857.876,00;3.038.900
DXCO3;18/08/2023;8,29;8,39;8,17;8,30;35.242.176,00;4.259.300
DXCO3;17/08/2023;8,77;8,82;8,29;8,34;39.877.883,00;4.704.700
DXCO3;16/08/2023;8,72;8,95;8,60;8,66;35.312.706,00;4.006.300
DXCO3;15/08/2023;8,90;8,90;8,68;8,75;23.184.027,00;2.645.000
DXCO3;14/08/2023;8,87;9,05;8,72;8,84;40.716.825,00;4.595.400
DXCO3;11/08/2023;8,99;9,10;8,82;8,95;37.999.929,00;4.251.800
