Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ECOR3;14/09/2023;7,92;7,95;7,83;7,84;2.944.386,00;373.900
ECOR3;13/09/2023;7,86;8,01;7,82;7,83;23.811.339,00;3.014.400
ECOR3;12/09/2023;7,92;8,04;7,82;7,88;24.179.612,00;3.052.200
ECOR3;11/09/2023;7,79;7,89;7,70;7,89;21.339.990,00;2.731.200
ECOR3;08/09/2023;7,68;7,89;7,67;7,68;31.005.146,00;3.986.500
ECOR3;06/09/2023;7,70;7,86;7,68;7,69;27.136.904,00;3.511.100
ECOR3;05/09/2023;7,67;7,78;7,62;7,70;31.476.567,00;4.084.300
ECOR3;04/09/2023;7,72;7,81;7,68;7,75;26.433.728,00;3.412.000
ECOR3;01/09/2023;7,57;7,78;7,53;7,78;49.050.903,00;6.365.300
ECOR3;31/08/2023;7,71;7,74;7,42;7,55;35.999.062,00;4.778.900
ECOR3;30/08/2023;7,96;7,96;7,71;7,73;23.714.911,00;3.053.500
ECOR3;29/08/2023;7,86;8,00;7,82;7,91;21.182.903,00;2.682.800
ECOR3;28/08/2023;7,98;8,07;7,75;7,85;31.575.283,00;4.024.400
ECOR3;25/08/2023;8,00;8,08;7,83;7,94;22.568.147,00;2.844.900
ECOR3;24/08/2023;8,20;8,24;7,96;8,00;23.513.999,00;2.922.900
ECOR3;23/08/2023;7,96;8,24;7,94;8,18;26.103.668,00;3.205.200
ECOR3;22/08/2023;7,76;7,98;7,71;7,90;21.929.112,00;2.795.400
ECOR3;21/08/2023;7,70;7,75;7,56;7,68;28.206.194,00;3.679.500
ECOR3;18/08/2023;7,80;7,84;7,60;7,75;25.396.710,00;3.279.800
ECOR3;17/08/2023;8,05;8,09;7,75;7,79;20.913.617,00;2.669.500
ECOR3;16/08/2023;8,20;8,26;8,01;8,01;25.710.582,00;3.180.300
ECOR3;15/08/2023;8,14;8,29;8,06;8,19;35.770.726,00;4.349.400
ECOR3;14/08/2023;8,10;8,18;8,01;8,16;36.836.042,00;4.531.200
ECOR3;11/08/2023;8,27;8,34;7,99;8,02;22.060.284,00;2.725.200
