Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EGIE3;14/09/2023;42,24;42,39;42,19;42,26;3.207.034,00;75.800
EGIE3;13/09/2023;42,21;42,49;42,13;42,24;54.902.819,00;1.298.700
EGIE3;12/09/2023;42,01;42,44;41,96;42,20;37.680.395,00;891.800
EGIE3;11/09/2023;41,45;41,93;41,35;41,93;43.065.571,00;1.032.700
EGIE3;08/09/2023;41,28;41,47;41,11;41,36;38.576.204,00;934.300
EGIE3;06/09/2023;41,99;42,15;41,25;41,25;55.981.402,00;1.345.600
EGIE3;05/09/2023;42,35;42,36;41,83;42,00;64.499.441,00;1.534.200
EGIE3;04/09/2023;42,16;42,55;42,13;42,28;29.098.487,00;686.900
EGIE3;01/09/2023;42,37;42,47;42,13;42,13;40.402.610,00;955.900
EGIE3;31/08/2023;42,48;42,50;41,88;42,12;64.307.934,00;1.524.000
EGIE3;30/08/2023;42,76;42,89;42,35;42,35;55.240.189,00;1.294.500
EGIE3;29/08/2023;42,15;42,60;42,07;42,52;44.425.679,00;1.048.100
EGIE3;28/08/2023;42,15;42,39;41,98;42,12;39.466.125,00;937.500
EGIE3;25/08/2023;42,00;42,28;41,79;42,07;88.645.452,00;2.110.600
EGIE3;24/08/2023;41,65;41,79;41,39;41,75;40.821.505,00;979.800
EGIE3;23/08/2023;41,31;41,50;41,15;41,47;51.413.924,00;1.242.900
EGIE3;22/08/2023;41,37;41,58;40,83;41,25;74.086.375,00;1.801.100
EGIE3;21/08/2023;40,85;41,08;40,65;40,96;76.094.596,00;1.819.100
EGIE3;18/08/2023;40,63;41,10;40,53;40,86;47.082.939,00;1.124.200
EGIE3;17/08/2023;40,91;41,17;40,46;40,64;102.367.753,00;2.453.700
EGIE3;16/08/2023;41,01;41,23;40,74;40,91;75.465.755,00;1.800.200
EGIE3;15/08/2023;40,90;41,45;40,90;41,03;53.983.565,00;1.284.000
EGIE3;14/08/2023;40,93;41,14;40,67;40,99;54.932.077,00;1.311.300
EGIE3;11/08/2023;40,68;40,95;40,53;40,84;53.613.794,00;1.286.300
EGIE3;10/08/2023;40,62;41,03;40,52;40,52;91.181.889,00;2.186.200
EGIE3;09/08/2023;42,29;42,31;40,19;40,42;208.867.366,00;5.013.900
EGIE3;08/08/2023;42,18;42,49;41,80;42,29;58.925.318,00;1.362.900
EGIE3;07/08/2023;42,67;42,73;42,24;42,28;65.154.217,00;1.503.700
EGIE3;04/08/2023;42,74;43,11;42,32;42,48;48.533.550,00;1.111.700
EGIE3;03/08/2023;43,43;43,61;42,64;42,75;53.209.600,00;1.212.700
EGIE3;02/08/2023;43,36;43,50;43,01;43,34;45.445.314,00;1.026.000
EGIE3;01/08/2023;42,89;43,44;42,64;43,32;75.735.247,00;1.717.900
EGIE3;31/07/2023;43,49;43,56;42,97;43,05;49.282.247,00;1.116.400
EGIE3;28/07/2023;43,31;43,67;43,23;43,48;26.588.813,00;599.100
EGIE3;27/07/2023;43,78;43,99;43,15;43,30;51.186.621,00;1.150.800
