Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ELET3;14/09/2023;36,65;36,85;36,18;36,19;30.349.745,00;833.500
ELET3;13/09/2023;36,00;37,26;35,77;36,45;617.535.023,00;16.788.400
ELET3;12/09/2023;35,18;35,88;35,08;35,88;227.541.187,00;6.371.300
ELET3;11/09/2023;34,54;35,23;34,36;35,15;228.541.443,00;6.557.000
ELET3;08/09/2023;34,29;34,53;33,60;34,37;273.032.971,00;7.994.700
ELET3;06/09/2023;34,93;34,98;34,14;34,17;286.167.987,00;8.302.500
ELET3;05/09/2023;35,30;35,54;34,71;34,92;328.389.650,00;9.375.900
ELET3;04/09/2023;35,17;35,85;34,82;35,23;170.788.592,00;4.834.500
ELET3;01/09/2023;35,35;35,86;35,22;35,39;217.937.158,00;6.137.600
ELET3;31/08/2023;36,35;36,37;35,20;35,26;363.201.980,00;10.231.100
ELET3;30/08/2023;36,80;36,99;36,24;36,34;182.958.281,00;5.000.600
ELET3;29/08/2023;36,73;37,00;36,28;36,71;154.586.612,00;4.228.300
ELET3;28/08/2023;36,55;36,75;36,14;36,64;196.503.239,00;5.389.000
ELET3;25/08/2023;37,06;37,08;36,25;36,45;369.449.138,00;10.099.400
ELET3;24/08/2023;36,43;37,65;36,22;37,21;575.812.606,00;15.501.100
ELET3;23/08/2023;34,40;36,74;34,29;36,70;784.665.851,00;21.887.100
ELET3;22/08/2023;33,93;34,28;33,79;34,20;251.581.232,00;7.389.600
ELET3;21/08/2023;34,55;34,55;33,74;33,87;246.127.982,00;7.244.400
ELET3;18/08/2023;34,85;34,98;34,38;34,65;313.226.626,00;9.015.300
ELET3;17/08/2023;34,01;34,77;33,72;34,63;569.566.182,00;16.570.600
ELET3;16/08/2023;35,15;35,39;33,46;33,90;1.179.459.334,00;34.269.300
ELET3;15/08/2023;35,50;35,76;34,94;35,15;1.076.165.526,00;30.582.500
ELET3;14/08/2023;36,98;36,98;36,27;36,40;208.057.318,00;5.698.800
ELET3;11/08/2023;37,44;37,70;36,50;36,85;296.906.739,00;8.049.800
ELET3;10/08/2023;37,25;37,84;37,22;37,26;205.224.732,00;5.482.400
ELET3;09/08/2023;36,64;38,47;36,37;37,13;497.946.540,00;13.404.200
ELET3;08/08/2023;36,34;37,26;36,17;36,97;372.896.536,00;10.105.900
ELET3;07/08/2023;36,60;36,62;36,02;36,26;235.593.058,00;6.484.300
ELET3;04/08/2023;36,60;37,46;36,32;36,41;442.110.049,00;12.012.100
ELET3;03/08/2023;38,30;38,39;36,44;36,44;723.710.492,00;19.552.700
ELET3;02/08/2023;38,03;38,60;37,94;38,42;202.796.949,00;5.298.300
ELET3;01/08/2023;38,10;38,61;37,70;38,21;276.529.647,00;7.264.800
ELET3;31/07/2023;38,27;39,37;38,12;38,65;324.522.177,00;8.350.800
ELET3;28/07/2023;38,49;38,78;37,97;38,02;192.448.981,00;5.050.400
ELET3;27/07/2023;39,62;39,86;38,18;38,22;246.242.832,00;6.376.300
ELET3;26/07/2023;38,51;39,61;38,51;39,57;226.670.007,00;5.779.500
ELET3;25/07/2023;39,48;39,52;38,62;38,77;274.163.927,00;7.032.500
ELET3;24/07/2023;38,87;39,20;38,47;38,87;223.052.189,00;5.754.600
