Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EMBR3;14/09/2023;18,43;18,43;18,03;18,04;10.721.436,00;587.600
EMBR3;13/09/2023;18,11;18,49;18,01;18,27;102.152.017,00;5.581.600
EMBR3;12/09/2023;18,32;18,57;18,11;18,11;84.582.456,00;4.630.600
EMBR3;11/09/2023;18,55;18,58;17,96;18,32;141.797.202,00;7.778.500
EMBR3;08/09/2023;19,37;19,39;18,34;18,44;149.764.402,00;8.065.800
EMBR3;06/09/2023;19,56;19,91;19,28;19,41;112.490.638,00;5.747.900
EMBR3;05/09/2023;19,97;19,97;19,25;19,44;158.362.163,00;8.134.500
EMBR3;04/09/2023;19,87;20,17;19,84;19,98;80.307.600,00;4.014.500
EMBR3;01/09/2023;19,59;19,81;19,40;19,80;110.988.730,00;5.640.100
EMBR3;31/08/2023;19,22;19,52;19,07;19,49;127.877.849,00;6.591.400
EMBR3;30/08/2023;19,18;19,59;19,14;19,32;114.350.883,00;5.895.000
EMBR3;29/08/2023;19,10;19,50;19,01;19,05;153.248.062,00;7.981.400
EMBR3;28/08/2023;18,50;19,02;18,50;19,02;87.554.604,00;4.625.900
EMBR3;25/08/2023;18,64;18,78;18,36;18,49;91.337.615,00;4.932.300
EMBR3;24/08/2023;19,40;19,48;18,67;18,70;164.065.220,00;8.651.700
EMBR3;23/08/2023;19,11;19,69;19,08;19,36;209.829.326,00;10.809.500
EMBR3;22/08/2023;18,80;19,20;18,67;19,13;132.876.587,00;6.996.900
EMBR3;21/08/2023;18,65;18,74;18,36;18,73;95.455.487,00;5.139.900
EMBR3;18/08/2023;18,44;18,75;18,39;18,69;150.491.083,00;8.103.100
EMBR3;17/08/2023;18,24;18,42;17,83;18,40;120.518.584,00;6.621.100
EMBR3;16/08/2023;18,10;18,34;17,66;18,21;114.797.560,00;6.341.400
EMBR3;15/08/2023;18,26;18,42;17,90;18,22;95.508.845,00;5.250.100
EMBR3;14/08/2023;18,69;19,52;17,51;18,22;371.995.311,00;20.360.300
EMBR3;11/08/2023;18,03;18,46;17,96;18,46;100.194.327,00;5.476.700
EMBR3;10/08/2023;18,12;18,32;17,90;18,03;69.796.203,00;3.864.800
EMBR3;09/08/2023;18,01;18,09;17,71;18,03;61.711.603,00;3.440.100
EMBR3;08/08/2023;17,70;18,12;17,66;18,03;91.565.349,00;5.099.000
EMBR3;07/08/2023;17,40;17,94;17,24;17,88;124.380.235,00;7.027.200
EMBR3;04/08/2023;18,39;18,78;17,50;17,50;184.554.387,00;10.294.300
EMBR3;03/08/2023;18,60;18,87;18,38;18,42;75.482.076,00;4.060.400
EMBR3;02/08/2023;18,60;18,79;18,37;18,67;82.799.032,00;4.457.200
EMBR3;01/08/2023;18,43;19,13;18,35;18,75;207.824.592,00;11.083.900
EMBR3;31/07/2023;18,48;18,70;18,35;18,51;68.747.400,00;3.711.700
EMBR3;28/07/2023;18,12;18,50;18,11;18,37;72.888.582,00;3.972.400
EMBR3;27/07/2023;18,34;18,48;17,98;18,13;81.475.109,00;4.478.700
EMBR3;26/07/2023;18,26;18,55;17,90;18,20;131.995.899,00;7.271.900
EMBR3;25/07/2023;18,64;18,68;18,08;18,22;121.036.519,00;6.629.700
EMBR3;24/07/2023;17,70;18,47;17,70;18,38;125.971.790,00;6.929.000
EMBR3;21/07/2023;17,28;17,70;17,16;17,61;160.339.697,00;9.199.800
EMBR3;20/07/2023;17,40;17,60;17,18;17,18;76.237.211,00;4.394.300
EMBR3;19/07/2023;17,33;17,57;17,08;17,39;71.623.691,00;4.126.800
EMBR3;18/07/2023;17,42;17,66;16,96;17,32;84.688.348,00;4.878.600
EMBR3;17/07/2023;17,42;17,60;17,34;17,50;91.080.004,00;5.210.300
EMBR3;14/07/2023;17,81;17,98;17,40;17,45;80.167.401,00;4.558.900
EMBR3;13/07/2023;17,73;18,25;17,60;17,96;79.917.750,00;4.438.500
EMBR3;12/07/2023;18,13;18,13;17,72;17,72;68.016.735,00;3.803.300
EMBR3;11/07/2023;18,01;18,09;17,79;17,98;88.856.496,00;4.949.300
EMBR3;10/07/2023;18,14;18,39;18,05;18,13;77.033.510,00;4.240.500
EMBR3;07/07/2023;18,80;18,80;18,23;18,23;137.394.314,00;7.464.600
EMBR3;06/07/2023;18,66;18,87;18,37;18,60;95.733.191,00;5.153.900
EMBR3;05/07/2023;18,28;18,89;18,13;18,75;97.904.593,00;5.249.900
EMBR3;04/07/2023;18,28;18,38;18,24;18,30;56.446.784,00;3.085.000
EMBR3;03/07/2023;18,40;18,69;18,33;18,40;123.017.908,00;6.658.000
EMBR3;30/06/2023;18,59;18,78;18,52;18,54;162.426.023,00;8.723.900
EMBR3;29/06/2023;18,18;18,58;18,12;18,43;178.901.622,00;9.715.500
EMBR3;28/06/2023;17,43;18,26;17,41;18,18;229.338.482,00;12.737.400
EMBR3;27/06/2023;17,27;17,50;16,94;17,43;168.602.544,00;9.767.400
EMBR3;26/06/2023;17,36;17,36;16,86;17,06;201.343.357,00;11.780.000
EMBR3;23/06/2023;17,43;17,43;17,07;17,31;153.472.510,00;8.891.200
EMBR3;22/06/2023;17,80;17,80;17,06;17,27;235.287.563,00;13.630.900
EMBR3;21/06/2023;19,29;19,38;17,73;17,83;511.539.761,00;28.323.400
EMBR3;20/06/2023;20,24;20,29;19,19;19,26;372.522.020,00;19.163.200
EMBR3;19/06/2023;20,24;20,88;19,94;20,20;191.765.965,00;9.405.400
EMBR3;16/06/2023;20,55;20,58;19,90;20,13;208.671.987,00;10.364.000
EMBR3;15/06/2023;20,36;20,62;20,28;20,55;168.900.908,00;8.243.000
EMBR3;14/06/2023;20,10;20,41;20,05;20,40;248.418.675,00;12.259.600
EMBR3;13/06/2023;19,66;20,28;19,66;20,08;229.771.451,00;11.427.700
EMBR3;12/06/2023;19,57;19,88;19,33;19,67;124.552.646,00;6.355.700
EMBR3;09/06/2023;19,36;19,72;19,27;19,51;124.822.268,00;6.389.400
EMBR3;07/06/2023;19,48;19,75;19,17;19,24;129.305.529,00;6.683.100
EMBR3;06/06/2023;19,58;19,78;19,42;19,55;101.943.462,00;5.198.200
EMBR3;05/06/2023;19,64;19,70;19,20;19,45;112.571.614,00;5.786.900
EMBR3;02/06/2023;19,68;19,95;19,40;19,49;174.870.740,00;8.876.200
EMBR3;01/06/2023;18,96;19,58;18,88;19,46;225.322.407,00;11.629.300
EMBR3;31/05/2023;18,87;19,51;18,56;19,02;198.849.875,00;10.483.100
EMBR3;30/05/2023;18,99;19,16;18,68;18,88;150.975.538,00;7.997.100
EMBR3;29/05/2023;18,58;18,94;18,57;18,81;69.376.416,00;3.697.400
EMBR3;26/05/2023;18,01;18,56;18,01;18,48;134.641.702,00;7.323.600
EMBR3;25/05/2023;17,51;18,16;17,51;18,08;135.030.743,00;7.520.900
EMBR3;24/05/2023;17,73;17,86;17,24;17,39;115.637.452,00;6.636.100
EMBR3;23/05/2023;18,00;18,08;17,71;17,76;105.398.724,00;5.887.700
EMBR3;22/05/2023;18,02;18,20;17,89;18,03;125.653.389,00;6.967.400
EMBR3;19/05/2023;17,98;18,28;17,84;18,02;150.536.728,00;8.323.400
EMBR3;18/05/2023;18,26;18,44;17,93;18,08;145.915.252,00;8.040.500
EMBR3;17/05/2023;18,03;18,22;17,97;18,10;120.332.228,00;6.640.800
EMBR3;16/05/2023;17,70;18,00;17,67;17,85;120.680.673,00;6.772.500
EMBR3;15/05/2023;17,66;17,70;17,17;17,65;133.523.420,00;7.629.400
EMBR3;12/05/2023;17,94;18,33;17,24;17,55;394.799.791,00;22.290.800
EMBR3;11/05/2023;16,56;17,09;16,56;17,08;184.526.324,00;10.887.100
EMBR3;10/05/2023;16,57;16,98;16,46;16,81;340.822.564,00;20.363.000
EMBR3;09/05/2023;16,27;16,57;16,16;16,45;194.065.904,00;11.849.300
EMBR3;08/05/2023;16,67;16,70;16,14;16,40;231.152.737,00;14.145.100
EMBR3;05/05/2023;17,14;17,20;16,11;16,50;376.212.075,00;22.907.700
EMBR3;04/05/2023;18,44;18,44;16,62;16,92;512.493.209,00;29.720.200
EMBR3;03/05/2023;19,16;19,28;18,64;18,74;151.493.043,00;8.007.800
EMBR3;02/05/2023;19,36;19,41;18,94;19,22;117.365.115,00;6.123.500
EMBR3;28/04/2023;19,25;19,53;19,01;19,42;158.494.098,00;8.186.500
EMBR3;27/04/2023;19,69;19,69;18,71;19,19;200.057.456,00;10.467.300
EMBR3;26/04/2023;19,66;19,81;19,40;19,66;256.359.120,00;13.042.400
EMBR3;25/04/2023;20,05;20,05;19,65;19,82;131.894.378,00;6.664.600
EMBR3;24/04/2023;20,25;20,50;20,08;20,19;84.964.404,00;4.196.500
EMBR3;20/04/2023;20,89;20,92;20,06;20,25;129.677.387,00;6.386.200
EMBR3;19/04/2023;20,50;21,04;20,43;20,76;188.875.357,00;9.061.900
EMBR3;18/04/2023;20,46;20,73;20,43;20,59;103.928.428,00;5.053.700
EMBR3;17/04/2023;20,49;20,57;20,15;20,43;125.187.138,00;6.152.200
EMBR3;14/04/2023;20,27;20,66;20,21;20,47;168.722.424,00;8.233.300
EMBR3;13/04/2023;20,24;20,55;20,17;20,27;147.437.360,00;7.249.600
EMBR3;12/04/2023;20,60;20,76;19,96;20,21;195.009.751,00;9.614.500
EMBR3;11/04/2023;20,10;20,57;19,92;20,50;216.929.867,00;10.681.100
EMBR3;10/04/2023;19,50;20,09;19,50;19,88;128.429.809,00;6.454.000
EMBR3;06/04/2023;19,76;19,80;19,32;19,65;129.613.395,00;6.625.200
EMBR3;05/04/2023;20,94;20,94;19,44;19,72;288.650.974,00;14.501.600
