Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENEV3;14/09/2023;12,10;12,11;11,98;12,01;5.328.342,00;443.000
ENEV3;13/09/2023;12,12;12,43;12,05;12,11;70.398.413,00;5.770.800
ENEV3;12/09/2023;12,02;12,16;12,01;12,10;98.888.786,00;8.182.400
ENEV3;11/09/2023;11,76;12,02;11,76;11,98;55.081.394,00;4.625.200
ENEV3;08/09/2023;11,92;11,92;11,72;11,76;48.493.132,00;4.111.500
ENEV3;06/09/2023;12,05;12,31;11,93;11,95;116.734.093,00;9.679.900
ENEV3;05/09/2023;11,85;12,07;11,69;11,78;92.100.795,00;7.764.100
ENEV3;04/09/2023;12,04;12,17;11,85;11,96;37.120.924,00;3.090.900
ENEV3;01/09/2023;11,98;12,15;11,86;12,05;82.893.786,00;6.874.800
ENEV3;31/08/2023;12,03;12,12;11,92;11,92;105.662.825,00;8.827.500
ENEV3;30/08/2023;12,46;12,46;12,05;12,11;84.957.359,00;7.001.900
ENEV3;29/08/2023;12,34;12,47;12,25;12,38;31.965.083,00;2.581.100
ENEV3;28/08/2023;12,44;12,45;12,16;12,33;72.562.895,00;5.900.100
ENEV3;25/08/2023;12,70;12,73;12,42;12,43;32.764.250,00;2.623.500
ENEV3;24/08/2023;12,61;12,87;12,40;12,71;70.110.182,00;5.541.400
ENEV3;23/08/2023;12,50;12,64;12,41;12,61;60.410.271,00;4.816.600
ENEV3;22/08/2023;12,36;12,54;12,24;12,46;71.890.932,00;5.786.900
ENEV3;21/08/2023;12,70;12,74;12,31;12,36;59.400.985,00;4.778.700
ENEV3;18/08/2023;12,58;12,92;12,51;12,76;57.411.655,00;4.489.500
ENEV3;17/08/2023;12,50;12,63;12,36;12,56;57.517.909,00;4.584.300
ENEV3;16/08/2023;12,70;12,83;12,49;12,49;80.081.225,00;6.351.200
ENEV3;15/08/2023;12,91;12,99;12,64;12,78;51.605.565,00;4.046.100
ENEV3;14/08/2023;12,92;13,07;12,86;12,93;36.683.463,00;2.829.900
ENEV3;11/08/2023;13,11;13,30;12,82;12,99;75.225.880,00;5.784.700
ENEV3;10/08/2023;12,74;12,99;12,71;12,98;64.405.822,00;4.995.800
ENEV3;09/08/2023;12,75;12,75;12,47;12,71;72.344.798,00;5.738.600
ENEV3;08/08/2023;12,79;12,90;12,54;12,77;44.641.046,00;3.496.900
ENEV3;07/08/2023;12,96;12,98;12,83;12,92;35.256.789,00;2.732.000
ENEV3;04/08/2023;13,21;13,34;12,89;13,02;123.060.419,00;9.403.800
ENEV3;03/08/2023;13,39;13,67;13,21;13,24;76.556.362,00;5.754.200
ENEV3;02/08/2023;13,35;13,64;13,29;13,38;90.596.330,00;6.752.200
ENEV3;01/08/2023;13,32;13,43;13,13;13,36;64.107.443,00;4.831.300
ENEV3;31/07/2023;13,13;13,49;13,05;13,37;93.857.163,00;7.021.400
ENEV3;28/07/2023;12,87;13,05;12,78;12,98;43.053.473,00;3.332.600
ENEV3;27/07/2023;13,15;13,23;12,79;12,88;104.139.941,00;8.029.000
ENEV3;26/07/2023;13,03;13,20;12,98;13,13;69.673.564,00;5.321.100
ENEV3;25/07/2023;13,28;13,44;12,98;13,04;57.515.119,00;4.367.500
ENEV3;24/07/2023;12,53;13,24;12,53;13,12;177.167.678,00;13.623.900
ENEV3;21/07/2023;12,21;12,64;12,19;12,57;130.582.594,00;10.419.700
ENEV3;20/07/2023;12,60;12,65;12,12;12,20;127.947.300,00;10.450.900
ENEV3;19/07/2023;12,43;12,58;12,18;12,52;77.388.802,00;6.205.100
ENEV3;18/07/2023;12,17;12,39;12,07;12,37;62.500.568,00;5.096.700
ENEV3;17/07/2023;12,07;12,35;12,07;12,16;83.155.826,00;6.837.800
ENEV3;14/07/2023;12,25;12,33;12,00;12,16;79.382.524,00;6.574.700
ENEV3;13/07/2023;12,19;12,42;12,12;12,30;54.597.301,00;4.443.700
ENEV3;12/07/2023;12,33;12,35;12,14;12,19;39.549.269,00;3.238.100
ENEV3;11/07/2023;12,15;12,32;11,93;12,20;51.147.513,00;4.204.800
ENEV3;10/07/2023;12,50;12,60;12,33;12,34;41.680.652,00;3.355.300
ENEV3;07/07/2023;12,30;12,60;12,10;12,49;84.643.676,00;6.789.000
ENEV3;06/07/2023;12,47;12,47;12,20;12,24;60.561.912,00;4.935.500
ENEV3;05/07/2023;12,20;12,62;12,12;12,51;62.746.144,00;5.041.400
ENEV3;04/07/2023;12,30;12,35;12,08;12,20;23.551.413,00;1.930.300
ENEV3;03/07/2023;12,29;12,53;12,17;12,36;54.529.777,00;4.408.400
ENEV3;30/06/2023;12,22;12,45;12,15;12,27;83.038.625,00;6.745.400
ENEV3;29/06/2023;11,91;12,07;11,74;11,99;72.326.258,00;6.065.300
ENEV3;28/06/2023;11,78;12,01;11,72;11,82;57.641.650,00;4.846.000
ENEV3;27/06/2023;12,05;12,10;11,70;11,75;92.174.380,00;7.796.100
