Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENGI11;14/09/2023;48,57;48,63;48,04;48,33;6.174.257,00;127.900
ENGI11;13/09/2023;47,77;49,02;47,66;48,41;101.278.277,00;2.088.000
ENGI11;12/09/2023;46,00;47,77;45,89;47,41;423.235.994,00;8.982.200
ENGI11;11/09/2023;45,34;46,24;44,56;46,00;147.274.006,00;3.250.200
ENGI11;08/09/2023;44,79;45,48;44,43;45,48;77.412.162,00;1.715.100
ENGI11;06/09/2023;46,57;46,67;45,24;45,27;73.698.796,00;1.616.000
ENGI11;05/09/2023;46,60;47,03;46,08;46,30;89.624.408,00;1.923.400
ENGI11;04/09/2023;46,55;47,31;46,23;47,09;37.186.250,00;792.500
ENGI11;01/09/2023;46,20;46,79;46,09;46,60;179.610.599,00;3.863.500
ENGI11;31/08/2023;46,49;46,95;45,91;46,10;91.755.113,00;1.988.400
ENGI11;30/08/2023;47,74;47,74;46,70;46,73;97.421.413,00;2.071.400
ENGI11;29/08/2023;47,58;47,58;46,35;47,48;81.219.340,00;1.731.300
ENGI11;28/08/2023;47,02;47,04;46,40;47,03;69.483.865,00;1.482.800
ENGI11;25/08/2023;47,59;47,81;46,75;47,02;67.490.637,00;1.431.000
ENGI11;24/08/2023;47,67;47,95;47,14;47,59;61.312.777,00;1.290.200
ENGI11;23/08/2023;47,61;48,09;46,95;47,66;117.058.821,00;2.468.600
ENGI11;22/08/2023;46,82;47,97;46,82;47,77;73.072.077,00;1.536.400
ENGI11;21/08/2023;48,13;48,13;46,86;47,20;77.783.425,00;1.646.100
ENGI11;18/08/2023;47,45;48,00;46,99;47,95;138.342.317,00;2.900.500
ENGI11;17/08/2023;47,67;48,25;47,30;47,54;48.722.852,00;1.020.600
ENGI11;16/08/2023;47,31;48,03;46,55;47,59;196.747.952,00;4.140.500
ENGI11;15/08/2023;48,39;48,84;47,56;47,61;98.764.962,00;2.030.000
ENGI11;14/08/2023;48,09;48,93;47,98;48,49;76.887.292,00;1.563.400
ENGI11;11/08/2023;47,77;48,67;47,46;48,39;120.237.161,00;2.467.900
ENGI11;10/08/2023;48,10;48,33;47,71;48,01;48.218.542,00;988.200
ENGI11;09/08/2023;47,30;48,11;46,83;47,87;106.667.507,00;2.221.300
ENGI11;08/08/2023;47,21;47,86;46,75;47,70;90.835.470,00;1.881.600
ENGI11;07/08/2023;48,39;48,53;47,64;47,64;89.639.701,00;1.845.700
ENGI11;04/08/2023;48,25;49,15;48,04;48,27;88.572.630,00;1.801.400
ENGI11;03/08/2023;49,59;49,99;48,25;48,59;90.653.625,00;1.832.000
ENGI11;02/08/2023;49,24;49,59;48,85;49,51;38.634.633,00;772.100
ENGI11;01/08/2023;48,75;49,38;48,49;49,25;50.791.517,00;1.020.100
ENGI11;31/07/2023;49,63;50,15;49,11;49,46;62.886.334,00;1.253.700
ENGI11;28/07/2023;49,65;50,13;49,42;49,78;51.012.550,00;1.010.300
ENGI11;27/07/2023;50,41;50,89;49,37;49,66;69.872.468,00;1.378.800
ENGI11;26/07/2023;50,56;51,25;49,72;50,74;127.687.902,00;2.505.700
ENGI11;25/07/2023;51,43;51,79;50,25;50,45;91.597.115,00;1.785.400
ENGI11;24/07/2023;49,16;50,24;49,00;50,14;95.164.827,00;1.878.300
ENGI11;21/07/2023;48,63;49,99;48,54;49,57;196.539.864,00;3.926.500
ENGI11;20/07/2023;48,65;48,73;47,86;48,52;90.141.790,00;1.838.400
ENGI11;19/07/2023;48,53;48,98;48,03;48,68;160.218.145,00;3.263.000
ENGI11;18/07/2023;48,87;49,16;48,08;48,78;154.295.570,00;3.129.500
ENGI11;17/07/2023;49,59;49,72;48,82;49,21;95.281.702,00;1.910.700
ENGI11;14/07/2023;49,23;49,49;48,60;49,28;111.569.633,00;2.235.700
ENGI11;13/07/2023;48,37;49,72;48,37;49,37;107.470.248,00;2.149.900
ENGI11;12/07/2023;49,85;49,85;48,64;48,96;86.718.098,00;1.742.600
ENGI11;11/07/2023;49,69;49,99;48,41;49,27;211.781.650,00;4.258.500
ENGI11;10/07/2023;50,26;50,62;49,85;50,10;114.355.689,00;2.246.600
ENGI11;07/07/2023;50,00;50,43;49,27;49,94;178.386.628,00;3.518.500
ENGI11;06/07/2023;49,39;49,77;49,06;49,50;58.120.659,00;1.158.000
ENGI11;05/07/2023;50,12;50,22;49,43;49,81;151.088.282,00;2.987.600
ENGI11;04/07/2023;49,82;50,11;49,28;49,68;58.179.659,00;1.152.700
ENGI11;03/07/2023;49,82;50,07;48,89;49,86;163.235.909,00;3.228.900
ENGI11;30/06/2023;48,43;49,79;48,18;49,47;232.095.996,00;4.635.200
ENGI11;29/06/2023;47,29;48,40;47,25;47,86;157.886.811,00;3.252.300
ENGI11;28/06/2023;47,27;47,89;47,01;47,29;108.824.134,00;2.260.700
ENGI11;27/06/2023;47,65;47,96;46,52;47,20;163.587.246,00;3.432.100
ENGI11;26/06/2023;47,66;47,95;46,76;47,60;122.809.814,00;2.547.900
ENGI11;23/06/2023;46,01;48,64;45,19;47,64;389.684.856,00;8.086.700
ENGI11;22/06/2023;46,20;46,20;44,49;44,95;135.996.353,00;2.982.500
ENGI11;21/06/2023;46,32;46,66;46,00;46,25;145.388.385,00;3.094.500
ENGI11;20/06/2023;44,44;46,66;44,23;46,34;255.307.147,00;5.486.600
ENGI11;19/06/2023;43,88;44,58;43,32;44,44;125.183.479,00;2.796.200
ENGI11;16/06/2023;45,74;46,26;44,29;44,58;228.161.604,00;5.017.800
ENGI11;15/06/2023;45,38;46,33;45,22;46,01;175.052.114,00;3.777.500
ENGI11;14/06/2023;44,66;45,38;44,27;45,38;137.768.247,00;3.021.300
ENGI11;13/06/2023;45,30;45,59;44,53;44,53;96.878.705,00;2.130.300
ENGI11;12/06/2023;44,90;46,00;44,71;45,09;167.224.839,00;3.638.200
ENGI11;09/06/2023;44,79;45,08;44,13;44,76;214.673.031,00;4.760.500
ENGI11;07/06/2023;45,02;45,02;44,08;44,38;128.080.048,00;2.840.500
ENGI11;06/06/2023;42,55;45,39;42,39;44,14;355.629.412,00;7.933.700
ENGI11;05/06/2023;43,17;43,37;41,99;42,48;133.336.612,00;3.097.200
