Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EQTL3;14/09/2023;33,20;33,48;33,16;33,28;17.464.298,00;523.300
EQTL3;13/09/2023;32,29;33,29;32,20;33,16;574.649.118,00;17.372.400
EQTL3;12/09/2023;31,83;32,60;31,83;32,32;183.102.788,00;5.672.100
EQTL3;11/09/2023;31,26;31,90;31,21;31,80;168.619.506,00;5.340.800
EQTL3;08/09/2023;30,70;31,22;30,69;31,15;197.832.449,00;6.371.900
EQTL3;06/09/2023;31,40;31,54;30,70;30,70;204.474.168,00;6.606.900
EQTL3;05/09/2023;32,03;32,08;31,31;31,33;169.180.505,00;5.353.500
EQTL3;04/09/2023;31,90;32,35;31,75;32,03;85.358.672,00;2.659.500
EQTL3;01/09/2023;31,99;32,12;31,74;31,90;170.534.241,00;5.334.900
EQTL3;31/08/2023;32,29;32,40;31,28;31,66;231.317.544,00;7.278.800
EQTL3;30/08/2023;32,27;32,81;32,22;32,30;258.257.614,00;7.944.500
EQTL3;29/08/2023;31,66;32,27;31,52;32,16;224.196.144,00;6.997.400
EQTL3;28/08/2023;31,59;31,86;31,38;31,65;121.583.753,00;3.850.800
EQTL3;25/08/2023;32,15;32,37;31,55;31,61;155.361.294,00;4.893.300
EQTL3;24/08/2023;31,98;32,42;31,92;32,10;187.428.326,00;5.824.500
EQTL3;23/08/2023;31,82;32,07;31,70;32,07;233.238.246,00;7.305.300
EQTL3;22/08/2023;31,65;32,02;31,58;31,84;170.179.806,00;5.351.300
EQTL3;21/08/2023;32,04;32,04;31,47;31,65;357.149.026,00;11.293.400
EQTL3;18/08/2023;31,36;32,05;31,22;31,90;329.596.258,00;10.345.500
EQTL3;17/08/2023;31,36;31,71;31,30;31,35;233.047.850,00;7.420.400
EQTL3;16/08/2023;31,63;31,90;31,36;31,37;365.942.226,00;11.595.900
EQTL3;15/08/2023;32,18;32,32;31,59;31,67;177.250.764,00;5.567.200
EQTL3;14/08/2023;32,45;32,46;31,99;32,31;180.177.055,00;5.595.600
EQTL3;11/08/2023;32,33;32,49;31,80;32,40;199.476.073,00;6.184.100
EQTL3;10/08/2023;32,56;32,56;32,21;32,33;113.786.719,00;3.520.200
EQTL3;09/08/2023;32,20;32,56;31,80;32,42;204.365.372,00;6.333.400
EQTL3;08/08/2023;32,40;32,64;32,02;32,38;229.175.809,00;7.064.900
EQTL3;07/08/2023;32,78;32,84;32,35;32,56;135.366.602,00;4.154.200
EQTL3;04/08/2023;32,71;33,17;32,45;32,62;203.891.023,00;6.224.500
EQTL3;03/08/2023;33,30;33,53;32,70;32,74;170.070.722,00;5.173.000
EQTL3;02/08/2023;32,90;33,39;32,90;33,21;207.180.509,00;6.259.400
EQTL3;01/08/2023;33,55;33,66;32,65;33,05;404.652.145,00;12.307.900
EQTL3;31/07/2023;34,03;34,14;33,32;33,54;275.424.720,00;8.200.300
EQTL3;28/07/2023;33,74;34,03;33,50;33,89;174.021.432,00;5.156.900
EQTL3;27/07/2023;34,14;34,58;33,47;33,53;355.765.005,00;10.538.500
EQTL3;26/07/2023;34,36;34,36;33,76;34,18;274.919.998,00;8.069.900
EQTL3;25/07/2023;34,87;34,87;34,19;34,24;227.398.236,00;6.607.500
EQTL3;24/07/2023;34,27;34,62;34,00;34,46;197.069.544,00;5.726.100
EQTL3;21/07/2023;34,03;34,29;33,80;34,11;213.665.466,00;6.272.200
EQTL3;20/07/2023;33,35;33,84;33,25;33,84;231.153.346,00;6.866.100
EQTL3;19/07/2023;33,27;33,56;32,76;33,36;318.688.252,00;9.609.500
EQTL3;18/07/2023;32,97;33,30;32,81;33,13;195.174.069,00;5.894.300
EQTL3;17/07/2023;32,76;33,24;32,56;33,09;209.854.977,00;6.373.300
EQTL3;14/07/2023;33,30;33,39;32,67;32,86;391.611.662,00;11.909.300
EQTL3;13/07/2023;32,84;33,64;32,84;33,35;268.426.691,00;8.052.300
EQTL3;12/07/2023;32,86;33,20;32,77;32,95;229.697.779,00;6.971.900
EQTL3;11/07/2023;32,58;32,88;32,02;32,84;263.795.334,00;8.114.300
EQTL3;10/07/2023;32,86;33,05;32,59;32,69;248.628.203,00;7.581.400
EQTL3;07/07/2023;32,94;33,36;32,69;32,97;415.637.951,00;12.574.200
EQTL3;06/07/2023;32,82;33,05;32,45;32,68;371.815.623,00;11.346.300
EQTL3;05/07/2023;32,61;33,06;32,29;32,85;340.973.060,00;10.421.200
EQTL3;04/07/2023;32,48;32,73;32,18;32,60;103.443.689,00;3.175.800
EQTL3;03/07/2023;32,15;32,91;32,09;32,46;209.941.721,00;6.440.000
EQTL3;30/06/2023;31,55;32,50;31,49;32,15;385.088.155,00;11.957.400
EQTL3;29/06/2023;31,24;31,60;31,10;31,41;200.669.768,00;6.387.800
EQTL3;28/06/2023;31,40;31,62;31,12;31,24;226.327.282,00;7.219.000
EQTL3;27/06/2023;31,45;31,66;31,01;31,32;195.540.545,00;6.258.700
EQTL3;26/06/2023;31,72;31,72;31,21;31,45;212.764.776,00;6.767.300
EQTL3;23/06/2023;30,02;32,55;29,82;31,50;710.404.853,00;22.575.600
EQTL3;22/06/2023;30,78;30,87;29,51;30,00;500.057.602,00;16.655.600
EQTL3;21/06/2023;30,88;31,09;30,39;30,83;355.815.400,00;11.535.500
EQTL3;20/06/2023;30,58;30,94;30,56;30,88;254.099.426,00;8.252.700
EQTL3;19/06/2023;30,46;30,83;30,17;30,58;195.697.338,00;6.410.700
EQTL3;16/06/2023;31,13;31,15;30,44;30,72;625.013.868,00;20.313.400
EQTL3;15/06/2023;31,11;31,41;30,99;31,15;301.624.642,00;9.685.600
EQTL3;14/06/2023;31,25;31,37;30,81;31,15;743.184.154,00;23.948.500
EQTL3;13/06/2023;31,14;31,31;30,95;31,10;382.613.432,00;12.310.800
EQTL3;12/06/2023;30,85;31,12;30,45;30,90;391.216.146,00;12.670.000
EQTL3;09/06/2023;29,75;30,48;29,59;30,41;463.058.275,00;15.276.500
EQTL3;07/06/2023;29,24;29,84;28,91;29,61;344.562.392,00;11.646.600
EQTL3;06/06/2023;28,21;29,26;28,20;29,04;437.506.036,00;15.167.800
