Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EZTC3;14/09/2023;22,60;22,66;22,30;22,34;4.073.465,00;180.900
EZTC3;13/09/2023;22,90;23,47;22,42;22,45;58.998.431,00;2.575.900
EZTC3;12/09/2023;22,20;23,03;21,98;22,87;42.833.672,00;1.886.400
EZTC3;11/09/2023;20,87;22,16;20,87;22,10;62.349.917,00;2.888.000
EZTC3;08/09/2023;20,70;20,95;20,58;20,88;23.223.572,00;1.117.700
EZTC3;06/09/2023;21,09;21,15;20,67;20,80;46.714.153,00;2.245.500
EZTC3;05/09/2023;21,56;21,56;20,90;21,11;40.529.476,00;1.917.400
EZTC3;04/09/2023;21,87;22,01;21,31;21,62;32.695.201,00;1.510.500
EZTC3;01/09/2023;22,03;22,65;21,96;22,08;31.574.842,00;1.425.100
EZTC3;31/08/2023;23,20;23,20;21,88;22,04;61.712.647,00;2.773.900
EZTC3;30/08/2023;23,96;23,96;23,05;23,22;26.223.699,00;1.125.600
EZTC3;29/08/2023;24,11;24,16;23,39;23,83;28.002.334,00;1.179.200
EZTC3;28/08/2023;23,75;24,08;23,37;23,84;38.210.178,00;1.616.400
EZTC3;25/08/2023;24,57;24,68;23,63;23,80;34.371.247,00;1.434.800
EZTC3;24/08/2023;24,83;24,91;24,42;24,57;34.478.101,00;1.398.600
EZTC3;23/08/2023;24,69;24,95;23,82;24,83;65.791.722,00;2.678.300
EZTC3;22/08/2023;23,30;24,80;23,17;24,80;67.768.703,00;2.805.400
EZTC3;21/08/2023;23,19;23,20;22,41;23,18;40.500.418,00;1.776.700
EZTC3;18/08/2023;23,00;23,27;22,44;23,27;64.441.391,00;2.812.600
EZTC3;17/08/2023;23,67;23,86;22,80;23,37;55.311.475,00;2.376.100
EZTC3;16/08/2023;23,39;24,08;23,36;23,62;58.082.546,00;2.442.000
EZTC3;15/08/2023;23,00;23,59;22,49;23,53;70.480.322,00;3.026.200
EZTC3;14/08/2023;23,52;23,52;22,55;23,06;70.222.107,00;3.042.100
EZTC3;11/08/2023;22,72;23,53;22,72;23,37;63.967.846,00;2.738.600
EZTC3;10/08/2023;22,63;22,87;22,35;22,67;39.055.910,00;1.725.600
EZTC3;09/08/2023;22,97;23,02;22,22;22,64;88.710.456,00;3.926.800
EZTC3;08/08/2023;22,57;23,15;22,08;22,91;56.142.613,00;2.455.200
EZTC3;07/08/2023;23,12;23,62;22,65;22,82;58.322.943,00;2.532.100
EZTC3;04/08/2023;22,65;23,59;22,38;23,12;63.525.711,00;2.731.700
EZTC3;03/08/2023;22,83;24,11;22,54;22,67;101.783.415,00;4.372.100
EZTC3;02/08/2023;21,96;22,76;21,96;22,23;91.212.869,00;4.063.800
EZTC3;01/08/2023;21,61;22,12;21,35;21,96;37.530.384,00;1.706.700
EZTC3;31/07/2023;21,29;21,78;21,29;21,65;28.512.505,00;1.314.400
EZTC3;28/07/2023;21,43;21,57;20,84;21,12;29.640.203,00;1.403.700
EZTC3;27/07/2023;21,55;21,99;21,39;21,39;41.650.923,00;1.918.500
EZTC3;26/07/2023;21,25;21,70;20,92;21,69;55.871.585,00;2.614.300
EZTC3;25/07/2023;20,32;21,60;20,24;21,31;104.306.183,00;4.884.900
