Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FLRY3;14/09/2023;14,72;14,72;14,56;14,56;3.572.462,00;243.800
FLRY3;13/09/2023;14,76;14,87;14,60;14,65;38.184.675,00;2.590.500
FLRY3;12/09/2023;14,49;14,73;14,46;14,68;32.170.066,00;2.195.900
FLRY3;11/09/2023;14,33;14,49;14,27;14,45;39.144.801,00;2.716.400
FLRY3;08/09/2023;14,28;14,33;14,15;14,25;45.539.670,00;3.195.100
FLRY3;06/09/2023;14,30;14,47;14,17;14,30;36.119.521,00;2.524.200
FLRY3;05/09/2023;14,56;14,56;14,28;14,31;63.221.572,00;4.402.200
FLRY3;04/09/2023;14,64;14,94;14,51;14,62;53.695.351,00;3.611.100
FLRY3;01/09/2023;14,65;14,67;14,44;14,59;95.188.163,00;6.468.000
FLRY3;31/08/2023;14,86;14,90;14,51;14,62;59.289.901,00;4.003.400
FLRY3;30/08/2023;15,05;15,11;14,78;14,81;29.211.542,00;1.943.600
FLRY3;29/08/2023;14,94;15,09;14,73;14,95;54.447.016,00;3.629.300
FLRY3;28/08/2023;14,84;14,90;14,62;14,85;29.755.429,00;1.998.000
FLRY3;25/08/2023;15,15;15,17;14,73;14,86;29.173.878,00;1.945.800
FLRY3;24/08/2023;15,35;15,37;15,00;15,08;33.676.422,00;2.199.800
FLRY3;23/08/2023;15,33;15,40;15,18;15,31;45.795.990,00;2.966.800
FLRY3;22/08/2023;15,25;15,47;15,19;15,33;46.809.666,00;3.021.800
FLRY3;21/08/2023;14,93;15,23;14,86;15,16;44.413.254,00;2.908.300
FLRY3;18/08/2023;14,95;15,15;14,85;15,03;39.834.403,00;2.624.500
FLRY3;17/08/2023;14,75;15,03;14,73;14,95;68.294.633,00;4.537.800
FLRY3;16/08/2023;14,73;14,91;14,58;14,73;45.491.305,00;3.043.800
FLRY3;15/08/2023;14,85;15,00;14,64;14,69;44.544.932,00;2.989.100
FLRY3;14/08/2023;15,20;15,20;14,73;14,82;75.158.453,00;5.006.200
FLRY3;11/08/2023;15,25;15,43;14,90;15,10;63.612.821,00;4.168.500
FLRY3;10/08/2023;15,22;15,36;15,03;15,30;38.261.535,00;2.484.200
FLRY3;09/08/2023;15,27;15,27;14,95;15,18;44.008.127,00;2.883.700
FLRY3;08/08/2023;15,35;15,54;15,18;15,25;46.873.406,00;3.030.600
FLRY3;07/08/2023;15,79;15,85;15,40;15,54;38.580.186,00;2.460.500
FLRY3;04/08/2023;15,88;16,11;15,67;15,78;58.662.658,00;3.659.200
FLRY3;03/08/2023;15,72;16,01;15,61;15,84;48.026.213,00;3.006.000
FLRY3;02/08/2023;15,60;15,70;15,35;15,64;37.916.930,00;2.415.200
FLRY3;01/08/2023;15,84;15,91;15,59;15,66;52.017.198,00;3.286.200
FLRY3;31/07/2023;16,10;16,24;15,88;15,95;43.944.320,00;2.715.300
FLRY3;28/07/2023;15,75;16,09;15,74;15,91;33.485.827,00;2.077.700
FLRY3;27/07/2023;15,89;16,04;15,58;15,67;29.902.006,00;1.878.100
FLRY3;26/07/2023;15,71;16,04;15,69;15,86;54.049.487,00;3.374.600
FLRY3;25/07/2023;15,79;16,01;15,65;15,65;36.459.508,00;2.289.200
FLRY3;24/07/2023;15,38;15,64;15,29;15,52;50.882.375,00;3.255.500
FLRY3;21/07/2023;15,11;15,45;15,02;15,33;49.718.171,00;3.212.500
FLRY3;20/07/2023;15,19;15,19;14,93;15,01;24.865.354,00;1.639.900
FLRY3;19/07/2023;15,22;15,23;14,91;15,04;37.201.633,00;2.455.000
FLRY3;18/07/2023;15,17;15,38;15,11;15,19;23.414.222,00;1.523.200
FLRY3;17/07/2023;14,98;15,36;14,98;15,28;33.590.774,00;2.184.100
FLRY3;14/07/2023;15,32;15,43;15,00;15,16;38.280.040,00;2.501.400
FLRY3;13/07/2023;15,40;15,70;15,31;15,37;32.699.366,00;2.088.800
FLRY3;12/07/2023;15,76;15,85;15,31;15,40;54.280.896,00;3.447.300
FLRY3;11/07/2023;15,84;15,89;15,42;15,70;60.159.316,00;3.798.500
FLRY3;10/07/2023;16,10;16,21;15,88;15,96;23.389.452,00;1.447.900
FLRY3;07/07/2023;16,02;16,32;15,89;16,05;99.246.570,00;6.088.800
FLRY3;06/07/2023;16,22;16,23;15,88;15,98;58.291.422,00;3.604.800
FLRY3;05/07/2023;15,99;16,45;15,84;16,29;52.585.045,00;3.209.300
FLRY3;04/07/2023;16,19;16,35;15,88;16,04;33.057.537,00;2.033.900
FLRY3;03/07/2023;16,03;16,21;15,75;16,14;48.640.394,00;3.000.600
