Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GGBR4;14/09/2023;25,66;25,82;25,56;25,61;55.842.036,00;2.174.600
GGBR4;13/09/2023;25,68;25,80;25,36;25,36;227.502.798,00;8.915.600
GGBR4;12/09/2023;25,59;25,74;25,43;25,73;126.554.906,00;4.933.300
GGBR4;11/09/2023;25,71;25,71;25,31;25,55;214.269.932,00;8.390.700
GGBR4;08/09/2023;25,20;25,42;24,82;25,31;223.493.842,00;8.878.100
GGBR4;06/09/2023;25,79;25,96;25,35;25,39;334.495.677,00;13.099.700
GGBR4;05/09/2023;25,80;25,88;25,50;25,79;221.393.539,00;8.609.800
GGBR4;04/09/2023;26,10;26,45;25,97;26,18;82.058.648,00;3.135.400
GGBR4;01/09/2023;26,11;26,40;25,85;26,00;264.445.375,00;10.157.300
GGBR4;31/08/2023;25,95;26,11;25,75;25,85;257.128.106,00;9.943.100
GGBR4;30/08/2023;25,73;26,16;25,73;25,87;184.836.564,00;7.128.000
GGBR4;29/08/2023;25,30;25,81;25,17;25,68;162.061.142,00;6.333.700
GGBR4;28/08/2023;24,78;25,26;24,71;25,20;138.696.587,00;5.521.100
GGBR4;25/08/2023;24,82;24,95;24,62;24,79;175.471.237,00;7.079.300
GGBR4;24/08/2023;25,12;25,15;24,70;24,82;224.090.173,00;9.029.800
GGBR4;23/08/2023;25,29;25,45;25,09;25,25;231.917.823,00;9.172.200
GGBR4;22/08/2023;25,22;25,39;25,05;25,19;143.361.655,00;5.691.800
GGBR4;21/08/2023;25,22;25,24;24,65;24,92;265.971.505,00;10.688.600
GGBR4;18/08/2023;25,22;25,33;24,89;25,07;176.621.427,00;6.926.400
GGBR4;17/08/2023;25,56;25,76;25,12;25,21;216.441.977,00;8.395.200
GGBR4;16/08/2023;25,49;25,84;25,26;25,33;324.888.157,00;12.545.300
GGBR4;15/08/2023;25,56;25,60;25,20;25,35;353.954.249,00;13.723.200
GGBR4;14/08/2023;25,23;25,65;25,07;25,40;323.537.584,00;12.557.700
GGBR4;11/08/2023;25,59;25,68;25,07;25,23;381.454.374,00;14.817.200
GGBR4;10/08/2023;25,61;25,69;25,23;25,44;270.869.258,00;10.462.100
GGBR4;09/08/2023;26,52;26,64;25,31;25,42;540.034.246,00;20.688.400
GGBR4;08/08/2023;27,11;27,11;26,40;26,50;441.497.803,00;16.331.700
GGBR4;07/08/2023;27,52;27,52;27,04;27,31;416.610.969,00;15.031.000
GGBR4;04/08/2023;27,96;28,35;27,53;27,60;461.467.757,00;16.213.400
GGBR4;03/08/2023;28,30;28,69;27,85;28,01;414.089.885,00;14.486.400
GGBR4;02/08/2023;28,53;28,53;27,98;28,28;255.077.394,00;8.877.600
GGBR4;01/08/2023;28,56;28,86;28,47;28,67;302.419.090,00;10.365.700
GGBR4;31/07/2023;28,02;28,81;27,97;28,76;358.980.940,00;12.314.100
GGBR4;28/07/2023;27,95;28,03;27,39;27,90;199.294.343,00;7.053.200
GGBR4;27/07/2023;28,41;28,45;27,88;28,00;224.416.653,00;7.868.600
GGBR4;26/07/2023;28,45;28,83;28,29;28,56;230.980.309,00;7.959.800
GGBR4;25/07/2023;27,81;28,81;27,81;28,51;565.562.430,00;19.508.700
GGBR4;24/07/2023;26,73;27,69;26,73;27,55;325.434.249,00;11.646.000
GGBR4;21/07/2023;26,89;27,12;26,47;26,76;279.564.057,00;10.300.800
GGBR4;20/07/2023;27,23;27,42;27,03;27,06;182.503.730,00;6.612.600
GGBR4;19/07/2023;27,21;27,21;26,53;26,97;206.640.785,00;7.578.100
GGBR4;18/07/2023;26,88;27,29;26,74;27,07;164.101.555,00;5.962.700
GGBR4;17/07/2023;26,58;26,94;26,11;26,80;223.306.569,00;8.236.100
GGBR4;14/07/2023;27,15;27,15;26,46;26,70;192.519.256,00;7.082.900
GGBR4;13/07/2023;26,72;27,27;26,58;26,92;293.034.243,00;10.669.900
GGBR4;12/07/2023;26,36;26,74;26,22;26,46;284.266.730,00;10.550.100
GGBR4;11/07/2023;25,90;26,03;25,71;25,92;202.238.918,00;7.686.600
GGBR4;10/07/2023;25,53;25,88;25,46;25,85;121.114.246,00;4.624.200
GGBR4;07/07/2023;25,16;25,99;25,14;25,70;192.004.779,00;7.349.600
GGBR4;06/07/2023;25,15;25,35;24,75;25,14;223.234.694,00;8.769.700
GGBR4;05/07/2023;25,38;25,54;25,20;25,38;184.554.636,00;7.142.800
GGBR4;04/07/2023;25,47;25,72;25,33;25,48;132.123.991,00;5.090.800
GGBR4;03/07/2023;24,73;25,66;24,73;25,53;287.143.777,00;11.089.700
GGBR4;30/06/2023;25,07;25,15;24,59;24,65;214.699.302,00;8.539.500
GGBR4;29/06/2023;24,72;25,02;24,53;24,85;161.168.931,00;6.377.900
GGBR4;28/06/2023;25,16;25,38;24,44;24,61;264.153.406,00;10.506.400
GGBR4;27/06/2023;25,17;25,28;24,87;24,99;164.552.849,00;6.465.500
GGBR4;26/06/2023;24,61;25,03;24,61;24,90;118.381.935,00;4.675.800
