Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GMAT3;14/09/2023;7,48;7,48;7,17;7,27;5.318.672,00;731.600
GMAT3;13/09/2023;7,07;7,60;7,05;7,41;67.886.559,00;9.108.100
GMAT3;12/09/2023;6,84;7,17;6,79;7,08;39.421.992,00;5.597.500
GMAT3;11/09/2023;6,77;6,80;6,69;6,80;16.068.953,00;2.378.200
GMAT3;08/09/2023;6,85;6,94;6,70;6,75;21.106.846,00;3.115.300
GMAT3;06/09/2023;6,98;7,04;6,84;6,88;20.266.045,00;2.930.600
GMAT3;05/09/2023;7,00;7,08;6,89;7,00;38.028.428,00;5.434.200
GMAT3;04/09/2023;7,01;7,10;7,00;7,02;18.409.581,00;2.617.000
GMAT3;01/09/2023;6,73;7,06;6,70;6,99;154.526.976,00;22.161.300
GMAT3;31/08/2023;7,24;7,25;6,70;6,73;190.348.282,00;27.633.100
GMAT3;30/08/2023;7,29;7,41;7,20;7,23;30.638.803,00;4.220.800
GMAT3;29/08/2023;7,15;7,25;7,07;7,25;42.557.416,00;5.941.500
GMAT3;28/08/2023;7,26;7,28;7,03;7,15;126.552.058,00;17.741.600
GMAT3;25/08/2023;7,30;7,35;7,19;7,23;43.574.815,00;6.008.400
GMAT3;24/08/2023;7,45;7,45;7,33;7,33;30.496.575,00;4.135.900
GMAT3;23/08/2023;7,43;7,53;7,39;7,42;44.113.881,00;5.938.500
GMAT3;22/08/2023;7,27;7,43;7,25;7,42;28.643.435,00;3.889.700
GMAT3;21/08/2023;7,32;7,36;7,22;7,25;35.064.194,00;4.825.300
GMAT3;18/08/2023;7,26;7,36;7,12;7,36;51.819.538,00;7.124.300
GMAT3;17/08/2023;7,57;7,61;7,31;7,31;45.624.938,00;6.141.300
GMAT3;16/08/2023;7,41;7,65;7,38;7,55;45.197.486,00;5.989.900
GMAT3;15/08/2023;7,31;7,47;7,19;7,44;46.238.824,00;6.279.800
GMAT3;14/08/2023;7,81;7,81;7,27;7,29;70.505.318,00;9.540.100
GMAT3;11/08/2023;7,93;7,97;7,69;7,79;59.673.475,00;7.651.800
GMAT3;10/08/2023;8,04;8,18;7,88;7,93;43.726.027,00;5.451.000
GMAT3;09/08/2023;8,00;8,06;7,86;7,97;23.659.576,00;2.976.600
GMAT3;08/08/2023;7,83;8,06;7,74;8,06;31.524.344,00;3.959.700
