Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GOAU4;14/09/2023;11,92;12,02;11,85;11,94;21.749.355,00;1.817.300
GOAU4;13/09/2023;11,89;11,92;11,80;11,82;99.372.878,00;8.387.800
GOAU4;12/09/2023;11,80;11,92;11,76;11,88;58.273.068,00;4.910.400
GOAU4;11/09/2023;11,70;11,85;11,64;11,80;112.010.639,00;9.529.600
GOAU4;08/09/2023;11,63;11,67;11,48;11,56;47.233.706,00;4.086.900
GOAU4;06/09/2023;11,89;11,93;11,67;11,67;50.988.390,00;4.332.900
GOAU4;05/09/2023;12,00;12,02;11,77;11,85;74.369.266,00;6.275.500
GOAU4;04/09/2023;12,00;12,20;11,91;12,08;46.113.986,00;3.818.700
GOAU4;01/09/2023;11,93;12,14;11,79;11,97;194.011.343,00;16.292.100
GOAU4;31/08/2023;11,96;11,99;11,68;11,82;78.804.112,00;6.641.500
GOAU4;30/08/2023;11,91;12,06;11,88;11,92;42.802.086,00;3.580.500
GOAU4;29/08/2023;11,70;11,92;11,61;11,92;73.764.956,00;6.257.000
GOAU4;28/08/2023;11,49;11,62;11,44;11,61;86.397.081,00;7.467.100
GOAU4;25/08/2023;11,51;11,55;11,40;11,45;98.004.282,00;8.544.300
GOAU4;24/08/2023;11,70;11,70;11,43;11,47;118.595.117,00;10.324.700
GOAU4;23/08/2023;11,80;11,85;11,65;11,75;143.883.444,00;12.270.200
GOAU4;22/08/2023;11,73;11,81;11,68;11,76;63.095.470,00;5.371.200
GOAU4;21/08/2023;11,76;11,80;11,48;11,62;107.555.653,00;9.274.800
GOAU4;18/08/2023;11,81;11,87;11,68;11,74;82.117.470,00;6.843.200
GOAU4;17/08/2023;11,98;12,01;11,71;11,81;62.021.057,00;5.119.300
GOAU4;16/08/2023;11,87;12,08;11,82;11,83;70.632.341,00;5.798.000
GOAU4;15/08/2023;11,96;12,00;11,80;11,86;80.595.864,00;6.636.100
GOAU4;14/08/2023;11,94;12,09;11,87;11,94;78.492.101,00;6.435.700
GOAU4;11/08/2023;12,07;12,20;11,90;11,93;61.162.828,00;4.992.600
GOAU4;10/08/2023;12,10;12,18;11,97;12,00;60.832.200,00;4.936.600
GOAU4;09/08/2023;12,50;12,59;11,97;12,04;168.216.132,00;13.525.100
GOAU4;08/08/2023;12,73;12,82;12,45;12,53;102.489.714,00;7.962.700
GOAU4;07/08/2023;13,21;13,21;12,88;12,96;81.036.355,00;6.111.300
GOAU4;04/08/2023;13,16;13,42;13,09;13,16;64.308.122,00;4.741.700
GOAU4;03/08/2023;13,27;13,44;13,13;13,21;46.289.958,00;3.421.100
GOAU4;02/08/2023;13,39;13,39;13,10;13,25;49.943.031,00;3.699.600
GOAU4;01/08/2023;13,34;13,50;13,23;13,45;36.497.779,00;2.657.900
GOAU4;31/07/2023;13,16;13,48;13,14;13,45;49.795.152,00;3.633.000
GOAU4;28/07/2023;13,07;13,16;12,89;13,14;50.271.109,00;3.763.600
GOAU4;27/07/2023;13,23;13,27;13,02;13,12;40.199.980,00;2.997.600
GOAU4;26/07/2023;13,24;13,44;13,18;13,30;105.029.762,00;7.740.400
GOAU4;25/07/2023;13,04;13,49;13,01;13,24;141.535.105,00;10.407.800
GOAU4;24/07/2023;12,62;12,89;12,58;12,89;89.409.216,00;6.840.500
GOAU4;21/07/2023;12,62;12,67;12,40;12,53;60.549.057,00;4.748.600
GOAU4;20/07/2023;12,63;12,81;12,58;12,61;36.085.114,00;2.789.600
GOAU4;19/07/2023;12,65;12,66;12,42;12,53;47.260.856,00;3.694.400
GOAU4;18/07/2023;12,57;12,69;12,46;12,63;29.567.449,00;2.296.400
GOAU4;17/07/2023;12,37;12,58;12,25;12,55;38.796.304,00;3.043.200
GOAU4;14/07/2023;12,66;12,66;12,38;12,51;55.919.004,00;4.382.600
GOAU4;13/07/2023;12,47;12,69;12,42;12,59;45.548.230,00;3.541.900
GOAU4;12/07/2023;12,35;12,50;12,28;12,38;53.396.015,00;4.215.200
GOAU4;11/07/2023;12,27;12,29;12,09;12,20;58.790.002,00;4.726.300
GOAU4;10/07/2023;12,08;12,16;12,00;12,16;32.078.116,00;2.591.400
GOAU4;07/07/2023;11,84;12,23;11,84;12,10;56.506.833,00;4.570.000
GOAU4;06/07/2023;11,90;11,98;11,71;11,84;77.389.155,00;6.407.100
GOAU4;05/07/2023;11,96;12,05;11,84;11,97;44.585.636,00;3.643.900
GOAU4;04/07/2023;11,97;12,21;11,87;11,96;35.402.645,00;2.895.800
GOAU4;03/07/2023;11,65;12,07;11,62;11,99;87.555.593,00;7.160.800
GOAU4;30/06/2023;11,73;11,83;11,55;11,56;99.884.333,00;8.420.400
