Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GOLL4;14/09/2023;6,82;6,87;6,69;6,70;14.072.576,00;2.073.500
GOLL4;13/09/2023;6,66;6,95;6,61;6,80;57.206.752,00;8.378.400
GOLL4;12/09/2023;6,65;6,82;6,62;6,71;47.883.398,00;7.114.500
GOLL4;11/09/2023;6,80;6,80;6,52;6,68;50.977.796,00;7.690.100
GOLL4;08/09/2023;6,62;6,73;6,57;6,69;38.009.419,00;5.708.500
GOLL4;06/09/2023;6,89;6,99;6,66;6,70;56.887.262,00;8.383.400
GOLL4;05/09/2023;7,17;7,18;6,84;6,89;77.734.917,00;11.149.000
GOLL4;04/09/2023;7,20;7,45;7,16;7,23;43.340.118,00;5.933.500
GOLL4;01/09/2023;7,09;7,24;7,07;7,24;68.782.136,00;9.594.000
GOLL4;31/08/2023;7,38;7,42;7,00;7,03;82.712.431,00;11.612.500
GOLL4;30/08/2023;7,38;7,50;7,32;7,41;62.888.361,00;8.488.800
GOLL4;29/08/2023;7,34;7,38;7,11;7,38;65.443.946,00;8.966.400
GOLL4;28/08/2023;7,26;7,31;7,18;7,27;64.768.427,00;8.948.000
GOLL4;25/08/2023;7,51;7,52;7,22;7,26;67.900.645,00;9.253.800
GOLL4;24/08/2023;7,88;7,91;7,50;7,52;110.871.898,00;14.522.900
GOLL4;23/08/2023;7,70;8,02;7,60;7,88;118.898.325,00;15.135.200
GOLL4;22/08/2023;7,72;7,77;7,20;7,68;217.804.366,00;29.132.300
GOLL4;21/08/2023;7,82;7,89;7,50;7,61;114.655.769,00;15.030.300
GOLL4;18/08/2023;7,49;7,89;7,27;7,80;189.649.452,00;24.696.700
GOLL4;17/08/2023;8,13;8,15;7,79;7,82;94.148.048,00;11.894.500
GOLL4;16/08/2023;8,21;8,24;7,90;8,03;174.447.795,00;21.669.400
GOLL4;15/08/2023;9,00;9,00;7,87;8,19;291.787.032,00;35.724.000
GOLL4;14/08/2023;9,33;9,44;9,16;9,36;64.118.690,00;6.874.500
GOLL4;11/08/2023;9,66;9,66;9,17;9,31;87.797.254,00;9.364.000
