Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HAPV3;14/09/2023;4,62;4,62;4,51;4,53;31.143.913,00;6.848.200
HAPV3;13/09/2023;4,58;4,75;4,54;4,58;240.947.658,00;52.076.400
HAPV3;12/09/2023;4,43;4,68;4,43;4,64;305.886.373,00;66.452.100
HAPV3;11/09/2023;4,42;4,48;4,33;4,44;230.586.982,00;52.387.100
HAPV3;08/09/2023;4,36;4,52;4,30;4,37;213.801.013,00;48.918.200
HAPV3;06/09/2023;4,57;4,65;4,37;4,40;259.865.303,00;57.703.500
HAPV3;05/09/2023;4,38;4,50;4,34;4,41;173.341.570,00;39.165.100
HAPV3;04/09/2023;4,42;4,54;4,40;4,45;83.837.368,00;18.766.800
HAPV3;01/09/2023;4,30;4,47;4,24;4,43;232.906.385,00;53.012.000
HAPV3;31/08/2023;4,48;4,49;4,23;4,26;327.492.635,00;75.850.300
HAPV3;30/08/2023;4,62;4,69;4,47;4,47;168.442.443,00;36.963.200
HAPV3;29/08/2023;4,57;4,65;4,48;4,60;150.860.636,00;33.065.300
HAPV3;28/08/2023;4,60;4,65;4,51;4,54;173.306.152,00;38.029.500
HAPV3;25/08/2023;4,71;4,72;4,53;4,59;163.747.208,00;35.675.400
HAPV3;24/08/2023;4,71;4,78;4,63;4,69;151.384.228,00;32.284.800
HAPV3;23/08/2023;4,57;4,72;4,49;4,69;251.196.612,00;54.029.000
HAPV3;22/08/2023;4,52;4,62;4,48;4,56;265.919.806,00;58.301.400
HAPV3;21/08/2023;4,58;4,60;4,43;4,49;418.844.412,00;93.465.900
HAPV3;18/08/2023;4,55;4,70;4,34;4,63;456.286.936,00;99.921.100
HAPV3;17/08/2023;4,77;4,82;4,52;4,57;435.185.661,00;94.135.500
HAPV3;16/08/2023;4,82;4,87;4,73;4,73;2.060.037.516,00;427.880.400
HAPV3;15/08/2023;5,05;5,08;4,91;5,02;352.187.933,00;70.230.400
HAPV3;14/08/2023;5,24;5,24;4,95;5,02;374.969.732,00;74.312.700
HAPV3;11/08/2023;5,24;5,39;5,22;5,23;372.190.094,00;70.338.700
HAPV3;10/08/2023;5,35;5,42;5,13;5,26;1.321.051.127,00;249.127.400
HAPV3;09/08/2023;5,01;5,04;4,79;4,96;395.293.994,00;80.168.900
HAPV3;08/08/2023;4,71;5,10;4,57;5,06;561.388.587,00;113.512.600
HAPV3;07/08/2023;4,76;4,79;4,66;4,77;149.402.368,00;31.541.800
HAPV3;04/08/2023;4,61;4,80;4,55;4,76;419.933.137,00;88.943.500
HAPV3;03/08/2023;4,80;4,86;4,59;4,62;448.429.958,00;95.204.100
HAPV3;02/08/2023;4,85;4,87;4,67;4,75;292.614.199,00;61.602.700
HAPV3;01/08/2023;4,79;4,87;4,73;4,84;336.264.191,00;70.015.300
HAPV3;31/07/2023;4,66;4,84;4,66;4,80;400.198.724,00;83.488.500
HAPV3;28/07/2023;4,59;4,64;4,49;4,62;238.900.141,00;52.094.600
HAPV3;27/07/2023;4,62;4,74;4,48;4,54;226.627.966,00;49.369.900
HAPV3;26/07/2023;4,45;4,64;4,37;4,60;364.296.614,00;80.181.900
HAPV3;25/07/2023;4,46;4,51;4,39;4,44;206.854.311,00;46.421.700
HAPV3;24/07/2023;4,28;4,36;4,10;4,34;280.554.377,00;66.061.400
HAPV3;21/07/2023;4,18;4,41;4,18;4,26;426.068.924,00;98.621.200
HAPV3;20/07/2023;4,15;4,17;4,10;4,16;126.752.879,00;30.616.200
HAPV3;19/07/2023;4,17;4,20;4,08;4,13;171.732.545,00;41.616.700
HAPV3;18/07/2023;4,15;4,25;4,12;4,18;157.796.871,00;37.721.300
HAPV3;17/07/2023;4,11;4,25;4,07;4,18;131.425.830,00;31.509.000
HAPV3;14/07/2023;4,28;4,30;4,04;4,13;221.781.347,00;53.507.500
HAPV3;13/07/2023;4,36;4,42;4,26;4,30;317.591.217,00;73.374.900
HAPV3;12/07/2023;4,50;4,57;4,32;4,34;206.187.952,00;46.819.700
HAPV3;11/07/2023;4,30;4,52;4,16;4,45;299.703.337,00;68.671.300
HAPV3;10/07/2023;4,37;4,42;4,26;4,32;141.219.690,00;32.691.700
HAPV3;07/07/2023;4,32;4,50;4,31;4,37;228.227.383,00;51.542.700
HAPV3;06/07/2023;4,35;4,39;4,22;4,31;174.951.837,00;40.759.300
HAPV3;05/07/2023;4,28;4,47;4,26;4,38;263.770.233,00;59.970.100
HAPV3;04/07/2023;4,18;4,42;4,13;4,32;363.540.823,00;84.709.100
HAPV3;03/07/2023;4,40;4,51;4,30;4,42;225.880.693,00;51.107.200
HAPV3;30/06/2023;4,25;4,48;4,23;4,38;424.531.413,00;96.905.900
HAPV3;29/06/2023;4,18;4,26;4,14;4,20;230.376.879,00;54.864.300
HAPV3;28/06/2023;4,09;4,22;4,08;4,14;267.882.985,00;64.504.100
HAPV3;27/06/2023;4,18;4,21;3,98;4,08;322.032.758,00;79.001.200
HAPV3;26/06/2023;4,33;4,34;4,06;4,11;322.061.861,00;78.020.700
HAPV3;23/06/2023;4,30;4,39;4,26;4,33;245.015.163,00;56.572.100
HAPV3;22/06/2023;4,12;4,26;4,01;4,23;285.335.758,00;69.369.800
HAPV3;21/06/2023;4,20;4,24;4,08;4,19;370.817.377,00;89.397.800
HAPV3;20/06/2023;4,25;4,33;4,15;4,20;422.685.656,00;100.285.600
HAPV3;19/06/2023;4,40;4,40;4,23;4,28;176.031.165,00;41.011.800
HAPV3;16/06/2023;4,44;4,47;4,29;4,35;587.572.737,00;134.813.200
HAPV3;15/06/2023;4,34;4,52;4,31;4,46;446.666.825,00;100.660.400
HAPV3;14/06/2023;4,15;4,35;4,07;4,30;592.798.286,00;140.110.800
HAPV3;13/06/2023;4,14;4,14;3,94;3,97;347.996.552,00;86.608.100
HAPV3;12/06/2023;4,26;4,30;4,10;4,12;383.115.580,00;91.555.800
HAPV3;09/06/2023;4,27;4,48;4,21;4,24;448.186.859,00;103.810.400
HAPV3;07/06/2023;4,45;4,54;4,23;4,24;454.616.338,00;104.211.200
HAPV3;06/06/2023;4,20;4,50;4,17;4,35;561.550.299,00;128.166.800
HAPV3;05/06/2023;4,12;4,19;4,08;4,16;166.196.430,00;40.211.000
HAPV3;02/06/2023;4,12;4,28;4,05;4,12;360.079.654,00;86.625.400
HAPV3;01/06/2023;3,99;4,17;3,93;4,10;405.253.604,00;99.697.800
HAPV3;31/05/2023;4,05;4,09;3,91;3,99;410.425.119,00;103.039.900
HAPV3;30/05/2023;3,96;4,11;3,88;4,06;430.872.380,00;107.804.400
HAPV3;29/05/2023;3,95;3,98;3,88;3,90;186.726.837,00;47.590.800
HAPV3;26/05/2023;3,99;4,03;3,81;3,90;335.437.450,00;85.640.100
HAPV3;25/05/2023;3,73;3,96;3,73;3,94;597.996.714,00;154.755.100
HAPV3;24/05/2023;3,66;3,67;3,48;3,55;454.810.227,00;128.523.600
HAPV3;23/05/2023;3,73;3,91;3,61;3,65;413.799.914,00;110.076.500
HAPV3;22/05/2023;3,63;3,91;3,61;3,70;474.620.333,00;126.581.500
HAPV3;19/05/2023;3,71;3,80;3,58;3,61;544.414.105,00;148.646.200
HAPV3;18/05/2023;3,46;3,73;3,43;3,67;567.812.562,00;157.443.500
HAPV3;17/05/2023;3,42;3,57;3,34;3,48;457.024.651,00;132.309.500
HAPV3;16/05/2023;3,60;3,65;3,36;3,41;883.229.618,00;254.266.500
HAPV3;15/05/2023;3,22;3,27;3,08;3,15;404.499.448,00;127.025.000
HAPV3;12/05/2023;3,05;3,19;2,95;3,12;303.148.632,00;99.487.100
HAPV3;11/05/2023;2,97;3,14;2,92;3,07;340.759.043,00;110.967.600
HAPV3;10/05/2023;2,89;3,11;2,87;3,02;469.458.919,00;156.313.800
HAPV3;09/05/2023;2,91;2,94;2,81;2,88;366.099.696,00;127.032.200
HAPV3;08/05/2023;2,99;3,07;2,90;2,92;196.079.925,00;66.304.600
HAPV3;05/05/2023;2,82;2,99;2,73;2,93;295.078.291,00;103.085.200
HAPV3;04/05/2023;2,82;2,88;2,70;2,84;219.860.936,00;78.879.100
HAPV3;03/05/2023;2,82;2,87;2,75;2,77;254.560.950,00;90.442.300
HAPV3;02/05/2023;2,77;2,83;2,67;2,79;244.457.809,00;88.349.800
HAPV3;28/04/2023;2,57;2,76;2,53;2,76;304.152.399,00;112.968.900
HAPV3;27/04/2023;2,50;2,58;2,44;2,56;224.041.841,00;88.762.000
HAPV3;26/04/2023;2,58;2,61;2,46;2,49;95.617.454,00;37.957.800
HAPV3;25/04/2023;2,60;2,63;2,49;2,56;159.905.130,00;63.180.000
HAPV3;24/04/2023;2,56;2,75;2,53;2,61;364.429.514,00;137.883.200
HAPV3;20/04/2023;2,36;2,59;2,34;2,59;322.099.210,00;128.737.500
HAPV3;19/04/2023;2,34;2,42;2,25;2,36;247.733.663,00;106.240.600
HAPV3;18/04/2023;2,58;2,58;2,40;2,40;260.045.788,00;106.411.400
HAPV3;17/04/2023;2,59;2,65;2,49;2,54;371.350.901,00;145.064.100
HAPV3;14/04/2023;2,55;2,66;2,47;2,60;295.001.717,00;114.860.600
HAPV3;13/04/2023;2,67;2,74;2,54;2,64;336.511.073,00;127.120.600
HAPV3;12/04/2023;2,75;2,80;2,60;2,68;374.885.766,00;138.650.100
HAPV3;11/04/2023;2,38;2,68;2,38;2,65;257.712.082,00;100.715.500
HAPV3;10/04/2023;2,37;2,41;2,31;2,35;73.019.785,00;31.011.800
HAPV3;06/04/2023;2,36;2,41;2,22;2,37;193.565.064,00;84.187.800
HAPV3;05/04/2023;2,51;2,53;2,30;2,36;148.278.140,00;62.420.100
HAPV3;04/04/2023;2,46;2,65;2,42;2,48;180.949.217,00;71.554.600
HAPV3;03/04/2023;2,61;2,68;2,36;2,45;293.534.855,00;119.134.000
HAPV3;31/03/2023;2,84;2,84;2,57;2,62;299.487.341,00;112.962.200
HAPV3;30/03/2023;2,90;3,00;2,75;2,80;497.380.590,00;173.225.200
HAPV3;29/03/2023;2,68;2,80;2,56;2,76;358.365.877,00;134.551.600
HAPV3;28/03/2023;2,55;2,70;2,50;2,63;452.100.875,00;173.147.400
HAPV3;27/03/2023;2,27;2,35;2,19;2,22;129.118.327,00;57.552.300
HAPV3;24/03/2023;2,10;2,29;2,03;2,25;204.026.011,00;93.852.900
HAPV3;23/03/2023;2,22;2,26;1,98;2,07;147.179.748,00;69.651.100
HAPV3;22/03/2023;2,21;2,26;2,14;2,21;134.316.906,00;61.240.500
HAPV3;21/03/2023;2,20;2,34;2,19;2,22;151.385.959,00;67.668.800
HAPV3;20/03/2023;2,40;2,41;2,07;2,18;256.324.783,00;117.929.500
HAPV3;17/03/2023;2,61;2,63;2,29;2,37;314.646.920,00;131.407.900
HAPV3;16/03/2023;2,52;2,72;2,45;2,64;264.367.561,00;101.786.500
HAPV3;15/03/2023;2,43;2,56;2,35;2,52;172.262.188,00;69.977.900
