Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HYPE3;14/09/2023;40,05;40,39;39,77;39,79;12.009.908,00;300.300
HYPE3;13/09/2023;40,37;40,62;40,08;40,08;105.191.839,00;2.605.500
HYPE3;12/09/2023;39,47;40,40;39,17;40,40;149.411.895,00;3.744.200
HYPE3;11/09/2023;38,20;39,45;38,20;39,43;94.537.533,00;2.411.900
HYPE3;08/09/2023;38,41;38,83;38,27;38,45;74.615.790,00;1.936.900
HYPE3;06/09/2023;39,28;39,46;38,55;38,55;85.982.619,00;2.214.200
HYPE3;05/09/2023;39,91;40,19;39,36;39,40;106.396.609,00;2.684.500
HYPE3;04/09/2023;39,51;40,20;39,42;40,00;70.345.331,00;1.763.000
HYPE3;01/09/2023;39,21;39,85;38,88;39,80;132.015.659,00;3.341.600
HYPE3;31/08/2023;39,68;39,69;38,40;38,99;327.841.390,00;8.409.900
HYPE3;30/08/2023;40,32;40,55;39,23;39,69;115.408.339,00;2.910.700
HYPE3;29/08/2023;40,42;40,72;39,81;40,40;129.347.169,00;3.217.000
HYPE3;28/08/2023;40,09;40,29;39,56;40,12;140.964.738,00;3.537.200
HYPE3;25/08/2023;40,17;40,43;39,60;40,09;162.873.762,00;4.078.600
HYPE3;24/08/2023;40,60;40,87;40,06;40,13;136.222.906,00;3.380.200
HYPE3;23/08/2023;41,20;41,21;40,46;40,89;144.112.860,00;3.539.800
HYPE3;22/08/2023;41,32;41,39;40,79;41,19;108.687.341,00;2.646.400
HYPE3;21/08/2023;41,02;41,62;41,02;41,15;74.621.048,00;1.807.700
HYPE3;18/08/2023;41,87;41,91;41,37;41,40;87.804.626,00;2.110.600
HYPE3;17/08/2023;41,89;42,24;41,29;41,73;155.690.465,00;3.732.600
HYPE3;16/08/2023;42,41;42,69;41,72;41,76;165.689.316,00;3.926.800
HYPE3;15/08/2023;42,97;43,41;42,58;42,65;52.607.581,00;1.226.500
HYPE3;14/08/2023;43,19;43,47;42,93;43,08;66.686.002,00;1.547.600
HYPE3;11/08/2023;43,98;44,19;43,37;43,55;120.981.676,00;2.761.600
HYPE3;10/08/2023;43,26;44,49;43,13;44,21;92.735.875,00;2.104.200
HYPE3;09/08/2023;43,54;43,65;42,79;43,26;73.766.878,00;1.709.600
HYPE3;08/08/2023;43,95;44,42;43,20;43,54;91.172.798,00;2.079.500
HYPE3;07/08/2023;44,60;45,21;44,35;44,52;71.802.276,00;1.607.800
HYPE3;04/08/2023;44,32;44,86;44,08;44,59;116.739.581,00;2.617.400
HYPE3;03/08/2023;44,15;44,98;43,92;44,37;107.918.715,00;2.433.900
HYPE3;02/08/2023;43,40;44,31;43,03;44,02;153.128.514,00;3.497.700
HYPE3;01/08/2023;43,38;43,65;42,69;43,43;224.537.790,00;5.195.700
HYPE3;31/07/2023;44,19;44,27;43,10;43,26;210.840.358,00;4.863.700
HYPE3;28/07/2023;44,46;44,46;43,40;44,00;113.709.127,00;2.594.200
HYPE3;27/07/2023;45,05;45,65;43,90;44,08;98.707.862,00;2.227.400
HYPE3;26/07/2023;44,32;45,04;44,30;44,85;60.583.818,00;1.355.000
HYPE3;25/07/2023;44,45;44,88;43,75;44,30;156.627.349,00;3.542.100
HYPE3;24/07/2023;44,18;44,67;43,93;44,20;137.665.824,00;3.110.100
HYPE3;21/07/2023;44,02;44,72;43,88;44,64;103.299.223,00;2.320.700
HYPE3;20/07/2023;43,90;44,22;43,40;43,79;125.162.153,00;2.858.800
HYPE3;19/07/2023;44,34;44,60;43,56;44,02;94.762.757,00;2.150.300
HYPE3;18/07/2023;45,13;45,23;44,19;44,35;84.902.534,00;1.903.600
HYPE3;17/07/2023;44,31;45,20;44,31;45,02;65.799.102,00;1.466.300
HYPE3;14/07/2023;45,08;45,37;44,38;44,65;98.847.370,00;2.213.100
HYPE3;13/07/2023;45,04;45,81;44,90;45,18;94.242.147,00;2.081.900
HYPE3;12/07/2023;44,85;45,92;44,85;45,08;83.751.401,00;1.845.500
HYPE3;11/07/2023;44,65;44,98;44,11;44,78;96.854.924,00;2.168.200
HYPE3;10/07/2023;45,50;45,83;45,01;45,04;74.874.463,00;1.653.500
HYPE3;07/07/2023;46,05;46,30;45,62;45,74;183.237.919,00;3.998.300
HYPE3;06/07/2023;45,80;46,37;45,64;45,89;78.911.588,00;1.717.000
HYPE3;05/07/2023;46,03;46,84;45,63;46,40;104.152.082,00;2.246.100
HYPE3;04/07/2023;46,20;46,38;45,90;46,13;59.300.528,00;1.284.000
HYPE3;03/07/2023;46,27;46,30;45,78;46,27;93.065.400,00;2.004.200
HYPE3;30/06/2023;44,87;46,00;44,80;45,75;198.622.395,00;4.319.000
HYPE3;29/06/2023;43,92;44,84;43,65;44,53;160.250.125,00;3.581.700
HYPE3;28/06/2023;42,39;43,77;42,39;43,53;151.096.117,00;3.459.500
HYPE3;27/06/2023;43,26;43,71;42,20;42,69;99.902.797,00;2.332.700
HYPE3;26/06/2023;43,60;43,86;42,68;43,11;90.252.293,00;2.082.900
HYPE3;23/06/2023;42,97;43,82;42,53;43,49;114.700.344,00;2.625.200
HYPE3;22/06/2023;43,69;44,03;42,71;43,08;272.430.621,00;6.305.700
HYPE3;21/06/2023;44,25;44,44;43,65;44,01;212.246.171,00;4.806.600
HYPE3;20/06/2023;45,03;45,12;43,59;44,25;193.887.212,00;4.371.900
HYPE3;19/06/2023;45,05;45,41;44,88;45,08;48.849.762,00;1.077.300
HYPE3;16/06/2023;44,83;46,01;44,83;44,94;161.803.103,00;3.567.300
HYPE3;15/06/2023;45,03;45,79;45,03;45,23;105.505.675,00;2.309.100
HYPE3;14/06/2023;45,45;45,63;44,98;45,58;167.307.561,00;3.665.800
HYPE3;13/06/2023;45,94;46,32;44,88;45,11;194.038.428,00;4.265.500
HYPE3;12/06/2023;45,55;46,34;45,55;45,81;129.463.914,00;2.800.000
HYPE3;09/06/2023;43,90;45,85;43,89;45,58;1.736.262.732,00;37.791.900
HYPE3;07/06/2023;44,46;44,64;43,59;43,70;119.009.951,00;2.697.600
HYPE3;06/06/2023;42,70;44,69;42,55;44,02;254.723.696,00;5.800.900
HYPE3;05/06/2023;41,67;42,51;41,67;42,35;116.223.298,00;2.734.400
HYPE3;02/06/2023;41,66;42,04;41,28;41,75;87.268.242,00;2.078.700
HYPE3;01/06/2023;40,06;41,71;40,05;41,36;192.856.599,00;4.669.300
HYPE3;31/05/2023;40,62;41,32;40,35;40,59;309.995.180,00;7.571.400
HYPE3;30/05/2023;41,49;41,53;40,63;40,82;112.943.049,00;2.745.800
HYPE3;29/05/2023;40,91;41,21;40,74;41,20;62.990.625,00;1.525.200
HYPE3;26/05/2023;40,73;41,23;40,24;40,97;160.169.213,00;3.900.700
HYPE3;25/05/2023;39,81;40,52;39,49;40,16;163.200.592,00;4.051.700
HYPE3;24/05/2023;38,99;39,52;38,95;39,05;82.186.640,00;2.088.500
HYPE3;23/05/2023;39,51;39,84;38,99;39,13;114.368.807,00;2.898.600
HYPE3;22/05/2023;39,38;40,07;39,27;39,58;111.817.334,00;2.803.900
HYPE3;19/05/2023;38,76;39,69;38,35;39,21;135.814.651,00;3.440.000
HYPE3;18/05/2023;37,68;38,62;37,60;38,33;103.831.854,00;2.698.800
HYPE3;17/05/2023;37,79;37,89;37,62;37,79;130.328.495,00;3.430.200
HYPE3;16/05/2023;37,57;38,21;37,45;37,59;164.142.549,00;4.318.700
HYPE3;15/05/2023;37,98;38,31;37,75;37,85;233.413.661,00;6.095.600
HYPE3;12/05/2023;37,07;38,08;36,96;37,85;117.654.377,00;3.091.600
HYPE3;11/05/2023;38,23;38,23;37,38;37,51;136.158.420,00;3.591.900
HYPE3;10/05/2023;38,36;38,64;38,04;38,35;91.827.768,00;2.378.600
HYPE3;09/05/2023;37,51;38,61;37,17;38,30;124.190.764,00;3.229.000
HYPE3;08/05/2023;37,63;37,89;37,39;37,51;85.760.829,00;2.265.200
HYPE3;05/05/2023;36,99;37,61;36,76;37,22;111.570.355,00;2.979.100
HYPE3;04/05/2023;36,79;37,30;36,08;36,51;87.112.403,00;2.366.000
HYPE3;03/05/2023;36,48;36,76;36,15;36,37;94.638.333,00;2.586.300
HYPE3;02/05/2023;36,84;37,10;36,27;36,75;183.902.203,00;5.002.300
HYPE3;28/04/2023;35,78;37,41;35,29;37,04;169.622.486,00;4.587.400
HYPE3;27/04/2023;35,80;36,00;35,36;35,80;101.757.629,00;2.829.300
HYPE3;26/04/2023;35,60;36,03;35,23;35,83;103.185.843,00;2.878.100
HYPE3;25/04/2023;36,05;36,20;35,20;35,61;167.953.762,00;4.707.100
HYPE3;24/04/2023;36,49;37,09;36,17;36,39;105.133.258,00;2.854.200
HYPE3;20/04/2023;36,38;37,00;35,72;36,87;146.722.114,00;4.002.300
HYPE3;19/04/2023;37,06;37,25;36,13;36,36;135.978.001,00;3.690.500
HYPE3;18/04/2023;37,91;37,91;36,95;37,34;110.223.286,00;2.928.600
HYPE3;17/04/2023;37,24;37,69;36,68;37,61;140.825.066,00;3.755.100
HYPE3;14/04/2023;37,28;37,53;36,63;37,19;161.113.322,00;4.319.200
HYPE3;13/04/2023;37,62;38,65;37,01;37,44;372.424.272,00;9.783.300
HYPE3;12/04/2023;37,63;38,07;37,41;37,62;244.879.750,00;6.459.100
HYPE3;11/04/2023;36,44;38,23;36,41;37,70;253.341.692,00;6.713.800
HYPE3;10/04/2023;37,29;37,29;36,13;36,34;197.593.190,00;5.378.700
