Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IGTI11;14/09/2023;21,46;21,51;21,28;21,30;5.007.983,00;234.100
IGTI11;13/09/2023;21,29;21,66;21,09;21,33;46.112.336,00;2.157.400
IGTI11;12/09/2023;20,70;21,29;20,64;21,21;65.742.546,00;3.112.100
IGTI11;11/09/2023;20,36;20,80;20,23;20,65;48.435.891,00;2.355.500
IGTI11;08/09/2023;20,30;20,46;20,11;20,26;44.706.990,00;2.209.400
IGTI11;06/09/2023;20,99;21,12;20,27;20,38;85.544.865,00;4.160.900
IGTI11;05/09/2023;21,49;21,49;20,76;21,08;104.839.923,00;5.000.500
IGTI11;04/09/2023;21,14;21,70;21,08;21,63;60.323.367,00;2.796.900
IGTI11;01/09/2023;20,64;21,30;20,57;21,30;114.987.030,00;5.466.600
IGTI11;31/08/2023;21,14;21,18;20,47;20,60;78.213.145,00;3.790.800
IGTI11;30/08/2023;21,45;21,53;21,05;21,14;23.022.547,00;1.085.600
IGTI11;29/08/2023;21,19;21,49;21,06;21,31;44.476.353,00;2.087.000
IGTI11;28/08/2023;20,96;21,27;20,81;21,18;41.773.425,00;1.982.300
IGTI11;25/08/2023;21,45;21,63;20,84;20,97;63.430.110,00;3.022.000
IGTI11;24/08/2023;21,24;21,42;21,08;21,42;51.558.784,00;2.420.000
IGTI11;23/08/2023;21,11;21,48;21,00;21,37;69.934.042,00;3.282.300
IGTI11;22/08/2023;21,00;21,40;20,85;21,10;36.463.457,00;1.730.100
IGTI11;21/08/2023;20,80;21,03;20,67;20,85;78.100.785,00;3.751.200
IGTI11;18/08/2023;20,65;21,06;20,63;21,03;96.149.223,00;4.597.100
IGTI11;17/08/2023;21,14;21,22;20,64;20,77;104.532.482,00;5.021.900
IGTI11;16/08/2023;21,67;21,70;20,96;21,09;90.255.102,00;4.230.000
IGTI11;15/08/2023;21,89;22,11;21,45;21,63;82.009.051,00;3.793.800
IGTI11;14/08/2023;22,39;22,39;21,84;21,91;71.843.126,00;3.273.000
IGTI11;11/08/2023;22,27;22,39;21,97;22,23;58.489.315,00;2.642.400
IGTI11;10/08/2023;22,19;22,40;22,03;22,27;44.632.941,00;2.006.400
IGTI11;09/08/2023;21,96;22,21;21,89;22,16;39.583.485,00;1.793.200
IGTI11;08/08/2023;22,05;22,41;21,70;22,12;63.915.122,00;2.887.200
IGTI11;07/08/2023;22,41;22,48;22,08;22,18;69.977.853,00;3.151.100
IGTI11;04/08/2023;22,60;22,70;22,28;22,41;59.162.784,00;2.627.700
IGTI11;03/08/2023;22,63;23,28;22,52;22,58;118.347.377,00;5.186.000
IGTI11;02/08/2023;22,43;22,63;22,28;22,45;76.392.175,00;3.402.600
IGTI11;01/08/2023;21,77;22,55;21,56;22,42;126.564.432,00;5.694.000
