Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IRBR3;14/09/2023;43,98;44,42;43,67;43,68;17.230.040,00;390.500
IRBR3;13/09/2023;42,93;44,03;42,84;43,80;54.933.082,00;1.260.300
IRBR3;12/09/2023;41,71;43,60;41,67;42,93;63.852.714,00;1.495.400
IRBR3;11/09/2023;41,10;41,92;40,96;41,65;48.016.403,00;1.158.900
IRBR3;08/09/2023;41,18;41,28;40,32;40,80;45.989.196,00;1.129.400
IRBR3;06/09/2023;43,36;43,46;41,06;41,30;89.704.368,00;2.131.900
IRBR3;05/09/2023;43,20;44,44;42,26;43,24;95.082.884,00;2.194.800
IRBR3;04/09/2023;42,00;43,64;41,51;43,47;84.146.094,00;1.963.000
IRBR3;01/09/2023;43,13;44,22;41,35;41,91;110.161.494,00;2.587.900
IRBR3;31/08/2023;45,25;45,37;42,90;42,96;93.618.254,00;2.137.300
IRBR3;30/08/2023;47,50;48,00;44,50;45,04;139.890.933,00;3.057.400
IRBR3;29/08/2023;45,64;47,67;45,57;47,51;111.931.460,00;2.392.300
IRBR3;28/08/2023;45,60;46,17;44,00;45,65;128.855.222,00;2.847.800
IRBR3;25/08/2023;44,94;45,66;44,40;45,17;89.704.751,00;1.987.700
IRBR3;24/08/2023;43,87;45,74;43,35;45,02;132.882.265,00;2.967.600
IRBR3;23/08/2023;43,21;44,75;42,90;44,13;154.477.807,00;3.515.300
IRBR3;22/08/2023;39,95;43,69;39,34;43,33;234.109.009,00;5.574.200
IRBR3;21/08/2023;43,70;43,80;39,46;39,70;158.486.189,00;3.847.700
IRBR3;18/08/2023;44,09;45,35;42,80;43,74;118.168.086,00;2.684.700
IRBR3;17/08/2023;45,16;45,64;43,06;44,13;197.520.738,00;4.438.000
IRBR3;16/08/2023;40,06;46,60;39,80;44,25;513.636.527,00;11.589.600
IRBR3;15/08/2023;41,60;41,83;36,57;39,56;208.601.556,00;5.397.600
IRBR3;14/08/2023;39,30;39,97;38,68;38,86;48.382.195,00;1.230.300
IRBR3;11/08/2023;39,20;40,10;38,68;39,15;50.111.322,00;1.276.100
IRBR3;10/08/2023;38,60;39,28;38,25;39,08;44.332.907,00;1.143.900
IRBR3;09/08/2023;39,02;39,02;38,22;38,57;31.827.012,00;826.400
