Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ITSA4;14/09/2023;9,29;9,33;9,26;9,31;24.770.299,00;2.663.600
ITSA4;13/09/2023;9,28;9,39;9,25;9,27;180.661.248,00;19.406.100
ITSA4;12/09/2023;9,27;9,34;9,20;9,27;122.055.191,00;13.173.400
ITSA4;11/09/2023;9,06;9,30;9,04;9,23;181.535.421,00;19.788.500
ITSA4;08/09/2023;9,00;9,10;8,95;9,01;167.634.948,00;18.565.600
ITSA4;06/09/2023;9,13;9,15;8,98;9,01;238.940.912,00;26.447.700
ITSA4;05/09/2023;9,20;9,27;9,12;9,12;159.671.193,00;17.395.600
ITSA4;04/09/2023;9,34;9,38;9,24;9,24;89.709.490,00;9.662.100
ITSA4;01/09/2023;9,23;9,39;9,20;9,34;203.364.798,00;21.799.200
ITSA4;31/08/2023;9,42;9,42;9,24;9,24;252.308.321,00;27.203.500
ITSA4;30/08/2023;9,58;9,60;9,39;9,44;127.768.244,00;13.520.000
ITSA4;29/08/2023;9,54;9,63;9,49;9,58;168.075.315,00;17.559.500
ITSA4;28/08/2023;9,36;9,51;9,28;9,49;338.119.571,00;36.032.200
ITSA4;25/08/2023;9,43;9,46;9,31;9,34;499.988.141,00;53.301.500
ITSA4;24/08/2023;9,52;9,53;9,39;9,44;151.978.048,00;16.096.200
ITSA4;23/08/2023;9,38;9,59;9,35;9,56;236.983.774,00;24.943.800
ITSA4;22/08/2023;9,25;9,43;9,24;9,38;241.379.562,00;25.829.000
ITSA4;21/08/2023;9,35;9,36;9,20;9,23;335.779.577,00;36.309.700
ITSA4;18/08/2023;9,32;9,40;9,25;9,37;126.090.020,00;13.505.200
ITSA4;17/08/2023;9,43;9,48;9,29;9,32;213.310.805,00;22.650.100
ITSA4;16/08/2023;9,43;9,57;9,40;9,40;487.776.425,00;51.142.500
ITSA4;15/08/2023;9,51;9,53;9,42;9,47;287.935.173,00;30.198.000
ITSA4;14/08/2023;9,47;9,54;9,44;9,50;214.334.729,00;22.430.400
ITSA4;11/08/2023;9,44;9,59;9,41;9,54;196.702.872,00;20.529.100
ITSA4;10/08/2023;9,46;9,59;9,42;9,46;166.264.664,00;17.408.900
ITSA4;09/08/2023;9,57;9,57;9,33;9,45;210.183.142,00;22.185.500
ITSA4;08/08/2023;9,62;9,64;9,48;9,61;274.144.780,00;28.459.200
ITSA4;07/08/2023;9,71;9,80;9,62;9,70;163.082.937,00;16.687.300
ITSA4;04/08/2023;9,78;9,88;9,65;9,70;192.087.039,00;19.568.900
ITSA4;03/08/2023;9,81;9,96;9,72;9,78;245.257.273,00;24.854.600
ITSA4;02/08/2023;9,71;9,85;9,70;9,79;236.297.958,00;24.037.000
ITSA4;01/08/2023;9,71;9,81;9,63;9,74;251.200.104,00;25.741.800
ITSA4;31/07/2023;9,80;9,85;9,72;9,76;166.896.353,00;16.982.500
ITSA4;28/07/2023;9,65;9,80;9,60;9,75;141.871.490,00;14.516.600
ITSA4;27/07/2023;9,75;9,75;9,57;9,62;296.813.033,00;30.607.500
ITSA4;26/07/2023;9,81;9,83;9,68;9,75;388.963.274,00;39.690.300
ITSA4;25/07/2023;9,81;9,98;9,71;9,79;781.913.572,00;78.383.400
