Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ITUB4;14/09/2023;27,80;27,97;27,47;27,62;158.139.179,00;5.714.900
ITUB4;13/09/2023;27,66;28,04;27,49;27,75;642.849.620,00;23.113.700
ITUB4;12/09/2023;27,48;27,70;27,32;27,61;453.254.997,00;16.441.200
ITUB4;11/09/2023;27,00;27,49;26,89;27,45;750.755.039,00;27.571.600
ITUB4;08/09/2023;26,65;27,11;26,53;26,77;609.260.917,00;22.685.100
ITUB4;06/09/2023;27,06;27,17;26,60;26,73;512.449.320,00;19.128.200
ITUB4;05/09/2023;27,40;27,47;26,95;26,99;560.550.946,00;20.605.500
ITUB4;04/09/2023;27,53;27,71;27,32;27,40;265.521.491,00;9.668.200
ITUB4;01/09/2023;27,46;27,92;27,33;27,65;813.485.481,00;29.319.800
ITUB4;31/08/2023;27,53;27,62;27,17;27,41;1.010.476.646,00;36.872.400
ITUB4;30/08/2023;28,29;28,33;27,56;27,65;487.526.687,00;17.533.400
ITUB4;29/08/2023;27,98;28,57;27,87;28,19;1.001.255.714,00;35.353.300
ITUB4;28/08/2023;26,87;27,97;26,71;27,75;937.903.633,00;34.195.900
ITUB4;25/08/2023;27,24;27,29;26,66;26,85;599.335.521,00;22.285.700
ITUB4;24/08/2023;27,58;27,58;27,13;27,28;509.296.400,00;18.639.300
ITUB4;23/08/2023;27,26;27,70;27,10;27,59;663.255.552,00;24.109.200
ITUB4;22/08/2023;26,99;27,34;26,92;27,26;576.631.689,00;21.214.800
ITUB4;21/08/2023;26,85;27,07;26,71;26,84;878.722.673,00;32.706.900
ITUB4;18/08/2023;26,69;27,17;26,53;26,95;555.822.394,00;20.639.100
ITUB4;17/08/2023;27,31;27,33;26,73;26,74;1.020.783.080,00;37.913.200
ITUB4;16/08/2023;27,04;27,50;26,98;27,06;918.333.110,00;33.741.900
ITUB4;15/08/2023;27,29;27,35;26,86;27,08;668.503.695,00;24.665.800
ITUB4;14/08/2023;27,46;27,60;27,16;27,23;685.165.014,00;25.034.400
ITUB4;11/08/2023;27,61;27,78;27,44;27,62;536.664.682,00;19.409.000
ITUB4;10/08/2023;27,63;27,92;27,50;27,57;847.483.547,00;30.544.700
ITUB4;09/08/2023;27,48;27,58;26,91;27,48;953.604.805,00;35.000.300
ITUB4;08/08/2023;27,35;27,99;27,10;27,58;1.219.077.739,00;44.192.500
ITUB4;07/08/2023;27,91;28,26;27,60;27,64;917.296.116,00;32.944.400
ITUB4;04/08/2023;28,31;28,52;27,68;27,86;1.241.571.408,00;44.190.000
ITUB4;03/08/2023;28,82;29,11;28,26;28,38;623.562.082,00;21.813.700
ITUB4;02/08/2023;28,67;28,73;28,29;28,60;523.096.659,00;18.308.200
ITUB4;01/08/2023;28,31;28,71;28,26;28,69;422.922.542,00;14.824.900
ITUB4;31/07/2023;28,76;28,85;28,46;28,61;436.105.781,00;15.214.700
ITUB4;28/07/2023;28,16;28,55;28,03;28,51;461.145.191,00;16.239.500
ITUB4;27/07/2023;28,69;28,69;28,06;28,09;545.789.808,00;19.296.500
ITUB4;26/07/2023;28,56;28,77;28,30;28,73;957.788.744,00;33.514.300
ITUB4;25/07/2023;28,92;28,92;28,29;28,57;992.221.605,00;34.740.700
ITUB4;24/07/2023;28,97;29,22;28,31;28,51;938.006.137,00;32.714.000
ITUB4;21/07/2023;28,47;28,97;28,40;28,97;918.922.162,00;31.833.300
ITUB4;20/07/2023;28,08;28,46;27,67;28,46;1.063.260.396,00;37.753.100
ITUB4;19/07/2023;28,24;28,38;27,86;27,94;1.099.342.908,00;39.184.800
ITUB4;18/07/2023;28,80;28,91;28,14;28,24;1.110.312.946,00;38.968.000
ITUB4;17/07/2023;28,20;28,80;28,13;28,80;454.296.368,00;15.887.500
ITUB4;14/07/2023;28,62;28,76;28,13;28,25;698.067.033,00;24.592.600
ITUB4;13/07/2023;28,19;28,76;28,13;28,55;625.657.474,00;21.843.700
ITUB4;12/07/2023;28,47;28,62;28,17;28,24;520.919.189,00;18.352.400
ITUB4;11/07/2023;28,78;28,83;28,07;28,41;794.817.592,00;28.037.700
ITUB4;10/07/2023;29,34;29,34;28,82;28,92;380.198.406,00;13.127.300
ITUB4;07/07/2023;28,74;29,43;28,62;29,11;810.698.071,00;27.738.800
ITUB4;06/07/2023;28,80;28,88;28,57;28,57;811.019.621,00;28.251.000
ITUB4;05/07/2023;28,69;29,17;28,63;29,00;511.178.976,00;17.632.900
ITUB4;04/07/2023;28,84;28,99;28,70;28,75;234.888.155,00;8.136.500
ITUB4;03/07/2023;28,51;28,98;28,33;28,93;505.987.229,00;17.616.000
ITUB4;30/06/2023;28,72;28,87;28,30;28,37;792.055.288,00;27.766.000
ITUB4;29/06/2023;28,18;28,50;28,16;28,44;1.748.904.441,00;61.719.900
ITUB4;28/06/2023;28,25;28,32;27,96;28,11;524.624.104,00;18.631.800
ITUB4;27/06/2023;28,73;28,78;27,94;28,26;727.654.468,00;25.748.100
ITUB4;26/06/2023;28,58;28,89;28,38;28,58;388.413.191,00;13.568.400
ITUB4;23/06/2023;28,80;28,80;28,43;28,62;469.525.645,00;16.380.500
ITUB4;22/06/2023;28,82;28,95;28,51;28,71;684.586.667,00;23.795.200
ITUB4;21/06/2023;28,69;29,12;28,64;28,99;763.048.659,00;26.308.200
ITUB4;20/06/2023;28,76;28,76;28,31;28,71;708.233.682,00;24.753.200
ITUB4;19/06/2023;28,31;28,83;28,27;28,77;470.221.676,00;16.232.600
ITUB4;16/06/2023;28,22;28,57;27,99;28,38;1.189.771.363,00;41.534.500
ITUB4;15/06/2023;27,84;28,33;27,82;28,29;759.293.605,00;26.698.600
ITUB4;14/06/2023;27,71;27,96;27,51;27,93;1.396.375.857,00;49.839.900
ITUB4;13/06/2023;27,38;27,64;27,28;27,55;920.884.933,00;33.195.200
ITUB4;12/06/2023;27,67;27,78;27,16;27,24;815.911.119,00;29.503.300
ITUB4;09/06/2023;27,31;27,54;27,07;27,54;809.220.530,00;29.267.800
ITUB4;07/06/2023;27,24;27,36;26,93;27,16;765.674.407,00;27.948.800
ITUB4;06/06/2023;27,07;27,19;26,90;27,08;711.827.756,00;26.082.200
ITUB4;05/06/2023;26,90;27,02;26,58;26,90;664.113.211,00;24.571.800
ITUB4;02/06/2023;26,75;26,96;26,61;26,84;678.599.683,00;25.082.000
ITUB4;01/06/2023;26,22;26,66;26,06;26,45;678.070.269,00;25.426.500
ITUB4;31/05/2023;26,23;26,30;25,94;26,07;883.498.307,00;33.532.800
ITUB4;30/05/2023;26,81;26,92;25,95;26,28;1.143.012.774,00;43.122.800
ITUB4;29/05/2023;26,69;26,78;26,43;26,65;266.564.174,00;9.906.800
ITUB4;26/05/2023;27,13;27,48;26,52;26,77;808.969.850,00;29.655.800
ITUB4;25/05/2023;26,60;27,09;26,41;26,98;1.233.908.210,00;45.478.000
ITUB4;24/05/2023;26,14;26,43;25,99;26,16;758.711.887,00;28.682.700
ITUB4;23/05/2023;26,23;26,70;26,00;26,31;738.782.866,00;27.714.400
ITUB4;22/05/2023;26,60;26,87;26,04;26,10;697.078.213,00;26.273.100
ITUB4;19/05/2023;26,64;26,73;26,31;26,60;1.295.627.228,00;48.408.300
ITUB4;18/05/2023;26,83;26,87;26,49;26,82;637.235.276,00;23.643.300
ITUB4;17/05/2023;26,83;27,15;26,68;26,92;647.985.364,00;23.901.400
ITUB4;16/05/2023;26,76;27,05;26,56;26,65;712.194.887,00;26.310.800
ITUB4;15/05/2023;26,68;26,83;26,44;26,74;481.093.062,00;17.887.000
ITUB4;12/05/2023;26,54;26,78;26,40;26,64;476.878.544,00;17.757.000
ITUB4;11/05/2023;26,49;27,07;26,35;26,89;854.219.557,00;31.626.000
ITUB4;10/05/2023;26,20;26,77;26,03;26,63;826.344.989,00;30.898.000
ITUB4;09/05/2023;26,02;26,52;25,97;26,25;1.012.071.514,00;38.094.700
ITUB4;08/05/2023;26,19;26,31;25,55;26,09;1.384.112.340,00;52.729.600
ITUB4;05/05/2023;25,10;25,73;24,77;25,73;1.112.749.753,00;43.414.100
ITUB4;04/05/2023;24,74;25,03;24,28;24,81;990.214.689,00;39.706.900
ITUB4;03/05/2023;24,70;24,88;24,43;24,61;581.665.248,00;23.381.200
ITUB4;02/05/2023;25,47;25,71;24,61;24,65;1.093.820.505,00;43.507.700
ITUB4;28/04/2023;25,66;25,66;25,24;25,65;526.882.906,00;20.395.200
ITUB4;27/04/2023;25,06;25,53;25,06;25,52;535.833.991,00;20.872.000
ITUB4;26/04/2023;25,26;25,39;25,03;25,07;431.465.178,00;16.954.600
ITUB4;25/04/2023;24,93;25,45;24,93;25,33;583.610.268,00;22.843.000
ITUB4;24/04/2023;25,32;25,51;24,92;25,10;640.986.901,00;25.225.900
ITUB4;20/04/2023;25,12;25,41;24,94;25,33;555.436.620,00;21.783.400
ITUB4;19/04/2023;25,48;25,58;25,22;25,26;701.934.378,00;27.369.400
ITUB4;18/04/2023;25,74;25,96;25,41;25,67;622.130.058,00;24.048.500
ITUB4;17/04/2023;25,78;25,96;25,45;25,69;552.256.749,00;21.308.500
ITUB4;14/04/2023;25,28;25,86;25,17;25,74;889.230.869,00;34.284.200
ITUB4;13/04/2023;25,49;25,64;25,18;25,37;920.766.853,00;35.818.600
ITUB4;12/04/2023;25,37;25,75;25,10;25,37;1.076.139.991,00;41.812.000
ITUB4;11/04/2023;24,93;25,35;24,75;25,20;1.225.780.652,00;48.248.300
ITUB4;10/04/2023;24,38;24,49;24,25;24,41;347.498.134,00;14.095.800
ITUB4;06/04/2023;24,30;24,41;23,98;24,15;530.138.589,00;21.688.100
ITUB4;05/04/2023;24,31;24,55;23,93;24,23;769.614.926,00;31.459.800
ITUB4;04/04/2023;23,89;24,45;23,87;24,25;559.480.977,00;22.837.300
ITUB4;03/04/2023;24,42;24,44;23,56;23,78;809.676.539,00;33.696.600
ITUB4;31/03/2023;24,46;24,81;24,22;24,46;1.435.401.302,00;57.750.800
ITUB4;30/03/2023;24,05;24,52;23,95;24,35;933.730.051,00;38.088.100
ITUB4;29/03/2023;23,49;23,81;23,32;23,69;540.698.396,00;22.694.500
ITUB4;28/03/2023;23,38;23,65;23,24;23,47;670.476.196,00;28.201.900
ITUB4;27/03/2023;23,24;23,52;23,12;23,36;928.367.832,00;39.303.700
ITUB4;24/03/2023;22,90;23,16;22,49;22,96;694.583.865,00;29.992.400
ITUB4;23/03/2023;23,26;23,75;22,42;22,67;1.230.709.953,00;52.512.600
