Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JBSS3;14/09/2023;19,11;19,28;18,99;19,00;15.100.217,00;789.100
JBSS3;13/09/2023;18,97;19,14;18,80;19,03;111.141.737,00;5.850.200
JBSS3;12/09/2023;18,70;18,96;18,63;18,96;141.371.171,00;7.512.300
JBSS3;11/09/2023;18,46;18,81;18,36;18,72;206.443.012,00;11.051.000
JBSS3;08/09/2023;18,55;18,71;18,29;18,43;106.816.213,00;5.794.800
JBSS3;06/09/2023;18,72;18,91;18,50;18,55;121.981.557,00;6.539.900
JBSS3;05/09/2023;18,66;18,80;18,45;18,69;145.055.668,00;7.768.100
JBSS3;04/09/2023;18,67;18,88;18,60;18,60;39.199.766,00;2.097.300
JBSS3;01/09/2023;18,47;18,65;18,40;18,51;145.586.666,00;7.861.300
JBSS3;31/08/2023;18,90;18,90;18,40;18,40;206.672.072,00;11.149.200
JBSS3;30/08/2023;19,00;19,09;18,74;18,80;126.914.078,00;6.724.500
JBSS3;29/08/2023;18,86;19,00;18,54;18,92;142.678.619,00;7.600.300
JBSS3;28/08/2023;18,60;18,87;18,37;18,73;172.732.961,00;9.251.900
JBSS3;25/08/2023;18,65;18,70;18,21;18,53;132.102.079,00;7.167.700
JBSS3;24/08/2023;18,71;18,97;18,37;18,58;185.979.864,00;9.944.300
JBSS3;23/08/2023;18,58;18,74;18,08;18,65;195.829.248,00;10.636.400
JBSS3;22/08/2023;18,70;18,78;18,36;18,53;166.216.688,00;8.971.100
JBSS3;21/08/2023;19,19;19,23;18,60;18,69;180.800.835,00;9.629.000
JBSS3;18/08/2023;19,39;19,40;19,16;19,21;142.946.999,00;7.420.100
JBSS3;17/08/2023;19,45;19,72;19,32;19,45;185.637.846,00;9.540.100
JBSS3;16/08/2023;19,59;19,75;19,33;19,39;203.708.808,00;10.439.700
JBSS3;15/08/2023;18,90;20,25;18,86;19,64;268.170.142,00;13.656.200
JBSS3;14/08/2023;19,43;19,62;19,25;19,38;139.498.712,00;7.165.300
JBSS3;11/08/2023;19,37;19,69;19,19;19,35;159.566.161,00;8.230.900
JBSS3;10/08/2023;19,38;19,52;19,11;19,38;140.137.173,00;7.251.900
JBSS3;09/08/2023;19,49;19,73;19,20;19,26;170.786.165,00;8.805.300
JBSS3;08/08/2023;19,30;19,67;19,25;19,47;124.585.088,00;6.393.600
JBSS3;07/08/2023;19,88;19,97;19,15;19,45;312.310.129,00;16.031.300
JBSS3;04/08/2023;19,45;20,09;19,40;19,88;231.588.832,00;11.660.400
JBSS3;03/08/2023;19,65;19,81;19,35;19,66;185.619.893,00;9.462.500
JBSS3;02/08/2023;19,00;19,65;18,88;19,50;238.001.646,00;12.211.600
JBSS3;01/08/2023;18,70;19,24;18,59;19,02;195.518.391,00;10.262.700
JBSS3;31/07/2023;18,60;18,82;18,46;18,78;134.204.564,00;7.175.400
JBSS3;28/07/2023;18,16;18,66;17,91;18,49;173.320.607,00;9.446.200
JBSS3;27/07/2023;18,40;18,51;18,04;18,09;113.467.673,00;6.226.400
JBSS3;26/07/2023;17,91;18,36;17,77;18,25;112.908.008,00;6.221.600
JBSS3;25/07/2023;18,11;18,17;17,82;17,93;152.894.216,00;8.512.100
JBSS3;24/07/2023;18,02;18,09;17,47;17,89;196.540.101,00;11.035.700
JBSS3;21/07/2023;17,91;18,14;17,84;18,10;189.895.302,00;10.511.700
JBSS3;20/07/2023;18,26;18,36;18,02;18,05;123.465.862,00;6.816.500
JBSS3;19/07/2023;18,22;18,31;17,97;18,21;190.660.210,00;10.496.500
JBSS3;18/07/2023;18,57;18,73;18,01;18,22;278.049.950,00;15.195.700
JBSS3;17/07/2023;18,88;19,05;18,45;18,74;261.247.472,00;13.922.000
JBSS3;14/07/2023;19,40;19,54;18,87;19,01;366.756.708,00;19.075.500
JBSS3;13/07/2023;18,89;19,48;18,89;19,32;395.811.529,00;20.532.600
JBSS3;12/07/2023;18,51;18,95;18,35;18,80;655.360.019,00;35.052.800
JBSS3;11/07/2023;17,61;17,63;17,17;17,24;163.167.541,00;9.430.500
JBSS3;10/07/2023;17,72;17,76;17,53;17,57;100.567.266,00;5.709.200
JBSS3;07/07/2023;17,70;17,90;17,53;17,75;169.993.081,00;9.580.400
JBSS3;06/07/2023;18,00;18,14;17,53;17,64;208.954.987,00;11.805.800
JBSS3;05/07/2023;17,50;18,32;17,44;18,18;187.911.866,00;10.416.300
JBSS3;04/07/2023;17,61;17,67;17,46;17,54;75.728.892,00;4.318.000
JBSS3;03/07/2023;17,66;17,80;17,43;17,61;142.084.394,00;8.069.000
JBSS3;30/06/2023;17,60;17,84;17,39;17,46;284.422.911,00;16.171.700
JBSS3;29/06/2023;16,85;17,60;16,67;17,43;329.421.728,00;19.042.800
JBSS3;28/06/2023;17,15;17,20;16,27;16,34;268.488.768,00;16.161.900
JBSS3;27/06/2023;16,82;17,15;16,62;17,06;198.731.851,00;11.758.500
JBSS3;26/06/2023;17,18;17,19;16,46;16,65;303.038.003,00;18.185.000
JBSS3;23/06/2023;17,80;18,03;17,10;17,18;265.805.952,00;15.223.900
JBSS3;22/06/2023;17,96;18,01;17,34;17,78;294.786.855,00;15.803.500
JBSS3;21/06/2023;18,47;18,49;17,83;17,88;310.083.296,00;16.309.800
JBSS3;20/06/2023;18,13;18,41;17,90;18,31;382.894.467,00;19.940.300
JBSS3;19/06/2023;17,04;17,92;16,96;17,58;253.930.221,00;13.636.500
JBSS3;16/06/2023;17,23;17,23;16,71;16,93;347.877.819,00;19.466.500
JBSS3;15/06/2023;17,08;17,35;16,95;17,25;174.978.142,00;9.647.100
JBSS3;14/06/2023;17,29;17,31;16,86;17,12;247.587.481,00;13.729.300
JBSS3;13/06/2023;17,11;17,26;16,98;17,13;193.374.588,00;10.697.500
JBSS3;12/06/2023;16,90;17,04;16,69;17,04;149.613.982,00;8.384.700
JBSS3;09/06/2023;16,87;16,88;16,61;16,80;170.525.315,00;9.628.500
JBSS3;07/06/2023;16,72;16,85;16,47;16,72;171.015.370,00;9.698.600
JBSS3;06/06/2023;16,01;16,76;15,92;16,68;224.276.440,00;12.971.000
JBSS3;05/06/2023;15,99;16,14;15,76;15,98;113.802.188,00;6.755.700
JBSS3;02/06/2023;15,67;15,88;15,50;15,88;228.805.492,00;13.773.800
JBSS3;01/06/2023;16,04;16,09;15,43;15,54;196.978.945,00;11.929.500
JBSS3;31/05/2023;15,43;16,06;15,30;15,91;361.692.030,00;21.779.000
JBSS3;30/05/2023;15,64;15,74;15,18;15,54;105.881.253,00;6.493.900
JBSS3;29/05/2023;15,58;15,70;15,43;15,54;89.268.821,00;5.438.100
JBSS3;26/05/2023;15,63;15,91;15,45;15,53;118.418.675,00;7.177.700
JBSS3;25/05/2023;15,56;15,60;15,29;15,56;170.744.234,00;10.440.300
JBSS3;24/05/2023;15,97;15,97;15,27;15,29;273.407.505,00;16.832.500
JBSS3;23/05/2023;16,23;16,38;15,91;16,08;178.817.699,00;10.490.600
JBSS3;22/05/2023;16,09;16,53;16,05;16,23;275.166.409,00;16.002.800
JBSS3;19/05/2023;15,59;16,09;15,50;16,09;306.778.386,00;18.253.100
JBSS3;18/05/2023;15,39;15,59;15,28;15,53;178.259.890,00;10.917.700
JBSS3;17/05/2023;15,41;15,50;15,23;15,34;185.226.837,00;11.437.900
JBSS3;16/05/2023;15,39;15,51;15,12;15,36;245.722.366,00;15.191.100
JBSS3;15/05/2023;15,38;15,76;15,00;15,31;311.344.738,00;19.101.500
JBSS3;12/05/2023;14,73;15,55;14,31;15,28;944.657.648,00;59.932.900
JBSS3;11/05/2023;16,28;16,61;16,27;16,38;224.806.609,00;12.952.700
JBSS3;10/05/2023;16,78;16,80;16,26;16,38;249.209.680,00;14.361.500
JBSS3;09/05/2023;16,71;16,98;16,62;16,84;173.422.892,00;9.762.400
JBSS3;08/05/2023;16,57;16,95;16,29;16,85;234.051.162,00;13.244.200
JBSS3;05/05/2023;17,06;17,34;16,88;17,31;276.474.844,00;15.193.600
JBSS3;04/05/2023;16,76;17,17;16,70;16,99;154.392.338,00;8.633.900
JBSS3;03/05/2023;16,53;16,82;16,41;16,69;146.071.942,00;8.311.000
JBSS3;02/05/2023;16,94;17,04;16,25;16,46;177.987.431,00;10.225.000
JBSS3;28/04/2023;16,11;16,95;16,05;16,95;162.848.916,00;9.232.300
JBSS3;27/04/2023;15,75;16,22;15,57;16,11;155.578.105,00;9.247.400
JBSS3;26/04/2023;15,96;16,00;15,67;15,73;155.463.711,00;9.292.900
JBSS3;25/04/2023;16,09;16,09;15,72;15,95;165.242.039,00;9.833.800
JBSS3;24/04/2023;16,23;16,36;16,05;16,19;105.708.569,00;6.186.800
JBSS3;20/04/2023;16,16;16,27;15,98;16,24;155.652.836,00;9.103.300
JBSS3;19/04/2023;16,40;16,58;15,90;16,13;313.955.897,00;18.364.900
JBSS3;18/04/2023;16,20;16,41;16,09;16,41;114.277.594,00;6.660.500
JBSS3;17/04/2023;15,94;16,27;15,76;16,13;120.953.067,00;7.119.600
JBSS3;14/04/2023;16,07;16,07;15,54;15,71;157.162.959,00;9.476.200
JBSS3;13/04/2023;16,53;16,55;15,95;16,01;184.478.497,00;10.821.700
JBSS3;12/04/2023;16,66;16,81;16,29;16,49;194.567.909,00;11.098.900
JBSS3;11/04/2023;16,32;16,65;16,29;16,57;123.004.689,00;7.058.500
JBSS3;10/04/2023;15,94;16,45;15,88;16,26;103.697.992,00;6.059.100
JBSS3;06/04/2023;16,43;16,47;15,82;15,90;168.424.241,00;9.938.800
JBSS3;05/04/2023;16,51;16,65;16,23;16,30;163.633.473,00;9.440.200
JBSS3;04/04/2023;16,45;16,85;16,41;16,52;154.917.602,00;8.843.700
JBSS3;03/04/2023;16,80;16,89;16,15;16,38;192.707.086,00;11.148.700
JBSS3;31/03/2023;17,25;17,48;16,80;16,90;161.971.857,00;8.976.000
JBSS3;30/03/2023;17,14;17,34;16,98;17,24;125.327.274,00;6.919.800
JBSS3;29/03/2023;16,98;17,16;16,71;16,99;176.654.843,00;9.896.500
JBSS3;28/03/2023;17,16;17,30;16,69;16,96;240.240.503,00;13.467.000
JBSS3;27/03/2023;17,34;17,44;17,04;17,31;85.088.498,00;4.658.800
JBSS3;24/03/2023;17,26;17,45;16,96;17,15;272.958.475,00;15.082.600
JBSS3;23/03/2023;18,17;18,34;17,08;17,26;190.960.552,00;10.304.300
JBSS3;22/03/2023;17,33;18,06;17,18;17,53;389.555.421,00;20.987.800
JBSS3;21/03/2023;18,05;18,56;17,84;18,12;206.421.292,00;10.741.000
JBSS3;20/03/2023;19,39;19,39;17,99;17,99;267.198.679,00;13.650.300
JBSS3;17/03/2023;18,78;19,56;18,76;19,40;318.264.088,00;15.580.300
