Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
KLBN11;14/09/2023;22,80;22,92;22,72;22,74;6.233.816,00;273.200
KLBN11;13/09/2023;22,74;22,96;22,66;22,72;91.374.736,00;4.017.300
KLBN11;12/09/2023;22,50;22,94;22,47;22,74;49.169.924,00;2.157.200
KLBN11;11/09/2023;22,20;22,59;22,02;22,43;76.561.381,00;3.422.000
KLBN11;08/09/2023;22,40;22,46;21,93;22,11;89.588.205,00;4.045.300
KLBN11;06/09/2023;22,98;23,05;22,38;22,43;81.462.950,00;3.607.800
KLBN11;05/09/2023;23,21;23,24;22,91;22,92;110.902.629,00;4.824.300
KLBN11;04/09/2023;23,10;23,27;22,91;23,17;40.088.832,00;1.732.700
KLBN11;01/09/2023;22,88;23,10;22,77;23,08;82.691.811,00;3.596.200
KLBN11;31/08/2023;23,00;23,08;22,55;22,76;97.381.706,00;4.276.000
KLBN11;30/08/2023;23,15;23,29;22,97;22,97;100.500.590,00;4.350.500
KLBN11;29/08/2023;23,00;23,15;22,91;23,11;63.710.846,00;2.758.000
KLBN11;28/08/2023;22,74;23,03;22,69;22,87;58.196.588,00;2.547.400
KLBN11;25/08/2023;22,44;22,78;22,42;22,67;51.110.153,00;2.259.600
KLBN11;24/08/2023;22,59;22,64;22,27;22,45;59.793.884,00;2.672.000
KLBN11;23/08/2023;22,51;22,69;22,36;22,52;87.420.642,00;3.881.900
KLBN11;22/08/2023;22,38;22,58;22,31;22,50;75.696.753,00;3.369.600
KLBN11;21/08/2023;22,54;22,60;22,07;22,36;82.954.869,00;3.714.300
KLBN11;18/08/2023;22,57;22,72;22,35;22,48;106.170.398,00;4.715.600
KLBN11;17/08/2023;22,67;22,69;22,41;22,51;72.392.084,00;3.211.500
KLBN11;16/08/2023;22,65;22,90;22,44;22,60;147.937.306,00;6.539.700
KLBN11;15/08/2023;22,94;22,95;22,55;22,60;69.089.185,00;3.041.800
KLBN11;14/08/2023;22,69;22,96;22,51;22,89;106.106.486,00;4.657.900
KLBN11;11/08/2023;22,53;22,69;22,38;22,66;98.011.878,00;4.336.800
KLBN11;10/08/2023;22,57;22,69;22,36;22,54;58.529.234,00;2.600.800
