Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LREN3;14/09/2023;16,42;16,52;15,92;15,92;19.910.333,00;1.229.100
LREN3;13/09/2023;15,99;16,71;15,87;16,25;281.819.170,00;17.181.700
LREN3;12/09/2023;15,67;16,10;15,57;16,01;182.394.200,00;11.427.200
LREN3;11/09/2023;15,83;15,93;15,40;15,75;219.026.899,00;13.958.700
LREN3;08/09/2023;15,45;15,68;15,25;15,52;177.615.335,00;11.446.200
LREN3;06/09/2023;16,07;16,14;15,48;15,57;422.828.716,00;26.951.400
LREN3;05/09/2023;16,34;16,34;15,93;16,07;336.886.583,00;20.942.400
LREN3;04/09/2023;16,70;17,04;16,30;16,44;173.262.898,00;10.431.700
LREN3;01/09/2023;16,05;17,08;16,05;16,77;475.695.924,00;28.416.100
LREN3;31/08/2023;16,36;16,36;15,85;16,03;340.348.870,00;21.174.100
LREN3;30/08/2023;16,71;16,81;16,43;16,44;189.384.715,00;11.406.700
LREN3;29/08/2023;16,85;16,96;16,44;16,70;185.144.862,00;11.098.700
LREN3;28/08/2023;16,68;16,86;16,45;16,70;286.702.865,00;17.206.600
LREN3;25/08/2023;16,73;16,83;16,41;16,61;243.268.489,00;14.685.000
LREN3;24/08/2023;17,36;17,55;16,75;16,89;364.977.965,00;21.394.100
LREN3;23/08/2023;17,27;17,44;17,00;17,41;322.479.323,00;18.690.000
LREN3;22/08/2023;17,26;17,41;17,09;17,18;207.735.794,00;12.035.700
LREN3;21/08/2023;17,47;17,47;16,90;17,11;391.105.306,00;22.859.700
LREN3;18/08/2023;17,09;17,67;16,91;17,36;323.675.629,00;18.573.000
LREN3;17/08/2023;17,71;17,71;17,01;17,11;300.705.067,00;17.485.400
LREN3;16/08/2023;17,76;18,31;17,30;17,49;513.837.696,00;28.808.500
LREN3;15/08/2023;17,70;17,70;17,04;17,44;383.356.573,00;22.125.200
LREN3;14/08/2023;18,50;18,56;17,24;17,57;428.970.032,00;24.160.000
LREN3;11/08/2023;18,83;19,18;18,48;18,51;285.999.510,00;15.271.700
LREN3;10/08/2023;18,75;19,06;18,40;18,72;499.038.643,00;26.521.100
LREN3;09/08/2023;18,93;19,01;17,99;18,30;601.986.060,00;32.630.300
LREN3;08/08/2023;18,52;19,50;17,93;19,15;276.613.243,00;14.593.100
LREN3;07/08/2023;19,71;19,75;18,93;19,00;414.246.753,00;21.531.600
LREN3;04/08/2023;18,55;20,15;18,46;19,62;1.040.751.105,00;53.220.400
LREN3;03/08/2023;19,39;19,53;18,39;18,55;497.668.225,00;26.419.900
LREN3;02/08/2023;18,60;19,11;18,49;19,00;237.672.823,00;12.602.400
LREN3;01/08/2023;18,71;18,75;18,49;18,65;312.424.968,00;16.759.400
LREN3;31/07/2023;18,89;19,25;18,69;18,75;317.763.122,00;16.805.000
LREN3;28/07/2023;18,74;18,86;18,40;18,64;202.700.989,00;10.890.100
LREN3;27/07/2023;18,97;19,17;18,59;18,63;237.658.269,00;12.635.400
LREN3;26/07/2023;18,70;19,17;18,39;19,00;499.667.295,00;26.619.600
LREN3;25/07/2023;18,94;19,48;18,52;18,64;385.837.620,00;20.296.600
LREN3;24/07/2023;18,30;19,00;18,23;18,86;640.533.267,00;34.422.100
LREN3;21/07/2023;17,90;18,52;17,90;18,30;618.929.584,00;33.852.900
LREN3;20/07/2023;17,95;18,06;17,78;17,88;813.978.186,00;45.461.700
LREN3;19/07/2023;18,11;18,11;17,61;17,78;571.573.796,00;32.100.700
LREN3;18/07/2023;17,76;18,40;17,67;18,11;537.718.969,00;29.782.200
LREN3;17/07/2023;17,69;18,13;17,57;17,96;569.888.115,00;31.900.300
LREN3;14/07/2023;18,59;18,59;17,64;17,83;456.875.383,00;25.451.100
LREN3;13/07/2023;18,76;18,97;18,39;18,45;327.735.135,00;17.619.000
LREN3;12/07/2023;19,21;19,26;18,51;18,57;331.773.376,00;17.672.700
LREN3;11/07/2023;19,20;19,22;18,32;18,86;555.112.714,00;29.702.700
LREN3;10/07/2023;20,38;20,38;19,02;19,10;689.764.963,00;35.347.900
LREN3;07/07/2023;19,93;20,70;19,79;20,42;447.308.003,00;21.901.700
LREN3;06/07/2023;20,36;20,62;19,57;19,80;311.984.949,00;15.687.500
LREN3;05/07/2023;20,21;20,80;20,04;20,45;279.837.748,00;13.619.800
LREN3;04/07/2023;20,30;20,66;20,19;20,28;250.249.706,00;12.248.000
LREN3;03/07/2023;19,82;20,42;19,50;20,29;474.871.000,00;23.562.900
LREN3;30/06/2023;21,60;21,60;19,59;20,00;1.309.888.686,00;64.441.300
LREN3;29/06/2023;21,07;21,59;20,69;21,39;423.881.008,00;19.976.600
LREN3;28/06/2023;20,91;21,66;20,63;20,93;356.115.320,00;16.815.000
LREN3;27/06/2023;21,79;21,97;20,61;20,94;575.833.325,00;27.215.900
LREN3;26/06/2023;22,13;22,13;21,20;21,48;259.841.215,00;11.990.100
LREN3;23/06/2023;21,44;22,56;21,05;22,15;394.990.882,00;17.954.200
LREN3;22/06/2023;21,21;21,37;20,59;21,24;319.828.605,00;15.161.000
LREN3;21/06/2023;21,41;21,77;21,11;21,60;618.332.456,00;28.777.000
LREN3;20/06/2023;20,52;21,67;20,28;21,42;617.243.942,00;28.975.000
LREN3;19/06/2023;20,15;20,78;20,15;20,63;247.692.695,00;11.956.200
LREN3;16/06/2023;20,81;20,87;20,17;20,18;563.037.486,00;27.420.400
LREN3;15/06/2023;21,54;21,84;20,89;20,92;399.481.413,00;18.711.200
LREN3;14/06/2023;21,42;21,60;20,79;21,33;651.893.089,00;30.538.100
LREN3;13/06/2023;22,84;22,95;21,18;21,34;416.890.752,00;19.020.100
LREN3;12/06/2023;21,83;22,99;21,68;22,65;458.133.239,00;20.221.600
LREN3;09/06/2023;21,70;22,31;21,61;21,67;363.472.579,00;16.459.400
LREN3;07/06/2023;21,35;21,99;21,09;21,49;405.649.652,00;18.785.500
LREN3;06/06/2023;20,58;21,28;20,51;20,97;543.959.507,00;25.694.200
LREN3;05/06/2023;20,35;20,61;20,03;20,37;166.163.388,00;8.119.100
LREN3;02/06/2023;20,65;21,25;20,18;20,32;661.194.471,00;31.848.800
LREN3;01/06/2023;19,41;20,59;19,09;20,41;507.328.585,00;25.110.900
LREN3;31/05/2023;19,25;19,49;18,84;19,31;393.307.324,00;20.313.800
LREN3;30/05/2023;19,77;19,88;18,96;19,18;297.663.744,00;15.286.600
LREN3;29/05/2023;19,97;20,04;19,33;19,55;148.977.107,00;7.566.400
LREN3;26/05/2023;19,69;20,30;19,55;19,89;469.762.882,00;23.359.200
LREN3;25/05/2023;18,99;19,51;18,67;19,36;407.351.501,00;21.059.900
LREN3;24/05/2023;18,40;18,54;17,86;18,26;390.864.038,00;21.236.500
LREN3;23/05/2023;18,81;19,46;18,36;18,48;629.409.027,00;33.163.200
LREN3;22/05/2023;19,11;19,40;18,76;18,79;420.686.603,00;21.992.500
LREN3;19/05/2023;18,85;19,96;18,50;19,27;996.178.434,00;51.129.600
LREN3;18/05/2023;18,28;19,03;18,14;18,71;585.980.321,00;31.211.500
LREN3;17/05/2023;16,94;18,53;16,93;18,48;701.112.302,00;38.598.000
LREN3;16/05/2023;17,17;17,45;16,79;16,86;211.354.944,00;12.237.800
LREN3;15/05/2023;16,83;17,35;16,39;17,21;276.888.827,00;16.156.100
LREN3;12/05/2023;16,68;16,90;16,45;16,70;201.048.224,00;11.958.200
LREN3;11/05/2023;17,06;17,23;16,68;16,80;330.447.723,00;19.445.800
LREN3;10/05/2023;17,40;17,68;17,29;17,37;340.338.697,00;19.346.400
LREN3;09/05/2023;16,74;17,66;16,74;17,37;476.864.007,00;27.357.800
LREN3;08/05/2023;16,87;17,51;16,66;16,68;387.852.767,00;22.714.700
LREN3;05/05/2023;15,32;16,95;15,30;16,78;610.825.483,00;36.880.500
LREN3;04/05/2023;15,25;15,65;14,86;15,35;551.420.307,00;35.952.200
LREN3;03/05/2023;14,84;14,84;14,27;14,46;350.961.095,00;24.107.300
LREN3;02/05/2023;15,59;15,61;14,74;14,81;380.707.935,00;25.322.800
LREN3;28/04/2023;15,03;15,74;14,90;15,72;352.149.889,00;22.607.500
LREN3;27/04/2023;14,79;14,92;14,35;14,90;258.436.707,00;17.408.500
