Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LWSA3;14/09/2023;7,14;7,16;6,98;6,99;4.637.236,00;655.100
LWSA3;13/09/2023;6,83;7,19;6,78;7,09;40.804.060,00;5.794.000
LWSA3;12/09/2023;7,04;7,04;6,85;6,87;25.819.869,00;3.738.100
LWSA3;11/09/2023;7,00;7,10;6,81;7,01;25.790.835,00;3.705.300
LWSA3;08/09/2023;6,86;7,04;6,78;6,97;21.290.502,00;3.078.600
LWSA3;06/09/2023;7,23;7,31;6,92;6,97;28.730.559,00;4.069.500
LWSA3;05/09/2023;7,45;7,45;7,20;7,26;26.565.125,00;3.642.600
LWSA3;04/09/2023;7,22;7,70;7,22;7,46;36.356.081,00;4.829.000
LWSA3;01/09/2023;7,15;7,26;7,03;7,26;27.216.107,00;3.803.600
LWSA3;31/08/2023;7,20;7,31;7,03;7,07;30.480.280,00;4.253.000
LWSA3;30/08/2023;7,07;7,27;6,99;7,17;19.207.427,00;2.681.500
LWSA3;29/08/2023;6,86;7,09;6,63;7,09;33.550.048,00;4.885.800
LWSA3;28/08/2023;6,83;6,93;6,71;6,79;44.083.768,00;6.470.300
LWSA3;25/08/2023;7,17;7,17;6,72;6,80;55.796.378,00;8.156.900
LWSA3;24/08/2023;7,38;7,40;7,14;7,18;26.197.382,00;3.610.800
LWSA3;23/08/2023;7,04;7,40;6,89;7,40;51.021.002,00;7.137.900
LWSA3;22/08/2023;6,95;7,05;6,84;7,01;38.470.612,00;5.524.800
LWSA3;21/08/2023;6,73;6,80;6,52;6,77;62.566.227,00;9.423.700
LWSA3;18/08/2023;6,49;6,77;6,40;6,73;34.626.385,00;5.219.600
LWSA3;17/08/2023;6,60;6,98;6,49;6,54;66.304.486,00;9.967.600
LWSA3;16/08/2023;6,72;6,77;6,48;6,53;53.351.973,00;8.095.400
LWSA3;15/08/2023;6,97;7,04;6,56;6,75;61.237.749,00;9.091.600
LWSA3;14/08/2023;7,11;7,40;6,88;6,94;77.144.301,00;10.719.200
LWSA3;11/08/2023;7,66;7,68;6,96;7,17;154.990.967,00;21.610.000
LWSA3;10/08/2023;7,46;7,88;7,46;7,80;90.975.453,00;11.838.600
LWSA3;09/08/2023;7,30;7,44;7,14;7,44;50.374.264,00;6.886.800
LWSA3;08/08/2023;7,05;7,39;6,99;7,28;61.818.732,00;8.479.200
LWSA3;07/08/2023;7,14;7,14;6,95;7,09;22.571.691,00;3.205.900
LWSA3;04/08/2023;7,11;7,29;7,06;7,09;34.426.957,00;4.801.700
LWSA3;03/08/2023;7,23;7,41;7,08;7,14;65.297.344,00;9.003.200
LWSA3;02/08/2023;7,42;7,45;7,00;7,03;60.849.542,00;8.512.500
LWSA3;01/08/2023;7,40;7,49;7,29;7,41;28.419.151,00;3.841.400
LWSA3;31/07/2023;7,16;7,47;7,11;7,41;46.474.713,00;6.332.000
LWSA3;28/07/2023;7,06;7,16;6,97;7,10;24.198.680,00;3.422.500
LWSA3;27/07/2023;7,28;7,44;6,96;6,97;49.508.142,00;6.943.700
LWSA3;26/07/2023;7,15;7,20;6,97;7,20;53.305.680,00;7.524.300
LWSA3;25/07/2023;7,37;7,55;7,11;7,15;59.011.688,00;8.074.400
LWSA3;24/07/2023;7,18;7,28;6,99;7,19;55.010.289,00;7.708.900
LWSA3;21/07/2023;7,08;7,30;7,04;7,17;66.874.976,00;9.305.500
LWSA3;20/07/2023;7,33;7,34;6,96;7,03;61.135.450,00;8.616.400
LWSA3;19/07/2023;7,57;7,60;7,21;7,30;39.788.106,00;5.429.100
