Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MDIA3;14/09/2023;38,76;38,91;38,45;38,72;6.367.179,00;164.500
MDIA3;13/09/2023;38,00;38,80;37,56;38,66;38.066.690,00;990.500
MDIA3;12/09/2023;37,48;37,91;37,30;37,80;32.075.079,00;849.500
MDIA3;11/09/2023;37,29;37,77;37,20;37,55;16.447.936,00;438.500
MDIA3;08/09/2023;37,87;37,88;37,11;37,35;24.086.644,00;645.500
MDIA3;06/09/2023;37,74;38,83;37,74;37,93;44.896.556,00;1.173.800
MDIA3;05/09/2023;36,95;38,07;36,57;37,74;48.578.666,00;1.297.900
MDIA3;04/09/2023;36,82;38,35;36,44;36,95;37.357.738,00;999.000
MDIA3;01/09/2023;37,00;37,46;36,31;37,09;145.354.136,00;3.935.600
MDIA3;31/08/2023;38,15;38,58;36,88;37,20;62.575.454,00;1.678.800
MDIA3;30/08/2023;39,22;39,37;38,20;38,20;59.790.653,00;1.557.100
MDIA3;29/08/2023;40,15;40,32;39,13;39,51;47.720.498,00;1.206.500
MDIA3;28/08/2023;40,69;40,92;39,27;40,14;48.598.064,00;1.219.000
MDIA3;25/08/2023;40,66;40,74;40,01;40,74;34.842.198,00;861.800
MDIA3;24/08/2023;41,37;41,59;40,01;40,56;54.836.520,00;1.356.500
MDIA3;23/08/2023;41,70;41,79;40,95;41,43;33.482.493,00;811.200
MDIA3;22/08/2023;41,85;41,95;41,15;41,75;36.606.092,00;880.300
MDIA3;21/08/2023;42,01;42,45;40,88;41,70;39.270.849,00;945.700
MDIA3;18/08/2023;41,90;42,62;41,12;42,23;44.057.424,00;1.048.200
MDIA3;17/08/2023;41,50;42,76;41,13;41,83;70.234.614,00;1.671.700
MDIA3;16/08/2023;41,48;41,86;40,57;40,91;35.956.267,00;874.600
MDIA3;15/08/2023;41,29;41,92;41,25;41,49;31.017.845,00;746.800
MDIA3;14/08/2023;42,80;42,91;40,50;41,29;72.372.088,00;1.756.500
MDIA3;11/08/2023;43,46;43,91;42,95;43,34;47.833.243,00;1.104.700
MDIA3;10/08/2023;43,14;43,70;42,90;43,25;24.541.902,00;567.800
MDIA3;09/08/2023;43,11;43,17;42,44;43,03;26.142.869,00;609.700
MDIA3;08/08/2023;42,27;43,30;42,11;43,12;32.583.250,00;758.200
MDIA3;07/08/2023;42,74;43,03;41,91;42,46;24.788.142,00;584.500
MDIA3;04/08/2023;42,64;43,29;42,55;42,90;30.525.790,00;710.600
MDIA3;03/08/2023;43,50;43,65;42,18;42,80;26.434.688,00;617.000
MDIA3;02/08/2023;42,54;43,53;42,13;43,19;64.766.741,00;1.498.600
MDIA3;01/08/2023;41,68;43,06;41,44;42,72;72.134.544,00;1.695.000
MDIA3;31/07/2023;41,73;42,35;41,52;41,73;40.642.180,00;972.000
MDIA3;28/07/2023;41,00;41,62;40,83;41,62;26.802.009,00;649.300
MDIA3;27/07/2023;42,25;42,25;40,90;41,22;43.402.617,00;1.048.200
MDIA3;26/07/2023;40,38;42,53;40,08;42,00;92.617.320,00;2.209.200
MDIA3;25/07/2023;40,92;40,92;39,88;40,15;84.348.172,00;2.095.200
MDIA3;24/07/2023;44,76;44,76;40,33;40,60;173.551.918,00;4.184.700
MDIA3;21/07/2023;44,00;45,21;43,81;44,76;64.177.223,00;1.434.100
MDIA3;20/07/2023;43,20;43,97;43,20;43,94;48.098.902,00;1.098.500
MDIA3;19/07/2023;44,45;44,49;42,64;43,42;107.943.343,00;2.483.900
MDIA3;18/07/2023;43,16;44,86;43,16;44,30;65.670.503,00;1.483.400
MDIA3;17/07/2023;42,20;43,41;41,80;43,26;52.762.721,00;1.230.600
MDIA3;14/07/2023;42,52;43,18;42,26;42,57;39.712.544,00;929.600
MDIA3;13/07/2023;42,46;43,07;42,30;42,80;43.591.299,00;1.019.600
MDIA3;12/07/2023;42,61;43,35;42,51;42,54;32.275.043,00;754.800
MDIA3;11/07/2023;43,38;43,40;41,94;42,61;52.753.602,00;1.233.800
MDIA3;10/07/2023;43,43;43,74;43,03;43,40;40.227.471,00;929.000
MDIA3;07/07/2023;43,20;43,80;43,02;43,59;32.119.382,00;737.100
MDIA3;06/07/2023;43,00;43,72;42,76;43,39;52.443.724,00;1.209.100
MDIA3;05/07/2023;42,57;43,30;42,26;43,06;46.968.114,00;1.092.300
MDIA3;04/07/2023;42,95;43,03;42,13;42,58;31.397.593,00;738.400
MDIA3;03/07/2023;43,15;43,29;42,47;42,95;42.928.851,00;1.000.800
MDIA3;30/06/2023;42,25;43,15;42,08;42,57;37.900.547,00;888.200
MDIA3;29/06/2023;41,21;42,57;41,21;42,09;42.965.615,00;1.020.100
MDIA3;28/06/2023;41,33;41,42;40,63;41,17;44.740.452,00;1.087.800
MDIA3;27/06/2023;41,66;42,05;40,94;41,18;42.865.123,00;1.039.300
MDIA3;26/06/2023;41,69;41,80;40,82;41,62;39.725.453,00;961.600
MDIA3;23/06/2023;41,61;42,34;41,49;41,76;65.503.566,00;1.567.400
MDIA3;22/06/2023;40,97;42,38;40,74;41,90;49.164.714,00;1.173.600
MDIA3;21/06/2023;41,10;42,14;41,03;41,26;65.575.065,00;1.576.600
MDIA3;20/06/2023;40,28;41,65;40,20;41,20;87.828.047,00;2.133.200
MDIA3;19/06/2023;40,92;41,28;39,90;40,45;49.462.941,00;1.224.800
MDIA3;16/06/2023;41,02;41,16;40,61;40,94;33.936.937,00;829.600
MDIA3;15/06/2023;41,18;41,50;40,87;41,25;21.055.519,00;510.500
MDIA3;14/06/2023;40,57;41,48;40,16;41,22;32.445.694,00;790.900
MDIA3;13/06/2023;41,26;41,26;40,36;40,57;32.963.073,00;809.500
MDIA3;12/06/2023;41,20;41,72;41,10;41,28;39.340.604,00;948.000
MDIA3;09/06/2023;41,26;41,69;41,09;41,41;29.733.793,00;718.300
MDIA3;07/06/2023;40,84;41,59;40,50;41,29;46.755.617,00;1.134.300
MDIA3;06/06/2023;40,63;41,06;39,84;40,83;38.955.930,00;959.900
MDIA3;05/06/2023;40,41;41,04;40,20;40,56;42.017.187,00;1.036.300
MDIA3;02/06/2023;40,22;40,99;39,65;40,63;55.343.332,00;1.368.200
MDIA3;01/06/2023;38,66;40,42;38,66;39,57;135.440.778,00;3.404.000
MDIA3;31/05/2023;38,47;39,25;38,47;38,55;74.146.160,00;1.910.500
MDIA3;30/05/2023;39,31;39,57;38,58;38,94;48.638.562,00;1.248.700
MDIA3;29/05/2023;39,62;39,78;39,06;39,42;28.637.141,00;725.100
MDIA3;26/05/2023;39,75;40,13;39,35;39,62;65.751.302,00;1.650.800
MDIA3;25/05/2023;39,04;40,52;38,92;39,45;71.839.008,00;1.823.500
MDIA3;24/05/2023;38,99;39,25;37,65;38,56;102.065.520,00;2.650.300
MDIA3;23/05/2023;39,44;39,96;39,05;39,19;47.408.625,00;1.198.900
MDIA3;22/05/2023;39,95;40,50;39,16;39,71;56.189.155,00;1.412.400
MDIA3;19/05/2023;38,65;40,53;38,46;39,77;76.686.309,00;1.922.100
MDIA3;18/05/2023;36,52;38,65;36,38;38,55;79.290.208,00;2.076.300
MDIA3;17/05/2023;36,76;36,76;35,65;36,64;119.657.309,00;3.298.300
MDIA3;16/05/2023;36,68;37,26;36,42;36,70;51.908.287,00;1.408.500
MDIA3;15/05/2023;34,19;37,55;34,01;36,77;157.647.015,00;4.320.700
MDIA3;12/05/2023;32,40;32,98;32,03;32,64;39.004.433,00;1.190.300
MDIA3;11/05/2023;31,73;32,74;31,51;32,47;65.197.449,00;2.011.300
MDIA3;10/05/2023;30,84;32,17;30,84;31,84;40.992.245,00;1.289.400
MDIA3;09/05/2023;30,56;31,31;30,22;30,87;20.366.343,00;655.900
MDIA3;08/05/2023;30,97;31,41;30,64;30,77;32.598.606,00;1.048.000
MDIA3;05/05/2023;29,80;31,02;29,58;30,72;49.040.569,00;1.609.300
MDIA3;04/05/2023;28,67;30,25;28,67;29,69;43.236.518,00;1.452.500
MDIA3;03/05/2023;29,27;29,55;28,64;29,07;32.338.810,00;1.107.500
MDIA3;02/05/2023;28,91;29,73;28,54;29,06;49.638.433,00;1.700.800
MDIA3;28/04/2023;27,94;28,79;27,51;28,57;46.417.330,00;1.636.300
MDIA3;27/04/2023;26,99;27,92;26,85;27,71;43.870.164,00;1.593.800
MDIA3;26/04/2023;26,28;27,42;26,26;26,93;25.309.767,00;941.000
MDIA3;25/04/2023;26,60;27,11;26,33;26,53;39.535.082,00;1.479.200
MDIA3;24/04/2023;25,99;26,78;25,98;26,59;23.494.531,00;882.600
MDIA3;20/04/2023;25,98;26,09;25,04;25,91;34.578.560,00;1.343.200
MDIA3;19/04/2023;26,24;26,24;25,56;25,99;21.716.448,00;837.800
MDIA3;18/04/2023;27,38;27,58;26,15;26,43;25.574.358,00;966.200
MDIA3;17/04/2023;27,07;27,41;26,73;27,17;28.332.506,00;1.044.400
MDIA3;14/04/2023;27,25;27,25;26,35;27,10;42.293.035,00;1.569.800
