Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MGLU3;14/09/2023;2,62;2,64;2,46;2,56;123.735.967,00;48.728.300
MGLU3;13/09/2023;2,60;2,72;2,59;2,62;184.131.266,00;69.437.400
MGLU3;12/09/2023;2,55;2,65;2,52;2,62;250.756.124,00;96.265.400
MGLU3;11/09/2023;2,53;2,58;2,47;2,55;165.895.273,00;65.640.000
MGLU3;08/09/2023;2,55;2,56;2,50;2,51;169.695.286,00;67.394.700
MGLU3;06/09/2023;2,69;2,76;2,59;2,59;228.278.856,00;85.764.300
MGLU3;05/09/2023;2,76;2,77;2,62;2,69;282.659.354,00;105.724.200
MGLU3;04/09/2023;2,83;2,86;2,78;2,78;106.409.052,00;37.708.700
MGLU3;01/09/2023;2,79;2,86;2,75;2,86;203.011.504,00;72.210.100
MGLU3;31/08/2023;2,89;2,91;2,76;2,76;270.346.581,00;96.171.200
MGLU3;30/08/2023;2,95;2,95;2,88;2,92;145.117.056,00;49.839.100
MGLU3;29/08/2023;2,94;2,99;2,90;2,93;122.545.906,00;41.652.300
MGLU3;28/08/2023;2,93;2,99;2,86;2,93;230.464.343,00;78.751.500
MGLU3;25/08/2023;3,00;3,02;2,92;2,92;252.242.612,00;85.467.800
MGLU3;24/08/2023;3,06;3,06;2,94;3,02;251.611.374,00;84.054.200
MGLU3;23/08/2023;3,05;3,07;2,98;3,06;229.759.737,00;76.005.100
MGLU3;22/08/2023;3,08;3,13;3,04;3,04;294.164.212,00;95.534.800
MGLU3;21/08/2023;3,02;3,07;2,96;3,05;340.367.342,00;112.446.800
MGLU3;18/08/2023;2,80;3,04;2,76;3,00;386.878.843,00;130.932.300
MGLU3;17/08/2023;3,00;3,02;2,82;2,82;330.525.144,00;114.163.300
MGLU3;16/08/2023;2,81;3,03;2,74;2,97;669.443.636,00;233.904.400
MGLU3;15/08/2023;2,80;2,80;2,53;2,77;553.822.522,00;206.300.300
MGLU3;14/08/2023;2,88;2,92;2,81;2,84;241.580.922,00;84.325.400
MGLU3;11/08/2023;2,86;2,95;2,84;2,88;234.943.812,00;81.278.200
MGLU3;10/08/2023;2,99;3,01;2,84;2,85;284.381.899,00;97.209.000
MGLU3;09/08/2023;3,00;3,02;2,93;2,97;245.836.580,00;82.779.700
MGLU3;08/08/2023;2,97;3,03;2,91;2,99;256.941.124,00;86.190.900
MGLU3;07/08/2023;3,09;3,09;2,99;3,01;248.163.037,00;81.843.400
MGLU3;04/08/2023;3,16;3,21;3,05;3,06;333.363.765,00;106.549.500
MGLU3;03/08/2023;3,45;3,48;3,15;3,16;414.827.001,00;125.626.900
MGLU3;02/08/2023;3,43;3,44;3,26;3,33;349.719.333,00;104.719.900
MGLU3;01/08/2023;3,36;3,46;3,31;3,43;284.968.919,00;83.751.200
MGLU3;31/07/2023;3,20;3,37;3,20;3,35;358.950.671,00;108.890.800
MGLU3;28/07/2023;3,20;3,23;3,11;3,17;282.408.812,00;88.887.400
MGLU3;27/07/2023;3,11;3,21;3,09;3,17;384.216.018,00;121.508.700
MGLU3;26/07/2023;3,07;3,13;3,03;3,09;239.090.963,00;77.542.000
MGLU3;25/07/2023;3,12;3,22;3,06;3,07;364.920.667,00;116.293.400
MGLU3;24/07/2023;3,03;3,05;2,96;3,01;231.219.751,00;77.140.900
MGLU3;21/07/2023;2,89;3,06;2,89;3,02;272.829.018,00;90.879.800
MGLU3;20/07/2023;2,96;2,98;2,90;2,90;202.928.400,00;69.445.800
MGLU3;19/07/2023;2,96;3,01;2,91;2,94;228.043.855,00;77.110.400
MGLU3;18/07/2023;2,96;3,00;2,92;2,96;181.171.602,00;61.201.200
MGLU3;17/07/2023;2,96;3,00;2,90;2,96;180.406.674,00;61.179.200
MGLU3;14/07/2023;3,03;3,05;2,93;2,95;204.202.634,00;68.763.900
MGLU3;13/07/2023;3,03;3,11;3,01;3,02;265.650.295,00;87.168.300
MGLU3;12/07/2023;3,12;3,15;2,98;2,98;269.772.979,00;88.554.300
MGLU3;11/07/2023;3,04;3,09;2,91;3,06;331.640.351,00;109.966.600
