Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MOVI3;14/09/2023;12,91;13,06;12,83;12,85;3.461.909,00;267.900
MOVI3;13/09/2023;12,68;12,98;12,64;12,84;21.728.729,00;1.692.100
MOVI3;12/09/2023;12,39;12,82;12,39;12,73;26.103.213,00;2.055.900
MOVI3;11/09/2023;12,23;12,50;12,16;12,40;26.510.533,00;2.154.600
MOVI3;08/09/2023;12,23;12,43;12,11;12,16;16.961.639,00;1.389.000
MOVI3;06/09/2023;13,02;13,22;12,28;12,28;79.279.981,00;6.265.900
MOVI3;05/09/2023;12,60;12,60;12,30;12,37;24.303.340,00;1.959.300
MOVI3;04/09/2023;12,90;13,11;12,59;12,69;18.697.592,00;1.458.900
MOVI3;01/09/2023;12,44;13,14;12,44;12,97;29.965.674,00;2.328.100
MOVI3;31/08/2023;13,09;13,10;12,40;12,41;45.523.929,00;3.627.200
MOVI3;30/08/2023;13,30;13,41;13,09;13,09;20.988.392,00;1.593.000
MOVI3;29/08/2023;13,00;13,77;13,00;13,35;37.291.731,00;2.784.800
MOVI3;28/08/2023;12,97;13,22;12,79;13,00;33.583.063,00;2.583.000
MOVI3;25/08/2023;13,74;13,89;12,86;12,97;38.082.442,00;2.888.500
MOVI3;24/08/2023;14,17;14,24;13,77;13,77;26.108.491,00;1.879.500
MOVI3;23/08/2023;13,58;14,28;13,47;14,17;56.647.293,00;4.064.700
MOVI3;22/08/2023;12,88;13,62;12,88;13,53;34.351.801,00;2.576.300
MOVI3;21/08/2023;13,21;13,37;12,75;12,83;52.831.535,00;4.111.500
MOVI3;18/08/2023;12,70;13,21;12,68;13,21;36.900.721,00;2.829.300
MOVI3;17/08/2023;13,24;13,31;12,67;12,89;67.926.510,00;5.262.000
MOVI3;16/08/2023;12,94;13,32;12,86;13,22;40.142.844,00;3.052.800
MOVI3;15/08/2023;13,03;13,10;12,60;12,95;33.719.305,00;2.613.400
MOVI3;14/08/2023;13,12;13,29;12,69;13,07;24.351.286,00;1.868.100
MOVI3;11/08/2023;13,32;13,55;13,00;13,13;55.468.859,00;4.206.100
MOVI3;10/08/2023;12,80;13,48;12,77;13,32;89.334.252,00;6.747.000
MOVI3;09/08/2023;12,16;12,89;11,64;12,68;135.791.505,00;10.899.000
MOVI3;08/08/2023;11,85;12,29;11,68;12,25;57.828.034,00;4.743.700
MOVI3;07/08/2023;12,15;12,15;11,69;12,05;42.563.318,00;3.565.600
MOVI3;04/08/2023;12,41;12,50;12,00;12,16;46.963.254,00;3.855.600
MOVI3;03/08/2023;12,15;12,52;12,06;12,42;53.148.203,00;4.317.700
MOVI3;02/08/2023;11,87;12,09;11,62;11,73;53.439.486,00;4.539.800
MOVI3;01/08/2023;11,30;12,13;11,26;11,98;67.836.149,00;5.703.600
MOVI3;31/07/2023;11,28;11,45;11,22;11,41;26.477.392,00;2.329.200
MOVI3;28/07/2023;11,04;11,22;10,96;11,12;19.785.521,00;1.783.400
MOVI3;27/07/2023;10,81;11,38;10,81;11,03;48.618.426,00;4.363.200
MOVI3;26/07/2023;10,92;10,95;10,62;10,76;32.738.491,00;3.040.500
MOVI3;25/07/2023;10,93;11,28;10,87;10,92;44.215.060,00;3.992.200
MOVI3;24/07/2023;10,71;10,94;10,60;10,72;26.281.693,00;2.437.500
MOVI3;21/07/2023;10,50;10,78;10,30;10,69;72.311.661,00;6.786.500
MOVI3;20/07/2023;10,35;10,49;10,16;10,49;31.694.582,00;3.063.200
MOVI3;19/07/2023;10,48;10,49;10,15;10,33;27.175.496,00;2.642.200
MOVI3;18/07/2023;10,62;10,66;10,40;10,48;13.478.843,00;1.284.300
MOVI3;17/07/2023;10,36;10,76;10,29;10,60;14.988.183,00;1.421.400
MOVI3;14/07/2023;10,83;10,93;10,30;10,36;25.565.854,00;2.443.200
MOVI3;13/07/2023;11,03;11,12;10,62;10,88;34.051.056,00;3.134.500
MOVI3;12/07/2023;11,12;11,17;10,86;10,98;28.034.034,00;2.554.500
MOVI3;11/07/2023;11,20;11,23;10,64;10,93;37.164.968,00;3.403.400
MOVI3;10/07/2023;11,50;11,54;11,20;11,27;22.227.881,00;1.963.900
MOVI3;07/07/2023;11,01;11,79;11,00;11,50;60.677.460,00;5.262.300
MOVI3;06/07/2023;10,99;11,24;10,72;10,90;40.204.482,00;3.685.000
MOVI3;05/07/2023;10,95;11,18;10,74;11,12;37.954.186,00;3.431.100
MOVI3;04/07/2023;11,04;11,26;10,81;11,04;25.695.102,00;2.329.900
MOVI3;03/07/2023;10,60;11,19;10,60;11,02;55.614.497,00;5.035.000
MOVI3;30/06/2023;10,56;10,75;10,40;10,53;30.433.299,00;2.875.700
MOVI3;29/06/2023;10,05;10,41;9,99;10,37;31.247.208,00;3.044.400
MOVI3;28/06/2023;10,34;10,60;9,88;10,00;53.639.788,00;5.268.000
MOVI3;27/06/2023;10,79;10,88;10,29;10,40;26.602.827,00;2.557.000
MOVI3;26/06/2023;11,03;11,15;10,55;10,64;21.320.122,00;1.990.200
