Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MRFG3;14/09/2023;7,49;7,53;7,37;7,39;11.501.369,00;1.543.300
MRFG3;13/09/2023;7,61;7,67;7,46;7,48;125.183.048,00;16.596.900
MRFG3;12/09/2023;7,46;7,75;7,38;7,61;173.353.119,00;22.875.400
MRFG3;11/09/2023;7,55;7,57;7,41;7,46;81.165.269,00;10.868.400
MRFG3;08/09/2023;7,32;7,60;7,23;7,60;116.819.228,00;15.708.400
MRFG3;06/09/2023;7,33;7,47;7,24;7,30;85.193.389,00;11.590.400
MRFG3;05/09/2023;7,23;7,40;7,13;7,33;93.309.382,00;12.786.900
MRFG3;04/09/2023;7,32;7,53;7,27;7,34;78.115.541,00;10.603.600
MRFG3;01/09/2023;7,40;7,48;7,26;7,36;163.505.716,00;22.227.100
MRFG3;31/08/2023;7,32;7,50;7,14;7,41;157.117.868,00;21.519.700
MRFG3;30/08/2023;7,43;7,49;7,09;7,37;177.484.461,00;24.349.700
MRFG3;29/08/2023;7,49;7,75;7,27;7,45;432.915.835,00;58.327.100
MRFG3;28/08/2023;6,52;6,75;6,42;6,73;147.864.066,00;22.392.700
MRFG3;25/08/2023;6,81;6,81;6,50;6,50;139.767.638,00;21.245.400
MRFG3;24/08/2023;6,90;6,98;6,77;6,79;116.716.608,00;16.989.400
MRFG3;23/08/2023;7,00;7,02;6,78;6,86;126.444.327,00;18.417.300
MRFG3;22/08/2023;7,15;7,16;6,92;6,97;120.207.829,00;17.148.600
MRFG3;21/08/2023;7,35;7,37;7,07;7,10;100.699.625,00;14.091.700
MRFG3;18/08/2023;7,26;7,41;7,09;7,35;85.481.509,00;11.709.600
MRFG3;17/08/2023;7,63;7,80;7,26;7,30;68.417.577,00;9.083.400
MRFG3;16/08/2023;7,69;7,75;7,57;7,57;51.278.260,00;6.653.000
MRFG3;15/08/2023;7,43;7,83;7,14;7,64;156.942.608,00;20.757.500
MRFG3;14/08/2023;7,86;7,86;7,66;7,68;85.925.663,00;11.018.200
MRFG3;11/08/2023;7,89;7,97;7,80;7,86;38.679.854,00;4.876.100
MRFG3;10/08/2023;7,83;7,92;7,76;7,84;42.986.000,00;5.449.100
MRFG3;09/08/2023;7,90;7,99;7,66;7,76;57.857.852,00;7.417.000
MRFG3;08/08/2023;8,01;8,04;7,89;7,89;40.932.175,00;5.123.200
MRFG3;07/08/2023;8,08;8,20;7,80;8,04;101.514.116,00;12.603.900
MRFG3;04/08/2023;7,56;8,03;7,51;7,98;159.496.538,00;20.106.000
MRFG3;03/08/2023;7,55;7,66;7,44;7,56;55.882.973,00;7.379.500
MRFG3;02/08/2023;7,36;7,53;7,32;7,48;49.595.277,00;6.646.000
MRFG3;01/08/2023;7,36;7,58;7,29;7,41;68.132.424,00;9.076.000
MRFG3;31/07/2023;7,11;7,41;7,08;7,38;80.129.801,00;10.908.600
MRFG3;28/07/2023;6,84;7,13;6,71;7,05;88.306.957,00;12.669.600
MRFG3;27/07/2023;6,91;6,98;6,76;6,77;45.021.632,00;6.546.700
MRFG3;26/07/2023;6,78;6,90;6,73;6,87;45.939.876,00;6.693.900
MRFG3;25/07/2023;6,96;6,99;6,72;6,79;90.495.664,00;13.133.400
MRFG3;24/07/2023;7,18;7,18;6,77;6,90;119.526.436,00;17.220.700
MRFG3;21/07/2023;7,07;7,23;7,04;7,18;24.846.521,00;3.454.300
MRFG3;20/07/2023;7,18;7,26;7,05;7,10;52.619.867,00;7.345.100
MRFG3;19/07/2023;7,19;7,28;7,14;7,18;30.606.097,00;4.231.500
MRFG3;18/07/2023;7,28;7,29;7,12;7,18;41.917.017,00;5.796.500
MRFG3;17/07/2023;7,26;7,40;7,10;7,31;66.050.084,00;9.065.500
MRFG3;14/07/2023;7,52;7,56;7,30;7,36;52.343.456,00;7.028.200
MRFG3;13/07/2023;7,59;7,66;7,49;7,49;30.208.489,00;3.975.800
MRFG3;12/07/2023;7,53;7,75;7,46;7,51;89.648.275,00;11.717.300
MRFG3;11/07/2023;7,52;7,56;7,27;7,36;59.741.522,00;8.024.700
MRFG3;10/07/2023;7,51;7,54;7,39;7,48;46.440.404,00;6.195.800
MRFG3;07/07/2023;7,30;7,51;7,26;7,45;39.944.754,00;5.355.600
MRFG3;06/07/2023;7,39;7,41;7,12;7,25;54.630.530,00;7.504.900
MRFG3;05/07/2023;7,06;7,59;7,01;7,43;89.416.880,00;12.065.500
MRFG3;04/07/2023;7,19;7,30;7,05;7,08;47.714.680,00;6.640.600
MRFG3;03/07/2023;7,30;7,40;7,15;7,16;43.032.347,00;5.904.200
MRFG3;30/06/2023;7,18;7,41;7,13;7,23;51.366.656,00;7.023.100
MRFG3;29/06/2023;6,97;7,28;6,87;7,10;73.454.290,00;10.221.400
