Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MRVE3;14/09/2023;12,20;12,23;11,91;11,91;9.979.898,00;827.900
MRVE3;13/09/2023;12,10;12,44;11,96;12,16;95.485.636,00;7.791.600
MRVE3;12/09/2023;11,88;12,15;11,75;12,05;109.302.552,00;9.087.000
MRVE3;11/09/2023;11,80;12,01;11,53;11,82;76.985.495,00;6.540.700
MRVE3;08/09/2023;11,57;11,76;11,45;11,71;72.737.825,00;6.237.000
MRVE3;06/09/2023;11,63;11,81;11,57;11,61;91.929.862,00;7.884.100
MRVE3;05/09/2023;11,53;11,65;11,29;11,54;84.026.301,00;7.301.500
MRVE3;04/09/2023;11,80;11,94;11,49;11,60;60.700.715,00;5.211.800
MRVE3;01/09/2023;11,43;11,92;11,43;11,79;123.071.137,00;10.445.400
MRVE3;31/08/2023;11,61;11,62;11,24;11,36;135.326.942,00;11.887.900
MRVE3;30/08/2023;12,00;12,05;11,59;11,68;99.958.362,00;8.545.300
MRVE3;29/08/2023;11,98;12,13;11,78;11,93;68.489.769,00;5.752.300
MRVE3;28/08/2023;12,17;12,19;11,73;11,98;149.400.511,00;12.521.500
MRVE3;25/08/2023;12,91;12,95;12,12;12,19;158.777.852,00;12.860.800
MRVE3;24/08/2023;12,98;13,17;12,85;12,91;46.785.232,00;3.606.200
MRVE3;23/08/2023;13,02;13,33;12,85;13,00;110.017.534,00;8.383.200
MRVE3;22/08/2023;12,51;13,04;12,51;12,93;90.681.355,00;7.044.100
MRVE3;21/08/2023;12,71;12,72;12,29;12,48;117.358.494,00;9.431.000
MRVE3;18/08/2023;12,33;12,85;12,20;12,71;123.880.607,00;9.762.800
MRVE3;17/08/2023;12,77;12,84;12,30;12,44;159.548.732,00;12.775.200
MRVE3;16/08/2023;12,97;13,15;12,48;12,75;135.806.010,00;10.528.200
MRVE3;15/08/2023;12,86;13,02;12,61;12,91;99.174.879,00;7.716.000
MRVE3;14/08/2023;13,28;13,34;12,70;12,76;115.837.712,00;8.984.800
MRVE3;11/08/2023;13,51;13,78;13,16;13,30;98.211.094,00;7.341.800
MRVE3;10/08/2023;14,03;14,09;13,13;13,52;150.677.066,00;11.229.200
MRVE3;09/08/2023;14,02;14,05;13,57;13,75;110.327.658,00;8.040.100
MRVE3;08/08/2023;13,74;14,19;13,50;14,03;85.592.375,00;6.139.500
MRVE3;07/08/2023;13,95;14,23;13,75;13,92;95.514.441,00;6.826.900
MRVE3;04/08/2023;13,87;14,25;13,81;13,94;97.318.651,00;6.920.700
MRVE3;03/08/2023;14,20;14,55;13,88;13,88;187.502.126,00;13.237.500
MRVE3;02/08/2023;13,85;14,14;13,62;13,90;126.832.126,00;9.125.600
MRVE3;01/08/2023;13,88;13,90;13,64;13,89;91.950.213,00;6.677.600
MRVE3;31/07/2023;14,00;14,15;13,84;13,90;109.598.173,00;7.858.800
MRVE3;28/07/2023;13,92;14,07;13,70;13,94;60.230.508,00;4.344.400
MRVE3;27/07/2023;14,42;14,42;13,72;13,84;140.037.839,00;10.030.300
MRVE3;26/07/2023;14,15;14,15;13,56;14,14;208.196.130,00;14.986.600
MRVE3;25/07/2023;14,29;14,59;13,95;14,12;127.606.772,00;8.991.700
MRVE3;24/07/2023;13,80;14,08;13,61;13,98;80.387.785,00;5.773.300
