Ativo;Data;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MULT3;14/09/2023;25,77;26,02;25,76;25,85;7.863.793,00;303.700
MULT3;13/09/2023;25,46;26,20;25,41;25,71;95.188.519,00;3.678.000
MULT3;12/09/2023;25,12;25,65;25,05;25,46;47.059.362,00;1.847.600
MULT3;11/09/2023;25,02;25,30;24,86;25,17;63.562.058,00;2.535.300
MULT3;08/09/2023;24,76;25,01;24,73;24,94;53.897.351,00;2.162.600
MULT3;06/09/2023;25,42;25,45;24,74;24,82;94.970.010,00;3.798.200
MULT3;05/09/2023;25,21;25,40;24,92;25,28;118.259.395,00;4.698.800
MULT3;04/09/2023;25,21;25,60;24,99;25,34;65.366.619,00;2.575.900
MULT3;01/09/2023;24,86;25,44;24,84;25,21;88.724.725,00;3.523.100
MULT3;31/08/2023;25,63;25,63;24,51;24,74;114.230.425,00;4.580.300
MULT3;30/08/2023;26,06;26,20;25,51;25,67;64.172.917,00;2.502.300
MULT3;29/08/2023;26,02;26,13;25,51;25,88;89.944.357,00;3.498.200
MULT3;28/08/2023;25,61;25,90;25,49;25,88;60.087.698,00;2.331.300
MULT3;25/08/2023;26,24;26,32;25,52;25,64;83.985.000,00;3.263.600
MULT3;24/08/2023;26,33;26,40;26,00;26,31;105.865.638,00;4.034.500
MULT3;23/08/2023;26,35;26,70;26,21;26,40;95.994.277,00;3.629.500
MULT3;22/08/2023;26,05;26,49;26,00;26,37;62.243.957,00;2.363.300
MULT3;21/08/2023;26,58;26,73;25,77;26,04;111.867.478,00;4.297.300
MULT3;18/08/2023;25,73;26,53;25,59;26,53;100.813.418,00;3.838.900
MULT3;17/08/2023;26,26;26,52;25,74;25,76;111.426.783,00;4.288.800
MULT3;16/08/2023;26,63;26,80;26,15;26,22;94.405.285,00;3.563.500
MULT3;15/08/2023;26,63;26,87;26,44;26,64;107.170.239,00;4.024.800
MULT3;14/08/2023;26,76;26,87;26,43;26,63;61.837.952,00;2.320.500
MULT3;11/08/2023;26,51;26,72;26,27;26,67;150.713.423,00;5.680.500
MULT3;10/08/2023;27,19;27,23;26,51;26,51;111.190.746,00;4.161.300
MULT3;09/08/2023;26,63;27,25;26,63;27,05;133.570.908,00;4.940.900
MULT3;08/08/2023;26,71;27,29;26,62;26,83;81.016.316,00;3.000.900
MULT3;07/08/2023;27,69;27,73;27,06;27,25;117.322.787,00;4.288.300
MULT3;04/08/2023;27,31;27,72;27,31;27,58;151.472.271,00;5.490.300
MULT3;03/08/2023;27,14;27,78;27,13;27,48;168.803.625,00;6.163.800
MULT3;02/08/2023;26,64;27,28;26,58;27,03;122.812.679,00;4.541.800
MULT3;01/08/2023;26,45;26,82;26,04;26,66;125.936.452,00;4.741.600
MULT3;31/07/2023;26,93;27,08;26,32;26,41;82.590.225,00;3.115.100
MULT3;28/07/2023;27,11;27,35;26,45;26,70;168.661.167,00;6.279.600
MULT3;27/07/2023;26,42;26,67;26,10;26,14;127.383.757,00;4.836.100
MULT3;26/07/2023;26,29;26,54;26,18;26,40;51.380.583,00;1.948.600
MULT3;25/07/2023;27,02;27,08;26,28;26,43;88.005.917,00;3.314.900
MULT3;24/07/2023;26,48;26,95;26,37;26,74;80.190.158,00;3.005.500
MULT3;21/07/2023;25,81;26,52;25,65;26,46;236.135.874,00;8.992.900
MULT3;20/07/2023;25,79;25,85;25,20;25,73;148.524.895,00;5.832.800
MULT3;19/07/2023;26,32;26,39;25,58;25,72;122.136.972,00;4.726.400
MULT3;18/07/2023;26,38;26,66;26,05;26,30;134.747.610,00;5.123.500
MULT3;17/07/2023;26,50;26,56;26,05;26,38;115.028.188,00;4.383.800
MULT3;14/07/2023;27,46;27,46;26,52;26,69;123.088.287,00;4.581.600
MULT3;13/07/2023;27,35;27,70;27,25;27,37;59.302.156,00;2.156.400
MULT3;12/07/2023;27,59;27,80;27,19;27,38;91.957.093,00;3.336.900
MULT3;11/07/2023;27,32;27,61;26,74;27,38;117.800.365,00;4.316.100
MULT3;10/07/2023;27,50;27,56;27,15;27,43;68.908.640,00;2.516.500
MULT3;07/07/2023;27,48;27,83;27,12;27,51;72.525.673,00;2.631.500
MULT3;06/07/2023;27,60;27,62;27,18;27,20;107.965.745,00;3.947.600
MULT3;05/07/2023;27,44;28,19;27,14;27,74;147.853.703,00;5.319.800
MULT3;04/07/2023;27,65;27,88;27,33;27,50;73.714.484,00;2.672.100
MULT3;03/07/2023;27,82;28,01;27,45;27,89;187.676.865,00;6.768.400
MULT3;30/06/2023;28,00;28,25;27,51;27,67;159.107.920,00;5.706.000
MULT3;29/06/2023;27,45;27,72;27,20;27,51;80.205.193,00;2.896.400
MULT3;28/06/2023;27,70;28,10;27,36;27,45;115.690.556,00;4.144.900
MULT3;27/06/2023;28,35;28,56;27,10;27,59;154.755.656,00;5.563.600
MULT3;26/06/2023;28,19;28,27;27,64;28,12;142.300.113,00;5.052.000
MULT3;23/06/2023;26,70;28,18;26,51;28,03;242.944.008,00;8.699.600
MULT3;22/06/2023;26,80;26,99;26,40;26,69;107.231.055,00;4.003.100
MULT3;21/06/2023;26,52;27,25;26,23;27,20;207.440.188,00;7.654.100
MULT3;20/06/2023;26,27;26,62;26,18;26,54;108.498.234,00;4.069.100
MULT3;19/06/2023;26,30;26,54;26,21;26,30;49.740.889,00;1.873.200
MULT3;16/06/2023;26,50;26,58;26,12;26,27;151.248.770,00;5.698.800
MULT3;15/06/2023;26,80;26,92;26,27;26,67;115.960.630,00;4.328.200
MULT3;14/06/2023;26,67;26,94;26,34;26,85;152.115.390,00;5.662.600
MULT3;13/06/2023;27,25;27,25;26,37;26,52;122.303.648,00;4.547.300
MULT3;12/06/2023;27,04;27,25;26,63;27,02;208.963.915,00;7.717.700
MULT3;09/06/2023;26,94;27,45;26,58;26,82;190.010.759,00;6.990.700
MULT3;07/06/2023;26,32;27,53;26,32;26,87;222.231.652,00;8.168.700
MULT3;06/06/2023;25,75;26,71;25,61;26,37;202.108.754,00;7.636.600
MULT3;05/06/2023;26,24;26,24;25,57;25,79;281.388.571,00;10.839.100
MULT3;02/06/2023;26,56;26,89;25,72;25,93;231.720.463,00;8.762.800
MULT3;01/06/2023;26,38;26,52;26,06;26,28;255.529.460,00;9.656.500
MULT3;31/05/2023;26,58;26,58;26,15;26,33;92.377.255,00;3.481.200
MULT3;30/05/2023;26,72;26,93;26,33;26,55;98.754.108,00;3.690.300
MULT3;29/05/2023;26,82;26,82;26,38;26,59;47.682.190,00;1.785.700
MULT3;26/05/2023;26,88;27,01;26,36;26,72;113.834.071,00;4.220.600
MULT3;25/05/2023;26,36;26,99;26,28;26,59;232.380.417,00;8.655.300
MULT3;24/05/2023;26,40;26,57;26,12;26,30;148.126.012,00;5.589.200
MULT3;23/05/2023;26,64;26,99;26,48;26,53;100.188.436,00;3.725.500
MULT3;22/05/2023;26,62;27,30;26,58;26,66;176.845.076,00;6.559.400
MULT3;19/05/2023;26,83;27,13;26,40;26,84;216.349.656,00;7.990.400
MULT3;18/05/2023;26,41;26,81;26,20;26,72;157.894.020,00;5.906.100
MULT3;17/05/2023;26,28;26,68;26,15;26,42;145.535.673,00;5.480.900
MULT3;16/05/2023;26,74;26,99;26,08;26,24;211.026.073,00;7.949.700
MULT3;15/05/2023;26,58;26,78;26,22;26,72;110.190.937,00;4.116.800
MULT3;12/05/2023;26,61;27,02;26,49;26,65;106.665.384,00;3.953.600
MULT3;11/05/2023;26,79;27,06;26,47;26,89;127.836.418,00;4.739.400
MULT3;10/05/2023;26,78;27,09;26,54;26,99;101.850.603,00;3.771.400
MULT3;09/05/2023;26,70;27,28;26,65;26,82;98.353.128,00;3.610.700
MULT3;08/05/2023;27,19;27,34;26,36;26,69;110.795.483,00;4.118.800
MULT3;05/05/2023;26,70;27,19;26,33;27,02;114.917.440,00;4.260.500
MULT3;04/05/2023;25,80;26,62;25,70;26,37;141.693.262,00;5.345.800
MULT3;03/05/2023;25,53;25,76;25,19;25,70;79.679.950,00;3.084.400
MULT3;02/05/2023;25,75;25,75;25,17;25,43;63.019.538,00;2.463.000
MULT3;28/04/2023;25,31;26,14;25,23;25,70;170.272.743,00;6.592.500
MULT3;27/04/2023;24,47;25,20;24,41;24,96;66.027.215,00;2.624.600
MULT3;26/04/2023;24,54;24,85;24,27;24,47;71.123.064,00;2.885.300
MULT3;25/04/2023;24,76;24,85;24,47;24,64;67.067.984,00;2.705.200
MULT3;24/04/2023;24,76;25,17;24,76;24,86;86.857.663,00;3.461.500
MULT3;20/04/2023;25,26;25,39;24,76;24,96;77.966.035,00;3.089.100
MULT3;19/04/2023;25,20;25,37;24,81;24,98;81.509.755,00;3.224.200
MULT3;18/04/2023;25,93;26,10;25,43;25,57;58.023.204,00;2.249.700
MULT3;17/04/2023;25,76;25,91;25,49;25,79;40.669.406,00;1.571.100
MULT3;14/04/2023;25,73;25,87;25,11;25,72;40.267.568,00;1.557.600
MULT3;13/04/2023;25,98;25,98;25,43;25,70;74.535.030,00;2.873.900
MULT3;12/04/2023;25,76;26,24;25,64;25,75;214.659.061,00;8.201.300
MULT3;11/04/2023;25,60;26,29;25,47;25,63;167.843.132,00;6.439.400
MULT3;10/04/2023;25,17;25,44;25,04;25,42;61.108.941,00;2.397.100
MULT3;06/04/2023;25,06;25,38;24,78;25,13;60.065.680,00;2.374.600
MULT3;05/04/2023;24,96;25,18;24,46;24,92;107.556.519,00;4.286.900
MULT3;04/04/2023;24,22;25,00;24,19;24,78;70.414.305,00;2.826.600
MULT3;03/04/2023;24,32;24,43;23,67;24,24;113.087.737,00;4.673.300
MULT3;31/03/2023;24,77;24,83;24,05;24,45;111.732.890,00;4.549.400
MULT3;30/03/2023;24,64;25,30;24,35;24,77;115.119.540,00;4.552.500
